,Chalinga_Palmilla,Choapa_Cuncumen,Cogoti_Embalse_Cogoti,Combarbala_Ramadillas,Grande_Las_Ramadas,Hurtado_San_Agustin,Illapel_Las_Burras,Mostazal_Cuestecita,Tascadero_Desembocadura
2000-01-01,0.379,4.89,0.286,0.0596984491907482,1.89,1.65,1.05,0.995,0.423
2000-01-02,0.3786060776301926,4.7988163276853655,0.2856824654287765,0.0596323181279347,1.888035585017077,1.648285034538988,1.0489086583422225,0.9906497107255712,0.4225581865810905
2000-01-03,0.3946823151296162,4.712103854207239,0.285309648595525,0.0595590473353475,1.909406993167592,1.703560761873412,1.075191416834174,1.0101681622441965,0.4377022980164364
2000-01-04,0.4103022833690545,4.6282545478981545,0.2878745259685559,0.0630474989238476,1.9262228253858469,1.748744896210806,1.1000402035690835,1.024422444473004,0.4516629202877829
2000-01-05,0.4289090318892147,4.548127268385146,0.3325344985526261,0.070703773430719,1.969727438044951,1.7897542520835306,1.122731759593392,1.0388079588725214,0.4806788581392736
2000-01-06,0.4455228947784517,4.471149463224749,0.342671775609885,0.0763270806820748,2.026064373815172,1.84169451385864,1.1493910757228878,1.054631509993025,0.5018712225472287
2000-01-07,0.4585418717764636,4.396806775394522,0.352707588298392,0.0814054341677416,2.072628738614829,1.8864078091577308,1.1713635356012095,1.0649565677737274,0.5217411717139552
2000-01-08,0.4885363282026627,4.323911150295109,0.3559005941852489,0.0897157106146456,2.0806164189168705,1.9335271132418648,1.2088640273724145,1.071849359847607,0.5329453974858411
2000-01-09,0.4971221795800662,4.253127305577011,0.3512407838886899,0.0879721767056895,2.083595656744892,1.9636690450280667,1.2192597503540243,1.075403183436583,0.5388799039295828
2000-01-10,0.5061668569235527,4.18469608685139,0.3476348711796163,0.0878706156154214,2.0878370233185706,2.011241408314227,1.2332637130980215,1.0801001555175902,0.5464209154995257
2000-01-11,0.5157637846734244,4.118518634760874,0.3433792089804499,0.0866340806489241,2.0937103712388594,2.0451588284724425,1.248634288655643,1.085840576132729,0.5545331380490559
2000-01-12,0.526864578187304,4.054355418684643,0.3389401259019307,0.0849595247521798,2.098261590487355,2.076044212997691,1.2642808579796203,1.089937628608985,0.5616464702619903
2000-01-13,0.5337402322958422,3.9920013248227937,0.3346225384036368,0.083346721870973,2.100692971466771,2.102507076689464,1.274109734935822,1.0918017100662405,0.5673037519191432
2000-01-14,0.5418300318442055,3.931546948015784,0.3305068697871309,0.0818119543985506,2.103140058565685,2.129622130307874,1.284873811794478,1.0934056789529245,0.5728406389247553
2000-01-15,0.5566048456437955,3.8727331475287534,0.3265512634362855,0.0805661008882282,2.1030802164813944,2.151351842348339,1.3001344508515809,1.0928470885229842,0.5771002135386158
2000-01-16,0.5745770086368388,3.8155364126596503,0.3225076567016529,0.0791021685395069,2.101812011049959,2.1678187672543703,1.316975227774953,1.090549273251485,0.5801560373258662
2000-01-17,0.6113555423536481,3.759919028501882,0.3275537958195624,0.0923433756139749,2.1678846475168423,2.230804454196816,1.3576162677180643,1.1166338675966667,0.5894597251155428
2000-01-18,0.6285850377509803,3.705805621178957,0.3232526069630902,0.0902481670500526,2.161865892658961,2.239305569103029,1.3720765353614062,1.1107296548615118,0.5913941741646634
2000-01-19,0.6321396852443166,3.653495361729358,0.3190565758281538,0.0882323751858699,2.1599830996326674,2.260278062356561,1.3786500351120026,1.1096950771493266,0.5964538668628822
2000-01-20,0.6397400280953793,3.602871188465558,0.3149613594090344,0.0862956955347526,2.1639455365928524,2.2959480270474275,1.3932575871551938,1.114713032647829,0.6048026794806982
2000-01-21,0.6472017786834144,3.5535800186632955,0.3109296359394521,0.0844260201865395,2.1679033038917632,2.3327970020446407,1.407069524921456,1.120004476209768,0.6124734328965765
2000-01-22,0.651500586769276,3.5052456210448386,0.3070569659263688,0.0826412588513064,2.167459279164433,2.358513857662833,1.4151500388693568,1.121406181951362,0.617583305633053
2000-01-23,0.6543956612610736,3.4579327780766325,0.3034271812371554,0.0811876735191073,2.164638931982127,2.377941342930927,1.4205287968972469,1.1204568086502544,0.6214286099826123
2000-01-24,0.6561102077594003,3.4116428182158205,0.2997167183466764,0.0795199960837585,2.1595898588353672,2.390189442843078,1.4235630087355302,1.1173639535241149,0.6242956949768589
2000-01-25,0.657641444534788,3.366458426633385,0.2960704408884391,0.0779100485802744,2.154367684024615,2.401968473439618,1.4265398627140184,1.1140023851356593,0.6270211426218316
2000-01-26,0.6603608542216909,3.3224087708361467,0.2925020376177661,0.0763588433789924,2.1507981450689138,2.41680946674156,1.431103582638081,1.1121376700218046,0.6302666463183874
2000-01-27,0.6628618131459227,3.279477478048646,0.2890087953785758,0.0748634118445103,2.146326940721265,2.4281204815973205,1.4342027283167162,1.1093544853912083,0.6328595974924432
2000-01-28,0.664248645534772,3.237324650148762,0.2876894252236457,0.0770526265722349,2.1397427836588534,2.4346256121721006,1.4379187347422049,1.1048343182411722,0.6355937805820745
2000-01-29,0.6792722223303169,3.1958881517030675,0.2974210860609385,0.0822802175743881,2.144711122016032,2.452667340974352,1.4510938849242794,1.1043939347477734,0.6398371442138121
2000-01-30,0.7070620118812515,3.1558193824796987,0.2965158467783667,0.081177624170056,2.1644810529511367,2.468369444831928,1.4652766216767383,1.122196348889591,0.637048358512819
2000-01-31,0.7155948859429238,3.116522651032425,0.2925832299009692,0.079359160879448,2.165864418576648,2.464833715586472,1.4648639326718986,1.1187948224711315,0.6343641604544628
2000-02-01,0.7257627686672662,3.0774742191346016,0.2885727948894307,0.0776086000911892,2.177018209925149,2.4577193037532443,1.470264821808901,1.120327819111662,0.6328539900276386
2000-02-02,0.7208081763747973,3.0392017853394484,0.2847322840141109,0.0759370184061637,2.1620038456685347,2.449929746558829,1.462299415719485,1.109197904585333,0.6309432154157287
2000-02-03,0.7258093814161047,3.002064706535536,0.2820776024546834,0.0761966878217527,2.150879697883927,2.438849198120084,1.460648896514,1.098522788213642,0.6283368261115958
2000-02-04,0.7239490110922736,2.965149347373062,0.2783387413197536,0.0745490197100855,2.1340631223246658,2.4294518378121057,1.4532837705435149,1.085664183137503,0.6251680664138072
2000-02-05,0.7297867282779629,2.92907350177859,0.2748946548715554,0.0729545930139854,2.1362102621411294,2.426644958073825,1.4525686400274598,1.0841549772776162,0.6220621947204391
2000-02-06,0.7345331766434194,2.894318988931495,0.2714450844545397,0.071456138924179,2.163861387355688,2.449175561846452,1.448093283276183,1.090160442866268,0.620192987870362
2000-02-07,0.7287941106817306,2.85953951362131,0.2679412835816391,0.0699826346550716,2.1464756256759623,2.442525270782875,1.44019036499364,1.0792225265228437,0.6186007859413264
2000-02-08,0.7313366647387235,2.825515873637627,0.2644881515381353,0.0685575250434629,2.1331795099612294,2.437096087290485,1.438815863101726,1.0709018205573315,0.6174013531573892
2000-02-09,0.7258317650937702,2.792140760760349,0.2611644060413848,0.0671938098545953,2.1164569160769537,2.4299871068983023,1.4310507998138178,1.060983452817025,0.6160021789285134
2000-02-10,0.7200971263318616,2.759139976838323,0.2579008582561439,0.0658756835850479,2.100532873453099,2.425148567370607,1.4227383015627668,1.0521029166604343,0.6143256750140559
2000-02-11,0.7155099890479354,2.7268095891207467,0.2547277396000003,0.0646086391227452,2.0865226875156244,2.42404765260701,1.4173029293162651,1.045167941235669,0.6136660236699569
2000-02-12,0.7109036033840549,2.694956611177984,0.2516074138167035,0.0633824314769255,2.072001402826835,2.4211120415670155,1.4117430396522608,1.037897994933442,0.6126297390845861
2000-02-13,0.7163788344343349,2.66350183762255,0.2485705304584808,0.0622042227126505,2.055055774410678,2.41279557430467,1.411945641128326,1.0280796155953034,0.6095699669117105
