,Aportante 23
1989-01-01,8.553265615773853e-07
1989-01-02,0.0
1989-01-03,0.0002634638951996625
1989-01-04,0.0053580029613582245
1989-01-05,0.0013850641957784103
1989-01-06,8.299178992917976e-05
1989-01-07,2.813632412387621e-05
1989-01-08,2.542845262053299e-06
1989-01-09,1.0379492123975379e-05
1989-01-10,8.380463465512595e-06
1989-01-11,8.553265615773853e-07
1989-01-12,0.001532165276779455
1989-01-13,0.000620971746261564
1989-01-14,7.131544164668273e-06
1989-01-15,0.0
1989-01-16,1.7160828633677738e-06
1989-01-17,4.351138045421976e-07
1989-01-18,0.0
1989-01-19,2.4559628354065845e-06
1989-01-20,1.7070133253582753e-06
1989-01-21,3.705286656178818e-06
1989-01-22,2.8170770949561873e-06
1989-01-23,8.52346317969932e-07
1989-01-24,1.706971431758575e-06
1989-01-25,8.681709005031735e-07
1989-01-26,2.1450032363645732e-06
1989-01-27,9.457337620137028e-06
1989-01-28,0.0022466187940772295
1989-01-29,4.351138045421976e-07
1989-01-30,0.0
1989-01-31,2.1432392145470658e-06
1989-02-01,0.0
1989-02-02,0.0
1989-02-03,8.553265615773853e-07
1989-02-04,3.913297491558528e-05
1989-02-05,0.0
1989-02-06,4.4107436991680515e-07
1989-02-07,0.0
1989-02-08,5.549798563307931e-07
1989-02-09,8.702277796146518e-07
1989-02-10,1.7195939108205494e-06
1989-02-11,1.7190881749229447e-06
1989-02-12,1.2862079188380449e-06
1989-02-13,0.0
1989-02-14,1.4090011006828718e-05
1989-02-15,4.200026130142837e-05
1989-02-16,5.329070896835727e-06
1989-02-17,0.0
1989-02-18,1.7130363403339288e-06
1989-02-19,8.52346317969932e-07
1989-02-20,2.147447048628237e-06
1989-02-21,1.7246288734895643e-06
1989-02-22,0.009852479019362023
1989-02-23,0.0
1989-02-24,1.7225742112714215e-06
1989-02-25,3.096652138900304e-06
1989-02-26,4.883034754607637e-06
1989-02-27,1.7225742112714215e-06
1989-02-28,8.52346317969932e-07
1989-03-01,4.351138045421976e-07
1989-03-02,1.7237561564797943e-06
1989-03-03,0.0042335255747683875
1989-03-04,0.0036625744663299083
1989-03-05,2.16763905169593e-06
1989-03-06,1.7225742112714215e-06
1989-03-07,2.1408814063761383e-06
1989-03-08,3.719896200035984e-06
1989-03-09,6.483722438973682e-06
1989-03-10,8.961179498898781e-05
1989-03-11,1.7085066588151676e-06
1989-03-12,1.723140826470626e-06
1989-03-13,8.583068797918258e-07
1989-03-14,0.0005340905512743851
1989-03-15,0.0006502843508262955
1989-03-16,0.0
1989-03-17,4.261732051702438e-07
1989-03-18,2.1564948724517308e-06
1989-03-19,0.0
1989-03-20,0.0
1989-03-21,0.0004301248716832931
1989-03-22,9.964825739925183e-05
1989-03-23,1.2780718066096597e-06
1989-03-24,1.7225742112714215e-06
1989-03-25,4.351138045421976e-07
1989-03-26,4.351138045421976e-07
1989-03-27,2.1671844286298067e-06
1989-03-28,0.00014375377509553552
1989-03-29,7.648286070580995e-06
1989-03-30,0.013002772533556162
1989-03-31,0.0010665530370112598
1989-04-01,1.2814998058274796e-06
1989-04-02,2.6100640105265113e-06
1989-04-03,8.553265615773853e-07
1989-04-04,4.370529609332152e-07
1989-04-05,8.583068797918258e-07
1989-04-06,1.2874602361989673e-06
1989-04-07,3.0005135158717167e-06
1989-04-08,0.0026080342671615793
1989-04-09,0.0006362333682218224
1989-04-10,0.0
1989-04-11,4.292292032914702e-07
1989-04-12,4.351138045421976e-07
1989-04-13,0.0
1989-04-14,4.351138045421976e-07
1989-04-15,1.590282230053918e-05
1989-04-16,2.944317914671817e-05
1989-04-17,8.626794283372874e-07
1989-04-18,2.141175571068743e-06
1989-04-19,8.548288974452589e-07
1989-04-20,1.2814989531761967e-06
1989-04-21,0.0
1989-04-22,4.351138045421976e-07
1989-04-23,0.0
1989-04-24,1.467685418953991e-06
1989-04-25,4.351138045421976e-07
1989-04-26,3.010359023392084e-06
1989-04-27,0.00016978290729554625
1989-04-28,1.232689717815416e-05
1989-04-29,7.48167947800169e-05
1989-04-30,3.407581946402835e-05
1989-05-01,3.4235998633271345e-05
1989-05-02,0.0005370019349998536
1989-05-03,0.006799058893922762
1989-05-04,0.0032560999615717737
1989-05-05,0.0
1989-05-06,0.0
1989-05-07,4.351138045421976e-07
1989-05-08,4.410743663640915e-07
1989-05-09,1.2945243952344754e-06
1989-05-10,0.0
1989-05-11,1.014561966184821e-05
1989-05-12,0.0017582032680888145
1989-05-13,0.020886696092148025
1989-05-14,0.011236274393938357
1989-05-15,0.0004359991500911161
1989-05-16,0.0
1989-05-17,0.0
1989-05-18,1.716613724056515e-06
1989-05-19,1.290470549974998e-06
1989-05-20,0.0
1989-05-21,0.0
1989-05-22,0.0014268819557736283
1989-05-23,8.583068833445395e-07
1989-05-24,8.589946105530544e-07
1989-05-25,1.2881038173873094e-06
1989-05-26,4.658557475838695e-06
1989-05-27,4.388052951271983e-05
1989-05-28,0.0028150733244621147
1989-05-29,0.0020385092980379155
1989-05-30,0.008410548759719073
1989-05-31,0.0013052188238627759
1989-06-01,0.00023360747391765378
1989-06-02,0.0003497046938942515
1989-06-03,0.007041733244695395
1989-06-04,2.9513391397767146e-05
1989-06-05,8.583068797918258e-07
1989-06-06,0.010478127002613746
1989-06-07,0.05006605967626734
1989-06-08,0.019724564242605377
1989-06-09,3.745495262792555e-06
1989-06-10,4.410743663640915e-07
1989-06-11,0.0
1989-06-12,8.620401352743556e-07
1989-06-13,0.0
1989-06-14,2.2351640731843775e-05
1989-06-15,0.0011171962244808608
1989-06-16,4.351138045421976e-07
1989-06-17,8.52346317969932e-07
1989-06-18,4.351138613856165e-07
1989-06-19,4.351138613856165e-07
1989-06-20,0.0029667405521622944
1989-06-21,0.006658885792148915
1989-06-22,1.2814998058274796e-06
1989-06-23,7.273787159030719e-07
1989-06-24,6.45336933902909e-05
1989-06-25,0.032119732554383135
1989-06-26,0.037761782185506014
1989-06-27,0.0927107482940634
1989-06-28,0.08691277089754147
1989-06-29,0.07878691281297952
1989-06-30,0.0186861613852445
1989-07-01,0.00012338605968626186
1989-07-02,1.2761095717905846e-06
1989-07-03,0.0001583837856630922
1989-07-04,3.6875548612327186e-05
1989-07-05,1.2993811537853617e-06
1989-07-06,0.0
1989-07-07,2.1121764018709533e-06
1989-07-08,8.553265615773853e-07
1989-07-09,8.426379258322659e-06
1989-07-10,1.704090064580576e-05
1989-07-11,8.099452251491453e-05
1989-07-12,4.1670617319742646e-05
1989-07-13,0.01136214873439273
1989-07-14,2.9981119951116852e-06
1989-07-15,8.548715300094045e-07
1989-07-16,8.731331035960466e-07
1989-07-17,0.010276561252623143
1989-07-18,0.0009674103582296531
1989-07-19,0.009589894848354793
1989-07-20,0.010861820841239673
1989-07-21,1.3006201129428518e-06
1989-07-22,0.00023654697721767816
1989-07-23,0.032765085896674935
1989-07-24,0.001183940982466114
1989-07-25,0.028365508238175026
1989-07-26,0.06908144526553353
1989-07-27,0.041324738400592816
1989-07-28,0.04111006502366417
1989-07-29,0.03446634249049062
1989-07-30,0.0016597424523255347
1989-07-31,0.0052212170311966444
1989-08-01,3.656694444559388e-05
1989-08-02,0.001066822116657839
1989-08-03,0.03814386381931095
1989-08-04,0.0008130792373408748
1989-08-05,4.261732051702438e-07
1989-08-06,0.0016923425055143388
1989-08-07,0.006203941616374161
1989-08-08,0.0
1989-08-09,4.231929437992221e-07
1989-08-10,0.0
1989-08-11,8.709675967111252e-07
1989-08-12,0.010267048063924757
1989-08-13,0.004479657694410712
1989-08-14,2.1486667947101523e-06
1989-08-15,0.0021076042772336734
1989-08-16,0.032084157103096755
1989-08-17,0.004168017183319997
1989-08-18,0.043861934025890885
1989-08-19,0.0022700733961620876
1989-08-20,0.000481109851492741
1989-08-21,0.0005142189426094975
1989-08-22,0.034079015962045794
1989-08-23,0.09313828611778
1989-08-24,0.020350249642032685
1989-08-25,0.022423496387045046
1989-08-26,0.006087546784570704
1989-08-27,0.0
1989-08-28,4.351138045421976e-07
1989-08-29,0.009843432044578812
1989-08-30,1.2388168755224194e-06
1989-08-31,8.553266184208042e-07
1989-09-01,8.612871056357108e-07
1989-09-02,1.920481745940579e-06
1989-09-03,0.024453068385644473
1989-09-04,8.370169551091164e-06
1989-09-05,6.588614847224385e-07
1989-09-06,0.0
1989-09-07,8.583068833445395e-07
1989-09-08,4.0662490715414795e-08
1989-09-09,9.671106176861262e-05
1989-09-10,0.0015597916760687102
1989-09-11,1.2940976476992375e-05
1989-09-12,4.351138045421976e-07
1989-09-13,0.0
1989-09-14,6.148582797797386e-05
1989-09-15,2.159153666525526e-06
1989-09-16,8.523463748133508e-07
1989-09-17,1.170130098783026e-05
1989-09-18,8.357278371261338e-06
1989-09-19,0.00018124933965629094
1989-09-20,0.002231750649818646
1989-09-21,0.01106937213139876
1989-09-22,0.004276041257122546
1989-09-23,0.0027781264680998455
1989-09-24,1.6977604272435234e-05
1989-09-25,1.7285337889916264e-06
1989-09-26,8.71911587467875e-06
1989-09-27,0.0030066511388211333
1989-09-28,0.000719603869351616
1989-09-29,0.0
1989-09-30,1.315394547033312e-06
1989-10-01,0.004326219124304113
1989-10-02,0.0004549285112751507
1989-10-03,0.0
1989-10-04,2.842906061402064e-06
1989-10-05,8.612871056357108e-07
1989-10-06,0.00012755464689076935
1989-10-07,2.148747398678097e-06
1989-10-08,0.00017613778680057848
1989-10-09,0.0007214699760887447
1989-10-10,0.00039376636673835695
1989-10-11,1.2756168530358991e-06
1989-10-12,4.351138045421976e-07
1989-10-13,4.3995669329888187e-07
1989-10-14,7.068712241338505e-05
1989-10-15,2.571194727352122e-06
1989-10-16,1.2809402960556326e-06
1989-10-17,4.351138045421976e-07
1989-10-18,2.580539330665488e-06
1989-10-19,0.00013394527731549514
1989-10-20,5.038612979953572e-07
1989-10-21,1.2990323625672318e-06
1989-10-22,7.591144519549636e-06
1989-10-23,0.0010563170030898894
1989-10-24,0.0038307341477615553
1989-10-25,0.038448388293638065
1989-10-26,0.0007347234223845852
1989-10-27,4.351138613856165e-07
1989-10-28,0.0016863341657289835
1989-10-29,0.0008039521967947683
1989-10-30,1.0371511254014245e-05
1989-10-31,1.0333829006906283e-05
1989-11-01,0.0008956223725249401
1989-11-02,0.001616747298951742
1989-11-03,3.8104829436864963e-06
1989-11-04,4.4107436991680515e-07
1989-11-05,0.00010381430311330622
1989-11-06,0.0010429130463618186
1989-11-07,0.01618667359842594
1989-11-08,0.0010204807543721596
1989-11-09,1.7201946320710704e-06
1989-11-10,0.001133491269367862
1989-11-11,4.042255676398843e-06
1989-11-12,0.0
1989-11-13,1.2904405366498395e-06
1989-11-14,1.7038185546880413e-06
1989-11-15,8.583068620282575e-07
1989-11-16,1.2866626661889313e-06
1989-11-17,4.351138045421976e-07
1989-11-18,0.0
1989-11-19,8.523463748133508e-07
1989-11-20,0.0
1989-11-21,8.52346317969932e-07
1989-11-22,1.306630252691444e-05
1989-11-23,1.2365438170352226e-06
1989-11-24,8.583068833445395e-07
1989-11-25,1.2993812106287805e-06
1989-11-26,1.2814997489840607e-06
1989-11-27,8.52346317969932e-07
1989-11-28,4.787818860199492e-06
1989-11-29,0.00015196754766216375
1989-11-30,0.0007059260563483665
1989-12-01,2.730700929286116e-06
1989-12-02,0.0047799708478746036
1989-12-03,2.5986210769593366e-05
1989-12-04,0.023697296189049546
1989-12-05,0.007094252160039999
1989-12-06,8.52346317969932e-07
1989-12-07,1.7178203393086733e-06
1989-12-08,4.351138045421976e-07
1989-12-09,8.52346317969932e-07
1989-12-10,0.0023434787987639534
1989-12-11,0.006634170221070113
1989-12-12,0.004290494296211455
1989-12-13,0.0
1989-12-14,0.0007856714523103681
1989-12-15,0.0022103956935338675
1989-12-16,0.01366386418615228
1989-12-17,7.120734554226116e-06
1989-12-18,1.2755393754559918e-06
1989-12-19,1.7183253930852516e-06
1989-12-20,0.00043140377028513767
1989-12-21,0.00041329507100380076
1989-12-22,4.925970254072258e-07
1989-12-23,0.0
1989-12-24,4.351138045421976e-07
1989-12-25,6.182719085176113e-07
1989-12-26,0.0
1989-12-27,8.559142656849872e-07
1989-12-28,1.7195939108205494e-06
1989-12-29,8.584856914239936e-07
1989-12-30,2.0139298196566307e-06
1989-12-31,8.583068620282575e-07
1990-01-01,0.0
1990-01-02,8.52346317969932e-07
1990-01-03,8.642672355563263e-07
1990-01-04,8.325752105520223e-07
1990-01-05,0.0
1990-01-06,0.0
1990-01-07,1.2874602930423862e-06
1990-01-08,0.00022892138706422777
1990-01-09,1.2461205942098927e-05
1990-01-10,8.702277796146518e-07
1990-01-11,8.52346317969932e-07
1990-01-12,4.4107436991680515e-07
1990-01-13,4.351138045421976e-07
1990-01-14,8.553266184208042e-07
1990-01-15,0.00012692738386407409
1990-01-16,0.011637749927180946
1990-01-17,2.5470377580458553e-06
1990-01-18,1.7177071640617214e-06
1990-01-19,1.2777520055351488e-06
1990-01-20,0.0
1990-01-21,8.52346317969932e-07
1990-01-22,7.5139230577822335e-06
1990-01-23,2.4470131241911478e-05
1990-01-24,8.52346317969932e-07
1990-01-25,0.0
1990-01-26,7.411605216182548e-05
1990-01-27,1.317355191200107e-06
1990-01-28,4.2904298780399586e-07
1990-01-29,8.642672355563263e-07
1990-01-30,0.0
1990-01-31,1.2878139159511193e-06
1990-02-01,1.7185275282827206e-06
1990-02-02,4.4107436991680515e-07
1990-02-03,1.2755393754559918e-06
1990-02-04,4.351138045421976e-07
1990-02-05,8.523463748133508e-07
1990-02-06,0.00011121896341522851
1990-02-07,0.00017634387743675105
1990-02-08,3.942170384450145e-05
1990-02-09,8.263324263942318e-07
1990-02-10,1.0429499410693714e-05
1990-02-11,4.712908949969842e-06
1990-02-12,0.00013623359964224047
1990-02-13,0.0004072297426590675
