Yr,Mon,Aportante 23
1989,1,11.578004700752354
1989,2,9.979192476269143
1989,3,23.95189176277119
1989,4,3.6027341912328175
1989,5,61.006669764050834
1989,6,445.74119924103434
1989,7,298.9508163373074
1989,8,334.1188619736756
1989,9,50.51174839315474
1989,10,53.010563949601206
1989,11,22.89831148923193
1989,12,66.39483403738413
1990,1,12.130596417354399
1990,2,28.35842799634302
1990,3,147.3638360764575
1990,4,164.51934712494048
1990,5,195.21866993117192
1990,6,114.92174400315079
1990,7,153.43854757257307
1990,8,170.10543323970032
1990,9,257.7679420411218
1990,10,55.59345207981194
1990,11,60.74547761097199
1990,12,16.337193888051317
1991,1,30.83619446769013
1991,2,5.62189669577919
1991,3,7.469415181758365
1991,4,200.08216801306548
1991,5,743.0572805349585
1991,6,285.2597576143608
1991,7,350.96993390503417
1991,8,75.38738634409837
1991,9,188.58399557948886
1991,10,123.68421188396427
1991,11,52.2863146008649
1991,12,122.52252846623476
1992,1,7.116816446085482
1992,2,20.388095446530663
1992,3,86.95880975182801
1992,4,189.6295925049838
1992,5,799.7387936440575
1992,6,470.0745215286651
1992,7,152.59256439767046
1992,8,193.17017131928486
1992,9,99.97336010468852
1992,10,78.2771294799973
1992,11,43.1400326724712
1992,12,52.18986815916799
1993,1,16.174246117465678
1993,2,2.8210655789700807
1993,3,12.567685527849036
1993,4,134.7542712080893
1993,5,426.75228989920043
1993,6,674.4688683869097
1993,7,216.66584321137174
1993,8,252.72883028564968
1993,9,61.335669458176994
1993,10,128.41917407810425
1993,11,45.68180257824055
1993,12,65.94552712815704
1994,1,3.7156785708108915
1994,2,34.98488549402826
1994,3,14.376201677534429
1994,4,262.10548278032405
1994,5,170.77382394377935
1994,6,396.34123015197724
1994,7,498.5633891317751
1994,8,54.26104017520678
1994,9,265.67469807455393
1994,10,95.90225226809713
1994,11,26.91180183538454
1994,12,77.41032579148361
1995,1,1.6289834883201613
1995,2,3.105857229688627
1995,3,13.338295606175823
1995,4,225.41967184441725
1995,5,62.45646058311769
1995,6,490.6847733601757
1995,7,513.4370018113066
1995,8,263.41836195520125
1995,9,67.4246652013971
1995,10,78.22112267422081
1995,11,11.563373210151674
1995,12,3.107954411967973
1996,1,9.061307811240608
1996,2,20.847583507518895
1996,3,81.8870298335007
1996,4,84.4121878669107
1996,5,118.65604416866711
1996,6,213.45249465482857
1996,7,103.38827907942692
1996,8,228.72747697731768
1996,9,48.47085948260875
1996,10,60.99564493110384
1996,11,49.94616534554996
1996,12,25.202371146577136
1997,1,16.024573269702643
1997,2,35.68685043909744
1997,3,14.842694347642006
1997,4,384.26138513701045
1997,5,228.59461573937313
1997,6,636.8783418062405
1997,7,266.208403808666
1997,8,223.24344531924538
