Yr,Mon,RIO LARQUI C
1989,1,7.732562970406574
1989,2,10.6020732255473
1989,3,23.87715737804075
1989,4,4.035090198756346
1989,5,56.62482162224713
1989,6,413.3015859568383
1989,7,251.05348219808167
1989,8,247.51689271996207
1989,9,41.145086100492456
1989,10,49.0343519622921
1989,11,14.541429892957694
1989,12,66.33877227248928
1990,1,10.935374618954718
1990,2,27.98383144048399
1990,3,139.59875520826986
1990,4,120.85726138217201
1990,5,156.03379918095462
1990,6,112.38750459987833
1990,7,131.34067891333945
1990,8,172.07332550764673
1990,9,234.6666375645778
1990,10,54.726534922739916
1990,11,47.75429385217982
1990,12,7.50202324019591
1991,1,31.07231317631681
1991,2,3.746531943135142
1991,3,7.967381517245372
1991,4,183.24842018313942
1991,5,547.6691064249139
1991,6,223.41457761861798
1991,7,302.63617892356115
1991,8,68.19905747079527
1991,9,155.28109183587026
1991,10,112.78163684672757
1991,11,34.00074189523244
1991,12,92.13768347512446
1992,1,6.096014939275141
1992,2,21.457359575587475
1992,3,77.3833906440919
1992,4,166.0861102109618
1992,5,812.5974812933968
1992,6,362.8514583946292
1992,7,128.424469190355
1992,8,164.42171822145644
1992,9,86.53110405308358
1992,10,70.39027186986472
1992,11,24.96264410190003
1992,12,59.9448519778002
1993,1,12.230251705993139
1993,2,0.6236047790661045
1993,3,26.981711868539627
1993,4,127.99608534813042
1993,5,361.73419055481764
1993,6,535.4060848834783
1993,7,204.53400009403754
1993,8,202.2018888164894
1993,9,48.30069791488927
1993,10,96.35811489865715
1993,11,36.61482154398191
1993,12,47.82191038779698
1994,1,1.1247607875424912
1994,2,26.021630298734273
1994,3,12.987629329157834
1994,4,243.48234911995084
1994,5,136.3062294161868
1994,6,369.79624994726606
1994,7,402.2360176885478
1994,8,40.998820236015355
1994,9,239.02220495632434
1994,10,77.9896953197987
1994,11,16.935054137691843
1994,12,66.58748591816156
1995,1,1.157458437494173
1995,2,1.4587535306065527
1995,3,17.785247850663534
1995,4,184.7094737607455
1995,5,61.84927172388931
1995,6,398.5296816178379
1995,7,386.45667914622925
1995,8,244.20435202467937
1995,9,48.08558747362296
1995,10,83.7271733442667
1995,11,12.28199024532259
1995,12,1.1510983657805385
1996,1,5.4524108768606645
1996,2,18.928672740456562
1996,3,81.6656099813367
1996,4,75.37758937949725
1996,5,113.80340548963153
1996,6,172.6723370412764
1996,7,85.59802026470402
1996,8,213.35441105863433
1996,9,35.50608366776029
1996,10,44.36699103908788
1996,11,46.822100054981846
1996,12,16.88881621710271
1997,1,8.80217973576161
1997,2,32.8057174585731
1997,3,4.041862575128587
1997,4,303.9262388396728
1997,5,185.7341223951026
1997,6,486.2763975079308
1997,7,217.86839045819517
1997,8,151.5392899458742
1997,9,205.66842656927165
1997,10,201.72792293053456
1997,11,82.51495685151617
1997,12,23.12113172477834
1998,1,1.7174911948220377
1998,2,26.97822066359739
1998,3,17.25898876753731
1998,4,74.8616544276871
1998,5,116.24919932937759
