Nodes and Reaches,CA_Alcantarilla   0 \ Headflow,CA_Bellavista Alto   0 \ Headflow,CA_Calderon   0 \ Headflow,CA_Camarote   0 \ Headflow,CA_Cocinera   0 \ Headflow,CA_Cuz Cuz   0 \ Headflow,CA_Del Medio o Bellavista Bajo   0 \ Headflow,CA_El Aguita   0 \ Headflow,CA_El Bajo   0 \ Headflow,CA_El Bato o El Cato   0 \ Headflow,CA_El Durazno   0 \ Headflow,CA_El Macal   0 \ Headflow,CA_El Peumo   0 \ Headflow,CA_El Silo   0 \ Headflow,CA_Escorial   0 \ Headflow,CA_Higuera   0 \ Headflow,CA_Hospital   0 \ Headflow,CA_Inquilino o Del Bajo   0 \ Headflow,CA_La Montana   0 \ Headflow,CA_Las Bellacas   0 \ Headflow,CA_Las Juntas   0 \ Headflow,CA_Las Juntas_El Maiten   0 \ Headflow,CA_Las Peras   0 \ Headflow,CA_Las Salinas   0 \ Headflow,CA_Los Gonzalez   0 \ Headflow,CA_Los Perales   0 \ Headflow,CA_Los Sauces   0 \ Headflow,CA_Mala Ladera   0 \ Headflow,CA_Molino Carcamo   0 \ Headflow,CA_Molino El Peral   0 \ Headflow,CA_Pelados   0 \ Headflow,CA_Pichicaven   0 \ Headflow,CA_Plantacion   0 \ Headflow,CA_Poblacion Los Guindos   0 \ Headflow,CA_Potrero Nuevo   0 \ Headflow,CA_Rodado   0 \ Headflow,CA_San Isidro   0 \ Headflow,CA_San Javier   0 \ Headflow,CA_San Jorge   0 \ Headflow,CA_San Patricio   0 \ Headflow,CA_Santa Isabel   0 \ Headflow,CA_Santa Margot   0 \ Headflow,CA_Santa Olga   0 \ Headflow,CA_Turbina   0 \ Headflow,CA_Vega de Cesped   0 \ Headflow,CA_Zepedino   0 \ Headflow,CL_1   0 \ Headflow,CL_2   0 \ Headflow,Estero Caren   0 \ Headflow,Rio Illapel   0 \ Headflow
mar-91,0.000833873,0.00938949,0.000863998,0.00129298,0.00044254,0.0136777,0.00552538,0.000834399,0.00082122,0,0.000294111,0.000598249,0.000334218,0.00528,0.00457074,0.00891023,0.0101882,0.0136205,0.000167109,0.0187732,0.00221359,0.000858436,0,0.0041047,0.000302706,0.000323951,0.000834399,0.015486,0.0632234,0.00474151,0,0.000206087,0.00233834,0.0130823,0.00333858,0.00095669,0.00557487,0.00064886,0.00103678,0.00251088,0.00534591,0.00315902,0.00404095,0.016201,0.000300443,0.00206025,0,0,0.0527998,0.48616
abr-91,0.00108827,0.0122541,0.00112759,0.00168744,0.000578704,0.0178506,0.00721109,0.00108896,0.00107176,0,0.00038384,0.000780766,0.000436182,0.00689084,0.00596521,0.0116286,0.0132965,0.0177759,0.000218091,0.0245006,0.00288893,0.00112033,0,0.00535698,0.000395056,0.000422783,0.00108896,0.0202106,0.0825118,0.00618807,0,0.000268961,0.00305173,0.0170736,0.00435713,0.00124856,0.00727568,0.000846817,0.00135309,0.00327691,0.00697687,0.00412279,0.00527379,0.0211436,0.000392103,0.00268879,0,0,0.0308,0.634479
may-91,0.00127554,0.0143627,0.00132162,0.00197781,0.000685185,0.0209223,0.00845196,0.00127635,0.00125619,0,0.000449891,0.000915119,0.00051124,0.0080766,0.00699169,0.0136296,0.0155845,0.0208348,0.00025562,0.0287166,0.00338605,0.00131312,0,0.00627879,0.000463037,0.000495535,0.00127635,0.0236884,0.0967103,0.0072529,0,0.000315243,0.00357687,0.0200116,0.00510689,0.00146341,0.00852766,0.000992535,0.00158593,0.00384079,0.00817743,0.00483223,0.00618129,0.024782,0.000459575,0.00315148,0.0569997,0.35475,0.022,0.743657
jun-91,0.00318002,0.0358074,0.00329491,0.00493084,0.00170822,0.0521609,0.0210714,0.00318203,0.00313177,0,0.00112161,0.00228146,0.00127456,0.0201356,0.0174308,0.0339797,0.0388533,0.0519426,0.000637279,0.0715925,0.00844167,0.00327369,0,0.0156535,0.00115439,0.00123541,0.00318203,0.0590569,0.241106,0.018082,0,0.000785924,0.00891741,0.0498903,0.0127319,0.00364839,0.0212601,0.00247446,0.00395383,0.00957538,0.0203869,0.0120471,0.0154104,0.0617833,0.00114576,0.00785687,0.2138,1.61895,0.2948,1.854
jul-91,0.00388846,0.0437844,0.00402894,0.00602932,0.00208877,0.0637812,0.0257656,0.00389092,0.00382946,0,0.00137148,0.00278972,0.0015585,0.0246213,0.021314,0.0415496,0.0475089,0.0635143,0.000779251,0.0875417,0.0103223,0.004003,0,0.0191408,0.00141156,0.00151063,0.00389092,0.0722135,0.294819,0.0221103,0,0.00096101,0.010904,0.0610047,0.0155682,0.00446117,0.0259964,0.00302572,0.00483466,0.0117086,0.0249287,0.0147309,0.0188435,0.0755473,0.001401,0.0096072,0.0977998,0.683699,0.425698,2.26703
ago-91,0.00347506,0.0391295,0.0036006,0.00538831,0.00184875,0.0570002,0.0230263,0.00347725,0.00342233,0,0.00122567,0.00249313,0.00139281,0.0220037,0.019048,0.0371322,0.042458,0.0567617,0.000696405,0.0782347,0.00922487,0.00357742,0,0.0171058,0.00126149,0.00135002,0.00347725,0.0645361,0.263475,0.0197596,0,0.00085884,0.00974474,0.054519,0.0139131,0.00398688,0.0232326,0.00270404,0.00432066,0.0104638,0.0222784,0.0131648,0.0168402,0.0675155,0.00125206,0.00858581,0.0226,0.0773999,0.3597,2.02601
sept-91,0.00509978,0.057424,0.00528402,0.00790755,0.00271084,0.08365,0.033792,0.005103,0.0050224,0,0.00179872,0.00365876,0.002044,0.0322913,0.0279536,0.054493,0.0623087,0.0833,0.001022,0.114812,0.0135378,0.00525,0,0.0251034,0.00185128,0.00198121,0.005103,0.0947092,0.38666,0.028998,0,0.00126038,0.0143008,0.0800087,0.020418,0.0058509,0.0340947,0.00396828,0.00634073,0.015356,0.0326944,0.0193198,0.0247136,0.0990815,0.00183744,0.0126,0.053,0.3225,1.2969,5.29005
oct-91,0.00509978,0.057424,0.00528402,0.00790755,0.0027024,0.08365,0.033792,0.005103,0.0050224,0,0.00179872,0.00365876,0.002044,0.0322913,0.0279536,0.054493,0.0623087,0.0833,0.001022,0.114812,0.0135378,0.00525,0,0.0251034,0.00185128,0.00198121,0.005103,0.0947092,0.38666,0.028998,0,0.00126038,0.0143008,0.0800087,0.020418,0.0058509,0.0340947,0.00396828,0.00634073,0.015356,0.0326944,0.0193199,0.0247136,0.0990815,0.00183744,0.0126,0,0,1.2826,5.16439
nov-91,0.00509978,0.057424,0.00528402,0.00790755,0.00269591,0.08365,0.033792,0.005103,0.0050224,0,0.00179872,0.00365876,0.002044,0.0322913,0.0279536,0.054493,0.0623087,0.0833,0.001022,0.114812,0.0135378,0.00525,0,0.0251034,0.00185128,0.00198121,0.005103,0.0947092,0.38666,0.028998,0,0.00126038,0.0143008,0.0800087,0.020418,0.0058509,0.0340947,0.00396828,0.00634073,0.015356,0.0326944,0.0193198,0.0247136,0.0990815,0.00183744,0.0126,0,0,2.9007,10.8057
dic-91,0.00509978,0.057424,0.00528402,0.00790755,0.00269538,0.08365,0.033792,0.005103,0.0050224,0,0.00179872,0.00365876,0.002044,0.0322913,0.0279536,0.054493,0.0623087,0.0833,0.001022,0.114812,0.0135378,0.00525,0,0.0251034,0.00185128,0.00198121,0.005103,0.0947092,0.38666,0.028998,0,0.00126038,0.0143008,0.0800087,0.020418,0.0058509,0.0340947,0.00396828,0.00634073,0.015356,0.0326944,0.0193199,0.0247136,0.0990815,0.00183744,0.0126,0,0,2.5751,9.58311
