Sources and Destinations,Decrease in Storage for Embalse El Bato,Increase in Storage for Embalse El Bato,Inflow from Upstream,Net Evaporation,Outflow to Acuifero_3,Outflow to Downstream,Sum
abr-99,0,0,0.73773,0,0,-0.73773,0
may-99,0,0,0.775505,0,0,-0.775505,0
jun-99,0,0,0.814627,0,0,-0.814627,0
jul-99,0,0,0.80142,0,0,-0.80142,0
ago-99,0,0,0.759382,0,0,-0.759382,0
sept-99,0,0,1.45456,0,0,-1.45456,0
oct-99,0,0,1.76951,0,0,-1.76951,0
nov-99,0,0,1.66474,0,0,-1.66474,0
dic-99,0,0,1.02897,0,0,-1.02897,0
ene-00,0,0,0.822276,0,0,-0.822276,0
feb-00,0,0,0.847991,0,0,-0.847991,0
mar-00,0,0,0.781527,0,0,-0.781527,0
abr-00,0,0,0.805294,0,0,-0.805294,0
may-00,0,0,0.823885,0,0,-0.823885,0
jun-00,0,0,0.845421,0,0,-0.845421,0
jul-00,0,0,1.38541,0,0,-1.38541,0
ago-00,0,0,1.77565,0,0,-1.77565,0
sept-00,0,0,2.554,0,0,-2.554,0
oct-00,0,0,6.40906,0,0,-6.40906,0
nov-00,0,0,7.10355,0,0,-7.10355,0
dic-00,0,0,6.80341,0,0,-6.80341,0
ene-01,0,0,2.46069,0,0,-2.46069,0
feb-01,0,0,1.50527,0,0,-1.50527,0
mar-01,0,0,1.36709,0,0,-1.36709,0
abr-01,0,0,1.18205,0,0,-1.18205,0
may-01,0,0,1.17175,0,0,-1.17175,0
jun-01,0,0,0.947867,0,0,-0.947867,0
jul-01,0,0,1.0943,0,0,-1.0943,0
ago-01,0,0,1.79542,0,0,-1.79542,0
sept-01,0,0,1.98046,0,0,-1.98046,0
oct-01,0,0,3.78851,0,0,-3.78851,0
nov-01,0,0,4.61508,0,0,-4.61508,0
dic-01,0,0,3.50536,0,0,-3.50536,0
ene-02,0,0,1.75031,0,0,-1.75031,0
feb-02,0,0,1.24879,0,0,-1.24879,0
mar-02,0,0,1.03972,0,0,-1.03972,0
abr-02,0,0,1.11587,0,0,-1.11587,0
may-02,0,0,3.3773,0,0,-3.3773,0
jun-02,0,0,4.19595,0,0,-4.19595,0
jul-02,0,0,3.14535,0,0,-3.14535,0
ago-02,0,0,4.77511,0,0,-4.77511,0
sept-02,0,0,5.92416,0,0,-5.92416,0
oct-02,0,0,13.0237,0,0,-13.0237,0
nov-02,0,0,21.8851,0,0,-21.8851,0
dic-02,0,0,20.867,0,0,-20.867,0
ene-03,0,0,10.5626,0,0,-10.5626,0
feb-03,0,0,6.04099,0,0,-6.04099,0
mar-03,0,0,3.30314,0,0,-3.30314,0
abr-03,0,0,2.51138,0,0,-2.51138,0
may-03,0,0,2.30353,0,0,-2.30353,0
jun-03,0,0,2.68489,0,0,-2.68489,0
jul-03,0,0,2.13051,0,0,-2.13051,0
ago-03,0,0,1.50071,0,0,-1.50071,0
sept-03,0,0,1.5338,0,0,-1.5338,0
oct-03,0,0,1.91206,0,0,-1.91206,0
nov-03,0,0,1.67703,0,0,-1.67703,0
dic-03,0,0,1.25577,0,0,-1.25577,0
ene-04,0,0,1.02447,0,0,-1.02447,0
feb-04,0,0,0.875113,0,0,-0.875113,0
mar-04,0,0,0.840245,0,0,-0.840245,0
abr-04,0,0,0.956097,0,0,-0.956097,0
may-04,0,0,0.954018,0,0,-0.954018,0
jun-04,0,0,0.856691,0,0,-0.856691,0
jul-04,0,0,0.818684,0,0,-0.818684,0
ago-04,0,0,1.15782,0,0,-1.15782,0
sept-04,0,0,1.44407,0,0,-1.44407,0
oct-04,0,0,1.1909,0,0,-1.1909,0
nov-04,0,0,1.12059,0,0,-1.12059,0
dic-04,0,0,0.997325,0,0,-0.997325,0
ene-05,0,0,0.817002,0,0,-0.817002,0
feb-05,0,0,0.686292,0,0,-0.686292,0
mar-05,0,0,0.737526,0,0,-0.737526,0
abr-05,0,0,0.725376,0,0,-0.725376,0
may-05,0,0,1.2741,0,0,-1.2741,0
jun-05,0,0,1.87911,0,0,-1.87911,0
jul-05,0,0,1.48091,0,0,-1.48091,0
ago-05,0,0,1.5099,0,0,-1.5099,0
sept-05,0,0,2.291,0,0,-2.291,0
oct-05,0,0,3.66481,0,0,-3.66481,0
nov-05,0,0,9.19533,0,0,-9.19533,0
