Yr,Mon,RIO LARQUI B
1989,1,1.2850910983432984
1989,2,6.976045417131158
1989,3,24.52131366728767
1989,4,2.3375802051344
1989,5,48.593553101109386
1989,6,315.8724994685725
1989,7,202.94855058831914
1989,8,171.01187111621843
1989,9,31.93286314277164
1989,10,34.7841961451462
1989,11,7.919217828179543
1989,12,58.1893942872546
1990,1,6.706878693655496
1990,2,23.95791862266483
1990,3,111.4247265118119
1990,4,78.49578770976001
1990,5,113.13413379089943
1990,6,87.20077109513258
1990,7,109.9353479666817
1990,8,139.77765580827324
1990,9,169.34899281343272
1990,10,43.30381755900083
1990,11,36.412700946834136
1990,12,2.226955829244275
1991,1,25.381726291256545
1991,2,0.7795369205385552
1991,3,5.076012677789789
1991,4,122.33768789867698
1991,5,381.9954390468759
1991,6,175.07664175753206
1991,7,227.02168829659834
1991,8,47.82952230729355
1991,9,125.23158590092817
1991,10,84.3402670115087
1991,11,21.625826932045914
1991,12,59.53082054725181
1992,1,2.994901608542476
1992,2,20.463113628083327
1992,3,71.83232861708817
1992,4,124.74110131497216
1992,5,715.5432056388206
1992,6,277.1873472208548
1992,7,95.18641318539373
1992,8,136.8369971593757
1992,9,70.93453375180857
1992,10,41.923339998572175
1992,11,11.225238379590598
1992,12,48.87867225342437
1993,1,7.409599091834084
1993,2,0.11538188646004166
1993,3,31.73945572391794
1993,4,112.88806807118033
1993,5,274.19647257105123
1993,6,377.8641600834173
1993,7,158.5562772323878
1993,8,127.998014080745
1993,9,30.880617623542086
1993,10,56.28702129679117
1993,11,21.678739315238047
1993,12,25.231002053680662
1994,1,0.22878722288559025
1994,2,13.077982260999535
1994,3,9.728446330784426
1994,4,199.39879270593488
1994,5,100.50262990682785
1994,6,307.2371647076037
1994,7,268.6580921613422
1994,8,27.00813483559392
1994,9,165.7233307276802
1994,10,59.660132714639985
1994,11,8.866644376289447
1994,12,47.406848632774455
1995,1,0.629187667058644
1995,2,0.15630246251693933
1995,3,14.349558902142117
1995,4,144.04635547968118
1995,5,49.700034731796514
1995,6,278.68737658801
1995,7,263.0957899121694
1995,8,173.51058448401972
1995,9,29.379693533084854
1995,10,69.99750915366856
1995,11,9.278749736055557
1995,12,0.47558649641284556
1996,1,3.6952511464525495
1996,2,15.002342526193276
1996,3,56.822368208750994
1996,4,55.275759044563436
1996,5,92.8385909736987
1996,6,131.39239699376355
1996,7,83.03043623825934
1996,8,192.15659282708836
1996,9,21.222861166497133
1996,10,31.09790173595454
1996,11,34.18401649117281
1996,12,11.70177537545014
1997,1,6.01837719098355
1997,2,22.527255908662216
1997,3,0.8697659431192222
1997,4,197.32191510788024
1997,5,151.09385328291765
1997,6,371.55202061380857
1997,7,170.9655725170446
1997,8,110.99575666199972
1997,9,141.7473618567529
1997,10,156.6640872363371
1997,11,70.8646577287879
1997,12,11.101262599999021
1998,1,0.549357819718724
1998,2,11.968483231046054
1998,3,11.144854452570263
1998,4,53.84856478895807
1998,5,101.66905045494397
1998,6,84.3122261232044
1998,7,66.8766807656072
1998,8,81.72288601243257
1998,9,76.961595519457
1998,10,0.4789429028392921
1998,11,14.758210139045039
1998,12,9.969710760414177
1999,1,7.127019164700908
1999,2,14.397328450973482
1999,3,15.362787208768225
1999,4,19.505225782129795
1999,5,193.06342756328553
1999,6,305.94830262331345
1999,7,114.27331861302179
1999,8,196.87770281098807
1999,9,229.63907726515768
1999,10,17.581311356135803
1999,11,12.423515719742966
1999,12,2.497217064406337
2000,1,1.0246426224543035
2000,2,108.44219008387574
2000,3,7.626768100812324
2000,4,34.93203259468017
2000,5,66.19316027636513
2000,6,600.7728309243188
2000,7,87.34000419738393
2000,8,176.06427326756275
2000,9,247.360381901398
2000,10,34.9726057695821
2000,11,27.91396514060636
2000,12,19.74263472811149
2001,1,61.0287557191375
2001,2,6.151993336273214
2001,3,29.50209533643411
2001,4,51.25378808926841
2001,5,396.7079451821292
2001,6,187.46495760900174
2001,7,528.3404704436439
2001,8,199.68062256351462
2001,9,31.91489017152101
2001,10,25.76674583821229
2001,11,30.02705768325854
2001,12,0.03213759973630517
2002,1,4.5561880927051215
2002,2,163.62472650375457
2002,3,113.06897053466662
