Yr,Mon,EST. PALPAL D
1971,1,152.02847805788983
1971,2,122.81139122315592
1971,3,103.43641456582634
1971,4,65.2218487394958
1971,5,41.055182072829126
1971,6,14.358076563958917
1971,7,30.27852474323063
1971,8,36.09785247432307
1971,9,60.87572362278245
1971,10,100.48515406162466
1971,11,125.01419234360412
1971,12,147.76405228758173
1972,1,166.14500466853406
1972,2,122.42959850606911
1972,3,100.33697478991597
1972,4,68.48076563958917
1972,5,42.21307189542484
1972,6,27.103081232493004
1972,7,24.815966386554624
1972,8,36.61988795518207
1972,9,54.33986928104576
1972,10,83.64631185807656
1972,11,116.38982259570491
1972,12,151.51605975723623
1973,1,161.8309990662932
1973,2,126.39925303454716
1973,3,103.24603174603175
1973,4,62.46003734827265
1973,5,41.74780578898226
1973,6,24.678338001867413
1973,7,13.45798319327731
1973,8,34.71615312791783
1973,9,60.031839402427636
1973,10,86.02866479925302
1973,11,118.52268907563025
1973,12,157.4595704948646
1974,1,159.67245564892625
1974,2,119.60354808590102
1974,3,104.82315592903826
1974,4,63.007189542483665
1974,5,47.68543417366947
1974,6,23.682819794584493
1974,7,21.191503267973854
1974,8,35.171335200746974
1974,9,61.89225023342671
1974,10,91.5248366013072
1974,11,120.9032679738562
1974,12,147.8940242763772
1975,1,160.71017740429502
1975,2,119.6078431372549
1975,3,98.29691876750701
1975,4,69.74304388422034
1975,5,38.04761904761905
1975,6,24.871055088702146
1975,7,22.00298786181139
1975,8,29.382259570494867
1975,9,58.395238095238085
1975,10,93.20270774976656
1975,11,117.48860877684406
1975,12,146.47450980392156
1976,1,158.5979458450047
1976,2,115.12212885154061
1976,3,101.47768440709616
1976,4,63.20121381886087
1976,5,39.2422969187675
1976,6,20.284967320261437
1976,7,22.440242763772176
1976,8,33.89047619047619
1976,9,58.677591036414576
1976,10,97.08188608776845
1976,11,118.64042950513536
1976,12,148.3225957049486
1977,1,160.96489262371614
1977,2,122.43473389355745
1977,3,104.97535014005601
1977,4,67.01923436041082
1977,5,41.00672268907563
1977,6,26.319421101774044
1977,7,26.32399626517273
1977,8,37.35219421101774
1977,9,63.175910364145665
1977,10,91.14668534080299
1977,11,113.95126050420168
1977,12,144.67628384687205
1978,1,153.87320261437907
1978,2,125.32324929971992
1978,3,102.17964519140989
1978,4,63.15051353874883
1978,5,37.32016806722689
1978,6,24.49971988795518
1978,7,36.507749766573305
1978,8,29.354621848739495
1978,9,59.80382819794584
1978,10,90.31176470588237
1978,11,114.96451914098974
1978,12,153.07535014005606
1979,1,160.24845938375356
1979,2,121.10672268907565
1979,3,104.42539682539683
1979,4,64.82390289449113
1979,5,38.59346405228759
1979,6,15.029131652661059
1979,7,25.450513538748837
1979,8,40.6
1979,9,53.710364145658254
1979,10,90.30168067226893
1979,11,110.29281045751634
1979,12,142.34145658263304
1980,1,169.30859010270777
1980,2,112.05312791783376
1980,3,105.14621848739496
1980,4,58.911671335200744
1980,5,44.18001867413632
1980,6,23.519794584500467
1980,7,26.680952380952387
1980,8,42.94668534080299
1980,9,63.87852474323063
1980,10,95.54089635854342
1980,11,115.49514472455651
1980,12,147.05751633986924
1981,1,146.64117647058822
1981,2,124.41633986928103
1981,3,103.90401493930906
1981,4,60.8421101774043
1981,5,46.79365079365079
1981,6,24.386928104575162
1981,7,30.779271708683474
1981,8,38.70037348272643
1981,9,62.75116713352008
1981,10,96.14603174603177
1981,11,119.0169000933707
1981,12,152.85630252100842
1982,1,164.60821661998133
1982,2,118.36199813258636
1982,3,103.06162464985994
1982,4,62.584967320261434
1982,5,40.904014939309064
1982,6,19.366853408029883
1982,7,30.276190476190482
1982,8,40.9516339869281
1982,9,59.00326797385622
1982,10,88.37899159663866
1982,11,113.30186741363212
1982,12,156.98683473389352
1983,1,150.3887021475257
1983,2,125.2417366946779
1983,3,101.04603174603176
1983,4,63.66479925303455
1983,5,34.6250233426704
1983,6,7.30765639589169
1983,7,17.53996265172736
1983,8,37.695518207282916
1983,9,57.596265172735755
1983,10,98.71820728291317
1983,11,129.6266106442577
1983,12,158.290756302521
1984,1,161.52642390289444
1984,2,120.8792717086835
1984,3,99.57787114845937
1984,4,62.11437908496731
1984,5,38.085901027077504
1984,6,5.96797385620915
1984,7,20.49131652661065
1984,8,30.28478057889823
1984,9,59.06479925303455
1984,10,82.85042016806722
1984,11,109.174883286648
1984,12,142.86339869281048
1985,1,152.9295051353875
1985,2,123.78944911297852
1985,3,103.3731092436975
1985,4,61.132212885154075
1985,5,38.55611577964519
1985,6,29.64584500466853
1985,7,25.97329598506069
1985,8,35.84145658263305
1985,9,63.083099906629336
1985,10,87.7014939309057
1985,11,122.44229691876751
1985,12,154.49197012138188
1986,1,159.34584500466852
1986,2,120.48860877684406
1986,3,101.78169934640525
1986,4,59.843043884220336
1986,5,42.05957049486461
1986,6,24.449859943977586
1986,7,26.61176470588235
1986,8,38.87852474323063
1986,9,59.804761904761904
1986,10,94.01232492997201
1986,11,114.29869281045751
1986,12,150.70326797385619
1987,1,165.82128851540617
1987,2,128.10336134453786
1987,3,106.63641456582633
1987,4,63.63053221288515
1987,5,36.373482726423894
1987,6,22.32455648926237
1987,7,32.40644257703081
1987,8,33.23762838468721
1987,9,58.48562091503268
1987,10,89.8578898225957
1987,11,121.85266106442576
1987,12,146.7516339869281
1988,1,157.18338001867414
1988,2,126.30046685340801
1988,3,96.75163398692808
1988,4,65.08011204481792
1988,5,33.71848739495797
1988,6,24.879084967320257
1988,7,14.092997198879551
1988,8,33.74780578898226
1988,9,56.54192343604109
1988,10,94.07236227824461
1988,11,127.67124183006538
1988,12,150.24761904761905
1989,1,160.39701213818864
1989,2,127.1316526610644
1989,3,102.79131652661066
1989,4,64.84705882352941
1989,5,34.79439775910364
1989,6,25.023996265172734
1989,7,28.89561157796452
1989,8,36.57553688141925
1989,9,62.62735760971056
1989,10,98.64285714285712
1989,11,124.43650793650794
1989,12,145.74855275443505
1990,1,162.444070961718
1990,2,115.0053221288515
1990,3,101.69775910364145
1990,4,62.17394957983194
1990,5,36.57366946778711
1990,6,22.434547152194213
1990,7,23.71867413632119
1990,8,42.12418300653595
1990,9,59.60961718020541
1990,10,93.24715219421101
1990,11,120.89906629318392
1990,12,146.95051353874885
1991,1,158.2388422035481
1991,2,125.73408029878613
1991,3,103.00877684407095
1991,4,62.08319327731091
1991,5,40.866666666666674
1991,6,22.398972922502328
