Yr,Mon,1
1971,1,9.439854191980562
1971,2,1.7375455650060752
1971,3,2.741595787768328
1971,4,11.526933981368977
1971,5,37.5868772782503
1971,6,178.7719724584852
1971,7,52.76225192385581
1971,8,51.6719319562576
1971,9,9.462535439449171
1971,10,55.213446739570685
1971,11,2.6488456865127588
1971,12,10.787768327258
1972,1,3.008100445524504
1972,2,0.0
1972,3,14.638315107330904
1972,4,5.309842041312273
1972,5,254.71283920615636
1972,6,271.7545565006075
1972,7,70.90157958687729
1972,8,256.30052652895915
1972,9,86.38355609558528
1972,10,56.79708383961119
1972,11,36.15633859862292
1972,12,0.1867152693398137
1973,1,0.0
1973,2,1.4977723774807616
1973,3,0.0
1973,4,9.337383556095586
1973,5,97.71081409477524
1973,6,57.09113001215067
1973,7,142.26771972458485
1973,8,4.855812069663832
1973,9,7.036452004860268
1973,10,77.30822195220739
1973,11,4.447549615228838
1973,12,2.3689752936411503
1974,1,0.6658566221142164
1974,2,1.2685297691373023
1974,3,0.0
1974,4,2.0
1974,5,187.62778452814908
1974,6,272.7857432158769
1974,7,24.117051437829083
1974,8,20.363304981774
1974,9,26.46820575131632
1974,10,4.83070068853787
1974,11,42.23410287565816
1974,12,3.3240178209801536
1975,1,0.0
1975,2,0.0
1975,3,2.076954232482786
1975,4,41.02106115836372
1975,5,60.44147428108548
1975,6,22.14216281895504
1975,7,171.96719319562575
1975,8,43.75698663426489
1975,9,3.0
1975,10,11.665856622114218
1975,11,39.32604293236129
1975,12,0.0
1976,1,2.6804374240583235
1976,2,19.28675577156744
1976,3,6.107735925475902
1976,4,7.382746051032807
1976,5,45.946132037262046
1976,6,114.37707573916566
1976,7,13.440664236533008
1976,8,35.89307411907655
1976,9,32.8359659781288
1976,10,124.7881733495342
1976,11,38.41271769947348
1976,12,6.474281085459701
1977,1,4.484406642365331
1977,2,0.4321587687322803
1977,3,0.2584042122316727
1977,4,25.219522073714057
1977,5,69.6237343053868
1977,6,208.0417172944512
1977,7,236.742810854597
1977,8,93.7270149858242
1977,9,4.471445929526126
1977,10,66.23207776427702
1977,11,84.7136492507088
1977,12,3.014175779667882
1978,1,3.942081814499797
1978,2,0.7136492507087892
1978,3,0.0141757796678817
1978,4,1.0
1978,5,45.51478331308222
1978,6,102.8906439854192
1978,7,349.25880923450785
1978,8,33.79667881733496
1978,9,39.105305791818544
1978,10,35.06520858647226
1978,11,112.8505467800729
1978,12,2.0
1979,1,0.3288780882948562
1979,2,2.17780477926286
1979,3,1.477521263669502
1979,4,17.659781287970837
1979,5,65.74200081004456
1979,6,5.216686917780478
1979,7,129.59376265694613
1979,8,118.54191980558932
1979,9,50.42365330093155
1979,10,2.171324422843256
1979,11,83.57472660996356
1979,12,56.39773187525315
1980,1,6.6836776022681255
1980,2,37.00607533414338
1980,3,1.3908464965573109
1980,4,152.8144997974889
1980,5,181.59214256784125
1980,6,119.15957877683272
1980,7,123.73876063183472
1980,8,21.94167679222357
1980,9,64.76913730255164
1980,10,6.18712029161604
1980,11,12.942891859052247
1980,12,1.8772782503037668
1981,1,0.1713244228432564
1981,2,14.957067638720131
1981,3,12.04293236127987
1981,4,15.960307816929935
1981,5,293.4665856622115
1981,6,33.79343863912516
1981,7,41.40785743215878
1981,8,34.59092750101255
1981,9,16.648440664236535
1981,10,16.64277035236938
1981,11,2.0299716484406645
1981,12,0.0
1982,1,0.9671931956257592
1982,2,0.9740785743215876
1982,3,23.24260834345889
1982,4,2.767922235722965
1982,5,174.1721344673957
1982,6,492.4657756176589
1982,7,234.31065208586472
1982,8,150.54718509518025
1982,9,65.52895909275011
1982,10,48.45159983799109
1982,11,3.2110166059133256
1982,12,0.0
1983,1,13.06075334143378
1983,2,15.853381936006482
1983,3,0.0
1983,4,36.27055488051844
1983,5,82.01822600243014
1983,6,134.48076144187934
1983,7,104.69056298096396
1983,8,97.77197245848524
1983,9,28.755771567436213
1983,10,4.477521263669502
1983,11,0.9121101660591334
1983,12,1.0
1984,1,0.0
1984,2,1.0
1984,3,4.324422843256379
1984,4,6.914540299716484
1984,5,153.73835560955854
1984,6,78.14256784123127
1984,7,317.568246253544
1984,8,98.47104090724991
1984,9,53.11178614823816
1984,10,61.78574321587688
1984,11,16.430133657351156
1984,12,4.349129202106116
1985,1,6.293641150263265
1985,2,0.0
1985,3,30.88861887403808
1985,4,4.347509113001215
1985,5,81.56986634264887
1985,6,34.53827460510328
1985,7,93.710409072499
1985,8,9.5224787363305
1985,9,15.23005265289591
1985,10,71.61077359254759
1985,11,3.44916970433374
1985,12,0.3803159173754557
1986,1,0.0
1986,2,4.447549615228839
1986,3,2.2818955042527342
