Yr,Mon,EST. SAN VICENTE B
1971,1,157.03983885407342
1971,2,124.6987466427932
1971,3,102.43643688451209
1971,4,62.73205013428827
1971,5,36.248970456580125
1971,6,20.362846911369736
1971,7,28.30420769919427
1971,8,38.1550581915846
1971,9,62.40832587287377
1971,10,101.48209489704567
1971,11,128.06535362578333
1971,12,151.42757385854966
1972,1,172.27188898836167
1972,2,124.70716204118172
1972,3,99.198030438675
1972,4,65.85640107430618
1972,5,37.19095792300806
1972,6,24.816651745747535
1972,7,26.24449418084154
1972,8,39.747269471799456
1972,9,55.1901521933751
1972,10,84.10232766338406
1972,11,117.49256938227396
1972,12,154.80008952551475
1973,1,168.03849597135184
1973,2,128.53715308863025
1973,3,102.64780662488809
1973,4,59.3645478961504
1973,5,37.17824529991047
1973,6,22.459444941808414
1973,7,22.295613249776185
1973,8,36.85631154879141
1973,9,61.986660698299005
1973,10,86.31584601611459
1973,11,119.97636526410025
1973,12,161.15532676812893
1974,1,165.83142345568484
1974,2,121.56087735004472
1974,3,104.1056401074306
1974,4,59.845031333930166
1974,5,42.889435989256945
1974,6,23.58603401969561
1974,7,23.662041181736797
1974,8,36.96195165622202
1974,9,63.64861235452103
1974,10,91.83473589973143
1974,11,123.01629364368844
1974,12,151.12354521038495
1975,1,166.21083258728734
1975,2,121.64753804834378
1975,3,96.51862130707252
1975,4,67.32202327663383
1975,5,33.64449418084154
1975,6,22.665353625783354
1975,7,25.62157564905998
1975,8,35.463384064458374
1975,9,59.79892569382273
1975,10,94.48871978513876
1975,11,119.35040286481647
1975,12,149.42345568487016
1976,1,163.24028648164725
1976,2,117.02632050134285
1976,3,99.71700984780662
1976,4,59.44977618621306
1976,5,34.76508504923903
1976,6,19.602327663384067
1976,7,25.27833482542524
1976,8,36.66222023276633
1976,9,59.74709042076991
1976,10,98.10017905102953
1976,11,120.5928379588183
1976,12,152.39910474485222
1977,1,166.50769919427034
1977,2,124.35407341092213
1977,3,104.38621307072518
1977,4,64.82005371530884
1977,5,36.340734109221124
1977,6,24.01521933751119
1977,7,25.813070725156667
1977,8,37.79471799462846
1977,9,64.5750223813787
1977,10,91.53688451208595
1977,11,116.07591763652638
1977,12,147.68791405550581
1978,1,158.29051029543416
1978,2,127.64798567591764
1978,3,101.17350044762755
1978,4,60.10698299015219
1978,5,32.81915846016115
1978,6,23.468934646374212
1978,7,34.208415398388546
1978,8,35.986481647269464
1978,9,60.61593554162937
1978,10,90.78379588182634
1978,11,116.6119964189794
1978,12,155.91951656222022
1979,1,164.74825425246198
1979,2,122.75094001790511
1979,3,102.5957923008057
1979,4,61.55416293643689
1979,5,33.94162936436884
1979,6,17.92667860340197
1979,7,24.65496866606983
1979,8,39.86195165622201
1979,9,55.2715308863026
1979,10,91.11459265890778
1979,11,110.72202327663383
1979,12,144.9618621307072
1980,1,174.49632945389433
1980,2,112.31253357206805
1980,3,104.73231871083259
1980,4,55.58970456580124
1980,5,39.408415398388534
1980,6,23.190420769919427
1980,7,26.71002685765443
1980,8,42.55792300805729
1980,9,65.25846016114592
1980,10,96.92820053715309
1980,11,117.12918531781557
1980,12,149.97735004476274
1981,1,150.8806624888093
1981,2,126.57538048343777
1981,3,101.95076096687552
1981,4,57.94010743061772
1981,5,41.66965085049239
1981,6,22.038675022381376
1981,7,29.323903312444045
1981,8,39.040555058191586
1981,9,63.99068934646373
1981,10,96.83133393017009
1981,11,121.03196060877349
1981,12,156.2771709937332
1982,1,168.71181736794983
1982,2,119.93285586392119
1982,3,101.63625783348253
1982,4,60.09534467323186
1982,5,36.43491495076096
1982,6,22.03616830796777
1982,7,28.717099373321396
1982,8,40.95389435989256
1982,9,59.52802148612355
1982,10,88.96696508504924
1982,11,114.7034914950761
1982,12,160.99274843330352
1983,1,154.15747538048342
1983,2,127.90465532676814
1983,3,99.83536257833481
1983,4,61.0648164726947
1983,5,30.835720680393912
1983,6,15.84628469113697
1983,7,23.56965085049239
1983,8,41.02882721575649
1983,9,59.258102059086845
1983,10,99.4930170098478
1983,11,132.30214861235453
1983,12,161.4572963294539
1984,1,166.14655326768127
1984,2,122.7484333034915
1984,3,97.95013428827217
1984,4,59.61593554162936
1984,5,33.53142345568487
1984,6,14.241092211280213
1984,7,25.86347358997314
1984,8,35.72641002685765
1984,9,59.79498657117278
1984,10,82.67153088630258
1984,11,110.28755595344671
1984,12,145.85380483437777
1985,1,156.76490599820949
1985,2,125.86544315129811
1985,3,102.2983885407341
1985,4,57.962936436884505
1985,5,34.20931065353625
1985,6,27.17573858549687
1985,7,26.023455684870186
1985,8,37.08119964189793
1985,9,64.00367054610562
