Yr,Mon,EST. SAN VICENTE A
1989,1,16.68306537695003
1989,2,12.368683297659613
1989,3,25.362678642519743
1989,4,5.801492863494932
1989,5,65.22902524645205
1989,6,453.43389587928846
1989,7,262.5785816015032
1989,8,283.747314388589
1989,9,46.25158190610176
1989,10,57.7009659331359
1989,11,21.584740242214
1989,12,80.295777121829
1990,1,15.092317316012952
1990,2,33.57310305851081
1990,3,142.8202308245772
1990,4,139.70251741818808
1990,5,171.5988393512614
1990,6,134.28474957379964
1990,7,143.03571663466784
1990,8,191.96122192705786
1990,9,258.1077572203345
1990,10,59.89830360274472
1990,11,55.96508672528714
1990,12,13.54232237622996
1991,1,33.82180849791295
1991,2,6.803637175847317
1991,3,10.641848402976512
1991,4,217.34175674895312
1991,5,621.2574776786832
1991,6,232.33134232918837
1991,7,328.736193705429
1991,8,79.43438326478041
1991,9,169.59116221496936
1991,10,119.29610464941298
1991,11,44.96623091420322
1991,12,115.86585648507088
1992,1,7.9301092244005025
1992,2,25.76419324408143
1992,3,81.08801071914968
1992,4,189.463950446581
1992,5,822.7230654424212
1992,6,393.43166114076865
1992,7,143.56561086734214
1992,8,169.10705794764937
1992,9,99.44785216124244
1992,10,90.84519151660787
1992,11,32.72214708323035
1992,12,77.39853431858674
1993,1,17.950889803584776
1993,2,1.1121313357594087
1993,3,33.81397028653211
1993,4,142.2366462764113
1993,5,392.44040806205913
1993,6,586.6150982343108
1993,7,226.14399486733134
1993,8,248.23714568080868
1993,9,68.39069561864956
1993,10,109.8534758116482
1993,11,46.05495335894884
1993,12,59.832334367505666
1994,1,2.071169549601064
1994,2,34.331232121103575
1994,3,16.031586476118143
1994,4,264.17790233624714
1994,5,149.4708244585032
1994,6,391.48521891464986
1994,7,450.87279204842235
1994,8,49.287747813766195
1994,9,264.04099346948794
1994,10,95.63151129531704
1994,11,25.280656640816993
1994,12,76.27129291091423
1995,1,2.0560891824685346
1995,2,3.0974106937530355
1995,3,23.84771132015203
1995,4,205.4776680705878
1995,5,73.17289852085354
1995,6,454.9995318389882
1995,7,441.0277135886005
1995,8,279.9647698613319
1995,9,61.950168405840195
1995,10,87.64850257013916
1995,11,15.78082608601781
1995,12,1.9881193636304921
1996,1,6.644378762119796
1996,2,21.559865682357323
1996,3,97.77210609252484
1996,4,86.12979009673492
1996,5,125.98098312960066
1996,6,192.86453169366567
1996,7,88.24690849922536
1996,8,231.5613869489314
1996,9,44.33500899023906
1996,10,54.05455920665349
1996,11,60.312555602250676
1996,12,23.062849089933657
1997,1,14.679129731937483
1997,2,41.13901436031621
1997,3,7.192015718433563
1997,4,347.0488729361375
1997,5,192.727403058979
1997,6,513.2846579303301
1997,7,241.4399710814323
1997,8,170.614483808554
1997,9,230.93081726341975
1997,10,219.5155364781383
1997,11,89.16905937675735
1997,12,33.87455457649211
1998,1,3.225225599305434
1998,2,36.32368033090734
1998,3,22.141730459737907
1998,4,83.8501339777227
1998,5,122.06134739711067
1998,6,105.53950308681219
1998,7,111.98106713472994
1998,8,130.5636232970685
1998,9,111.37398872151577
1998,10,3.274688140920203
1998,11,24.590579962400973
1998,12,26.695701306665438
1999,1,16.445217034217716
1999,2,19.838911218874784
1999,3,24.98646448373108
1999,4,33.23750686422217
1999,5,247.4715793004704
1999,6,432.93210022218534
1999,7,136.56253128928526
1999,8,305.56389726571643
1999,9,312.5930537702322
1999,10,31.2613436017372
1999,11,29.061014818294815
1999,12,22.41354378744679
2000,1,11.744388086553561
2000,2,188.7797494183902
2000,3,19.155132536045578
2000,4,49.66864172686722
2000,5,80.6308308313095
2000,6,790.4980215005066
2000,7,146.8244360958757
2000,8,288.36139804520184
2000,9,342.94500661509676
2000,10,63.85739834622327
2000,11,50.9319491983706
2000,12,49.83258678940771
2001,1,101.514455543012
2001,2,8.32919468614053
2001,3,21.64851047488881
2001,4,73.12970257841066
2001,5,555.1558730493426
2001,6,285.98995290332397
2001,7,718.1444228848261
2001,8,287.5085280326909
2001,9,45.4103093211673
2001,10,43.16439029920161
2001,11,57.79341333549369
2001,12,0.6745118838246302
2002,1,14.267847765537065
2002,2,188.36923933941205
2002,3,182.89807049459307
2002,4,98.51740411999816
2002,5,263.02277845246283
2002,6,273.60763767377415
2002,7,206.0829688471743
2002,8,537.4909605687672
2002,9,145.76742604831298
2002,10,302.8394537015563
2002,11,112.18537244098181
2002,12,32.647575368210944
2003,1,39.494057035344156
2003,2,1.2433491101999636
2003,3,10.628386615091806
2003,4,25.415736066946298
2003,5,138.9727311819189
2003,6,441.36786609121975
2003,7,182.47204805275155
2003,8,138.36793811924403
2003,9,154.88792646151785
2003,10,126.08684087048732
2003,11,90.64471273756989
2003,12,41.47556093346134
2004,1,3.994618957832591
2004,2,11.98662003867282
2004,3,75.39060828227903
2004,4,239.39969035439947
2004,5,46.51950379465696
2004,6,345.38775519306586
2004,7,360.1840715159245
2004,8,108.07242900319835
2004,9,164.5911201113493
2004,10,166.84475184859392
2004,11,119.84583766077517
2004,12,44.45691262864031
2005,1,8.087654481430492
2005,2,0.7214372774927403
2005,3,44.564718397461085
2005,4,20.62557997565849
2005,5,522.1758755964779
2005,6,431.0137199689292
2005,7,361.569283231079
2005,8,425.23884297143456
2005,9,61.64257274720029
2005,10,37.163491585676425
2005,11,78.63834477127516
2005,12,77.74036882901184
2006,1,33.82302143691888
2006,2,23.017851954564023
2006,3,24.997009008037388
2006,4,169.22322001717706
2006,5,193.80832507203849
2006,6,482.51373883483245
2006,7,500.6825638973682
2006,8,301.5813627325781
2006,9,129.5993059384704
2006,10,177.0187309746726
2006,11,24.78291499515279
2006,12,117.34111977190197
2007,1,34.00698363236195
2007,2,84.04168214740632
2007,3,39.09080940630529
2007,4,115.34036894350851
2007,5,45.962491699671254
2007,6,173.82357722290544
2007,7,327.7097986214556
2007,8,165.81350839421643
2007,9,92.87073174436611
2007,10,54.48363234613208
2007,11,13.220328163992589
2007,12,33.92686995365409
2008,1,22.64711867913814
2008,2,18.81346673987203
2008,3,34.59031401102607
2008,4,121.83787946673908
2008,5,592.9124629792974
2008,6,200.6290254979543
2008,7,257.9277467917807
2008,8,361.88031177104125
2008,9,71.08813857565148
2008,10,48.208618707800696
2008,11,25.12612996735377
2008,12,28.86504247450821
2009,1,6.147666060594551
2009,2,24.66928512037495
2009,3,13.075624804635963
2009,4,71.45048740571605
2009,5,388.07905757280594
2009,6,291.07892152644047
2009,7,203.47094586371466
2009,8,285.60031059258915
2009,9,149.95675665634826
2009,10,150.23893117535414
2009,11,122.74688445869872
2009,12,20.08822991081155
2010,1,14.105842263524579
2010,2,62.878287642015
2010,3,12.753911476964625
2010,4,10.600837540238535
2010,5,85.82945534883557
2010,6,344.23455908127653
2010,7,296.78886011189536
2010,8,204.46362210730666
2010,9,26.063039306331444
2010,10,77.37097787372353
2010,11,43.55256037196931
2010,12,52.696886857068186
2011,1,56.418545709280956
2011,2,34.667246795568396
2011,3,67.86846247651131
2011,4,139.69650142007384
2011,5,52.2303128785054
2011,6,328.4591748156656
2011,7,257.2485291958598
2011,8,378.9699799921408
2011,9,132.4719661583127
2011,10,37.022788385425095
2011,11,56.129186835425
2011,12,2.6229834700855634
2012,1,34.64007589331327
2012,2,148.9702696075472
2012,3,15.699391826754342
2012,4,24.7355980186917
2012,5,285.2358469625445
2012,6,330.30911008934703
2012,7,86.14300837298242
2012,8,152.06724338739534
2012,9,35.27664397510184
2012,10,87.52887316551994
2012,11,88.94072689608373
2012,12,214.67926337683946
2013,1,20.87493640352858
2013,2,62.08714921326982
2013,3,18.410890935267307
2013,4,26.65317263078269
2013,5,321.017363717176
2013,6,241.50175320766533
2013,7,223.62026382100927
2013,8,224.69739093982233
2013,9,175.38832778049886
2013,10,85.60628886796356
2013,11,30.148725074758993
2013,12,0.20161435310323697
2014,1,28.64701588193682
2014,2,28.624838292164668
2014,3,79.54555412618409
2014,4,46.10296889767041
2014,5,214.32409766437834
2014,6,380.7934188913002
2014,7,349.84861511266496
2014,8,266.71189011442317
2014,9,256.20845930543766
2014,10,47.3314853392048
2014,11,14.180034251016155
2014,12,37.333176328977544
2015,1,0.49891462907692685
2015,2,1.9432691824923294
2015,3,7.514827574261929
2015,4,38.16187077172917
2015,5,136.89524411393214
2015,6,261.9003945167305
2015,7,395.0847370048961
2015,8,425.4252975283394
2015,9,149.8074413386542
2015,10,167.03849994946987
2015,11,47.1243433456472
2015,12,13.397593453666358
2016,1,22.88216161637606
2016,2,8.591210740762016
2016,3,8.986200174085914
2016,4,208.91565571973112
2016,5,91.60203514285163
2016,6,15.23279874646228
2016,7,296.7822692657409
2016,8,174.3486679081401
2016,9,49.81028156772462
2016,10,158.04392841858655
2016,11,32.15142074424298
2016,12,56.4054039422542
2017,1,19.913714135577212
2017,2,28.460664887942528
2017,3,44.00612311617782
2017,4,83.17877576810452
2017,5,187.23689940486992
2017,6,339.0980625975513
2017,7,192.24289544712738
2017,8,368.30963506722014
2017,9,125.74222416564271
2017,10,186.95411283442138
2017,11,94.21358932321051
2017,12,20.81725140132054
2018,1,28.934678541015952
2018,2,18.91672800975359
2018,3,87.90233198049957
2018,4,148.9495558743322
2018,5,152.60078156162416
2018,6,205.70300116898
2018,7,132.70050722637737
2018,8,150.16840341401115
2018,9,288.6456196806333
2018,10,186.67705584050557
2018,11,108.5671189738779
2018,12,39.434436539613976
2019,1,47.238842054502285
2019,2,14.285784231246023
2019,3,19.61363846148496
2019,4,24.918754013448776
2019,5,264.2159448397071
2019,6,446.4096039860316
2019,7,172.0470521534413
2019,8,127.93660147867261
2019,9,107.91010827660078
2019,10,82.36144565220428
2019,11,28.65419536231625
2019,12,13.968048082161257
2020,1,21.979029278605463
2020,2,9.522074171356417
2020,3,5.949285285436208
2020,4,72.00701353419832
2020,5,77.27330482391763
2020,6,471.8796461236016
2020,7,397.72527141661084
2020,8,147.89298205447875
2020,9,58.26828558708545
2020,10,31.136539690255134
2020,11,9.52783920878219
2020,12,38.93069864190666
2021,1,119.29957008486458
2021,2,11.529018140634621
2021,3,14.336561840091248
2021,4,50.482425657711204
2021,5,228.56860540019565
2021,6,238.10440905098335
2021,7,76.3444247264062
2021,8,274.95181358417756
2021,9,93.64619456273931
2021,10,34.610764892537155
2021,11,15.866828889623992
2021,12,16.025452598932123
2022,1,20.983339977868216
2022,2,21.51643132001575
2022,3,19.07507974428623
2022,4,282.3964767200294
2022,5,106.30702273426316
2022,6,258.94343690043064
2022,7,382.3260908253344
2022,8,187.82969653852794
2022,9,66.26097071946207
2022,10,73.14853236892274
2022,11,51.80257774229685
2022,12,6.738915064537761
2023,1,12.45446773773629
2023,2,0.2934819757569433
2023,3,6.101842764518661
2023,4,122.23490349616118
2023,5,165.69718760185611
2023,6,647.4989297070501
2023,7,291.8074904906112
2023,8,435.68581043566166
2023,9,320.53992679099133
2023,10,83.82959932572889
2023,11,11.912597772645228
