Yr,Mon,RIO LARQUI A
1989,1,0.8653330828774318
1989,2,5.576169305737489
1989,3,25.646346475420156
1989,4,2.056929514710322
1989,5,48.670842927663834
1989,6,283.6395094318405
1989,7,185.78398471411288
1989,8,151.7517892064892
1989,9,29.5854078510392
1989,10,30.404291624416082
1989,11,8.53021519747913
1989,12,60.25782423260006
1990,1,6.193701035691912
1990,2,24.39812481672274
1990,3,97.38237638534719
1990,4,68.07087801213657
1990,5,98.24691438292372
1990,6,83.0458889771132
1990,7,105.24910445934547
1990,8,130.48524033543896
1990,9,143.68008449086412
1990,10,38.788979035542866
1990,11,34.824075808099515
1990,12,2.5513486443946145
1991,1,23.145384853750667
1991,2,0.6173610414541263
1991,3,4.611006344511224
1991,4,105.13394599479942
1991,5,341.7098628897028
1991,6,156.41294149229415
1991,7,200.51577569572365
1991,8,41.64829648794319
1991,9,117.89159147513018
1991,10,71.10113240625057
1991,11,21.142216839429192
1991,12,52.68077685843685
1992,1,1.9043951364206757
1992,2,21.79260091215899
1992,3,71.53588812074518
1992,4,114.28910054367812
1992,5,657.7139407187395
1992,6,251.06009055009764
1992,7,84.99752550233914
1992,8,125.01101515687682
1992,9,69.16172210495466
1992,10,35.863713320084244
1992,11,9.54846422074749
1992,12,50.24950878689805
1993,1,7.484233191171867
1993,2,0.10830388481209458
1993,3,36.935854501776916
1993,4,112.26265453511232
1993,5,245.5418491353907
1993,6,323.3521764640261
1993,7,143.3775643361621
1993,8,112.1356643700671
1993,9,30.566027193502595
1993,10,41.783320694045635
1993,11,18.831421366810673
1993,12,20.04721506509528
1994,1,0.2779299732499084
1994,2,9.321450412073457
1994,3,8.980518298184075
1994,4,186.23509033834867
1994,5,91.2830071681662
1994,6,282.4284941020764
1994,7,225.442399647114
1994,8,23.988476976913248
1994,9,137.79411940001197
1994,10,58.77432524431587
1994,11,9.557045399531734
1994,12,42.558944993970265
1995,1,0.7238182123411318
1995,2,0.15179880246139388
1995,3,15.080577303793133
1995,4,136.59773308454962
1995,5,48.379811113393025
1995,6,243.54964511915333
1995,7,231.10674777831113
1995,8,151.1084507142355
1995,9,27.114294581053958
1995,10,62.8648408637483
1995,11,8.678298186652995
1995,12,0.42593023095944965
1996,1,3.1855336264088963
1996,2,13.80330116196409
1996,3,49.122582972502265
1996,4,49.23876229635508
1996,5,86.52547374608497
1996,6,120.64059586371104
1996,7,85.52077166473588
1996,8,189.4447634997692
1996,9,18.68187367572169
1996,10,29.58423063307711
1996,11,33.055062800567
1996,12,12.46664323466089
1997,1,7.22306831339852
1997,2,21.190942502842468
1997,3,0.9864046121579302
1997,4,164.9850831754422
1997,5,140.6886025670903
1997,6,334.32734520899913
1997,7,159.4246368761129
1997,8,102.55482865638673
1997,9,123.20473740908142
1997,10,146.32312590668622
1997,11,68.22998805577151
1997,12,10.59886895076293
1998,1,0.5123396196457829
1998,2,7.167270174176857
1998,3,10.120609402331652
1998,4,47.42024469159961
1998,5,99.4103277397609
1998,6,83.11848093875648
1998,7,61.09057572787074
1998,8,73.05606433725556
1998,9,73.10170052093875
1998,10,0.5031103092615967
1998,11,14.589114648706706
1998,12,10.786370576444646
1999,1,6.877852567963528
1999,2,14.231985876060218
1999,3,15.45875899267801
1999,4,20.85820593105371
1999,5,187.7529566339084
1999,6,278.8348054683248
1999,7,109.42915160818765
1999,8,171.53303022911615
1999,9,196.3895343974476
1999,10,16.37778436588878
1999,11,11.970721195997474
1999,12,2.277617489318236
2000,1,0.7855258268791779
2000,2,94.8717291915351
2000,3,6.5191347529928665
2000,4,34.55663470939273
2000,5,65.09606742393558
2000,6,555.8302907556864
2000,7,75.75313208778732
2000,8,158.69968580477155
2000,9,218.21587458249928
2000,10,30.68805542606142
2000,11,23.41901169170847
2000,12,16.155418944118583
2001,1,52.8911024906827
2001,2,6.266561327298339
2001,3,37.06080261778935
2001,4,46.650116512877176
2001,5,373.6645988214856
2001,6,175.8255738512625
2001,7,469.1114144250499
2001,8,184.73742643590302
2001,9,31.236848912100402
2001,10,25.102944752357708
2001,11,27.480352812519737
2001,12,0.03198838844784441
2002,1,3.85415707100511
2002,2,139.2298870574209
2002,3,99.97704065767068
2002,4,55.30756850919461
2002,5,193.93550193832633
2002,6,145.67403982712563
2002,7,151.19903851624247
2002,8,360.7690975896058
2002,9,108.08053138327622
2002,10,149.636719270988
2002,11,65.99831378370693
2002,12,11.098872570360694
2003,1,25.3438606251094
2003,2,0.2694201791847839
2003,3,8.225494771773766
2003,4,16.39433783874051
2003,5,101.91533241250274
2003,6,259.30058441074664
2003,7,97.43391412479708
2003,8,78.79912195430609
2003,9,107.66226738075687
2003,10,54.01806371491721
2003,11,82.38982169703318
2003,12,9.292479715296782
2004,1,1.6554995928123584
2004,2,3.2096024032587875
2004,3,45.747744851196735
2004,4,131.45374347451033
2004,5,29.84144142971201
2004,6,228.09281656160516
2004,7,263.7363725589492
2004,8,94.739008910054
2004,9,81.29534469133011
2004,10,90.66106816023358
2004,11,44.98486505438979
2004,12,18.186838244018052
2005,1,2.308147439602606
2005,2,0.09858451339146773
2005,3,21.421216946386462
2005,4,18.39053382202307
2005,5,318.42127235505717
2005,6,322.3561239657175
2005,7,226.4790068710203
2005,8,211.72406383143166
2005,9,42.21330932794079
2005,10,23.96989801738858
2005,11,30.734458207934072
2005,12,44.398022201274514
2006,1,16.010850234354375
2006,2,3.959971527502692
2006,3,12.746803692526111
2006,4,138.33174169591814
2006,5,126.4102569504393
2006,6,322.69795979478886
2006,7,281.23315179070687
2006,8,201.10448679959856
2006,9,57.50597245145351
2006,10,72.38001149217499
2006,11,5.061323700921492
2006,12,61.283346289745474
2007,1,10.925074573585045
2007,2,34.8913146417955
2007,3,39.68724913453028
2007,4,105.75893077234976
2007,5,62.5261595885082
2007,6,108.203507027968
2007,7,175.55639175485945
2007,8,105.9450639810601
2007,9,46.64803701118407
2007,10,35.32154426999443
2007,11,6.529820033742536
2007,12,18.778836803876075
2008,1,1.0908501839740066
2008,2,1.6777441316365913
2008,3,12.393436185929533
2008,4,94.19854769567125
2008,5,383.38373647095233
2008,6,136.76902671991564
2008,7,192.0910370589737
2008,8,204.43049446538825
2008,9,47.33670060647165
2008,10,32.041423639941875
2008,11,11.070544558761144
2008,12,10.984117517167372
2009,1,2.767629671734563
2009,2,3.64245009395282
2009,3,9.86506899839922
2009,4,18.124742156914927
2009,5,208.3992470400598
2009,6,285.0444717466233
2009,7,123.40863108549068
2009,8,180.94649471772752
2009,9,71.50264107436351
2009,10,79.13945372046685
2009,11,51.0584003895709
2009,12,3.5389702104501044
2010,1,9.319597840487775
2010,2,83.01094852298733
2010,3,5.077380622504543
2010,4,3.675773114662619
2010,5,61.856101553520645
2010,6,214.99156966922277
2010,7,199.06943269694415
2010,8,131.89284558600855
2010,9,24.42975753996875
2010,10,44.50344035090428
2010,11,23.79852221622788
2010,12,20.775234927473424
2011,1,33.32209817076029
2011,2,10.809488733361027
2011,3,33.80100957818362
2011,4,84.17747792966011
2011,5,32.141080550908015
2011,6,190.54962604568905
2011,7,156.12457622421698
2011,8,215.92440677746563
2011,9,70.92234365079676
2011,10,19.675857737428945
