Yr,Mon,EST. PALPAL C
1982,8,40.20990606319386
1982,9,58.910674637062336
1982,10,87.86122971818959
1982,11,113.62672929120409
1982,12,160.1814688300598
1983,1,152.8417591801879
1983,2,127.64440649017936
1983,3,99.43817250213493
1983,4,60.841844577284384
1983,5,30.643979504696844
1983,6,14.812382578992317
1983,7,22.803501280956453
1983,8,40.23176771989753
1983,9,58.52006831767721
1983,10,98.63347566182749
1983,11,131.75200683176772
1983,12,160.9753202391119
1984,1,164.86379163108455
1984,2,122.25482493595217
1984,3,97.85781383432965
1984,4,59.50512382578993
1984,5,33.066609735269004
1984,6,13.238257899231426
1984,7,25.122630230572167
1984,8,34.7673783091375
1984,9,59.037147736976955
1984,10,81.66515798462852
1984,11,109.6075149444919
1984,12,144.5762596071734
1985,1,155.00742954739542
1985,2,125.44116140051236
1985,3,101.90725875320241
1985,4,57.84602903501282
1985,5,33.75960717335611
1985,6,26.709308283518364
1985,7,25.525619128949614
1985,8,36.325789923142615
1985,9,63.192058070025624
1985,10,87.39573014517508
1985,11,123.46071733561062
1985,12,157.32843723313408
1986,1,162.37788215200686
1986,2,121.78138343296328
1986,3,100.06575576430404
1986,4,56.2807856532878
1986,5,37.057899231426134
1986,6,22.350042698548254
1986,7,24.798804440649022
1986,8,38.299487617421015
1986,9,59.9675491033305
1986,10,93.95217762596073
1986,11,114.1598633646456
1986,12,152.70409906063193
1987,1,169.40162254483346
1987,2,130.0416737830914
1987,3,105.6062339880444
1987,4,60.30401366353544
1987,5,32.190691716481645
1987,6,19.996498719043558
1987,7,30.033902647309993
1987,8,35.910503842869346
1987,9,58.71648163962425
1987,10,89.67309991460291
1987,11,123.02382578992318
1987,12,149.11571306575578
1988,1,159.88155422715624
1988,2,127.85226302305723
1988,3,94.79257045260462
1988,4,61.584457728437236
1988,5,30.306404782237408
1988,6,23.735866780529463
1988,7,23.29555935098207
1988,8,35.7800170794193
1988,9,57.17352690008539
1988,10,94.1680614859095
1988,11,129.05653287788218
1988,12,152.33552519214348
1989,1,163.6871904355252
1989,2,128.97625960717338
1989,3,100.81964133219472
1989,4,62.30409906063194
1989,5,30.402476515798465
1989,6,22.388215200683177
1989,7,28.727924850555084
1989,8,36.77421007685738
1989,9,63.30350128095646
1989,10,98.93842869342444
1989,11,125.59564474807856
1989,12,146.7526046114432
1990,1,166.4871050384287
1990,2,115.91998292058071
1990,3,100.23979504696842
1990,4,58.706404782237406
1990,5,32.00913748932536
1990,6,20.408027327070883
1990,7,23.952433817250213
1990,8,41.1604611443211
1990,9,59.3941929974381
1990,10,93.39675491033307
1990,11,121.6861656703672
1990,12,148.5135781383433
1991,1,160.6945345858241
1991,2,127.93586678052951
1991,3,101.14961571306577
1991,4,58.11895815542272
1991,5,35.78471391972674
1991,6,20.6601195559351
1991,7,25.234415029888986
1991,8,38.07070879590094
1991,9,59.45832621690863
1991,10,92.88804440649018
1991,11,116.51810418445774
1991,12,128.13099914602904
1992,1,162.82544833475663
1992,2,122.62254483347567
1992,3,103.54859094790777
1992,4,56.236891545687456
1992,5,35.275149444918874
1992,6,20.199402220324515
1992,7,21.147993168232283
1992,8,36.38078565328779
1992,9,62.02596071733563
1992,10,93.47941929974382
1992,11,118.78548249359524
1992,12,140.02519214346714
1993,1,159.0937660119556
1993,2,133.1082835183604
1993,3,102.92672929120411
1993,4,62.537830913748955
1993,5,35.97668659265585
1993,6,25.685653287788217
1993,7,24.326558497011103
1993,8,41.69555935098207
1993,9,62.187532023911196
1993,10,92.04047822374041
1993,11,121.07446626814688
1993,12,153.18565328778826
1994,1,165.17916310845433
1994,2,118.53817250213496
1994,3,103.17557643040136
1994,4,59.95234842015372
1994,5,32.741417591801884
1994,6,24.449530315969255
1994,7,26.222630230572165
1994,8,36.65935098206662
1994,9,60.41929974380872
1994,10,86.27361229718191
1994,11,115.86276686592656
1994,12,146.45115286080272
1995,1,157.3781383432963
1995,2,121.62288642186164
1995,3,101.11665243381725
1995,4,64.87839453458582
1995,5,32.97506404782237
1995,6,23.98505550811273
1995,7,23.169513236549957
1995,8,35.42391118701964
1995,9,61.60674637062339
1995,10,91.44491887275832
1995,11,125.39598633646452
1995,12,159.18428693424428
1996,1,164.5868488471392
1996,2,124.88497011101627
1996,3,103.29257045260461
1996,4,58.04730999146031
1996,5,32.354227156276686
1996,6,17.24329632792485
1996,7,25.782408198121267
1996,8,41.00461144321093
1996,9,66.30580700256193
1996,10,93.6785653287788
1996,11,128.28087105038432
1996,12,144.8138343296328
1997,1,157.96575576430405
1997,2,126.68864218616568
1997,3,101.6074295473954
1997,4,67.33321947053801
1997,5,35.627412467976086
1997,6,23.97591801878736
1997,7,26.516652433817253
1997,8,38.35072587532025
1997,9,60.92527754056362
1997,10,85.3336464560205
1997,11,110.9992314261315
1997,12,145.0422715627669
1998,1,163.89760888129805
1998,2,116.75166524338175
1998,3,100.22587532023913
1998,4,57.93723313407345
1998,5,34.6273270708796
1998,6,20.825875320239113
1998,7,24.59777967549104
1998,8,37.545687446626815
1998,9,59.9543125533732
1998,10,105.89888983774551
1998,11,127.29564474807856
1998,12,157.9083689154569
1999,1,165.93082835183606
1999,2,126.93842869342441
1999,3,96.68565328778821
1999,4,60.47164816396243
1999,5,34.22331340734416
1999,6,22.597950469684037
1999,7,23.466695132365505
1999,8,40.65798462852263
1999,9,59.649957301451764
1999,10,92.39632792485057
1999,11,122.96370623398809
1999,12,151.07156276686592
2000,1,164.2026473099915
2000,2,115.07514944491886
2000,3,100.53800170794194
2000,4,59.02374039282665
2000,5,30.005892399658418
2000,6,27.856020495303166
2000,7,23.384457728437233
2000,8,38.543723313407355
2000,9,58.29803586678053
2000,10,93.43569598633644
2000,11,119.61767719897523
2000,12,155.77694278394537
2001,1,157.69248505550812
2001,2,129.08531169940224
2001,3,100.58138343296328
2001,4,59.689837745516655
2001,5,32.65798462852263
2001,6,21.67574722459437
2001,7,32.040734415029895
2001,8,39.686763450042704
2001,9,58.37600341588387
2001,10,94.79547395388556
2001,11,118.61076003415883
2001,12,166.02271562766867
2002,1,160.84526046114433
2002,2,121.88394534585825
2002,3,93.45004269854824
2002,4,58.066951323655
2002,5,31.428522630230574
2002,6,18.19914602903501
2002,7,25.3933390264731
2002,8,36.903928266438946
2002,9,59.519726729291214
2002,10,88.0280102476516
2002,11,115.40674637062341
2002,12,144.2602049530316
2003,1,164.56883005977795
2003,2,129.3675491033305
2003,3,105.98095644748082
2003,4,59.43364645602051
2003,5,31.488129803586673
2003,6,28.033646456020495
2003,7,25.24824935952178
2003,8,39.38223740392827
2003,9,63.25738684884715
2003,10,100.19052092228864
2003,11,122.99769427839452
2003,12,148.08855678906917
2004,1,166.66618274978654
2004,2,123.65849701110164
2004,3,103.3538855678907
2004,4,58.277625960717344
2004,5,30.272075149444927
2004,6,23.319726729291204
2004,7,28.81144321093083
2004,8,38.45140905209223
2004,9,63.68684884713921
2004,10,84.33099914602904
2004,11,108.40341588385998
2004,12,150.21135781383435
2005,1,165.4909479077712
2005,2,124.64688300597783
2005,3,101.13953885567891
2005,4,62.50529461998295
2005,5,33.57045260461144
2005,6,21.97079419299744
2005,7,27.770111016225453
2005,8,36.508027327070884
2005,9,60.55738684884713
2005,10,90.89111870196415
2005,11,118.2795900939368
2005,12,147.9341588385995
2006,1,164.4408198121264
2006,2,123.13663535439797
2006,3,103.6941929974381
2006,4,62.29069171648165
2006,5,32.43313407344151
2006,6,23.417250213492743
2006,7,28.178650725875322
2006,8,41.76174210076858
2006,9,63.257045260461155
2006,10,88.12254483347567
2006,11,124.50614859094793
2006,12,146.30444064901795
2007,1,163.08795900939373
2007,2,118.2343296327925
2007,3,100.15687446626812
2007,4,61.706746370623414
2007,5,30.10290350128096
2007,6,19.450640478223743
2007,7,23.687959009393683
2007,8,28.819982920580703
2007,9,61.995303159692575
2007,10,91.35909479077714
2007,11,125.24799316823228
2007,12,149.34970111016227
2008,1,164.49701110162258
2008,2,119.6410760034159
2008,3,102.77591801878737
2008,4,63.14619982920581
2008,5,33.46976942783946
2008,6,20.83783091374893
2008,7,28.760546541417604
2008,8,38.50836891545688
2008,9,66.23928266438942
2008,10,98.3937660119556
2008,11,130.1869342442357
2008,12,153.78104184457732
2009,1,173.59419299743809
2009,2,130.5884713919727
2009,3,113.12604611443213
2009,4,68.46063193851408
2009,5,33.65678906917165
2009,6,23.084286934244243
2009,7,25.693082835183606
2009,8,37.85883859948762
2009,9,61.6270708795901
2009,10,90.98385994876175
2009,11,108.06532877882154
2009,12,141.4846285226302
2010,1,168.67292912040992
2010,2,120.54192997438088
2010,3,108.49658411614006
2010,4,63.1474807856533
2010,5,31.942271562766862
2010,6,23.8264730999146
2010,7,26.070111016225447
2010,8,37.09769427839454
2010,9,63.33296327924851
2010,10,92.95525192143467
2010,11,119.6216908625107
2010,12,144.59590093936808
2011,1,157.8269854824936
2011,2,120.70649017933391
2011,3,99.67036720751494
2011,4,66.53236549957303
2011,5,32.5666951323655
2011,6,23.486507258753203
2011,7,25.864474807856535
2011,8,35.67822374039283
2011,9,66.24995730145177
2011,10,95.099658411614
2011,11,121.34602903501285
2011,12,160.8153714773698
2012,1,164.6227156276687
2012,2,118.93023057216055
2012,3,107.84884713919726
2012,4,59.4269000853971
2012,5,34.040734415029895
2012,6,24.037745516652443
2012,7,25.445602049530322
2012,8,37.22143467122118
2012,9,62.994876174210084
2012,10,88.39769427839455
2012,11,124.48035866780532
2012,12,137.4360375747225
2013,1,160.98693424423573
2013,2,119.19376601195562
2013,3,97.37028181041845
2013,4,62.70358667805297
2013,5,34.39581554227157
2013,6,23.912297181895813
2013,7,26.64782237403929
2013,8,39.10888129803587
2013,9,56.39026473099915
2013,10,100.95362937660121
2013,11,126.00802732707089
2013,12,167.23407344150303
2014,1,171.202391118702
2014,2,117.20418445772846
2014,3,102.59760888129804
2014,4,58.37147736976945
2014,5,30.79316823228011
2014,6,23.279333902647306
2014,7,27.317421007685745
2014,8,42.32228864218617
2014,9,57.581212638770275
2014,10,100.21554227156278
2014,11,121.85243381725023
2014,12,153.4000853970965
2015,1,177.24654141759186
2015,2,128.6962425277541
2015,3,108.7393680614859
2015,4,61.883091374893255
2015,5,33.00922288642186
2015,6,24.11776259607173
2015,7,23.352519214346714
2015,8,36.50785653287788
2015,9,55.4867634500427
2015,10,82.98403074295474
2015,11,115.74321093082831
2015,12,155.23151152860805
2016,1,153.17608881298037
2016,2,131.6218616567037
2016,3,112.11238257899231
2016,4,52.0809564474808
2016,5,28.98087105038428
2016,6,18.106575576430398
2016,7,23.142100768573865
2016,8,44.765584970111014
2016,9,70.50025619128951
2016,10,86.14449188727583
2016,11,128.42237403928266
2016,12,154.74474807856538
2017,1,179.58257899231427
2017,2,128.92245943637917
2017,3,107.02288642186168
2017,4,58.95115286080272
2017,5,31.534415029888983
2017,6,24.595388556789075
2017,7,24.400426985482493
2017,8,36.57719897523485
2017,9,61.40111016225449
2017,10,87.18590947907774
2017,11,120.4530315969257
2017,12,151.41793339026475
2018,1,154.76097352690013
2018,2,126.49214346712209
2018,3,106.80230572160549
2018,4,60.691204099060634
2018,5,30.990435525192147
2018,6,19.988642186165677
2018,7,19.01391972672929
2018,8,35.702134927412466
2018,9,61.664133219470536
2018,10,78.18445772843724
2018,11,110.17028181041844
2018,12,145.0604611443211
2019,1,155.3152860802733
2019,2,130.83859948761742
2019,3,115.33945345858243
2019,4,65.00170794192998
2019,5,36.91784799316823
2019,6,24.34961571306576
2019,7,25.30495303159693
2019,8,39.24508966695133
2019,9,62.715029888983786
2019,10,88.4476515798463
2019,11,127.60529461998294
2019,12,163.10059777967552
2020,1,173.002732707088
2020,2,134.34338172502137
2020,3,115.93134073441504
2020,4,73.57523484201538
2020,5,39.179760888129806
2020,6,22.3730145175064
2020,7,23.709820666097357
2020,8,36.92442356959864
2020,9,61.89103330486763
2020,10,99.89521776259608
2020,11,126.69060631938515
2020,12,153.36643894107598
2021,1,163.06771989752352
2021,2,117.11793339026474
2021,3,101.36071733561062
2021,4,62.066951323655
2021,5,34.266609735269
2021,6,23.67805294619984
2021,7,28.78223740392827
2021,8,39.07506404782237
2021,9,61.00802732707089
2021,10,95.53245089666954
2021,11,123.97984628522632
2021,12,157.62775405636208
2022,1,157.75243381725022
2022,2,132.6276686592656
2022,3,113.56609735269001
2022,4,61.93509820666099
2022,5,33.90546541417592
2022,6,20.035183603757478
2022,7,19.316054654141762
2022,8,36.56097352690009
2022,9,60.85584970111015
2022,10,90.78403074295477
2022,11,128.52211784799314
