,0,1,2,3,4,5,6,7,8
2004-01-17,0.19958960731127104,0.19958960731127104,0.19958960731127104,0,0,0.001906746975889276,0.034005363413129534,0.12755767428162482,0.12755767428162482
2004-01-18,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2004-01-19,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2004-01-20,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2004-01-21,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2004-01-22,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2004-01-23,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2004-01-24,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2004-01-25,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2004-01-26,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2004-01-27,0,0,0,0,0,0,0,0,0
2004-01-28,0,0,0,0,0,0,0,0,0
2004-01-29,0,0,0,0,0,0,0,0,0
2004-01-30,0,0,0,0,0,0,0,0,0
2004-01-31,0,0,0,0,0,0,0,0,0
2004-02-01,0,0,0,0,0,0,0,0,0
2004-02-02,0,0,0,0,0,0,0,0,0
2004-02-03,0,0,0,0,0,0,0,0,0
2004-02-04,0,0,0,0,0,0,0,0,0
2004-02-05,0,0,0,0,0,0,0,0,0
2004-02-06,0,0,0,0,0,0,0,0,0
2004-02-07,0,0,0,0,0,0,0,0,0
2004-02-08,0,0,0,0,0,0,0,0,0
2004-02-09,0,0,0,0,0,0,0,0,0
2004-02-10,0,0,0,0,0,0,0,0,0
2004-02-11,0,0,0,0,0,0,0,0,0
2004-02-12,0,0,0,0,0,0,0,0,0
2004-02-13,0,0,0,0,0,0,0,0,0
2004-02-14,0,0,0,0,0,0,0,0,0
2004-02-15,0,0,0,0,0,0,0,0,0
2004-02-16,0,0,0,0,0,0,0,0,0
2004-02-17,0,0,0,0,0,0,0,0,0
2004-02-18,0,0,0,0,,,,,
2004-02-19,0,0,0,0,,,,,
2004-02-20,0,0,0,0,0,0,0,0,0
2004-02-21,0,0,0,0,0,0,0,0,0
2004-02-22,0,0,0,0,0,0,0,0,0
2004-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0012272252693161002,0.0,0.0
2004-02-24,0.6547230611070554,0.6547230611070554,0.6547230611070554,0.0,0.0,0.0,0.05574433823271397,0.4402631726358535,0.4402631726358535
2004-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0026361787738681574,0.0,0.0
2004-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0009158890861225692,0.0,0.0
2004-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.41134631633758545,0.3836205455025213,0.1435266854125895,0.13795783468401185,0.0011466066981935803,0.0011466066981935803
2004-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-03-22,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-03-23,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-03-24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-03-25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-03-26,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-03-27,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-03-28,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-03-29,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-03-30,0.0,0.0,0.0,0,0.042019464777887254,0.12141574105756935,0.05321947650315837,0.011695327464221956,0.011695327464221956
2004-03-31,0.13608572444720574,0.13608572444720574,0.13608572444720574,0,0.0,0.08125321997250971,0.13693342252073976,0.15253912520451174,0.15253912520451174
2004-04-01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-04-02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-04-03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-04-04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-04-05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-04-06,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-04-07,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-04-08,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-04-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-04-10,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-04-11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-04-12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-04-13,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-04-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-04-15,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-04-16,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2004-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-21,0.0,0.0,0.0,0.4446801245212555,0.24622265661825107,0.058905192534156596,0.01619222847969852,0.0,0.0
2004-04-22,0.5183163389824984,0.5183163389824984,0.5183163389824984,0.5561378598213196,0.5986719885543937,0.597205251048356,0.5431100894975666,0.5233911628227592,0.5233911628227592
2004-04-23,0.5210591425672608,0.5210591425672608,0.5210591425672608,0.0,0.29109002611417484,0.2660483076262232,0.15644873939384432,0.23732022921173423,0.23732022921173423
2004-04-24,0.0,0.0,0.0,0.0,0.1742561715872839,0.3733931887822,0.21698574479199612,0.04197093302069979,0.04197093302069979
2004-04-25,0.7282570461083574,0.7282570461083574,0.7282570461083574,0.4354391396045685,0.7607452837443114,0.7456809860056784,0.6250385916705268,0.5435046787032266,0.5435046787032266
2004-04-26,0.6082140120149355,0.6082140120149355,0.6082140120149355,0.0,0.5649432967343803,0.6831079170302058,0.5652609276875853,0.5148681909244686,0.5148681909244686
2004-04-27,0.5724314663842407,0.5724314663842407,0.5724314663842407,0.0,0.3621766758594299,0.58925336445716,0.4443364297652153,0.22409947450197135,0.22409947450197135
2004-04-28,0.22635753391778954,0.22635753391778954,0.22635753391778954,0.0,0.17475826316569734,0.231448675649505,0.04952116029061538,0.04089195155650777,0.04089195155650777
2004-04-29,0.48459883914356344,0.48459883914356344,0.48459883914356344,0.0,0.14712724121381515,0.3709338161393696,0.2513198095297042,0.24449654898401033,0.24449654898401033
2004-04-30,0.4249033136674535,0.4249033136674535,0.4249033136674535,0.0,0.11039086335881244,0.238042870664125,0.13768410815369764,0.16397631902124715,0.16397631902124715
2004-05-01,0.38733982935286404,0.38733982935286404,0.38733982935286404,0.0,0.13394318714560977,0.35552668485914124,0.17203546344314133,0.1880200953275152,0.1880200953275152
2004-05-02,0.3882332628930521,0.3882332628930521,0.3882332628930521,0.0,0.08871229634940102,0.29485371317143894,0.1449055739980937,0.10794143834143856,0.10794143834143856
2004-05-03,0.18372364350926804,0.18372364350926804,0.18372364350926804,0.0,0.02534038289910374,0.213480592046059,0.07983362930590236,0.21496833249142303,0.21496833249142303
2004-05-04,0.24480355343623467,0.24480355343623467,0.24480355343623467,0.0,0.048201527556812375,0.24264420695514463,0.11053121161861293,0.05617053055741977,0.05617053055741977
2004-05-05,0.0,0.0,0.0,0.0,0.020272981283269438,0.12971090283345788,0.030752924071203527,0.008138385561297349,0.008138385561297349
2004-05-06,0.41974973556591055,0.41974973556591055,0.41974973556591055,0.0,0.02468915145133906,0.18494015322930904,0.07613460007728282,0.08626989267640198,0.08626989267640198
2004-05-07,0.0,0.0,0.0,0.0,0.005426503556972748,0.10269889853505557,0.02238402597165931,0.0,0.0
2004-05-08,0.1692343033545198,0.1692343033545198,0.1692343033545198,0.0,0.0009147450104068061,0.125136309453797,0.04606536926829948,0.030981181605812917,0.030981181605812917
2004-05-09,0.0,0.0,0.0,0.0,0.0,0.012132852340479507,0.0012752249682694377,0.0,0.0
2004-05-10,0.08473739847105148,0.08473739847105148,0.08473739847105148,0.0,0.0,0.07620777476709847,0.01533171555597304,0.015026525957684346,0.015026525957684346
