Yr,Mon,EST. CHACAY B
1989,1,22.841322132924265
1989,2,12.808985117246046
1989,3,25.636300815371065
1989,4,6.052503914659909
1989,5,68.4015379645861
1989,6,474.302829387673
1989,7,282.162474183219
1989,8,314.85838293594185
1989,9,50.47195526959922
1989,10,62.58014359514596
1989,11,25.39207535142668
1989,12,83.6268601310928
1990,1,16.565821417481065
1990,2,35.93579595868228
1990,3,147.36116919601648
1990,4,152.97710668308477
1990,5,183.31987901638797
1990,6,142.0276227357342
1990,7,151.26539290549474
1990,8,200.21488193567578
1990,9,271.99806369676156
1990,10,61.44566934977363
1990,11,62.44439668385518
1990,12,18.064322627008877
1991,1,34.53040888503541
1991,2,8.071365625085258
1991,3,11.514116703088474
1991,4,229.66827282275955
1991,5,684.0062456187422
1991,6,249.20932945761356
1991,7,342.25607110581956
1991,8,85.17749154288626
1991,9,182.42616092838227
1991,10,124.94604756623198
1991,11,52.45520378385736
1991,12,130.5380823691228
1992,1,8.949487389879868
1992,2,27.11975931232202
1992,3,84.41602655524471
1992,4,203.648873798748
1992,5,825.6203147370021
1992,6,428.1613942715855
1992,7,152.42980963127042
1992,8,177.00344551986282
1992,9,105.48512329583798
1992,10,98.18153882701947
1992,11,37.96729370434977
1992,12,83.27543411738385
1993,1,21.188170588362997
1993,2,1.5895610451758813
1993,3,32.602966324124516
1993,4,147.83849204283578
1993,5,413.34825848755173
1993,6,630.855608476849
1993,7,233.9377088660549
1993,8,274.8844362367526
1993,9,78.70258312635691
1993,10,122.80472667675114
1993,11,50.13088221954798
1993,12,64.07268718532995
1994,1,2.9929156984369762
1994,2,40.329038442428846
1994,3,17.561249405520865
1994,4,275.4961572534614
1994,5,160.408124796666
1994,6,404.1398331872245
1994,7,475.39582379793944
1994,8,54.57946101969227
1994,9,282.81810977725263
1994,10,105.23068981220133
1994,11,28.903746667351854
1994,12,79.45522608159791
1995,1,2.491327961221064
1995,2,4.3609356190550335
1995,3,23.30715856851775
1995,4,220.43261585737505
1995,5,74.44357772289338
1995,6,489.75887074781406
1995,7,478.84064605064924
1995,8,299.3583955295044
1995,9,69.6367051528701
1995,10,88.8991664210681
1995,11,16.65248466144933
1995,12,2.8742970501425926
1996,1,8.353172162514108
1996,2,22.91804274723795
1996,3,102.8958639597543
1996,4,91.43622756705211
1996,5,131.21649876537992
1996,6,207.95409194534457
1996,7,93.43625600288972
1996,8,239.93884358491087
1996,9,50.658401274245975
1996,10,60.62662027261341
1996,11,66.23005925714305
1996,12,26.883907980928853
1997,1,18.603451236257307
1997,2,43.27156761236774
1997,3,10.182555004029288
1997,4,374.3317398064418
1997,5,204.9774622110679
1997,6,558.7506022510687
1997,7,260.81732322052454
1997,8,190.43898710292683
1997,9,255.19993993010198
1997,10,239.41908189232535
1997,11,94.4212301477624
1997,12,41.06245588542782
1998,1,4.083093037042084
1998,2,41.53201685407921
1998,3,24.530316831648747
1998,4,91.41545963451766
1998,5,132.36159579427567
1998,6,111.52708024732385
1998,7,123.18387539438847
1998,8,137.51369107910241
1998,9,119.1011492749222
1998,10,4.414462373344911
1998,11,25.595892400369532
1998,12,33.3788344577044
1999,1,20.028403664171357
1999,2,20.33237518314589
1999,3,28.69015815634194
1999,4,34.761796363056405
1999,5,259.72085386929035
1999,6,453.5615420983474
1999,7,145.5131276638751
1999,8,329.4619610885707
1999,9,335.36348190630383
1999,10,35.763740789735905
1999,11,33.23107167860372
1999,12,28.90113104642525
2000,1,15.100312776439463
2000,2,200.29782067363615
2000,3,21.725688526411854
2000,4,54.38041790357898
2000,5,86.5533355451468
2000,6,844.9235299584196
2000,7,160.54333307824962
2000,8,303.480546332337
2000,9,363.329761689461
2000,10,68.19812312565139
2000,11,54.84225189042812
2000,12,54.9510560843876
2001,1,107.04531137836776
2001,2,8.444156507052353
2001,3,18.674031537324275
2001,4,76.36485041049113
2001,5,592.8682465829971
2001,6,305.3751928502049
2001,7,763.0873060157115
2001,8,306.22235021942686
2001,9,50.161458409892504
2001,10,48.325683440769836
2001,11,63.06590085498634
2001,12,1.0291296936993302
2002,1,18.10315537127129
2002,2,193.2006275244893
2002,3,198.7781342559777
2002,4,103.05096539552135
2002,5,281.9521386305854
2002,6,306.2255654418291
2002,7,220.96501413966064
2002,8,568.903750568463
2002,9,154.6396700064822
2002,10,329.97556835454253
2002,11,117.88700230770804
2002,12,36.424215847107924
2003,1,41.93428771207284
2003,2,1.3069373495575036
2003,3,11.109296016063448
2003,4,25.282152407767246
2003,5,145.20753649650558
2003,6,481.53315144405127
2003,7,196.86940882467826
2003,8,140.2769330639879
2003,9,160.103708257858
2003,10,129.9090989618928
2003,11,93.40458824324817
2003,12,47.854485304661964
2004,1,4.940068148073078
2004,2,14.903630690600265
2004,3,80.5196906387223
2004,4,249.74219092148044
2004,5,50.37246908671043
2004,6,360.1022967101589
2004,7,378.44425561422213
2004,8,111.5992714649621
2004,9,178.3285188266941
2004,10,178.1813202364106
2004,11,136.74248107126738
2004,12,51.223293695736125
2005,1,10.12763348253195
2005,2,1.0249564185146123
2005,3,43.830822449710126
2005,4,21.90493969739557
2005,5,568.2032087018181
2005,6,447.77705870129984
2005,7,387.09020916283265
2005,8,462.195566351304
2005,9,67.02459463830877
2005,10,41.65585084375763
2005,11,89.82540808946901
2005,12,83.91239690558946
2006,1,38.077511372215746
2006,2,27.74585382891998
2006,3,25.69676378012155
2006,4,169.7259900189581
2006,5,206.67448632312605
2006,6,513.6582995743435
2006,7,525.3402247524837
2006,8,324.81828018345686
2006,9,134.84914189286232
2006,10,193.9480172353513
