Yr,Mon,EST. PALPAL B
1971,1,161.47033279220776
1971,2,128.284862012987
1971,3,103.62613636363636
1971,4,61.0351461038961
1971,5,32.080357142857146
1971,6,19.205722402597402
1971,7,26.582832792207803
1971,8,36.93729707792208
1971,9,61.534821428571426
1971,10,102.0137987012987
1971,11,129.56314935064935
1971,12,154.92662337662335
1972,1,176.9000405844156
1972,2,130.2773538961039
1972,3,100.75702110389608
1972,4,64.97053571428572
1972,5,32.90093344155844
1972,6,23.252597402597402
1972,7,24.759618506493506
1972,8,39.40576298701299
1972,9,54.9413555194805
1972,10,83.05454545454546
1972,11,117.58538961038963
1972,12,157.10284090909087
1973,1,173.07731331168827
1973,2,131.77382305194803
1973,3,104.80426136363636
1973,4,57.413961038961034
1973,5,33.20625
1973,6,20.308685064935066
1973,7,21.745251623376625
1973,8,35.52824675324675
1973,9,61.94878246753247
1973,10,86.03465909090909
1973,11,119.86335227272728
1973,12,164.346875
1974,1,170.13778409090904
1974,2,125.31651785714283
1974,3,105.54232954545455
1974,4,58.02366071428571
1974,5,38.78555194805194
1974,6,21.5395698051948
1974,7,22.158116883116882
1974,8,35.42958603896104
1974,9,63.490137987012986
1974,10,91.549512987013
1974,11,124.50097402597402
1974,12,154.53733766233765
1975,1,170.12345779220777
1975,2,126.20324675324672
1975,3,96.8573051948052
1975,4,65.78583603896102
1975,5,29.805884740259735
1975,6,21.18060064935065
1975,7,24.118060064935058
1975,8,34.699878246753244
1975,9,59.678936688311694
1975,10,93.99926948051946
1975,11,119.09326298701302
1975,12,151.80831980519483
1976,1,165.30556006493507
1976,2,120.8846185064935
1976,3,99.90758928571428
1976,4,55.890462662337654
1976,5,30.96339285714285
1976,6,18.137094155844157
1976,7,23.688149350649343
1976,8,35.168831168831154
1976,9,58.868425324675314
1976,10,97.58636363636364
1976,11,121.17820616883117
1976,12,156.64728084415583
1977,1,169.81826298701296
1977,2,128.39021915584416
1977,3,106.4869724025974
1977,4,63.59013798701298
1977,5,32.24841720779221
1977,6,22.338108766233766
1977,7,24.190178571428564
1977,8,36.83729707792207
1977,9,63.6528814935065
1977,10,91.6973214285714
1977,11,117.00665584415583
1977,12,150.3241883116883
1978,1,161.00974025974023
1978,2,132.8476461038961
1978,3,101.99549512987012
1978,4,57.5661525974026
1978,5,29.04598214285714
1978,6,21.39736201298701
1978,7,32.56647727272727
1978,8,35.18693181818181
1978,9,59.58969155844156
1978,10,90.20462662337661
1978,11,117.23823051948052
1978,12,158.13108766233765
1979,1,166.7500405844156
1979,2,126.16789772727273
1979,3,102.69565746753244
1979,4,59.21741071428571
1979,5,30.125487012987016
1979,6,16.73096590909091
1979,7,22.999107142857145
1979,8,38.13116883116883
1979,9,53.944886363636364
1979,10,89.96055194805196
1979,11,109.64671266233763
1979,12,146.1289366883116
1980,1,178.31051136363635
1980,2,112.2978084415584
1980,3,105.56456980519482
1980,4,52.63271103896102
1980,5,34.60190746753247
1980,6,21.1512987012987
1980,7,24.848376623376623
1980,8,41.20596590909091
1980,9,64.6148538961039
1980,10,97.82057629870127
1980,11,116.89857954545454
1980,12,150.466112012987
1981,1,151.52982954545453
1981,2,130.72552759740256
1981,3,101.29200487012984
1981,4,55.487297077922065
1981,5,37.28311688311688
1981,6,20.133076298701297
1981,7,27.92861201298701
1981,8,38.235633116883115
1981,9,62.68202110389608
1981,10,96.49975649350648
1981,11,122.30892857142857
1981,12,158.88064123376623
1982,1,169.86310876623375
1982,2,122.77435064935062
1982,3,102.3663555194805
1982,4,58.33514610389611
1982,5,32.420576298701306
1982,6,20.030844155844157
1982,7,26.66672077922078
1982,8,39.555235389610395
1982,9,58.700081168831154
1982,10,87.45852272727271
1982,11,114.41797889610392
1982,12,165.1775974025974
1983,1,155.76907467532465
1983,2,133.30344967532469
1983,3,100.20917207792209
1983,4,59.01294642857144
1983,5,28.025974025974023
1983,6,16.44050324675325
1983,7,22.310064935064933
1983,8,40.19707792207793
1983,9,58.88494318181818
1983,10,98.54025974025973
1983,11,134.8788961038961
1983,12,164.32621753246752
1984,1,168.7706574675324
1984,2,125.74431818181816
1984,3,98.31887175324675
1984,4,57.950446428571425
1984,5,29.373173701298704
1984,6,15.3794237012987
1984,7,24.564082792207785
1984,8,34.906006493506496
1984,9,58.66911525974024
1984,10,80.05422077922078
1984,11,110.29801136363633
1984,12,147.41107954545453
1985,1,157.44618506493507
1985,2,129.57548701298705
1985,3,103.23189935064931
1985,4,55.02532467532467
1985,5,30.396550324675328
1985,6,25.119602272727274
1985,7,24.339001623376625
1985,8,36.12593344155843
1985,9,62.763433441558426
1985,10,86.77382305194803
1985,11,124.40405844155839
1985,12,161.09784902597406
1986,1,166.4244318181818
1986,2,125.43977272727268
1986,3,100.76668019480519
1986,4,53.24297889610389
1986,5,33.466964285714276
1986,6,20.617370129870125
1986,7,23.74078733766233
1986,8,37.49935064935064
1986,9,59.96359577922078
1986,10,93.89403409090909
1986,11,114.02410714285712
1986,12,155.6869318181818
1987,1,174.2543831168831
1987,2,134.21720779220774
1987,3,107.2231331168831
1987,4,57.517126623376626
1987,5,29.160714285714285
1987,6,18.703977272727265
1987,7,28.882954545454535
1987,8,35.82012987012987
1987,9,58.558238636363626
1987,10,89.58644480519479
1987,11,124.64358766233764
1987,12,153.26148538961036
1988,1,163.07816558441561
1988,2,131.58072240259744
1988,3,95.57723214285713
1988,4,58.67727272727273
1988,5,27.825202922077917
1988,6,22.05823863636364
1988,7,24.51631493506493
1988,8,35.18652597402597
1988,9,57.1963474025974
1988,10,94.21639610389609
1988,11,130.94902597402594
1988,12,155.45860389610385
1989,1,168.23469967532466
1989,2,133.02341720779225
1989,3,101.33279220779221
1989,4,61.005560064935054
1989,5,27.313311688311696
1989,6,20.9669237012987
1989,7,27.378774350649355
1989,8,36.05629058441557
1989,9,63.7020698051948
1989,10,99.35478896103896
1989,11,127.10872564935065
1989,12,147.45101461038962
1990,1,172.4138392857143
1990,2,118.53372564935063
1990,3,101.58019480519478
1990,4,56.03867694805194
1990,5,28.86773538961038
1990,6,19.117370129870125
1990,7,22.96976461038961
1990,8,40.432751623376625
1990,9,58.822118506493496
1990,10,93.01607142857142
1990,11,122.81895292207793
1990,12,150.53405032467532
1991,1,163.53729707792203
1991,2,132.229099025974
1991,3,101.32256493506495
1991,4,54.32187499999999
1991,5,32.2148538961039
1991,6,19.12443181818182
1991,7,23.538839285714285
1991,8,37.92114448051947
1991,9,59.195170454545455
1991,10,94.00811688311688
1991,11,116.92422889610387
1991,12,127.40710227272723
1992,1,166.8291801948052
1992,2,125.53977272727273
1992,3,102.83502435064935
1992,4,53.1671672077922
1992,5,31.42455357142856
1992,6,18.56525974025974
1992,7,21.28299512987013
1992,8,35.683766233766235
1992,9,62.06838474025972
1992,10,92.56708603896105
1992,11,119.89711850649347
1992,12,140.52033279220777
1993,1,162.57828733766237
1993,2,138.49017857142857
1993,3,103.50340909090909
1993,4,60.48530844155843
1993,5,31.830803571428575
1993,6,23.842451298701295
1993,7,23.33766233766233
1993,8,41.42288961038962
1993,9,62.487621753246735
1993,10,92.1809253246753
1993,11,121.15418019480519
1993,12,156.2788149350649
1994,1,169.23591720779223
1994,2,122.78047889610392
1994,3,104.75227272727273
1994,4,58.00929383116883
1994,5,30.0484172077922
1994,6,22.92516233766234
1994,7,24.84752435064936
1994,8,36.43388798701298
1994,9,59.983116883116885
1994,10,85.43571428571428
1994,11,116.16010551948051
1994,12,149.12102272727273
1995,1,160.23076298701298
1995,2,124.46590909090908
1995,3,102.00495129870131
1995,4,61.81294642857142
1995,5,30.18587662337663
1995,6,22.037418831168832
1995,7,23.066720779220788
1995,8,35.399472402597404
1995,9,62.010917207792204
1995,10,91.20304383116884
1995,11,126.96237824675327
1995,12,163.5434659090909
1996,1,168.51505681818182
1996,2,128.5733766233766
1996,3,104.9898538961039
1996,4,55.70641233766235
1996,5,30.009699675324676
1996,6,17.451866883116885
1996,7,24.621753246753244
1996,8,40.18461850649351
1996,9,66.92256493506493
1996,10,93.43887987012988
1996,11,130.07970779220776
1996,12,148.7465097402597
1997,1,160.96408279220782
1997,2,131.4955762987013
1997,3,103.04435876623376
1997,4,65.47670454545452
1997,5,32.581371753246756
1997,6,22.59813311688312
1997,7,24.96603084415585
1997,8,37.5752435064935
1997,9,61.04289772727273
1997,10,84.61055194805196
1997,11,111.55771103896103
1997,12,147.73019480519483
1998,1,168.8887987012987
1998,2,119.88088474025975
1998,3,101.70186688311686
1998,4,55.99784902597402
1998,5,32.17483766233766
1998,6,19.523295454545455
1998,7,23.211485389610388
1998,8,37.40840097402597
1998,9,60.21465097402595
1998,10,107.27747564935066
1998,11,129.1672889610389
1998,12,162.95620941558442
1999,1,170.71777597402593
1999,2,130.04208603896103
1999,3,97.0070616883117
1999,4,58.631737012987
1999,5,31.425527597402596
1999,6,20.920657467532468
1999,7,22.52471590909091
1999,8,40.219115259740256
1999,9,59.536810064935054
1999,10,93.47203733766233
1999,11,124.56964285714285
1999,12,155.48867694805196
2000,1,168.60876623376623
2000,2,116.11842532467531
2000,3,100.77629870129869
2000,4,56.781006493506474
2000,5,27.236120129870127
2000,6,26.136363636363633
2000,7,22.385470779220785
2000,8,37.64403409090908
2000,9,57.90332792207791
2000,10,93.5650568181818
2000,11,120.95913149350648
2000,12,159.615137987013
2001,1,160.22974837662335
2001,2,133.56513798701297
2001,3,101.89480519480519
2001,4,56.998701298701285
2001,5,29.62207792207791
2001,6,20.234618506493504
2001,7,30.725
2001,8,39.29159902597402
2001,9,59.131939935064935
2001,10,95.61254058441557
2001,11,119.62426948051946
2001,12,172.13530844155844
2002,1,164.70840097402595
2002,2,125.17642045454545
2002,3,92.50056818181817
2002,4,55.372321428571425
2002,5,28.719277597402595
2002,6,18.485957792207792
2002,7,24.078368506493497
2002,8,36.299066558441545
2002,9,59.2448051948052
2002,10,86.71493506493506
2002,11,116.00008116883114
2002,12,146.5428977272728
2003,1,169.0522727272727
2003,2,133.25340909090903
2003,3,106.81814123376621
2003,4,57.097362012987006
2003,5,28.83660714285714
2003,6,26.517613636363638
2003,7,24.14439935064935
2003,8,38.90726461038961
2003,9,63.09281655844154
2003,10,99.66258116883117
2003,11,124.11700487012986
2003,12,151.18644480519478
2004,1,170.61513798701296
2004,2,127.4487824675325
2004,3,104.93900162337664
2004,4,55.48007305194804
2004,5,27.60876623376623
2004,6,21.538311688311683
2004,7,27.441842532467533
2004,8,38.09577922077921
2004,9,64.23056006493505
2004,10,83.23555194805195
2004,11,109.2427353896104
2004,12,152.6851866883117
2005,1,170.4700081168831
2005,2,128.23526785714282
2005,3,101.93376623376622
2005,4,60.461323051948035
2005,5,29.755925324675328
2005,6,20.46343344155844
2005,7,26.472727272727276
2005,8,36.04655032467531
2005,9,60.784537337662336
2005,10,91.06753246753247
2005,11,118.35495129870131
2005,12,150.45900974025972
2006,1,166.61302759740258
2006,2,126.35280032467531
2006,3,104.2821834415584
2006,4,60.562946428571415
2006,5,29.639853896103887
2006,6,22.06530032467532
2006,7,26.605478896103893
2006,8,41.1109172077922
2006,9,63.424512987013
2006,10,87.48295454545455
2006,11,126.55909090909088
2006,12,148.0636363636363
2007,1,166.90722402597396
2007,2,121.45957792207793
2007,3,102.0349431818182
2007,4,59.54082792207793
2007,5,27.896387987012986
2007,6,18.376339285714284
2007,7,22.64829545454546
2007,8,33.815665584415584
2007,9,62.02926136363635
2007,10,90.7812094155844
2007,11,126.94188311688309
2007,12,152.50819805194806
2008,1,169.61396103896107
2008,2,123.47751623376624
2008,3,104.29066558441558
2008,4,60.88750000000002
2008,5,30.730600649350652
2008,6,19.29013798701299
2008,7,27.5869724025974
2008,8,37.603125
2008,9,66.57053571428571
2008,10,99.13035714285712
2008,11,131.74630681818178
2008,12,158.29103084415578
2009,1,180.2891639610389
2009,2,135.06992694805191
2009,3,115.39159902597406
