,FID,min,max,area
0,0,0.0,600.0,158032.45002174677
1,1,600.0,1200.0,4273.931080965389
2,2,1200.0,1800.0,4278.7027542097985
3,3,1800.0,2400.0,61753.262161106286
4,4,2400.0,3000.0,11755871.957156321
5,5,3000.0,3600.0,43324379.89679556
6,6,3600.0,4200.0,88707010.270479
7,7,4200.0,4800.0,11300116.290648056
8,8,4800.0,5400.0,533.2389025374054
