Yr,Mon,EST. PALPAL D
1989,1,36.12641555457258
1989,2,14.16080090595927
1989,3,27.81509436663611
1989,4,8.23771519702852
1989,5,75.77146486852894
1989,6,486.11842491165635
1989,7,294.4291094577672
1989,8,336.08797006227275
1989,9,56.00393755574661
1989,10,74.29985491239214
1989,11,31.959106639802908
1989,12,99.16203999037336
1990,1,21.389240275660452
1990,2,43.023339070828676
1990,3,143.39973752678213
1990,4,161.0180774102736
1990,5,193.5732817712251
1990,6,161.4004425457407
1990,7,160.45148736544564
1990,8,216.22381670527878
1990,9,294.122516258341
1990,10,66.73168327515681
1990,11,73.07641650359996
1990,12,27.756609493459848
1991,1,35.93058356997572
1991,2,12.170164822506532
1991,3,15.084570994404615
1991,4,250.70251038932167
1991,5,721.188333225411
1991,6,252.1169394819795
1991,7,357.13027686061235
1991,8,94.95903559941799
1991,9,194.51430581536562
1991,10,130.09914966185664
1991,11,63.98694234626663
1991,12,161.90925516929613
1992,1,13.844424673471941
1992,2,34.87790442200451
1992,3,84.9219882646051
1992,4,220.08888609765737
1992,5,813.1219878704704
1992,6,447.0953475904994
1992,7,165.61803700647218
1992,8,177.43536889026706
1992,9,120.00876582603384
1992,10,119.64384559984022
1992,11,43.049486712719506
1992,12,97.36952000042274
1993,1,29.904376565368317
1993,2,3.6990106649778545
1993,3,40.04360797999873
1993,4,153.99586418182957
1993,5,439.94821229634493
1993,6,646.6394411866183
1993,7,255.03144316173854
1993,8,310.49941424850124
1993,9,97.05084422796214
1993,10,140.88563280077327
1993,11,57.29402524246999
1993,12,70.55225249466504
1994,1,5.550923283547311
1994,2,52.20673659497952
1994,3,24.04357184577875
1994,4,281.0000688255785
1994,5,166.5324093939897
1994,6,423.3350950470806
1994,7,496.35578477183657
1994,8,62.427386913128515
1994,9,307.7722924118518
1994,10,126.15637459026199
1994,11,36.38032133897822
1994,12,84.73312723935034
1995,1,4.879782719016858
1995,2,7.22962314697459
1995,3,29.235373019519376
1995,4,228.3434905011493
1995,5,80.78993756009287
1995,6,527.6732236691532
1995,7,510.5202964679555
1995,8,333.8714977202679
1995,9,81.26939555335215
1995,10,95.0549256703077
1995,11,21.24022652650829
1995,12,5.482767971130077
1996,1,13.420012915897066
1996,2,27.200030496411255
1996,3,118.32828612588109
1996,4,102.61145270750659
1996,5,141.24602525753906
1996,6,218.53265735869488
1996,7,90.8686329332052
1996,8,250.33369856827474
1996,9,58.75023136040144
1996,10,71.74280428812696
1996,11,83.22120321108142
1996,12,33.278709926898905
1997,1,27.581528123871593
1997,2,52.18184160217341
1997,3,18.219371035460625
1997,4,390.4543354245053
1997,5,202.34273664918203
1997,6,572.6130864083741
1997,7,279.13904066700815
1997,8,204.21346001292318
1997,9,276.63396345107105
1997,10,250.0756405133055
1997,11,102.58664548885771
1997,12,55.42117732731222
1998,1,6.9846405027784915
1998,2,49.65059978865986
1998,3,30.343402850384354
1998,4,101.36137367388834
1998,5,132.82201551962382
1998,6,118.59711525268698
1998,7,134.77368978011944
1998,8,148.49133636106788
1998,9,126.13852626576421
1998,10,7.005529597740499
1998,11,31.178825654650108
1998,12,43.61581878653742
1999,1,29.34274127012521
1999,2,23.645568090470302
1999,3,34.46867308070822
1999,4,39.87177710863689
1999,5,272.287414711348
1999,6,465.3159364256921
1999,7,150.11260245830758
1999,8,353.5590164659053
1999,9,348.4890373371167
1999,10,43.27978341253705
1999,11,39.0364612750612
1999,12,34.27304418756916
2000,1,24.945480284806013
2000,2,217.3940935170719
2000,3,30.07176954589566
2000,4,63.97296247365754
2000,5,93.12453044210606
2000,6,851.5675054201362
2000,7,175.5959348871497
2000,8,327.1163327162729
2000,9,374.184628406264
2000,10,78.7966232582748
2000,11,61.46942064019239
2000,12,64.5304466858262
2001,1,112.46526538036566
2001,2,10.764873329978533
2001,3,19.5656510435232
2001,4,79.68664511125182
2001,5,606.25339107616
2001,6,334.7581857118503
2001,7,776.9066297761204
2001,8,316.9572899649887
2001,9,56.47284052688394
2001,10,54.88114182434721
2001,11,74.21361284235093
2001,12,2.2482958871825405
2002,1,26.711137139016
2002,2,183.98820133093622
2002,3,210.77243833842536
2002,4,114.50135626574198
2002,5,280.69658846887484
2002,6,334.2693641829902
2002,7,219.3669791592042
2002,8,572.5739744147568
2002,9,166.42724620502855
2002,10,382.04770182700054
2002,11,129.96443977218166
2002,12,47.82802432136566
2003,1,45.378216047417695
2003,2,2.4175859583367547
2003,3,14.788343705077885
2003,4,26.778189505122352
2003,5,139.60502603109262
2003,6,524.9748480095592
2003,7,218.96921464974136
2003,8,144.31636610979706
2003,9,170.39742749785435
2003,10,134.4973954948064
2003,11,98.16402431806127
2003,12,63.598129555212935
2004,1,7.6158671120834835
2004,2,21.113841946787193
2004,3,85.28239490796639
2004,4,266.05199140566975
2004,5,53.90427859824323
2004,6,377.14716421388357
2004,7,384.8433935390173
2004,8,113.79047503379525
2004,9,186.50622552956236
2004,10,189.83129988188938
2004,11,160.46012749846088
2004,12,60.69911096564545
2005,1,17.910464336328296
2005,2,2.3841382131358904
2005,3,48.232238817354066
2005,4,26.949231472727664
2005,5,588.9690706358397
2005,6,453.96531210331904
2005,7,387.41643753308074
2005,8,497.35491947494216
2005,9,70.07310918324113
2005,10,50.74585095762423
2005,11,105.48850915351608
2005,12,86.72838229237442
2006,1,43.55266566989907
2006,2,35.013277886464685
2006,3,33.607572208725244
2006,4,168.537769066141
2006,5,217.2916813874204
2006,6,539.1478118204179
2006,7,538.7605323667619
2006,8,348.8792224827991
2006,9,152.14150309296954
2006,10,211.90831651283887
2006,11,38.67813621789434
2006,12,139.0644706337318
2007,1,47.864004303817325
2007,2,97.91858957566527
2007,3,52.87833018220059
2007,4,117.46597192306982
2007,5,48.18526991813972
2007,6,204.30527083324475
2007,7,386.9239321413228
2007,8,187.35623137343939
2007,9,109.83377080724156
2007,10,71.59710107789033
2007,11,18.77123170186272
2007,12,52.533714168588766
2008,1,46.69297083240656
2008,2,39.62679907608262
2008,3,40.807798828598806
2008,4,118.17577413974901
2008,5,635.3301885601492
2008,6,223.35519175030086
2008,7,268.7614365439082
2008,8,420.62462044148737
2008,9,87.37386495825812
2008,10,63.635130609062394
2008,11,33.33796568881111
2008,12,48.0219581875269
2009,1,12.827673761852102
2009,2,40.66311189160367
2009,3,17.865221623096744
2009,4,96.32165444774019
2009,5,428.2781859284695
2009,6,310.7613807707168
2009,7,224.67500760522898
2009,8,322.05899503998364
2009,9,173.40926355167392
2009,10,187.0956700197191
2009,11,153.5002129723195
2009,12,36.567840988475226
2010,1,17.821628815277315
2010,2,62.79209867879321
2010,3,23.688619762958766
2010,4,17.46597619579101
2010,5,99.65934675289607
2010,6,377.51554577939714
2010,7,327.22150834560637
2010,8,224.8590448429446
2010,9,34.24930582830848
2010,10,95.51553230191467
2010,11,54.25548959411366
2010,12,79.67706039196683
2011,1,75.62394674181716
2011,2,51.478416285438605
2011,3,83.26815464800482
2011,4,158.87702422943318
2011,5,62.62215304816207
2011,6,363.18582759582995
2011,7,297.3631024001449
2011,8,439.30314881731425
2011,9,150.47495872428559
2011,10,52.61698870299008
2011,11,71.23191738799508
2011,12,7.679250419893485
2012,1,54.37295265729973
2012,2,182.50205676934394
2012,3,26.643636996787876
2012,4,30.488255936358367
2012,5,313.82860775705177
2012,6,367.0207550219143
2012,7,110.30650515937641
2012,8,159.52131759217986
2012,9,46.19419383416954
2012,10,103.68996673040276
2012,11,99.99514806072672
2012,12,231.09544396031023
2013,1,34.62485157920693
2013,2,79.4020269904864
2013,3,27.76962856809196
2013,4,41.247530070676255
2013,5,322.34838889576525
2013,6,261.4288058560415
2013,7,244.77125990550596
2013,8,257.41044860898404
2013,9,219.35579508143616
2013,10,101.54943164083429
2013,11,44.15607973198965
2013,12,1.5168189173901239
2014,1,38.22003774711766
2014,2,34.51235534401947
2014,3,83.81724265280772
2014,4,55.117204166974
2014,5,247.8943412214579
2014,6,415.7418502017735
2014,7,384.7502087844982
2014,8,296.92075824083906
2014,9,286.7808950189329
2014,10,74.39596529137779
2014,11,26.307913715387258
2014,12,48.76231354990396
2015,1,1.4238069889488156
2015,2,5.8089642506122345
2015,3,13.326121670476985
2015,4,42.97889837969233
2015,5,147.80205677066982
2015,6,316.2174470235655
2015,7,414.08177474970813
2015,8,487.7609628479326
2015,9,168.3469535541696
2015,10,176.9393187172204
2015,11,61.80780041733209
2015,12,24.564179393249315
2016,1,31.47185850800658
2016,2,13.943489473311525
2016,3,10.66302470659675
2016,4,239.7567891919986
2016,5,99.57459272712032
2016,6,21.729576675168
2016,7,315.2789763849109
2016,8,214.54566477100136
2016,9,59.67423336480345
2016,10,194.4788633705451
2016,11,48.750078673562946
2016,12,68.57879832930264
2017,1,26.59946390715706
2017,2,40.73377786007523
2017,3,59.284213129808386
2017,4,101.80742688225679
2017,5,207.84281113652114
2017,6,387.3294894863396
2017,7,215.5987260006327
2017,8,402.081866299413
2017,9,143.24938066189026
2017,10,223.11022941652524
2017,11,107.15191197533967
2017,12,31.27912626096111
2018,1,45.2704974640438
2018,2,30.57692130214844
2018,3,97.48974359488221
2018,4,176.49758691089127
2018,5,174.27197976515455
2018,6,249.58636533001152
2018,7,146.6823213824472
2018,8,182.20440424402537
2018,9,331.27991082050676
2018,10,215.65982920332536
2018,11,125.60261651862484
2018,12,55.76761107434372
2019,1,67.27684331823944
2019,2,20.917981178749912
2019,3,22.289897865051365
2019,4,32.82259657906338
2019,5,287.06697579921627
2019,6,472.78362908926425
2019,7,216.2941336031664
2019,8,155.6509890730496
2019,9,131.6196423746021
2019,10,115.3316826377862
2019,11,44.37340371476651
2019,12,19.13393226034719
2020,1,29.984380814027883
2020,2,14.626602618513324
2020,3,5.53543468872281
2020,4,78.02877932750896
2020,5,93.76173462325147
2020,6,507.7227961212822
2020,7,438.53418909840906
2020,8,171.34198991393095
2020,9,74.3742438521732
2020,10,49.1032218495323
2020,11,23.838509802370417
2020,12,59.02179338122921
2021,1,140.41391119020352
2021,2,20.557312961712512
2021,3,25.228336637677522
2021,4,50.95323752290434
2021,5,248.9770075388601
2021,6,240.473393515701
2021,7,77.93496399446171
2021,8,323.31786400895663
2021,9,105.80539868869552
2021,10,47.51457897959742
2021,11,25.62760738685207
2021,12,23.116506868092426
2022,1,33.965323729484325
2022,2,24.847243643944022
2022,3,27.13029139306536
2022,4,332.3735387395896
2022,5,119.11959874208777
