Transmission Link,Transmission Link from AC_01 to Veg_Riparia AC01,Transmission Link from AC_02 to Agua Potable_AC02,Transmission Link from AC_02 to Veg_Riparia AC02,Transmission Link from AC_03 to Agua Potable_AC03,Transmission Link from AC_03 to Veg_Riparia AC_03,Transmission Link from Withdrawal Node 1 to ZR_Gavino_ANU,Transmission Link from Withdrawal Node 10 to ZR_Cunlagua_FRU,Transmission Link from Withdrawal Node 11 to ZR_Los Guindos_ANU,Transmission Link from Withdrawal Node 12 to ZR_Huanque_FRU,Transmission Link from Withdrawal Node 13 to ZR_Chanar Chalinga_ANU,Transmission Link from Withdrawal Node 14 to ZR_Arboleda Grande_FRU,Transmission Link from Withdrawal Node 15 to ZR_Chalinga_FRU,Transmission Link from Withdrawal Node 16 to ZR_Tebal_FRU,Transmission Link from Withdrawal Node 17 to ZR_Chilcas_FRU,Transmission Link from Withdrawal Node 2 to ZR_Destiladera_ANU,Transmission Link from Withdrawal Node 20 to ZR_Batuco Chalinga_ANU,Transmission Link from Withdrawal Node 21 to ZR_Molino de Zapallar_ANU,Transmission Link from Withdrawal Node 22 to ZR_Toma Ranque_ANU,Transmission Link from Withdrawal Node 23 to ZR_Palquial_ANU,Transmission Link from Withdrawal Node 24 to ZR_Valentino_ANU,Transmission Link from Withdrawal Node 25 to ZR_Maravillal_ANU,Transmission Link from Withdrawal Node 26 to ZR_Alameda_ANU,Transmission Link from Withdrawal Node 27 to ZR_Cunlagua_ANU,Transmission Link from Withdrawal Node 29 to ZR_Huanque_ANU,Transmission Link from Withdrawal Node 3 to ZR_Batuco Chalinga_FRU,Transmission Link from Withdrawal Node 31 to ZR_Arboleda Grande_ANU,Transmission Link from Withdrawal Node 32 to ZR_Chalinga_ANU,Transmission Link from Withdrawal Node 33 to ZR_Tebal_ANU,Transmission Link from Withdrawal Node 34 to ZR_Chilcas_ANU,Transmission Link from Withdrawal Node 4 to ZR_Toma Ranque_FRU,Transmission Link from Withdrawal Node 5 to ZR_Molino de Zapallar_FRU,Transmission Link from Withdrawal Node 6 to ZR_Palquial_FRU,Transmission Link from Withdrawal Node 7 to ZR_Valentino_FRU,Transmission Link from Withdrawal Node 8 to ZR_Maravillal_FRU,Transmission Link from Withdrawal Node 9 to ZR_Alameda_FRU
ago-10,0.00783548,0.00774238,0.00977742,0.0122661,0.00977742,0,0,0.0017381,0,0.000770333,0,0,0,0,0,0.0111326,0.0036628,0.00104492,0.0113383,5.19148E-05,0.00101403,0.000852041,0.00583824,0.00493716,0.00665059,0.00586792,0.00413255,0.0134295,0.00647749,0,0,0,0,0,0
sept-10,0.00800333,0.00800046,0.0098,0.012675,0.0098,0,0,0.00270262,0,0.00131536,0,0,0,0,0,0.0174103,0.00605082,0.00165754,0.0184747,7.72492E-05,0.00167791,0.00133324,0.00934016,0.00739707,0.00364651,0.00924067,0.00610509,0.0209196,0.00955306,0,0,0,0,0,0
oct-10,0.0075871,0.00774238,0.0092129,0.0122661,0.0092129,0,0,0.00626938,0,0.00338535,0,0,0,0,0,0.03509,0.0126999,0.00374449,0.0420147,0.000353575,0.00340833,0.00386764,0.0235149,0.018636,0.00475042,0.0224977,0.0151106,0.0560441,0.0254741,0,0,0,0,0,0
nov-10,0.00767667,0.00800046,0.00921667,0.012675,0.00921667,0,0,0.0104764,0,0.00602149,0,0,0,0,0,0.0594041,0.0240788,0.00710044,0.0733541,0.000646605,0.00476394,0.00744695,0.0427326,0.0346674,0.00490877,0.0287352,0.0272265,0.0917356,0.0448987,0,0,0,0,0,0
dic-10,0.00718065,0.00774238,0.00849032,0.0122661,0.00849032,0,0,0.00825838,0,0.00766855,0,0,0,0,0,0.0640704,0.0318819,0.00818674,0.096777,0.000933858,0.00601579,0.00970308,0.0466008,0.0279133,0.00963657,0.0226515,0.0290612,0.0723139,0.035393,0,0,0,0,0,0
ene-11,0.00684194,0.00774238,0.00799355,0.0122661,0.00799355,0,0,0.00676766,0,0.00701466,0,0,0,0,0,0.0465581,0.0261269,0.00670896,0.0932404,0.000933858,0.00610983,0.0090526,0.0381889,0.0228747,0.0138441,0.0185627,0.0238154,0.0592605,0.0290043,0,0,0,0,0,0
feb-11,0.007225,0.00857192,0.008175,0.0135804,0.008175,0,0,0.00381005,0,0.0032261,0,0,0,0,0,0.0450765,0.0126235,0.00377995,0.0556645,0.000578143,0.00460646,0.00414617,0.0258299,0.019165,0.0127728,0.0177782,0.0208852,0.0567559,0.0277784,0,0,0,0,0,0
mar-11,0.00609677,0.00774238,0.00681935,0.0122661,0.00681935,0,0,0.0021767,0,0.00211965,0,0,0,0,0,0.0334471,0.0117993,0.00332007,0.0456469,0.000557911,0.0042388,0.00316919,0.0198982,0.0117307,0.0219877,0.0170361,0.0121612,0.0359819,0.0165995,0,0,0,0,0,0
abr-11,0.0084,0.00800046,0.0107333,0.012675,0.0107333,0,0,0.00153398,0,0.00120827,0,0,0,0,0,0.0273466,0.00720861,0.00189108,0.027278,0.000308997,0.00267199,0.00185607,0.0119669,0.00735966,0.0234218,0.0112897,0.0071477,0.0217514,0.00945804,0,0,0,0,0,0
may-11,0.00808387,0.00774238,0.0103871,0.0122661,0.0103871,0,0,0.000980941,0,0.000658653,0,0,0,0,0,0.00971375,0.002042,0.000608876,0.0112303,0.00013819,0.00138779,0.00095011,0.0055489,0.00410989,0.0191374,0.00411326,0.00345455,0.0117033,0.00482999,0,0,0,0,0,0
jun-11,0.00828333,0.00800046,0.01057,0.012675,0.01057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000981754,0,0,0,0,0,0,0,0,0,0
jul-11,0.00794839,0.00774238,0.0100258,0.0122661,0.0100258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00570051,0,0,0,0,0,0,0,0,0,0
ago-11,0.00783548,0.00774238,0.00977742,0.0122661,0.00977742,0,0,4.09415E-05,0,0,0,0,0,0,0,0.00233241,0.000520594,0.000103782,0.000308259,0,0.000234398,0,0,0,0.00339316,0,0.000140174,0,0,0,0,0,0,0,0
sept-11,0.00800333,0.00800046,0.0098,0.012675,0.0098,0,0,0.00394484,0,0.00200444,0,0,0,0,0,0.0238516,0.00830957,0.00233407,0.0268991,0.000174526,0.00227337,0.0022173,0.0144762,0.0114031,0.00603077,0.0144291,0.00961173,0.0345212,0.0156143,0,0,0,0,0,0
oct-11,0.0075871,0.00774238,0.0092129,0.0122661,0.0092129,0,0,0.0068351,0,0.00369917,0,0,0,0,0,0.0383901,0.0137928,0.00407184,0.0463308,0.000403413,0.0037134,0.00432057,0.0258539,0.0206884,0.00597196,0.0251559,0.0171068,0.0626255,0.0289245,0,0,0,0,0,0
nov-11,0.00767667,0.00800046,0.00921667,0.012675,0.00921667,0,0,0.0100639,0,0.0065079,0,0,0,0,0,0.0643297,0.0263375,0.00777697,0.0793007,0.000720993,0.00518427,0.008071,0.046358,0.0340161,0.00673203,0.0276039,0.0303206,0.0881241,0.0431311,0,0,0,0,0,0
