Scenario,Escenario Base
ago-08,0.13081
sept-08,0
oct-08,0
nov-08,0
dic-08,0
ene-09,0
feb-09,0
mar-09,0
abr-09,0
may-09,0
jun-09,0.113629
jul-09,0.00746304
ago-09,0.0647833
sept-09,0
oct-09,0
nov-09,0
dic-09,0
ene-10,0
feb-10,0
mar-10,0
abr-10,0
may-10,0.0301074
jun-10,0.0576866
jul-10,0.001322
ago-10,0
sept-10,0
oct-10,0
nov-10,0
dic-10,0
ene-11,0
feb-11,0
mar-11,0
abr-11,0
may-11,0
jun-11,0.176964
jul-11,0.0338832
ago-11,0.00334333
sept-11,0
oct-11,0
nov-11,0
dic-11,0
ene-12,0
feb-12,0
mar-12,0
abr-12,0
may-12,0
jun-12,0.0127651
jul-12,0
ago-12,0.0303358
sept-12,0
oct-12,0
nov-12,0
dic-12,0
ene-13,0
feb-13,0
mar-13,0
abr-13,0
may-13,0.0649865
jun-13,0.00872264
jul-13,0
ago-13,0
sept-13,0
oct-13,0
nov-13,0
dic-13,0
ene-14,0
feb-14,0
mar-14,0
abr-14,0
may-14,0
jun-14,0.11439
jul-14,0
ago-14,0
sept-14,0
oct-14,0
nov-14,0
dic-14,0
ene-15,0
feb-15,0
mar-15,0
abr-15,0
may-15,0
jun-15,0
jul-15,0.0326311
ago-15,0.161075
sept-15,0
oct-15,0
nov-15,0
dic-15,0
ene-16,0
feb-16,0
mar-16,0
abr-16,0
may-16,0.012992
jun-16,0.0500641
jul-16,0.0219978
ago-16,0
sept-16,0
oct-16,0
nov-16,0
dic-16,0
ene-17,0
feb-17,0
mar-17,0
abr-17,0
may-17,0.0650707
jun-17,0.0201325
jul-17,0.000321798
ago-17,0.00117884
sept-17,0
oct-17,0
nov-17,0
dic-17,0
ene-18,0
feb-18,0
mar-18,0
abr-18,0
may-18,0
jun-18,0.0163529
jul-18,0.00826985
ago-18,0
sept-18,0
oct-18,0
nov-18,0
dic-18,0
ene-19,0
feb-19,0
mar-19,0
abr-19,0
may-19,0.00131405
jun-19,0.0210693
jul-19,0
ago-19,0
sept-19,0
oct-19,0
nov-19,0
dic-19,0
ene-20,0
feb-20,0
mar-20,0
abr-20,0
may-20,0
jun-20,0.0653151
jul-20,0.00865822
ago-20,0
sept-20,0
oct-20,0
nov-20,0
dic-20,0
ene-21,0
feb-21,0
mar-21,0
