,4,5,6
2023-08-10,0.0,0.0,0.0
2023-08-11,0.0,0.0,0.0
2023-08-12,0.0,0.0,0.0
2023-08-13,0.0,0.0,0.0
2023-08-14,0.0,0.0,0.0
2023-08-15,0.0,0.0,0.0
2023-08-16,0.0,0.0,0.0
2023-08-17,0.0,0.0,0.0
2023-08-18,0.0,0.0,0.0
2023-08-19,0.5805759051442146,0.6592632640325106,0.6044210806716297
2023-08-20,0.0,0.0,0.301958271590835
2023-08-21,0.77826815366745,0.0,0.7600204755189054
2023-08-22,0.0,0.0,0.0
2023-08-23,0.0,0.0,0.0
2023-08-24,0.0,0.0,0.0
2023-08-25,0.8596328655042145,0.6009684319450305,0.6001541351994215
2023-08-26,0.0,0.0,0.0
2023-08-27,0.8166937633564596,0.7771616043884868,0.5794561650389332
2023-08-28,0.0,0.2284067310923524,0.0
2023-08-29,0.7955401998758316,0.6501322915156682,0.3629400226827395
2023-08-30,0.5413531389832497,0.5548800336652331,0.0
2023-08-31,0.0,0.5180047506263792,0.0
2023-09-01,0.5828774588280601,0.5875164584760313,0.6031833994085505
2023-09-02,0.0,0.0,0.0
2023-09-03,0.7575378757715223,0.0,0.6510124330045812
2023-09-04,0.0,0.5490842750294935,0.0
2023-09-05,0.0,0.0,0.0
2023-09-06,0.6144836115680242,0.5463553581236095,0.6317620675291045
2023-09-07,0.6664658671617508,0.7069062418832396,0.14356517366433547
2023-09-08,0.0,0.0,0.0
2023-09-09,0.0,0.0,0.0
2023-09-10,0.6114023709767742,0.5762994475115059,0.6088070802971468
2023-09-11,0.6333881515264511,0.6096454129378679,0.0
2023-09-12,0.0,0.0,0.0
2023-09-13,0.8625056404502768,0.812176657765679,0.6888453379222902
2023-09-14,0.7236146062612533,0.818459895370353,0.5916053731436446
2023-09-15,0.8974306394081366,0.8584827041982583,0.421269683635841
2023-09-16,0.6429561406452404,0.6249588570329877,0.0
2023-09-17,0.4832369633175824,0.6747800292486478,0.0
2023-09-18,0.0,0.0,0.0
2023-09-19,0.0,0.0,0.0
2023-09-20,0.0,0.31468545278592663,0.0
2023-09-21,0.0,0.0,0.0
2023-09-22,0.0,0.0,0.0
2023-09-23,0.0,0.0,0.0
2023-09-24,0.0,0.0,0.0
2023-09-25,0.0,0.0,0.0
2023-09-26,0.0,0.0,0.0
2023-09-27,0.0,0.0,0.0
2023-09-28,0.0,0.0,0.0
2023-09-29,0.0,0.0,0.0
2023-09-30,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0
2023-10-02,0.0,0.0,0.0
2023-10-03,0.0,0.0,0.0
2023-10-04,0.0,0.0,0.0
2023-10-05,0.0,0.0,0.0
2023-10-06,0.0,0.0,0.0
2023-10-07,0.0,0.0,0.0
2023-10-08,0.0,0.0,0.0
2023-10-09,0.0,0.0,0.0
2023-10-10,0.0,0.0,0.0
2023-10-11,0.0,0.0,0.0
2023-10-12,0.0,0.0,0.0
2023-10-13,0.0,0.0,0.0
2023-10-14,0.0,0.0,0.0
