Yr,Mon,EST. SAN VICENTE C
1989,1,29.399299902583742
1989,2,13.3824644099315
1989,3,26.140364803191552
1989,4,6.748754093112644
1989,5,71.25573086803513
1989,6,486.36645588927655
1989,7,292.332017649887
1989,8,333.40374395801626
1989,9,53.22410447320794
1989,10,67.53252597190783
1989,11,28.538219876447872
1989,12,89.10000124589446
1990,1,18.34755857034517
1990,2,39.16064263312597
1990,3,148.1965981128291
1990,4,159.68441735965942
1990,5,191.0523211151796
1990,6,150.2547577716486
1990,7,156.8971189294961
1990,8,207.74541925773894
1990,9,283.9700506712617
1990,10,63.649629271166006
1990,11,67.72946789544201
1990,12,22.206544836627277
1991,1,35.35198906784174
1991,2,9.655409298622699
1991,3,12.663719043026934
1991,4,241.37816459522293
1991,5,720.8454997638996
1991,6,256.68870730265184
1991,7,351.8038137500413
1991,8,90.65239550929837
1991,9,190.67583093406327
1991,10,128.77687117617643
1991,11,58.49358738345437
1991,12,143.66211104487368
1992,1,10.822700684949334
1992,2,29.56719654086406
1992,3,86.08524910708637
1992,4,213.7245472295442
1992,5,824.9830492742968
1992,6,447.6588043428277
1992,7,159.84651024628127
1992,8,180.3884937538109
1992,9,111.51467026301901
1992,10,106.2914751743936
1992,11,41.162650593682294
1992,12,90.16308288983716
1993,1,24.685847414199998
1993,2,2.3945301283767733
1993,3,34.39899343920431
1993,4,152.11672189651946
1993,5,428.19203287136133
1993,6,653.9401812609387
1993,7,242.82904604394832
1993,8,295.95083660628416
1993,9,88.25105507282207
1993,10,131.6313641237922
1993,11,53.54050278000211
1993,12,67.65271482101299
1994,1,4.069743728232796
1994,2,45.782181557916935
1994,3,19.64184768601824
1994,4,281.6819963091834
1994,5,165.64745160516168
1994,6,414.25619782821167
1994,7,490.6031779884388
1994,8,58.78677445247897
1994,9,295.8123980769627
1994,10,114.1305004418981
1994,11,32.24844585977696
1994,12,81.90633209266119
1995,1,3.2590564534968847
1995,2,5.703411329946645
1995,3,24.855816036289923
1995,4,228.5756179467947
1995,5,77.23021003844438
1995,6,514.6547306023988
1995,7,503.0109698246468
1995,8,317.0982990581852
1995,9,75.73741999301583
1995,10,90.89163355835004
1995,11,18.553776213550954
1995,12,4.0386964040229305
1996,1,10.027253267121663
1996,2,24.382743146458516
1996,3,108.85892087736943
1996,4,96.01220529488324
1996,5,135.86540121760535
1996,6,217.46213140579545
1996,7,95.07085875329125
1996,8,248.53316427726386
1996,9,54.8730560828309
1996,10,65.83621637880987
1996,11,72.75472877388908
1996,12,30.255051722172933
1997,1,22.804699398727433
1997,2,46.039645438376894
1997,3,13.41717519626183
1997,4,390.6099794999595
1997,5,207.89111216037438
1997,6,578.9989815680793
1997,7,273.766415295371
1997,8,202.34330603928709
1997,9,270.12385081321514
1997,10,249.72904247987157
1997,11,97.89029143016403
1997,12,46.896143410112096
1998,1,5.043433280322496
1998,2,46.677662937812144
1998,3,27.356816213579624
1998,4,96.78245805877093
1998,5,136.49258109052278
1998,6,116.3139293245367
1998,7,130.93929277114518
1998,8,143.47715860816868
1998,9,124.818638580258
1998,10,5.418999531109471
1998,11,27.520245605891457
1998,12,38.76344986021726
1999,1,24.514563868689706
1999,2,21.43741714394086
1999,3,31.64052277708234
1999,4,36.988315918553106
1999,5,268.69572811313463
1999,6,467.4583202789999
1999,7,150.13916215766588
1999,8,345.78176096023094
1999,9,346.73471033295874
1999,10,39.54939072514043
1999,11,36.263282078471484
1999,12,33.32660177247427
2000,1,18.880860622623757
2000,2,210.14643879190203
2000,3,24.62578188289834
2000,4,58.90315491865313
2000,5,90.47348728284516
2000,6,868.6033281634291
2000,7,170.092216752245
2000,8,317.10218703442575
2000,9,374.3835931153375
2000,10,73.17350446437618
2000,11,57.77660268469251
2000,12,59.3437206271134
2001,1,110.38512999809245
2001,2,8.9254436527153
2001,3,18.35186692409854
2001,4,78.61597813270323
2001,5,613.6153752811022
2001,6,322.42808934195574
2001,7,785.0890490256913
2001,8,317.87027313511373
2001,9,53.885744725023194
2001,10,52.27320190505284
2001,11,68.38028862819897
2001,12,1.516024703353313
2002,1,22.19103769634466
2002,2,191.41772890051547
2002,3,208.28185818128185
2002,4,108.27796038710534
2002,5,288.9268237935348
2002,6,326.7439330013913
2002,7,225.94468164859254
2002,8,584.7314037816521
2002,9,161.64484015000934
2002,10,355.1160401612745
2002,11,123.12518961978192
2002,12,40.54900375845818
2003,1,43.82716885071791
2003,2,1.5562015558373314
2003,3,12.134567430768387
2003,4,25.590782629093177
2003,5,146.30084580129954
2003,6,509.647797805556
2003,7,209.49390419960935
2003,8,142.29787881892076
2003,9,164.17716556511675
2003,10,132.5638688307582
2003,11,95.84193080984599
2003,12,54.08194240872414
2004,1,6.061728875230942
2004,2,17.491897622205098
2004,3,84.43489188791422
2004,4,258.5727788201922
2004,5,53.513493124805755
2004,6,370.57267729194365
2004,7,388.3914619817484
2004,8,114.10219093505185
2004,9,184.68391340454536
2004,10,184.91268160332947
2004,11,149.70852230701595
2004,12,55.830054532943855
2005,1,12.981947661524547
2005,2,1.530326510206601
2005,3,45.046641306883515
2005,4,23.61197321679618
2005,5,591.7007125358317
2005,6,457.6691226984329
2005,7,397.2868674993136
2005,8,488.1925397198655
2005,9,70.12958177654497
2005,10,46.03456256555317
2005,11,96.76241661148781
2005,12,86.81097944319642
2006,1,41.169895471291056
2006,2,31.711374424249676
2006,3,27.95650780720549
2006,4,169.93739882064668
2006,5,215.0301641899893
2006,6,531.621192062612
2006,7,539.3030826502705
2006,8,341.2680802839815
2006,9,141.80926376990104
2006,10,206.5031856063601
2006,11,33.7580670475409
2006,12,129.26097827719354
2007,1,43.62857167753939
