Yr,Mon,Aportante 23
1989,1,18.73482164723947
1989,2,18.856328030109808
1989,3,14.999775357504518
1989,4,12.192316728078254
1989,5,8.933864301024926
1989,6,7.47009684029274
1989,7,5.265221287119232
1989,8,5.2958060906801165
1989,9,7.922948773342796
1989,10,11.329081369910682
1989,11,14.655841876602949
1989,12,15.595954181232514
1990,1,17.94859746763001
1990,2,17.810843769747805
1990,3,14.403422123481619
1990,4,10.80528188407311
1990,5,7.52621613556903
1990,6,6.677537578288195
1990,7,5.255469338577143
1990,8,7.993359579326523
1990,9,7.9465855201534055
1990,10,10.395341908833984
1990,11,13.01541420780336
1990,12,16.01252399268691
1991,1,16.78555016306467
1991,2,17.953132566585964
1991,3,15.992088853402606
1991,4,11.790475613294177
1991,5,9.047250551140678
1991,6,6.216018405921545
1991,7,4.848958454510978
1991,8,5.450941843123587
1991,9,8.186416809168293
1991,10,10.093271465311943
1991,11,13.226856988881707
1991,12,13.422778391364488
1992,1,18.616729099710994
1992,2,16.353236578148596
1992,3,15.951309325974478
1992,4,9.880293977956569
1992,5,6.479002783670921
1992,6,4.489250827868375
1992,7,3.574438480108199
1992,8,6.492725126761172
1992,9,7.923727407293825
1992,10,9.379703017551662
1992,11,13.783313135553044
1992,12,14.911019818552973
1993,1,17.946153505039263
1993,2,18.861283381510646
1993,3,16.552007501225773
1993,4,11.408221425130137
1993,5,5.803465765717931
1993,6,6.554231454737931
1993,7,3.595310815540415
1993,8,6.585421116243083
1993,9,7.282628830588294
1993,10,10.448489809323064
1993,11,11.974614964142177
1993,12,15.321726358273622
1994,1,18.225016923504313
1994,2,16.73434846445474
1994,3,16.283548093211493
1994,4,11.230134073174895
1994,5,8.341929690216944
1994,6,6.658643341782863
1994,7,5.2657519659450145
1994,8,5.690721564538876
1994,9,8.979969250953843
1994,10,10.156408253484301
1994,11,13.562645867270476
1994,12,15.93336725299298
1995,1,17.271390421516116
1995,2,16.95920714677777
1995,3,14.791115975314767
1995,4,11.615455879240187
1995,5,9.716786805228196
1995,6,6.356473461876703
1995,7,2.32528117398698
1995,8,3.5878976782619247
1995,9,7.964996072801512
1995,10,9.7700445894381
1995,11,14.021467617272037
1995,12,18.94034267096697
1996,1,17.086862145770283
1996,2,16.641474473330163
1996,3,15.591687321371808
1996,4,9.95737247826247
1996,5,8.277538822925635
1996,6,5.131949093561843
1996,7,6.847642794832041
1996,8,6.388037652067339
1996,9,8.641910475391512
1996,10,10.608041886569026
1996,11,13.842145465412614
1996,12,16.1382449510038
