,0,1,2,3,4,5,6,7
2023-01-26,283.7630568610297,282.8463791805003,281.96970898724544,281.5267389401279,280.57578362404956,280.25488188493273,280.31251794320565,
2023-01-27,284.30581311826353,283.43087063510256,282.5926019489178,282.1712518909469,281.2635634182186,280.9617065392831,281.0144538879395,
2023-01-28,285.65081928394454,284.8134578682526,284.01652938513445,283.613415960197,282.73125789116307,282.4309449003899,282.48595202410667,
2023-01-29,285.63367772985384,284.8812157915881,284.16136820767997,283.8085332105255,283.0295964490807,282.757602488937,282.7997928195529,
2023-01-30,285.4281793523718,284.7773513682405,284.23197014135525,283.97145033563464,283.3727866455935,282.9913303940384,283.0142253593162,
2023-01-31,286.03372340732153,285.48985634763676,285.0363408771478,284.8273377433318,284.3223681968204,283.97444480551997,283.9961709622984,
2023-02-01,285.4275489383274,284.8196156665629,284.34438500072747,284.12323936882314,283.6223273567791,283.22843948155406,283.23002108821163,
2023-02-02,285.9431276674624,285.2292028271499,284.62748099859965,284.3265370819452,283.6352142948827,283.2223899460453,283.26076366283274,
2023-02-03,286.31896365130393,285.57780778311786,284.83319650330355,284.4647907333643,283.57729883432125,283.26121987236866,283.35328801472974,
2023-02-04,285.0916702129223,284.1998289969266,283.3086835813942,282.8368511128914,281.71813856164687,281.3344415274603,281.4721769403528,
2023-02-05,284.34868092007105,283.52390277462064,282.80526301767424,282.4385775848869,281.60037971351153,281.13532914055713,281.20024342007105,
2023-02-06,284.8344725856075,284.0663726618615,283.4782895632753,283.18070941777455,282.49393655894556,281.91686631170444,281.95352278815375,
2023-02-07,284.83218334339284,283.9618522693971,283.21459414652116,282.82135290559864,281.9042713633779,281.3717085704711,281.4543531205919,
2023-02-08,284.9388980159053,284.03300379086795,283.2927378606962,282.90202067047824,282.0010992389117,281.39603305515647,281.4697139881275,
2023-02-09,285.8256642376935,284.93919370752695,284.1728929651282,283.76960553674996,282.82843549445136,282.31025232017134,282.39511772438334,
2023-02-10,285.9093637819644,285.1138916217462,284.45030323092607,284.11371639306174,283.3109941370942,282.79208743207505,282.8549565915708,
2023-02-11,285.94535213046606,285.0787427222886,284.3168637427908,283.9203639485292,282.9859316070313,282.4954528532167,282.5814740922716,
2023-02-12,285.0431956538448,284.1295248258416,283.3361425138047,282.92384539019514,281.98337701831304,281.46889906190637,281.54075424759475,
2023-02-13,283.59568073131425,282.73205070899286,282.0224568885135,281.65728217712376,280.82264167918186,280.3163649855413,280.36277057506425,
2023-02-14,284.7039238965069,283.8471517714243,283.094690970348,282.7061942325673,281.83645314154364,281.4010365896179,281.4563562605116,
2023-02-15,285.5229308516891,284.7560003010286,284.08003793295114,283.7345147080582,282.9469065979718,282.53283368293404,282.5894908198604,
2023-02-16,281.7495574244747,280.7849472091578,279.9571206057006,279.50817137555805,278.513776458407,277.95770834033607,278.04018423292365,
2023-02-17,280.69445793717,279.68244133696726,278.80689998223187,278.3480776288163,277.3315060664207,276.7861455189433,276.8636654747857,
