Yr,Mon,RIO LARQUI A
1971,1,165.50113765642777
1971,2,130.00796359499432
1971,3,104.41861964353433
1971,4,61.31964353431931
1971,5,31.60128934395147
1971,6,19.947516116799402
1971,7,27.115244596131983
1971,8,38.18824421691317
1971,9,62.58031854379979
1971,10,102.93962836556696
1971,11,135.8365187713311
1971,12,158.77811907470615
1972,1,179.26643913538112
1972,2,132.3283276450512
1972,3,101.55692074326889
1972,4,64.92855517633676
1972,5,32.21001137656429
1972,6,25.011983314372397
1972,7,25.492756920743275
1972,8,40.521918847174824
1972,9,56.096928327645074
1972,10,82.79776260902544
1972,11,119.88892681076985
1972,12,157.4577929465302
1973,1,175.63951459992418
1973,2,131.93041334850213
1973,3,105.09931740614337
1973,4,56.95544178991277
1973,5,32.69412210845658
1973,6,20.757641259006448
1973,7,22.407394766780428
1973,8,36.393742889647335
1973,9,62.82893439514602
1973,10,86.1693970420933
1973,11,122.58934395145998
1973,12,165.9879787637467
1974,1,172.19082290481612
1974,2,125.62002275312858
1974,3,105.39689040576411
1974,4,57.22889647326508
1974,5,38.847667804323116
1974,6,21.81664770572621
1974,7,23.327948426241942
1974,8,36.52798634812288
1974,9,63.950474023511575
1974,10,91.87163443306788
1974,11,128.84603716344333
1974,12,156.85855138414868
1975,1,172.01262798634815
1975,2,127.5888888888889
1975,3,96.77565415244597
1975,4,65.85206674251043
1975,5,29.65828593098218
1975,6,22.54133485020857
1975,7,24.650777398558972
1975,8,36.08179749715586
1975,9,61.17694349639744
1975,10,94.659385665529
1975,11,123.76230565036029
1975,12,154.60963215775507
1976,1,165.93663253697386
1976,2,122.35130830489196
1976,3,100.09453924914676
1976,4,53.78115282518014
1976,5,30.667576791808877
1976,6,19.683541903678424
1976,7,24.871975729996212
1976,8,35.45908229048161
1976,9,59.46856276071293
1976,10,98.2310580204778
1976,11,125.76010618126662
1976,12,160.34656806977628
1977,1,171.93261281759587
1977,2,129.5544178991278
1977,3,107.85654152445964
1977,4,64.42635570724308
1977,5,32.21300720515738
1977,6,23.410428517254452
1977,7,25.00902540766022
1977,8,37.56238149412212
1977,9,64.95009480470233
1977,10,92.30913917330301
1977,11,122.09025407660222
1977,12,153.08031854379982
1978,1,163.3907091391733
1978,2,134.9714069017824
1978,3,101.9296549108836
1978,4,56.723435722411836
1978,5,29.27785362153963
1978,6,21.968297307546454
1978,7,33.76021994690937
1978,8,36.384717481987124
1978,9,61.06939704209331
1978,10,91.04171406901784
1978,11,122.44436860068265
1978,12,159.5277208949564
1979,1,166.77679180887378
1979,2,126.22601441031478
1979,3,100.93151308304893
1979,4,57.777891543420566
1979,5,29.649336367083812
1979,6,18.02354948805461
1979,7,24.46268486916952
1979,8,38.83659461509292
1979,9,53.930830489192275
1979,10,90.67417519908989
1979,11,111.26200227531284
1979,12,146.1879787637467
1980,1,180.74110731892313
1980,2,110.40644671975731
1980,3,105.99969662495262
1980,4,51.246264694728865
1980,5,34.59120212362534
1980,6,22.295904436860077
1980,7,25.733674630261664
1980,8,42.21687523701176
1980,9,65.81505498672736
1980,10,99.23394008342814
1980,11,121.25024649222608
1980,12,151.70443686006828
1981,1,152.3509290860827
1981,2,131.99203640500568
1981,3,99.62157755024653
1981,4,55.14258627227911
1981,5,37.29048160788776
1981,6,21.035608646188862
1981,7,29.297762609025416
1981,8,39.777967387182414
1981,9,63.72582480091013
1981,10,96.48471748198712
1981,11,127.31471368979902
1981,12,161.11255214258628
1982,1,168.56465680697764
1982,2,123.9230565036026
