Yr,Mon,EST. CHACAY C
1989,1,28.32273806262686
1989,2,13.345546129514066
1989,3,26.060081529461023
1989,4,6.6690851655016665
1989,5,71.0384196530528
1989,6,485.8935557747153
1989,7,289.11097218926966
1989,8,330.0117978639382
1989,9,52.8604194132422
1989,10,66.81790288039407
1989,11,28.035601095140418
1989,12,88.42894444408195
1990,1,18.15611001986988
1990,2,38.311501269613935
1990,3,148.07980176569643
1990,4,158.7840892003271
1990,5,189.3980778550805
1990,6,149.86590804893683
1990,7,155.7370792159879
1990,8,207.3304036188186
1990,9,281.57355704394763
1990,10,63.22399197997731
1990,11,66.53500127109831
1990,12,21.259129007922446
1991,1,35.35453795067741
1991,2,9.325128982119322
1991,3,12.57519830281917
1991,4,240.43496814795068
1991,5,712.0067949603658
1991,6,253.94287817217804
1991,7,349.4103369543092
1991,8,89.91279859447151
1991,9,188.6018428770441
1991,10,127.92896373338122
1991,11,57.397983428035026
1991,12,141.49931206713862
1992,1,10.038521848645537
1992,2,29.060491704303043
1992,3,85.75455574085161
1992,4,212.67612505609438
1992,5,825.6793674656916
1992,6,442.57720773826304
1992,7,158.17680637788368
1992,8,179.26770160749612
1992,9,110.33132722479479
1992,10,105.41677701231502
1992,11,40.52990284733183
1992,12,90.14690859434488
1993,1,23.956847316373313
1993,2,1.9816581652774787
1993,3,34.51063189317303
1993,4,151.9490080201634
1993,5,423.9125579311451
1993,6,649.4475517454414
1993,7,241.01059460173187
1993,8,292.6308735777277
1993,9,87.56884854250218
1993,10,129.50103399202726
1993,11,53.07338013320186
1993,12,67.00369343809555
1994,1,3.6306980062084455
1994,2,44.80119628870541
1994,3,19.085767721129496
1994,4,281.4766400082605
1994,5,164.34858012562555
1994,6,412.1362645241778
1994,7,487.8185823107117
1994,8,57.99543129472743
1994,9,293.21271665981567
1994,10,112.82521362033197
1994,11,31.655931248649967
1994,12,81.67804891741021
1995,1,2.990981949380738
1995,2,5.369816158637445
1995,3,24.75652201796294
1995,4,227.1342024821258
1995,5,77.10746891226651
1995,6,510.53518956385227
1995,7,497.47175071710274
1995,8,314.226947251444
1995,9,74.78012234162445
1995,10,90.73886005677008
1995,11,18.22546441886822
1995,12,3.588299657102946
1996,1,9.525139033903958
1996,2,24.135538110730298
1996,3,108.73105322889334
1996,4,95.37703937763725
1996,5,135.51253649205748
1996,6,215.90294186868033
1996,7,94.76982654054873
1996,8,247.38592126271078
1996,9,54.257740080838545
1996,10,64.71860837536109
1996,11,72.03995667076346
1996,12,29.53767583719677
1997,1,21.90697763548445
1997,2,45.64376341327739
1997,3,12.175403920724749
1997,4,388.1122886884677
1997,5,206.95458725053496
1997,6,572.0972499515069
1997,7,270.9261546307491
1997,8,199.04468565634247
1997,9,266.7728201706888
1997,10,247.2192477427083
1997,11,97.29080464414189
1997,12,45.8218245870505
1998,1,4.876778170682862
1998,2,46.01496385746219
1998,3,26.64657458630469
1998,4,95.70579164926171
1998,5,135.63365724539878
1998,6,115.04964683864151
1998,7,129.87967119865058
1998,8,143.27853397217103
1998,9,124.01222956426793
1998,10,5.219556638365708
1998,11,27.221558365357904
1998,12,37.51098634796394
1999,1,23.49440945944857
1999,2,21.4250544086275
1999,3,30.938249349687986
1999,4,36.703761253004586
1999,5,268.13601958478284
1999,6,465.2061195625797
1999,7,149.32281641997423
1999,8,343.0302197179659
1999,9,343.1797925917184
1999,10,38.790375244463
1999,11,35.801981341492095
1999,12,32.740724713675526
2000,1,18.15500153272219
2000,2,209.33875664161332
2000,3,24.30075618639494
2000,4,58.00464365529081
2000,5,89.3177244640238
2000,6,863.1186028637951
2000,7,168.72937223488842
2000,8,316.36005953643456
2000,9,371.6228628236696
2000,10,72.79007928718727
2000,11,57.13913493017789
2000,12,58.55136575894399
2001,1,110.10027208084216
2001,2,8.862199987521972
2001,3,18.676845564303633
2001,4,78.00274306480019
2001,5,611.1817307061168
2001,6,320.7819240797669
2001,7,781.2917024630217
2001,8,315.5313764171721
2001,9,53.51820889129658
2001,10,51.973476811713226
2001,11,67.78959875575849
2001,12,1.296520142012798
2002,1,20.91860139961388
2002,2,191.79840389848087
2002,3,207.08088733078887
2002,4,107.83994728940915
2002,5,285.92101907076557
2002,6,321.7788111925863
2002,7,224.44966644568555
2002,8,583.1645466821192
2002,9,159.47006795854344
2002,10,350.73225317134313
2002,11,123.06540197829037
2002,12,39.47055966656087
2003,1,43.53373623018406
2003,2,1.51186929416621
2003,3,11.995952646561173
2003,4,25.579993665541195
2003,5,145.9199878066175
2003,6,504.13277347816097
