Yr,Mon,EST. CHACAY C
2003,7,207.53141604190208
2003,8,142.75288708309444
2003,9,163.26304729608339
2003,10,131.65064724563496
2003,11,95.26823348964388
2003,12,53.140173335840316
2004,1,5.525274001058434
2004,2,16.731470452572637
2004,3,84.19149579812597
2004,4,257.3420161042668
2004,5,53.28936136077851
2004,6,369.19046649351264
2004,7,386.58219697469553
2004,8,113.84488448057692
2004,9,182.67003976886852
2004,10,183.90685845122255
2004,11,148.3792537657638
2004,12,54.98611027617799
2005,1,12.346909841980084
2005,2,1.3168830615376725
2005,3,45.4381680101323
2005,4,23.409079528828514
2005,5,586.2421609951222
2005,6,456.0643905070792
2005,7,394.70234213164355
2005,8,482.910627066796
2005,9,69.57635917467115
2005,10,45.1739734503099
2005,11,95.30624115452062
2005,12,86.44051043352943
2006,1,40.644438699775186
2006,2,30.983638310885553
2006,3,27.97997844320524
2006,4,170.81914235630734
2006,5,213.34046662320395
2006,6,526.4374597621379
2006,7,537.2992032495487
2006,8,337.65506631375666
2006,9,140.78956946668993
2006,10,205.09399324921355
2006,11,33.289595453516746
2006,12,129.49663099163837
2007,1,43.05430445327775
2007,2,97.7943587989178
2007,3,48.70508729969419
2007,4,115.34125923542099
2007,5,46.37938778265689
2007,6,192.14623622345
2007,7,380.4420727676029
2007,8,181.37387953961263
2007,9,108.70370389314039
2007,10,64.18062658530759
2007,11,16.395092333766208
2007,12,41.52314654921267
2008,1,36.18033092364857
2008,2,30.85043481492557
2008,3,39.20141160204996
2008,4,120.45427558831507
2008,5,644.6099744675805
2008,6,216.86186338147377
2008,7,269.0360982171665
2008,8,409.62034621527243
2008,9,81.38465899853301
2008,10,57.27186488239802
2008,11,29.78560806089063
2008,12,39.30294931230743
2009,1,8.870496900154611
2009,2,34.99943935295093
2009,3,14.646865154190655
2009,4,87.95274080212648
2009,5,424.8095940555094
2009,6,310.86577177402506
2009,7,224.20760431093998
2009,8,311.96669657801743
2009,9,168.87211920752713
2009,10,171.8340579016118
2009,11,140.39539268002954
2009,12,28.035134187269946
2010,1,15.57086965459551
2010,2,61.29435255250078
2010,3,16.714551764699603
2010,4,14.11442641199282
2010,5,97.29753801523304
2010,6,372.87769285588627
2010,7,320.9193606501435
2010,8,219.94649105408044
2010,9,30.656064517208815
2010,10,90.61421194733578
2010,11,49.30416849521129
2010,12,66.25333851183818
2011,1,64.96456397394408
2011,2,46.65479548433595
2011,3,78.09424184031808
2011,4,152.6970199233974
2011,5,60.35505160028576
2011,6,361.0694642533356
2011,7,287.7521892165538
2011,8,428.6648068972975
2011,9,144.24797922202552
2011,10,47.89141958379777
2011,11,63.719381028835215
2011,12,4.608966789770881
2012,1,44.74990911199523
2012,2,168.44956324609882
2012,3,21.243829525669344
2012,4,27.514632260515665
2012,5,315.30899627593396
2012,6,362.979507033514
2012,7,101.25980301121342
2012,8,163.20076518266833
2012,9,40.124453017830945
2012,10,102.25008793679095
2012,11,98.68273502471978
2012,12,230.98539398588156
2013,1,27.545230287066833
2013,2,74.51807628672151
2013,3,23.770207730911903
2013,4,34.17038114654101
2013,5,336.1986287540007
2013,6,259.4999287195628
2013,7,243.50136580202468
2013,8,245.11259335262926
2013,9,209.23904381395076
2013,10,97.93820381167181
2013,11,37.500481800271835
2013,12,0.4619789846351598
2014,1,33.940440582284296
2014,2,30.796730387783956
2014,3,77.64233311502208
2014,4,50.98523362258989
2014,5,235.6143655214059
2014,6,406.1047193436265
2014,7,382.1690186197231
2014,8,293.5372589385628
2014,9,282.0184508330487
2014,10,63.88553412254716
2014,11,20.821113673470098
2014,12,45.25145463528038
2015,1,0.8804418615290387
2015,2,3.4657993151082938
2015,3,11.748740676882115
2015,4,39.17109137017806
2015,5,148.42232740338753
2015,6,292.68381187593496
2015,7,418.08437708686597
2015,8,486.9702902925708
2015,9,167.22359134610346
2015,10,178.53827822522783
2015,11,58.50517992312947
2015,12,20.36780153942478
2016,1,29.908159229893503
2016,2,12.672431854504136
2016,3,8.568860624148167
2016,4,236.01977657868912
2016,5,97.43489824870628
2016,6,19.702962414167892
2016,7,316.28347243838465
2016,8,199.95325931134897
2016,9,57.61467365703119
2016,10,185.5329714562429
2016,11,43.14245511767417
2016,12,61.51601636993881
2017,1,23.450260869594725
2017,2,35.75916318434443
2017,3,51.60592645980289
2017,4,98.30007055701576
2017,5,209.00298043748865
2017,6,379.78629817259593
2017,7,210.02721306145406
2017,8,391.72743804075265
2017,9,138.51687086758997
2017,10,209.94859732449342
2017,11,103.84552761111999
2017,12,26.725138705653425
2018,1,36.76854890492332
2018,2,24.902530337836414
2018,3,93.62503394978077
2018,4,171.3085618762478
2018,5,163.19991035864513
2018,6,234.71069206207252
2018,7,143.22170693798856
2018,8,169.79872724715418
2018,9,317.5995127645549
2018,10,209.89464975049464
2018,11,118.7588636657668
2018,12,49.19867992913313
2019,1,58.2645585657989
2019,2,17.460303896050767
2019,3,19.479857095539653
2019,4,30.476562251464678
2019,5,285.80754271914395
2019,6,461.8506793731667
2019,7,195.1761585608755
2019,8,145.79568010758885
2019,9,125.98231590544209
2019,10,103.15223078352425
2019,11,36.79290213877398
2019,12,16.240461522314945
2020,1,26.775068329339103
2020,2,11.57616713097535
2020,3,3.5887165756597885
2020,4,82.00300230111033
2020,5,85.32048237205767
2020,6,508.78280941060336
2020,7,432.9662552956738
2020,8,167.11633229898737
2020,9,68.23611997411219
2020,10,42.50672886337582
2020,11,17.047664032644835
2020,12,49.80753114557457
2021,1,133.1457479549835
2021,2,15.836440770178893
2021,3,21.76225938670065
2021,4,53.16388520715841
2021,5,244.11089577042517
2021,6,240.10897663718373
2021,7,75.22516639818336
2021,8,311.55446053612144
2021,9,100.63169837564978
2021,10,41.80065890889707
2021,11,20.914129641404045
2021,12,21.351556385279746
2022,1,27.117222595314814
2022,2,24.78163546421145
2022,3,21.877343847034048
2022,4,315.9892868135464
2022,5,116.50750622262808
2022,6,278.34188649261796
2022,7,416.82621331539826
2022,8,198.74088020638268
2022,9,73.09591781693146
2022,10,88.2936606207239
2022,11,56.094381856155024
2022,12,9.41065989638861
2023,1,12.566006497156065
2023,2,0.5414622732082777
2023,3,6.010895311113838
2023,4,128.23779325862313
2023,5,178.99453031026923
2023,6,730.3646212278487
2023,7,317.3511206137495
2023,8,499.3991796708482
2023,9,362.4367212545383
2023,10,91.27708069099961
2023,11,14.72946774174469
