Yr,Mon,EST. PALPAL A
1989,1,1.9342303657368478
1989,2,7.932797625444603
1989,3,29.06658151114901
1989,4,3.9379039650280516
1989,5,53.84334576534709
1989,6,352.3299033804356
1989,7,200.30551935890108
1989,8,175.5202188840997
1989,9,37.20726384942245
1989,10,36.40349606935702
1989,11,11.898237886262095
1989,12,66.89727183657558
1990,1,10.235370388370908
1990,2,25.57509971890208
1990,3,111.75787640582816
1990,4,90.42827275384215
1990,5,120.77023193854403
1990,6,102.3292719170314
1990,7,119.86384746756856
1990,8,157.70389200705299
1990,9,187.03556777749066
1990,10,47.45683526270003
1990,11,39.29484258149955
1990,12,3.602569883333955
1991,1,28.303644170472783
1991,2,2.1429077232793308
1991,3,7.949335958681159
1991,4,146.64552519486807
1991,5,418.96986746124827
1991,6,179.49897595268274
1991,7,247.2924511488832
1991,8,55.626094319555875
1991,9,128.52268642587646
1991,10,87.41350816583304
1991,11,27.16316817563119
1991,12,66.74312116533635
1992,1,5.084674071186575
1992,2,23.506306004751817
1992,3,72.62547993198064
1992,4,133.455414884047
1992,5,720.5277530511032
1992,6,286.0065667147654
1992,7,105.17023985770423
1992,8,143.12556086041832
1992,9,80.22474319402033
1992,10,54.805408842126724
1992,11,14.761284657812325
1992,12,61.97441092673219
1993,1,10.628236847597446
1993,2,0.3530967992885486
1993,3,42.31553019797788
1993,4,127.36487340011998
1993,5,308.49753687501584
1993,6,396.57666452793904
1993,7,186.97251094026407
1993,8,155.22792408350793
1993,9,39.973602899013656
1993,10,63.64300402130863
1993,11,30.0970868145074
1993,12,34.31158801888298
1994,1,0.45159012340505567
1994,2,12.723893012278298
1994,3,11.260329848008267
1994,4,217.72836979513747
1994,5,109.57939592559234
1994,6,328.5302428050644
1994,7,305.11533585807604
1994,8,31.057959892459127
1994,9,176.80826444886267
1994,10,70.59193440510019
1994,11,15.681677532161727
1994,12,55.60274614398469
1995,1,1.5565977951647751
1995,2,0.21682091112348095
1995,3,23.63775046636538
1995,4,155.70443474610235
1995,5,67.0108769248298
1995,6,316.4527822830495
1995,7,309.56635633504914
1995,8,201.56375535803554
1995,9,37.89053712590629
1995,10,75.64836314657477
1995,11,11.71979132857193
1995,12,0.2889971454649694
1996,1,2.9619633239259398
1996,2,17.534652789194027
1996,3,64.04088323402426
1996,4,65.51024915893821
1996,5,103.07112334185848
1996,6,152.79746881416742
1996,7,78.65609122572941
1996,8,215.14252651917985
1996,9,24.865671716391436
1996,10,34.957640915951664
1996,11,41.707413234205845
1996,12,11.883245415586925
1997,1,7.120698265738029
1997,2,31.800490089887536
1997,3,1.2799841750492227
1997,4,222.44801071767668
1997,5,156.11590390923584
1997,6,391.54493468416314
1997,7,184.7037250211621
1997,8,115.37190835738433
1997,9,152.89271761797536
1997,10,167.7697983472481
1997,11,75.63845576381631
1997,12,13.630267738705385
1998,1,0.8243470583471574
1998,2,17.45059647422447
1998,3,13.81911348158505
1998,4,61.897102986075176
1998,5,108.858581581917
1998,6,97.6139338584752
