,0,1,2,3,4,5
2000-01-01,0.0,0.0,0.0,1.0345131158828735e-05,4.769874885018948e-05,6.474554538726807e-05
2000-01-02,1.7176186020151363e-06,1.7176186020151363e-06,1.7176186020151363e-06,1.7176186020151363e-06,1.7176186020151363e-06,1.7176186020151363e-06
2000-01-03,0.00012856125831106624,0.0001847146691092524,0.00032930970191458186,0.00033307156779051957,0.0004205578196315484,0.0005226969718883367
2000-01-04,0.00017141701607670257,0.0002731158781658463,0.0005349904480453915,0.0004764542842601507,0.0004136419847168528,0.0005118489447113461
2000-01-05,0.0001461375553049038,0.0002493994762605351,0.0005152989227212856,0.0005172164312367303,0.0006610167186925063,0.0008419323760904263
2000-01-06,0.00016306638707419552,0.0002576502052030881,0.0005012035368849865,0.0004884251138357534,0.0005690267654678583,0.0007126212119032971
2000-01-07,0.0007800519465490652,0.0008622646747693313,0.0010739624499365164,0.0011434120209824785,0.001520715086770045,0.001801526546387322
2000-01-08,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,4.46018836183529e-06,1.572731837997901e-05,2.066791046217986e-05
2000-01-09,3.866838034127795e-05,6.662004103105205e-05,0.00013859556730722034,0.00014061941592754837,0.00018379276723840725,0.0002335457664344176
2000-01-10,1.099705696105957e-05,1.965015084593446e-05,4.1931867599487305e-05,4.339082674546675e-05,5.936517124682402e-05,7.56382942199707e-05
2000-01-11,0.0,0.0,0.0,1.4212998476895418e-05,6.496128255287104e-05,8.757412433624268e-05
2000-01-12,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07
2000-01-13,3.010033651662525e-06,3.010033651662525e-06,3.010033651662525e-06,9.5489341137264e-06,3.306435709282193e-05,4.3705104872060474e-05
2000-01-14,6.548342639689508e-06,1.1174996884492557e-05,2.3088631564860407e-05,7.179206093868827e-05,0.0002522164025964005,0.00033824819081473834
2000-01-15,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,7.583228014337608e-05,0.0003447065310172394,0.00046418905247946896
2000-01-16,0.00034268498410483517,0.0006034365482907713,0.0012748718260695568,0.0014360007913606669,0.0023465351192328903,0.003037053346531593
2000-01-17,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,9.028911580344356e-05,0.00040963023099541807,0.000551927089588844
2000-01-18,8.523463748133508e-07,8.523463748133508e-07,8.523463748133508e-07,8.523463748133508e-07,8.523463748133508e-07,8.523463748133508e-07
