,FID,min,max,area
0,0,0.0,600.0,4063115.7001036853
1,1,600.0,1200.0,52337683.933619834
2,2,1200.0,1800.0,133249024.06799003
3,3,1800.0,2400.0,119453823.35723397
4,4,2400.0,3000.0,110092273.05263188
5,5,3000.0,3600.0,58835823.25154201
6,6,3600.0,4200.0,23654819.13687848
