Yr,Mon,RIO LARQUI D
1971,1,161.04622641509437
1971,2,126.88490566037736
1971,3,103.22452830188679
1971,4,61.83679245283019
1971,5,34.70849056603773
1971,6,20.161320754716982
1971,7,27.763207547169817
1971,8,38.20283018867925
1971,9,62.84528301886793
1971,10,101.75849056603775
1971,11,130.31886792452832
1971,12,153.43962264150946
1972,1,176.66320754716986
1972,2,126.94433962264151
1972,3,99.94905660377356
1972,4,64.97169811320755
1972,5,35.49528301886792
1972,6,24.02830188679246
1972,7,25.600943396226413
1972,8,39.65754716981132
1972,9,55.28301886792454
1972,10,83.9933962264151
1972,11,118.52075471698113
1972,12,156.4028301886793
1973,1,172.48113207547172
1973,2,130.68396226415095
1973,3,103.64716981132077
1973,4,58.40471698113208
1973,5,35.80377358490567
1973,6,21.702830188679243
1973,7,22.75094339622642
1973,8,36.903773584905665
1973,9,62.858490566037744
1973,10,86.22169811320755
1973,11,121.22075471698113
1973,12,163.01981132075474
1974,1,170.33207547169812
1974,2,123.60943396226418
1974,3,104.94905660377361
1974,4,58.73490566037736
1974,5,41.466037735849056
1974,6,22.613207547169814
1974,7,23.188679245283023
1974,8,37.097169811320754
1974,9,64.17735849056605
1974,10,91.89056603773584
1974,11,124.64433962264152
1974,12,152.81509433962265
1975,1,170.31320754716987
1975,2,123.69528301886793
1975,3,96.99433962264152
1975,4,66.71698113207547
1975,5,32.39622641509434
1975,6,22.012264150943395
1975,7,25.113207547169814
1975,8,35.83962264150944
1975,9,60.276415094339626
1975,10,95.00471698113209
1975,11,120.99056603773586
1975,12,151.05377358490566
1976,1,166.96037735849058
1976,2,119.17169811320755
1976,3,100.19433962264152
1976,4,58.050943396226415
1976,5,33.49622641509434
1976,6,18.94245283018868
1976,7,24.713207547169816
1976,8,36.440566037735856
1976,9,59.93490566037735
1976,10,98.32358490566038
1976,11,122.18867924528303
1976,12,154.53773584905662
1977,1,170.69622641509434
1977,2,126.38962264150945
1977,3,105.42924528301887
1977,4,64.24622641509436
1977,5,34.98962264150944
1977,6,23.323584905660383
1977,7,25.112264150943396
1977,8,37.83490566037737
1977,9,65.03962264150942
1977,10,91.50849056603775
1977,11,117.80094339622643
1977,12,149.27169811320755
1978,1,161.9481132075472
1978,2,129.85566037735848
1978,3,101.911320754717
1978,4,59.098113207547186
1978,5,31.42641509433962
1978,6,22.524528301886797
1978,7,33.532075471698114
1978,8,36.17075471698113
1978,9,60.83962264150945
1978,10,90.97358490566039
1978,11,118.10849056603774
1978,12,157.37169811320757
1979,1,168.311320754717
1979,2,124.67169811320755
1979,3,102.7943396226415
1979,4,60.41698113207548
1979,5,32.43301886792453
1979,6,17.66792452830189
1979,7,24.100943396226416
1979,8,39.70188679245283
1979,9,55.71698113207548
1979,10,91.36792452830188
1979,11,111.56509433962265
1979,12,146.34716981132075
1980,1,178.53396226415097
1980,2,113.64528301886793
1980,3,105.79245283018868
1980,4,54.50094339622641
1980,5,38.03018867924529
1980,6,22.425471698113206
1980,7,25.994339622641515
1980,8,42.52169811320755
1980,9,65.82830188679246
1980,10,97.25754716981133
1980,11,118.68396226415092
1980,12,151.6990566037736
1981,1,154.65849056603773
1981,2,128.79056603773583
1981,3,102.23867924528302
1981,4,57.16792452830189
1981,5,40.20377358490566
1981,6,21.32264150943396
1981,7,28.879245283018868
1981,8,39.239622641509435
1981,9,64.41698113207548
1981,10,97.10377358490564
1981,11,122.63773584905663
1981,12,158.09056603773584
1982,1,172.0235849056604
1982,2,121.93584905660376
1982,3,102.1924528301887
1982,4,59.32358490566037
1982,5,35.24716981132075
1982,6,21.325471698113212
1982,7,27.708490566037735
1982,8,41.10188679245283
1982,9,59.476415094339636
1982,10,89.3509433962264
1982,11,116.15377358490566
1982,12,162.93679245283022
1983,1,157.39150943396228
1983,2,130.34528301886795
1983,3,100.5745283018868
1983,4,60.31603773584907
1983,5,29.870754716981136
1983,6,17.046226415094342
1983,7,23.350000000000005
1983,8,41.01320754716982
1983,9,59.777358490566044
1983,10,99.85471698113209
1983,11,134.09150943396227
1983,12,162.78773584905665
1984,1,169.67735849056604
1984,2,124.87358490566038
1984,3,98.2933962264151
1984,4,58.82358490566038
1984,5,32.29811320754717
1984,6,15.75188679245283
1984,7,25.513207547169813
1984,8,35.87075471698113
1984,9,60.028301886792455
1984,10,82.63207547169812
1984,11,111.48962264150947
1984,12,147.51886792452834
1985,1,160.17547169811323
1985,2,128.07169811320756
1985,3,103.11226415094342
1985,4,56.811320754716974
1985,5,32.90283018867924
1985,6,26.48679245283019
1985,7,25.48207547169811
1985,8,37.116037735849055
1985,9,64.04622641509434
1985,10,87.96698113207549
1985,11,125.78301886792451
1985,12,159.83207547169812
1986,1,168.4433962264151
1986,2,124.25377358490567
1986,3,100.99339622641509
1986,4,55.46132075471698
1986,5,36.184905660377375
1986,6,21.862264150943403
1986,7,24.79716981132076
1986,8,38.99811320754718
1986,9,61.34056603773585
1986,10,94.76509433962264
1986,11,115.89056603773584
1986,12,155.54716981132074
1987,1,174.66603773584905
1987,2,132.67169811320755
1987,3,106.62924528301888
1987,4,59.54905660377358
1987,5,31.330188679245282
1987,6,19.741509433962264
1987,7,30.22641509433963
1987,8,36.752830188679255
1987,9,59.928301886792454
1987,10,90.65377358490565
1987,11,125.98301886792456
1987,12,152.07830188679245
1988,1,165.11226415094342
1988,2,129.45943396226417
1988,3,95.85660377358491
1988,4,60.481132075471706
1988,5,29.326415094339623
1988,6,23.024528301886793
1988,7,25.286792452830188
1988,8,36.715094339622645
1988,9,58.34716981132076
1988,10,95.21698113207549
1988,11,132.21320754716982
1988,12,155.1660377358491
1989,1,169.2358490566038
1989,2,131.08962264150944
1989,3,101.57547169811323
1989,4,62.11603773584906
1989,5,29.445283018867926
1989,6,21.992452830188682
1989,7,28.464150943396227
1989,8,37.215094339622645
1989,9,64.47735849056605
1989,10,99.90283018867925
1989,11,128.20188679245285
1989,12,150.0330188679245
1990,1,172.48396226415096
1990,2,117.42358490566038
1990,3,101.13113207547168
1990,4,57.58679245283019
1990,5,31.133962264150952
1990,6,19.999056603773585
1990,7,23.731132075471706
1990,8,41.98962264150944
1990,9,60.529245283018874
1990,10,94.28490566037738
1990,11,124.39056603773584
1990,12,150.92358490566036
1991,1,165.60094339622643
1991,2,130.13867924528304
1991,3,102.16886792452833
1991,4,57.01981132075472
1991,5,35.15943396226415
1991,6,20.1688679245283
1991,7,24.500943396226415
1991,8,39.028301886792455
1991,9,60.62830188679246
1991,10,94.02264150943397
1991,11,118.57264150943398
1991,12,130.4990566037736
1992,1,167.8990566037736
1992,2,124.85471698113209
1992,3,104.13207547169814
1992,4,54.999056603773596
1992,5,34.466981132075475
1992,6,19.5311320754717
1992,7,22.1811320754717
1992,8,37.217924528301886
1992,9,63.528301886792455
1992,10,94.45660377358493
1992,11,120.98962264150944
1992,12,142.93490566037735
1993,1,166.01037735849062
1993,2,135.70754716981133
1993,3,103.86320754716985
1993,4,61.798113207547175
1993,5,34.58490566037736
1993,6,25.306603773584907
1993,7,24.319811320754717
1993,8,42.89811320754717
1993,9,63.446226415094344
1993,10,93.27358490566041
1993,11,123.35377358490567
1993,12,156.36509433962263
1994,1,170.45943396226417
1994,2,120.31981132075474
1994,3,104.19905660377358
1994,4,59.49905660377358
1994,5,32.21415094339622
1994,6,23.992452830188686
1994,7,25.70094339622641
1994,8,37.58962264150944
1994,9,61.22735849056605
1994,10,87.04811320754716
1994,11,118.83584905660376
1994,12,149.14716981132074
1995,1,162.60660377358494
1995,2,123.36603773584905
1995,3,102.0122641509434
1995,4,64.2311320754717
1995,5,32.03207547169811
1995,6,23.675471698113213
1995,7,23.950000000000003
1995,8,36.640566037735844
1995,9,62.86509433962265
1995,10,92.28584905660377
1995,11,128.1330188679245
1995,12,160.37264150943398
1996,1,169.92924528301887
1996,2,127.38396226415097
1996,3,104.31037735849061
1996,4,57.1056603773585
1996,5,31.65849056603774
1996,6,18.29811320754717
1996,7,25.550943396226415
1996,8,41.90188679245284
1996,9,67.4754716981132
1996,10,94.9547169811321
1996,11,131.41415094339627
1996,12,147.94150943396227
1997,1,163.57547169811323
1997,2,129.31603773584905
1997,3,102.29811320754716
1997,4,66.87830188679247
1997,5,34.70188679245283
1997,6,23.52169811320755
1997,7,26.000000000000007
1997,8,38.92830188679246
1997,9,62.240566037735846
1997,10,86.0566037735849
1997,11,113.83490566037739
1997,12,147.7235849056604
1998,1,169.58490566037736
1998,2,118.05943396226417
1998,3,100.74811320754716
1998,4,56.93490566037737
1998,5,33.83207547169811
1998,6,20.5811320754717
1998,7,24.268867924528305
1998,8,38.152830188679246
1998,9,61.16509433962265
1998,10,107.22735849056603
1998,11,129.9377358490566
1998,12,161.0245283018868
1999,1,170.47075471698116
1999,2,129.15377358490568
1999,3,97.49528301886792
1999,4,59.885849056603774
1999,5,33.32641509433962
1999,6,22.12547169811321
1999,7,23.250000000000004
1999,8,41.51320754716982
1999,9,60.63962264150944
1999,10,93.22075471698115
1999,11,125.80188679245282
1999,12,153.72735849056605
2000,1,169.57830188679247
2000,2,117.18207547169814
2000,3,101.65754716981132
2000,4,58.21698113207547
2000,5,29.06320754716981
2000,6,27.574528301886797
2000,7,23.250000000000004
2000,8,39.591509433962266
2000,9,59.529245283018874
2000,10,94.28490566037738
2000,11,122.10188679245285
2000,12,159.00188679245284
2001,1,162.69433962264154
2001,2,131.72075471698113
2001,3,102.09339622641511
2001,4,58.51792452830189
2001,5,31.91509433962264
2001,6,20.799056603773586
2001,7,32.22641509433962
2001,8,40.52075471698113
2001,9,59.86509433962265
2001,10,96.09056603773584
2001,11,120.82169811320756
2001,12,168.57924528301885
2002,1,165.9481132075472
2002,2,123.69056603773586
2002,3,94.88490566037737
2002,4,57.11792452830189
2002,5,30.93301886792453
2002,6,19.48018867924528
2002,7,25.082075471698122
2002,8,37.52075471698113
2002,9,61.21037735849057
2002,10,88.9377358490566
2002,11,118.26603773584905
2002,12,147.11226415094342
2003,1,170.44811320754718
2003,2,131.87264150943398
2003,3,106.59339622641512
2003,4,58.69811320754717
2003,5,30.763207547169817
2003,6,27.405660377358487
2003,7,24.73679245283019
2003,8,40.10283018867925
2003,9,64.90943396226416
2003,10,101.66698113207548
2003,11,125.87735849056604
2003,12,152.01886792452828
2004,1,171.06603773584902
2004,2,125.18962264150944
2004,3,105.0745283018868
2004,4,57.16698113207548
2004,5,28.97169811320755
2004,6,22.624528301886798
2004,7,27.95660377358491
2004,8,39.51698113207547
2004,9,65.16415094339622
2004,10,85.30660377358491
2004,11,110.37075471698114
2004,12,152.5358490566038
2005,1,171.27830188679246
2005,2,125.69056603773583
2005,3,102.17452830188681
2005,4,61.635849056603774
2005,5,32.58490566037736
2005,6,21.424528301886795
2005,7,27.58301886792453
2005,8,37.26603773584906
2005,9,61.383018867924534
2005,10,91.60377358490564
2005,11,121.52924528301888
2005,12,150.03584905660375
2006,1,169.26320754716983
2006,2,125.23584905660375
2006,3,104.87641509433963
2006,4,61.70471698113209
2006,5,31.45094339622642
2006,6,23.18584905660377
2006,7,28.245283018867923
2006,8,42.62075471698114
2006,9,64.55849056603773
2006,10,89.24905660377358
2006,11,126.8443396226415
2006,12,149.50000000000003
2007,1,168.14150943396226
2007,2,119.961320754717
2007,3,100.92924528301889
2007,4,60.80566037735849
2007,5,29.20094339622641
2007,6,19.661320754716986
2007,7,23.819811320754724
2007,8,34.009433962264154
2007,9,63.07830188679245
2007,10,92.54905660377356
2007,11,127.93962264150944
2007,12,151.39150943396226
2008,1,170.1481132075472
2008,2,120.77075471698113
2008,3,103.44150943396228
2008,4,62.30566037735849
2008,5,32.73396226415095
2008,6,20.34339622641509
2008,7,28.65094339622641
2008,8,39.19811320754718
2008,9,67.25283018867924
2008,10,99.32169811320752
2008,11,132.71981132075473
2008,12,155.7075471698113
2009,1,178.4547169811321
2009,2,133.20094339622642
2009,3,114.89150943396228
2009,4,67.98490566037736
2009,5,32.90754716981132
2009,6,22.8245283018868
2009,7,26.00094339622641
