Yr,Mon,RIO LARQUI B
1971,1,165.9573394495413
1971,2,130.05313455657492
1971,3,104.37431192660551
1971,4,60.742584097859314
1971,5,31.12018348623853
1971,6,19.375840978593278
1971,7,26.385244648318043
1971,8,37.71697247706422
1971,9,62.07125382262997
1971,10,102.33218654434249
1971,11,134.14235474006114
1971,12,158.56460244648315
1972,1,180.38807339449534
1972,2,131.87385321100916
1972,3,101.53012232415902
1972,4,64.28302752293577
1972,5,31.71567278287462
1972,6,24.121788990825692
1972,7,24.66918960244648
1972,8,39.8454128440367
1972,9,55.22935779816513
1972,10,82.68050458715595
1972,11,118.78279816513759
1972,12,158.09961773700306
1973,1,176.6440366972477
1973,2,132.3470183486238
1973,3,105.28042813455662
1973,4,56.62461773700306
1973,5,32.19296636085627
1973,6,20.292431192660548
1973,7,21.544266055045867
1973,8,36.03967889908256
1973,9,62.35474006116207
1973,10,85.70688073394496
1973,11,121.50191131498468
1973,12,166.32354740061157
1974,1,173.34908256880735
1974,2,125.97155963302751
1974,3,105.73906727828746
1974,4,56.93654434250765
1974,5,38.37935779816513
1974,6,21.376376146788985
1974,7,22.44418960244648
1974,8,36.12423547400612
1974,9,63.481116207951075
1974,10,91.36154434250764
1974,11,127.3445718654434
1974,12,156.8945718654434
1975,1,173.10267584097858
1975,2,127.3230886850153
1975,3,97.05122324159021
1975,4,65.5361620795107
1975,5,29.269495412844034
1975,6,21.68960244648318
1975,7,23.97094801223241
1975,8,35.581727828746175
1975,9,60.373700305810395
1975,10,94.43975535168197
1975,11,122.53134556574923
1975,12,154.6121559633027
1976,1,167.53432721712542
1976,2,122.3460244648318
1976,3,100.29602446483182
1976,4,53.93058103975535
1976,5,30.252446483180428
1976,6,18.918654434250765
1976,7,24.00802752293578
1976,8,35.262155963302746
1976,9,58.99548929663609
1976,10,97.92866972477066
1976,11,124.11873088685016
1976,12,160.04051987767582
1977,1,173.19457186544344
1977,2,129.490749235474
1977,3,107.73922018348624
1977,4,63.799006116207956
1977,5,31.84411314984709
1977,6,22.73379204892966
1977,7,24.34243119266055
1977,8,37.07767584097859
1977,9,64.3650611620795
1977,10,91.71314984709481
1977,11,120.37370030581037
1977,12,152.92370030581037
1978,1,164.30963302752292
1978,2,134.6184250764526
1978,3,102.28799694189603
1978,4,56.563149847094806
1978,5,28.761850152905204
1978,6,21.47637614678899
1978,7,32.810397553516815
1978,8,35.90351681957187
1978,9,60.50344036697248
1978,10,90.64617737003059
1978,11,120.71330275229354
1978,12,159.85145259938832
1979,1,168.36314984709477
1979,2,126.4716360856269
1979,3,101.49357798165136
1979,4,57.71490825688073
1979,5,29.28081039755352
1979,6,17.52194189602446
1979,7,23.40871559633027
1979,8,38.470030581039765
1979,9,53.71460244648316
1979,10,90.49082568807341
1979,11,110.43570336391436
1979,12,147.00359327217123
1980,1,181.6317278287462
1980,2,111.49357798165138
1980,3,106.30833333333331
1980,4,51.31804281345565
1980,5,34.06162079510703
1980,6,21.739067278287454
1980,7,24.960091743119264
1980,8,41.76368501529052
1980,9,65.2650611620795
1980,10,98.47385321100916
1980,11,119.96100917431193
1980,12,152.5428134556575
1981,1,154.26001529051985
1981,2,132.092125382263
1981,3,100.32087155963302
1981,4,55.05764525993883
1981,5,36.57507645259939
1981,6,20.495107033639144
1981,7,28.387308868501528
1981,8,39.14281345565748
1981,9,63.37859327217125
1981,10,96.26796636085629
1981,11,125.525993883792
1981,12,161.44143730886853
1982,1,170.56651376146792
1982,2,124.11681957186545
1982,3,102.15787461773701
1982,4,57.635168195718656
1982,5,32.10810397553517
1982,6,20.478593272171253
1982,7,26.565672782874618
1982,8,40.10099388379205
1982,9,58.31857798165137
1982,10,88.58302752293577
1982,11,117.10107033639143
1982,12,168.03929663608562
1983,1,156.58470948012234
1983,2,135.6042813455657
1983,3,100.50152905198779
1983,4,58.354051987767576
1983,5,27.768654434250763
1983,6,16.67637614678899
1983,7,22.333256880733938
1983,8,40.763837920489294
1983,9,59.10267584097858
1983,10,99.20825688073393
1983,11,138.39954128440363
1983,12,165.2118501529052
1984,1,170.48004587155958
1984,2,126.87125382262997
1984,3,97.42400611620795
1984,4,57.6664373088685
1984,5,28.67752293577981
1984,6,15.694189602446484
1984,7,24.82981651376146
1984,8,35.71697247706422
1984,9,58.460550458715595
1984,10,80.46368501529051
1984,11,112.42775229357801
1984,12,150.16460244648314
1985,1,158.49816513761468
1985,2,131.190749235474
1985,3,103.92721712538224
1985,4,53.69747706422018
1985,5,29.84480122324159
1985,6,26.11995412844037
1985,7,24.682415902140672
1985,8,36.82782874617737
1985,9,62.63188073394494
1985,10,86.55833333333334
1985,11,126.22897553516819
1985,12,162.69487767584098
1986,1,169.41047400611617
1986,2,126.51154434250765
1986,3,100.97316513761467
1986,4,51.646177370030586
1986,5,33.33379204892966
1986,6,21.201452599388375
1986,7,24.346100917431198
1986,8,37.77660550458716
1986,9,60.08562691131498
1986,10,94.4038990825688
1986,11,115.28600917431191
1986,12,157.87071865443426
1987,1,176.9469418960245
1987,2,134.9123853211009
1987,3,107.6321865443425
1987,4,56.321788990825695
1987,5,28.71353211009174
1987,6,19.35688073394496
1987,7,29.311697247706423
1987,8,36.403669724770644
1987,9,58.93211009174312
1987,10,90.09426605504588
1987,11,128.39808868501527
1987,12,156.8386850152905
1988,1,165.1111620795107
1988,2,131.5269113149847
1988,3,96.19824159021404
1988,4,56.98394495412845
1988,5,27.42874617737003
1988,6,22.381269113149845
1988,7,24.647094801223247
1988,8,35.554663608562684
1988,9,57.60833333333333
1988,10,95.02935779816512
1988,11,134.72354740061155
1988,12,157.40932721712537
1989,1,171.46383792048928
1989,2,133.44900611620795
1989,3,101.43524464831805
1989,4,61.399464831804295
1989,5,26.903440366972475
1989,6,21.418195718654438
1989,7,27.369189602446482
1989,8,36.34136085626911
1989,9,64.1644495412844
1989,10,99.79334862385319
1989,11,130.0416666666666
1989,12,148.3994648318043
1990,1,176.09633027522943
1990,2,118.3007645259939
1990,3,101.71376146788988
1990,4,54.78478593272171
1990,5,28.674847094801223
1990,6,19.818501529051986
1990,7,23.12637614678899
1990,8,40.939678899082566
