Sources and Destinations,Decrease in Storage for AC_01,Decrease in Storage for AC_02,Decrease in Storage for AC_03,Increase in Storage for AC_01,Increase in Storage for AC_02,Increase in Storage for AC_03,Inflow from Below CA_Alameda Diverted Inflow,Inflow from Below CA_Arboleda Grande Diverted Inflow,Inflow from Below CA_Batuco Chalinga Diverted Inflow,Inflow from Below CA_Chalinga Diverted Inflow,Inflow from Below CA_Chanar Chalinga Diverted Inflow,Inflow from Below CA_Chilcas Diverted Inflow,Inflow from Below CA_Cunlagua Diverted Inflow,Inflow from Below CA_Destiladera Diverted Inflow,Inflow from Below CA_Gabino Diverted Inflow,Inflow from Below CA_Huanque Diverted Inflow,Inflow from Below CA_Los Guindos Diverted Inflow,Inflow from Below CA_Maravillal Diverted Inflow,Inflow from Below CA_Molino de Zapallar Diverted Inflow,Inflow from Below CA_Palquial Diverted Inflow,Inflow from Below CA_Tebal Diverted Inflow,Inflow from Below CA_Toma Ranque Diverted Inflow,Inflow from Below CA_Valentino Diverted Inflow,Inflow from Below CL_09 Inflow,Inflow from Below ZR_Alameda Runoff,Inflow from Runoff/Infiltration from ZR_Alameda_FRU to AC_02,Inflow from Runoff/Infiltration from ZR_Arboleda Grande_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Batuco Chalinga_FRU to AC_01,Inflow from Runoff/Infiltration from ZR_Chalinga_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Chanar Chalinga_ANU to AC_03,Inflow from Runoff/Infiltration from ZR_Chilcas_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Cunlagua_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Destiladera_ANU to AC_01,Inflow from Runoff/Infiltration from ZR_Gavino_ANU to AC_01,Inflow from Runoff/Infiltration from ZR_Huanque_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Los Guindos_ANU to AC_03,Inflow from Runoff/Infiltration from ZR_Maravillal_FRU to AC_02,Inflow from Runoff/Infiltration from ZR_Molino de Zapallar_FRU to AC_01,Inflow from Runoff/Infiltration from ZR_Palquial_FRU to AC_02,Inflow from Runoff/Infiltration from ZR_Tebal_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Toma Ranque_FRU to AC_02,Inflow from Runoff/Infiltration from ZR_Valentino_FRU to AC_02,Natural Recharge,Outflow to Agua Potable_AC02,Outflow to Agua Potable_AC03,Outflow to Below CA_Alameda Diverted Inflow,Outflow to Below CA_Arboleda Grande Diverted Inflow,Outflow to Below CA_Batuco Chalinga Diverted Inflow,Outflow to Below CA_Chalinga Diverted Inflow,Outflow to Below CA_Chanar Chalinga Diverted Inflow,Outflow to Below CA_Chilcas Diverted Inflow,Outflow to Below CA_Cunlagua Diverted Inflow,Outflow to Below CA_Destiladera Diverted Inflow,Outflow to Below CA_Gabino Diverted Inflow,Outflow to Below CA_Huanque Diverted Inflow,Outflow to Below CA_Los Guindos Diverted Inflow,Outflow to Below CA_Maravillal Diverted Inflow,Outflow to Below CA_Molino de Zapallar Diverted Inflow,Outflow to Below CA_Palquial Diverted Inflow,Outflow to Below CA_Tebal Diverted Inflow,Outflow to Below CA_Toma Ranque Diverted Inflow,Outflow to Below CA_Valentino Diverted Inflow,Outflow to Below CL_09 Inflow,Outflow to Below ZR_Alameda Runoff,Outflow to Veg_Riparia AC_03,Outflow to Veg_Riparia AC01,Outflow to Veg_Riparia AC02,Overflow
feb-90,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0124778,0.0118313,0,0,0,0,0.00159428,0,0,0,0,0,0.00247058,0,0,0,0,0,0,0,-0.00857192,-0.0135804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008175,-0.007225,-0.008175,-0.99283
mar-90,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0105053,0.00894446,0,0,0,0,0.00081663,0,0,0,0,0,0.00098598,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00681935,-0.00609677,-0.00681935,-0.991691
abr-90,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0102301,0.00912799,0,0,0.00263496,0,0.000465509,0,0,0,0,0,0.000694848,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107333,-0.0084,-0.0107333,-0.982794
may-90,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0139252,0.0121344,0,0,0.00213769,0,0.000238645,0,0,0,0,0,0.000412306,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103871,-0.00808387,-0.0103871,-0.990165
jun-90,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0162302,0.0146368,0,0,0.00192494,0,6.19035E-05,0,0,0,0,0,0.000102227,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01057,-0.00828333,-0.01057,-0.99304
jul-90,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0159334,0.01416,0,0,0.000763461,0,0.00015319,0,0,0,0,0,0.000141642,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100258,-0.00794839,-0.0100258,-0.993326
ago-90,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0134945,0.0120939,0,0,0.00058023,0,0.000145657,0,0,0,0,0,0.00046699,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00977742,-0.00783548,-0.00977742,-0.989565
sept-90,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0199361,0.0185731,0,0,0.00034712,0,0.0004443,0,0,0,0,0,0.00109181,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0098,-0.00800333,-0.0098,-1.0023
oct-90,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0249916,0.0237445,0,0,0.000641307,0,0.00139494,0,0,0,0,0,0.00303204,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0092129,-0.0075871,-0.0092129,-1.01797
nov-90,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.024481,0.0238668,0,0,0.000757353,0,0.00250728,0,0,0,0,0,0.00591376,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00921667,-0.00767667,-0.00921667,-1.02092
