Sources and Destinations,Decrease in Storage for AC_01,Decrease in Storage for AC_02,Decrease in Storage for AC_03,Increase in Storage for AC_01,Increase in Storage for AC_02,Increase in Storage for AC_03,Inflow from Below CA_Alameda Diverted Inflow,Inflow from Below CA_Arboleda Grande Diverted Inflow,Inflow from Below CA_Batuco Chalinga Diverted Inflow,Inflow from Below CA_Chalinga Diverted Inflow,Inflow from Below CA_Chanar Chalinga Diverted Inflow,Inflow from Below CA_Chilcas Diverted Inflow,Inflow from Below CA_Cunlagua Diverted Inflow,Inflow from Below CA_Destiladera Diverted Inflow,Inflow from Below CA_Gabino Diverted Inflow,Inflow from Below CA_Huanque Diverted Inflow,Inflow from Below CA_Los Guindos Diverted Inflow,Inflow from Below CA_Maravillal Diverted Inflow,Inflow from Below CA_Molino de Zapallar Diverted Inflow,Inflow from Below CA_Palquial Diverted Inflow,Inflow from Below CA_Tebal Diverted Inflow,Inflow from Below CA_Toma Ranque Diverted Inflow,Inflow from Below CA_Valentino Diverted Inflow,Inflow from Below CL_09 Inflow,Inflow from Below ZR_Alameda Runoff,Inflow from Runoff/Infiltration from ZR_Alameda_FRU to AC_02,Inflow from Runoff/Infiltration from ZR_Arboleda Grande_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Batuco Chalinga_FRU to AC_01,Inflow from Runoff/Infiltration from ZR_Chalinga_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Chanar Chalinga_ANU to AC_03,Inflow from Runoff/Infiltration from ZR_Chilcas_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Cunlagua_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Destiladera_ANU to AC_01,Inflow from Runoff/Infiltration from ZR_Gavino_ANU to AC_01,Inflow from Runoff/Infiltration from ZR_Huanque_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Los Guindos_ANU to AC_03,Inflow from Runoff/Infiltration from ZR_Maravillal_FRU to AC_02,Inflow from Runoff/Infiltration from ZR_Molino de Zapallar_FRU to AC_01,Inflow from Runoff/Infiltration from ZR_Palquial_FRU to AC_02,Inflow from Runoff/Infiltration from ZR_Tebal_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Toma Ranque_FRU to AC_02,Inflow from Runoff/Infiltration from ZR_Valentino_FRU to AC_02,Natural Recharge,Outflow to Agua Potable_AC02,Outflow to Agua Potable_AC03,Outflow to Below CA_Alameda Diverted Inflow,Outflow to Below CA_Arboleda Grande Diverted Inflow,Outflow to Below CA_Batuco Chalinga Diverted Inflow,Outflow to Below CA_Chalinga Diverted Inflow,Outflow to Below CA_Chanar Chalinga Diverted Inflow,Outflow to Below CA_Chilcas Diverted Inflow,Outflow to Below CA_Cunlagua Diverted Inflow,Outflow to Below CA_Destiladera Diverted Inflow,Outflow to Below CA_Gabino Diverted Inflow,Outflow to Below CA_Huanque Diverted Inflow,Outflow to Below CA_Los Guindos Diverted Inflow,Outflow to Below CA_Maravillal Diverted Inflow,Outflow to Below CA_Molino de Zapallar Diverted Inflow,Outflow to Below CA_Palquial Diverted Inflow,Outflow to Below CA_Tebal Diverted Inflow,Outflow to Below CA_Toma Ranque Diverted Inflow,Outflow to Below CA_Valentino Diverted Inflow,Outflow to Below CL_09 Inflow,Outflow to Below ZR_Alameda Runoff,Outflow to Veg_Riparia AC_03,Outflow to Veg_Riparia AC01,Outflow to Veg_Riparia AC02,Overflow
oct-91,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.013158,0.0119986,0,0,0.000641307,0,0.00139494,0,0,0,0,0,0.00303204,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0092129,-0.0075871,-0.0092129,-0.994386
nov-91,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0167768,0.0161183,0,0,0.000757353,0,0.00250728,0,0,0,0,0,0.00591376,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00921667,-0.00767667,-0.00921667,-1.00547
dic-91,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0179631,0.0172928,0,0,0.00108411,0,0.00295444,0,0,0,0,0,0.00634159,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00849032,-0.00718065,-0.00849032,-1.01165
ene-92,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0146238,0.014162,0,0,0.00155746,0,0.00270252,0,0,0,0,0,0.00596717,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00799355,-0.00684194,-0.00799355,-1.00636
feb-92,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0115479,0.0107541,0,0,0.00199132,0,0.00153931,0,0,0,0,0,0.00238539,0,0,0,0,0,0,0,-0.00827634,-0.0131121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0078931,-0.00697586,-0.0078931,-0.994251
mar-92,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0100449,0.00852731,0,0,0.00233619,0,0.000756179,0,0,0,0,0,0.000857853,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00681935,-0.00609677,-0.00681935,-0.992961
abr-92,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0101119,0.00868381,0,0,0.00219317,0,0.000184412,0,0,0,0,0,9.90573E-05,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107333,-0.0084,-0.0107333,-0.980913
may-92,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0101797,0.00855685,0,0,0.00125208,0,0.000560973,0,0,0,0,0,0.000884879,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103871,-0.00808387,-0.0103871,-0.922751
jun-92,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0156202,0.0150893,0,0,0.00536458,0,0.00242513,0,0,0,0,0,0.00357933,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01057,-0.00828333,-0.01057,-0.942163
jul-92,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0159165,0.0143859,0,0,0.00111465,0,0.000231117,0,0,0,0,0,0.000616822,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100258,-0.00794839,-0.0100258,-0.994439
ago-92,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0137585,0.0126022,0,0,0.00311492,0,0.000892228,0,0,0,0,0,0.0012061,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00977742,-0.00783548,-0.00977742,-0.994358
sept-92,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0213943,0.0201462,0,0,0.000489124,0,0.000584848,0,0,0,0,0,0.0013897,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0098,-0.00800333,-0.0098,-1.00591
oct-92,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0273782,0.0261157,0,0,0.000656576,0,0.00141006,0,0,0,0,0,0.00306407,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0092129,-0.0075871,-0.0092129,-1.02279
nov-92,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0252892,0.0246008,0,0,0.000504902,0,0.00227303,0,0,0,0,0,0.00541726,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00921667,-0.00767667,-0.00921667,-1.02148
dic-92,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0170701,0.0165123,0,0,0.00108411,0,0.00295444,0,0,0,0,0,0.00634159,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00849032,-0.00718065,-0.00849032,-1.00998
ene-93,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0155641,0.0150839,0,0,0.00155746,0,0.00270252,0,0,0,0,0,0.00596717,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00799355,-0.00684194,-0.00799355,-1.00822
feb-93,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0131714,0.0124,0,0,0.00207934,0,0.00159428,0,0,0,0,0,0.00247058,0,0,0,0,0,0,0,-0.00857192,-0.0135804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008175,-0.007225,-0.008175,-0.996171
mar-93,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0100495,0.00835687,0,0,0.00247361,0,0.00081663,0,0,0,0,0,0.00098598,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00681935,-0.00609677,-0.00681935,-0.993122
abr-93,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0108439,0.00941853,0,0,0.00227206,0,0.000215645,0,0,0,0,0,0.000165256,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107333,-0.0084,-0.0107333,-0.982556
may-93,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0311016,0.0294622,0,0,0.000763461,0,0.00099019,0,0,0,0,0,0.00151501,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103871,-0.00808387,-0.0103871,-1.02515
jun-93,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.019602,0.0182586,0,0,0.00190916,0,6.19035E-05,0,0,0,0,0,0.000102227,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01057,-0.00828333,-0.01057,-1.00002
jul-93,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0154858,0.0137504,0,0,0.000763461,0,0.00015319,0,0,0,0,0,0.000141642,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100258,-0.00794839,-0.0100258,-0.978469
ago-93,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0124219,0.0109693,0,0,0.000397,0,0.000048101,0,0,0,0,0,5.05771E-05,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00977742,-0.00783548,-0.00977742,-0.986671
sept-93,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0151642,0.0139154,0,0,0.000536458,0,0.000631698,0,0,0,0,0,0.001489,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0098,-0.00800333,-0.0098,-0.993641
oct-93,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0145854,0.0133908,0,0,0.000671845,0,0.00142517,0,0,0,0,0,0.0030961,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0092129,-0.0075871,-0.0092129,-0.997331
nov-93,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0152009,0.014571,0,0,0.000757353,0,0.00250728,0,0,0,0,0,0.00591376,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00921667,-0.00767667,-0.00921667,-1.00235
dic-93,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0132543,0.0126155,0,0,0.00108411,0,0.00295444,0,0,0,0,0,0.00634159,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00849032,-0.00718065,-0.00849032,-1.00226
ene-94,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0118178,0.0113361,0,0,0.00155746,0,0.00270252,0,0,0,0,0,0.00596717,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00799355,-0.00684194,-0.00799355,-1.00073
feb-94,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0101981,0.0094182,0,0,0.00207934,0,0.00159428,0,0,0,0,0,0.00247058,0,0,0,0,0,0,0,-0.00857192,-0.0135804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008175,-0.007225,-0.008175,-0.990216
mar-94,0,0,0,0,0,0,0.00714,0.0990174,0.1992,0.0618717,0.0124215,0.0532351,0.107358,0.036176,0.02016,0.0822305,0.0124215,0.01578,0.015399,0.116,0.0952998,0.000804,0.0091,0.00726331,0.00557115,0,0,0.00247361,0,0.00081663,0,0,0,0,0,0.00098598,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00681935,-0.00609677,-0.00681935,-0.920981
abr-94,0,0,0,0,0,0,0.00714,0.107564,0.1992,0.0672123,0.0134937,0.0578303,0.116624,0.036176,0.02016,0.0893285,0.0134937,0.01578,0.015399,0.116,0.103526,0.000804,0.0091,0.0079215,0.00659995,0,0,0.0026034,0,0.000434276,0,0,0,0,0,0.000628649,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107333,-0.0084,-0.0107333,-0.956478
may-94,0,0,0,0,0,0,0.00714,0.0992204,0.1992,0.0619986,0.012447,0.0533443,0.107578,0.036176,0.02016,0.0823992,0.012447,0.01578,0.015399,0.116,0.0954952,0.000804,0.0091,0.00728519,0.00548928,0,0,0.001985,0,0.00010263,0,0,0,0,0,0.00012402,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103871,-0.00808387,-0.0103871,-0.910808
jun-94,0,0,0,0,0,0,0.00714,0.103674,0.1992,0.0647813,0.0130057,0.0557387,0.112406,0.036176,0.02016,0.0860977,0.0130057,0.01578,0.015399,0.116,0.0997815,0.000804,0.0091,0.00762631,0.00604155,0,0,0.00175138,0,0.000104022,0,0,0,0,0,0.000171716,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01057,-0.00828333,-0.01057,-0.933846
jul-94,0,0,0,0,0,0,0.00714,0.103516,0.1992,0.064683,0.0129859,0.055654,0.112236,0.036176,0.02016,0.0859669,0.0129859,0.01578,0.015399,0.116,0.09963,0.000804,0.0091,0.00761115,0.00586665,0,0,0.000717653,0,0.000196111,0,0,0,0,0,0.000204655,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100258,-0.00794839,-0.0100258,-0.934005
ago-94,0,0,0,0,0,0,0.00714,0.110651,0.1992,0.0691407,0.0138809,0.0594895,0.119971,0.036176,0.02016,0.0918915,0.0138809,0.01578,0.015399,0.116,0.106496,0.000804,0.0091,0.00815567,0.00679552,0,0,0.000793999,0,0.000327009,0,0,0,0,0,0.000851371,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00977742,-0.00783548,-0.00977742,-0.974685
sept-94,0,0,0,0,0,0,0.00714,0.0902593,0.1992,0.0563991,0.0113229,0.0485265,0.0978618,0.036176,0.02016,0.0749573,0.0113229,0.01578,0.015399,0.116,0.0868706,0.000804,0.0091,0.00660852,0.00541228,0,0,0.000662684,0,0.000741013,0,0,0,0,0,0.0017207,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0098,-0.00800333,-0.0098,-0.864146
oct-94,0,0,0,0,0,0,0.0060857,0.0767352,0.169786,0.0479485,0.00962628,0.0412555,0.0831986,0.0308342,0.0171831,0.063726,0.00962628,0.0134499,0.0131252,0.0988713,0.0738542,0.00068528,0.00775628,0.00562348,0.00562224,0,0,0.000656576,0,0.00142517,0,0,0,0,0,0.0030961,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0092129,-0.0075871,-0.0092129,-0.734149
nov-94,0,0,0,0,0,0,0.00570135,0.0718889,0.159063,0.0449203,0.00901832,0.03865,0.0779441,0.0288868,0.0160979,0.0597013,0.00901832,0.0126005,0.0122962,0.0926269,0.0691899,0.000642001,0.00726642,0.00526034,0.00528043,0,0,0.000757353,0,0.00250728,0,0,0,0,0,0.00408503,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00921667,-0.00767667,-0.00921667,-0.686617
dic-94,0,0,0,0,0,0,0.00514203,0.0648365,0.143458,0.0405135,0.00813361,0.0348583,0.0702976,0.026053,0.0145187,0.0538445,0.00813361,0.0113643,0.0110899,0.08354,0.0624022,0.000579019,0.00655357,0.00474076,0.0049648,0,0,0.00108411,0,0.00295444,0,0,0,0,0,0.00368428,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00849032,-0.00718065,-0.00849032,-0.618577
ene-95,0,0,0,0,0,0,0.00533448,0.0672631,0.148828,0.0420298,0.00843802,0.0361629,0.0729286,0.027028,0.0150621,0.0558597,0.00843802,0.0117897,0.011505,0.0866667,0.0647377,0.00060069,0.00679885,0.00491151,0.00450054,0,0,0.00155746,0,0.00270252,0,0,0,0,0,0.00382217,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00799355,-0.00684194,-0.00799355,-0.644128
feb-95,0,0,0,0,0,0,0.00488037,0.0615372,0.136158,0.0384519,0.00771972,0.0330845,0.0667204,0.0247272,0.0137799,0.0511045,0.00771972,0.010786,0.0105256,0.079289,0.0592268,0.000549555,0.00622008,0.00449888,0.00451759,0,0,0.00207934,0,0.00159428,0,0,0,0,0,0.00247058,0,0,0,0,0,0,0,-0.00857192,-0.0135804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008175,-0.007225,-0.008175,-0.581914
mar-95,0,0,0,0,0,0,0.00420663,0.0530419,0.117361,0.0331436,0.006654,0.0285171,0.0575095,0.0213136,0.0118775,0.0440495,0.006654,0.00929701,0.00907254,0.068343,0.0510504,0.000473688,0.00536139,0.00386961,0.00353459,0,0,0.00247361,0,0.00081663,0,0,0,0,0,0.00098598,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00681935,-0.00609677,-0.00681935,-0.499863
abr-95,0,0,0,0,0,0,0.00434301,0.0547615,0.121166,0.0342181,0.00686972,0.0294417,0.059374,0.0220046,0.0122626,0.0454775,0.00686972,0.00959842,0.00936667,0.0705587,0.0527055,0.000489045,0.00553521,0.00399153,0.00303906,0,0,0.0024614,0,0.000356193,0,0,0,0,0,0.000463152,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107333,-0.0084,-0.0107333,-0.504812
may-95,0,0,0,0,0,0,0.00437678,0.0551873,0.122108,0.0344841,0.00692313,0.0296706,0.0598357,0.0221757,0.012358,0.0458311,0.00692313,0.00967305,0.0094395,0.0711073,0.0531153,0.000492847,0.00557825,0.00402236,0.00286061,0,0,0.00212242,0,0.000223532,0,0,0,0,0,0.000380274,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103871,-0.00808387,-0.0103871,-0.510023
jun-95,0,0,0,0,0,0,0.00431015,0.0543472,0.12025,0.0339592,0.00681774,0.0292189,0.0589248,0.0218381,0.0121698,0.0451335,0.00681774,0.0095258,0.0092958,0.0700249,0.0523067,0.000485345,0.00549333,0.00396386,0.00299558,0,0,0.00168827,0,0.000148374,0,0,0,0,0,0.00023683,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01057,-0.00828333,-0.01057,-0.499853
jul-95,0,0,0,0,0,0,0.00446474,0.0562964,0.124563,0.0351772,0.00706228,0.0302669,0.0610382,0.0226214,0.0126063,0.0467523,0.00706228,0.00986746,0.00962921,0.0725365,0.0541828,0.000502753,0.00569036,0.00410237,0.00276812,0,0,0.000839807,0,9.59607E-05,0,0,0,0,0,5.76239E-05,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100258,-0.00794839,-0.0100258,-0.520175
ago-95,0,0,0,0,0,0,0.00422976,0.0533335,0.118007,0.0333258,0.00669058,0.0286739,0.0578257,0.0214308,0.0119428,0.0442916,0.00669058,0.00934812,0.00912241,0.0687187,0.0513311,0.000476292,0.00539087,0.00389156,0.00324357,0,0,0.000595499,0,0.000145657,0,0,0,0,0,0.00046699,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00977742,-0.00783548,-0.00977742,-0.491774
sept-95,0,0,0,0,0,0,0.00346263,0.0436607,0.0966045,0.0272817,0.00547715,0.0234735,0.0473382,0.017544,0.00977684,0.0362587,0.00547715,0.0076527,0.00746793,0.0562556,0.0420214,0.00038991,0.00441316,0.00318658,0.00335692,0,0,0.000441789,0,0.000537999,0,0,0,0,0,0.0012904,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0098,-0.00800333,-0.0098,-0.395091
oct-95,0,0,0,0,0,0,0.00397536,0.0501257,0.110909,0.0313214,0.00628818,0.0269493,0.0543478,0.0201418,0.0112245,0.0416277,0.00628818,0.00878588,0.00857375,0.0645857,0.0482438,0.000447646,0.00506664,0.00364323,0.00267447,0,0,0.000656576,0,0.00141006,0,0,0,0,0,0.00284836,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0092129,-0.0075871,-0.0092129,-0.464114
nov-95,0,0,0,0,0,0,0.00324072,0.0408626,0.0904134,0.0255333,0.00512613,0.0219691,0.0443044,0.0164197,0.00915027,0.033935,0.00512613,0.00716227,0.00698934,0.0526504,0.0393284,0.000364922,0.00413033,0.00298004,0.00365004,0,0,0.000757353,0,0.00250728,0,0,0,0,0,0.00232199,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00921667,-0.00767667,-0.00921667,-0.372138
