,FID,min,max,area
0,0,0.0,600.0,2496840.7765371245
1,1,600.0,1200.0,41958.87533794315
2,2,1200.0,1800.0,11513987.704622537
3,3,1800.0,2400.0,39178152.645659015
4,4,2400.0,3000.0,70941190.11349788
5,5,3000.0,3600.0,107086191.63502674
6,6,3600.0,4200.0,9735740.749317983
