,min,max,mean,area,AreaBelowMElev
0,1288.0,1499.0,1436.7559656379256,2841516.7451442573,1081483.3992216564
1,1500.0,1999.0,1770.905569150034,30532819.25895769,17851607.55980761
2,2000.0,2499.0,2249.557505650844,33862361.2049645,50142895.25952942
3,2500.0,2999.0,2769.017280668439,37920460.40944168,85085993.65909564
4,3000.0,3499.0,3275.086042851522,50277392.60020871,128565615.68353243
5,3500.0,3999.0,3631.905138748804,34805161.478081144,175618361.6575456
6,4000.0,4115.0,4046.40625,85088.30320217251,190242846.61830896
