×,Rio Hurtado 38 \ Reach
Feb 1 2009,2.11813
Mar 1 2009,2.0128
Apr 1 2009,1.27564
May 1 2009,0.854205
Jun 1 2009,2.28415
Jul 1 2009,0.646966
Aug 1 2009,2.91425
Sep 1 2009,1.31574
Oct 1 2009,0.908966
Nov 1 2009,0.550056
Dec 1 2009,0.221311
Jan 1 2010,0.216959
Feb 1 2010,0.627806
Mar 1 2010,0.44144
Apr 1 2010,0.44545
May 1 2010,2.73479
Jun 1 2010,3.26565
Jul 1 2010,0.587991
Aug 1 2010,0.658107
Sep 1 2010,2.109
Oct 1 2010,0.706631
Nov 1 2010,0.722716
Dec 1 2010,0.219957
Jan 1 2011,0.222211
Feb 1 2011,0.730613
Mar 1 2011,0.862826
Apr 1 2011,0.53884
May 1 2011,0.419053
Jun 1 2011,1.7352
Jul 1 2011,1.58579
Aug 1 2011,1.03594
Sep 1 2011,2.34454
Oct 1 2011,2.47072
Nov 1 2011,0.985797
Dec 1 2011,0.330525
Jan 1 2012,0.549476
Feb 1 2012,0.612639
Mar 1 2012,0.638672
Apr 1 2012,0.74308
May 1 2012,1.03196
Jun 1 2012,1.04971
Jul 1 2012,0.836574
Aug 1 2012,1.22659
Sep 1 2012,0.934709
Oct 1 2012,0.743227
Nov 1 2012,0.698743
Dec 1 2012,0.715455
Jan 1 2013,1.0554
Feb 1 2013,1.28252
Mar 1 2013,0.831448
Apr 1 2013,0.44521
May 1 2013,2.87215
Jun 1 2013,1.1194
Jul 1 2013,0.821895
Aug 1 2013,0.865959
Sep 1 2013,1.24061
Oct 1 2013,0.697032
Nov 1 2013,0.501737
Dec 1 2013,0.678597
Jan 1 2014,0.946727
Feb 1 2014,0.887693
Mar 1 2014,0.764543
Apr 1 2014,0.4439
May 1 2014,0.363894
Jun 1 2014,2.32286
Jul 1 2014,0.448386
Aug 1 2014,0.490088
Sep 1 2014,1.45262
Oct 1 2014,0.347196
Nov 1 2014,0.0651927
Dec 1 2014,0.0772086
Jan 1 2015,0.0702152
Feb 1 2015,0.215366
Mar 1 2015,0.472785
Apr 1 2015,0.641159
May 1 2015,0.639789
Jun 1 2015,0.587492
Jul 1 2015,1.56474
Aug 1 2015,3.93867
Sep 1 2015,2.54706
Oct 1 2015,2.32103
Nov 1 2015,2.5886
Dec 1 2015,3.36898
Jan 1 2016,2.37927
Feb 1 2016,1.94826
Mar 1 2016,1.83347
Apr 1 2016,1.83595
May 1 2016,2.33204
Jun 1 2016,4.99366
Jul 1 2016,2.09917
Aug 1 2016,1.73334
Sep 1 2016,4.36352
Oct 1 2016,6.56885
Nov 1 2016,5.2904
Dec 1 2016,4.1503
Jan 1 2017,2.76033
Feb 1 2017,2.4628
Mar 1 2017,2.11065
Apr 1 2017,1.73543
May 1 2017,4.50475
Jun 1 2017,3.21893
Jul 1 2017,1.67388
Aug 1 2017,2.17353
Sep 1 2017,1.91589
Oct 1 2017,2.35137
Nov 1 2017,2.91201
Dec 1 2017,1.88518
Jan 1 2018,1.51575
Feb 1 2018,1.6585
Mar 1 2018,1.51958
Apr 1 2018,1.17992
May 1 2018,0.813791
Jun 1 2018,1.71866
Jul 1 2018,1.449
Aug 1 2018,0.556714
Sep 1 2018,0.60234
Oct 1 2018,0.793092
Nov 1 2018,0.683597
Dec 1 2018,0.463588
Jan 1 2019,0.277089
Feb 1 2019,0.402322
Mar 1 2019,0.351514
Apr 1 2019,0.355049
May 1 2019,0.744518
Jun 1 2019,1.63159
Jul 1 2019,0.719734
Aug 1 2019,0.313499
Sep 1 2019,0.280879
Oct 1 2019,0.180489
Nov 1 2019,0.120662
Dec 1 2019,0.110947
Jan 1 2020,0.608786
Feb 1 2020,0.710068
Mar 1 2020,0.535388
Apr 1 2020,0.479405
May 1 2020,0.443836
Jun 1 2020,2.418
Jul 1 2020,0.799243
Aug 1 2020,0.967242
Sep 1 2020,0.52875
Oct 1 2020,0.498107
Nov 1 2020,0.307776
Dec 1 2020,0.143844
Jan 1 2021,0.162413
Feb 1 2021,0.604082
Mar 1 2021,0.617917
Apr 1 2021,0.120221
May 1 2021,0.385247
Jun 1 2021,0.977979
Jul 1 2021,0.320103
Aug 1 2021,0.125863
Sep 1 2021,0.151646
Oct 1 2021,0.0524713
Nov 1 2021,0.0418234
Dec 1 2021,0.0240197
Jan 1 2022,0.0882123
Feb 1 2022,0.100055
Mar 1 2022,0.061634
