Runoff/Infiltration,Runoff/Infiltration from R_Cogt to Rio Cogoti,Runoff/Infiltration from R_Comb to Rio Combarbala,Runoff/Infiltration from R_ElIng_EmbR to Qda. El Ingenio,Runoff/Infiltration from R_ElIng_QIng to Qda. El Ingenio,Runoff/Infiltration from R_ElIng_RGrn to Qda. El Ingenio,Runoff/Infiltration from R_ElIng_RLim to Qda. El Ingenio,Runoff/Infiltration from R_Grn_RRap to Rio Grande,Runoff/Infiltration from R_GrnCy to Rio Grande,Runoff/Infiltration from R_GrnLR to Rio Grande,Runoff/Infiltration from R_GrnPSJ_CPMP to Rio Grande,Runoff/Infiltration from R_GrnPSJ_RGrn to Rio Grande,Runoff/Infiltration from R_GrnPSJ_RPon to Rio Grande,Runoff/Infiltration from R_GrnPSJ_RRap to Rio Grande,Runoff/Infiltration from R_GrnSJ to Rio Grande,Runoff/Infiltration from R_Guat_CCog to Rio Huatulame,Runoff/Infiltration from R_Guat_CPMS to Rio Huatulame,Runoff/Infiltration from R_Guat_EmbP to Rio Huatulame,Runoff/Infiltration from R_Guat_RGuat to Rio Huatulame,Runoff/Infiltration from R_GuatET to Rio Huatulame,Runoff/Infiltration from R_Hurt to Rio Hurtado,Runoff/Infiltration from R_HurtAEmb to Rio Hurtado,Runoff/Infiltration from R_Lim_EmbP to Rio Limari,Runoff/Infiltration from R_Lim_EmbR to Rio Limari,Runoff/Infiltration from R_Lim_RGrn to Rio Limari,Runoff/Infiltration from R_Lim_RGua to Rio Limari,Runoff/Infiltration from R_Lim_RLim to Rio Limari,Runoff/Infiltration from R_Most to Rio Mostazal,Runoff/Infiltration from R_Pama to Rio Pama,Runoff/Infiltration from R_Ponio to Rio Ponio,Runoff/Infiltration from R_Puni_EmbP to Estero Punitaqui,Runoff/Infiltration from R_Puni_EPun to Estero Punitaqui,Runoff/Infiltration from R_Puni_RGua to Estero Punitaqui,Runoff/Infiltration from R_Rapl to Rio Rapel
Feb 1 2002,0.0720289,0.0106793,0.0630983,0.00889821,0.00866835,0.00612735,0,0.0242044,0,0.00322289,0.00889145,0,0,0.110737,0.0618943,0.116761,0.00148874,0.0105953,0.036735,0.123695,0.022898,0.14845,0.200264,0.017059,0.0499733,0.0620001,0.0807071,0,0,0.181076,0,0.0754926,0
Mar 1 2002,0.0469275,0.00808495,0.0638926,0.00539582,0.00616299,0.00351159,0,0.016349,0,0.00167627,0.00567957,0,0,0.0701877,0.0456928,0.079342,0.000570877,0.00685621,0.0226806,0.0789563,0.0155936,0.144927,0.162357,0.0127425,0.0382796,0.0381467,0.0496355,0,0,0.148309,0,0.0526944,0
Apr 1 2002,0.0250817,0.0136341,0.0643608,0.00297873,0.00369639,0.00200876,0.0127826,0.00779778,0,0.000760306,0.00296232,0.00173542,0.00578288,0.0367533,0.0248199,0.0442928,0.000332776,0.00654047,0.0126732,0.0369919,0.00781512,0.0854306,0.0933192,0.00755285,0.0238692,0.023086,0.025028,0.00621658,6.37219E-05,0.153023,0.0148274,0.026418,0.0369035
May 1 2002,0.00374381,0.00146245,0.0350273,0.000392392,0.00164585,0.00116589,0.00369669,0.00100117,0,0.000110694,0.000636512,0.000467472,0.00118624,0.00856623,0.00609003,0.0128702,0.000230148,0.00109401,0.00249219,0.0522504,0.00859712,0.0146649,0.0181918,0.00333712,0.00632344,0.00585992,0.00406465,0.0013693,0.000485274,0.0275231,0.00827228,0.00967798,0.174368
Jun 1 2002,0.0602728,0.0433007,0.353567,0.0137374,0.0422634,0.0513671,0.0186935,0.0256526,0,0.00480058,0.00645646,0.0149542,0.0196075,0.0887697,0.0739792,0.105383,0.00331813,0.0207167,0.0830175,0.161321,0.0235812,0.332549,0.3249,0.0743916,0.0658455,0.21285,0.0751176,0.02101,0.000670183,0.845871,0.0692317,0.11839,0.262281
Jul 1 2002,0.0261816,0.0213632,0.0180065,0.00415077,0.00936772,0.011875,0.00341437,0.00929233,0,0.00138132,0.0019267,0.00508677,0.00622725,0.0208855,0.0157303,0.0201429,0.000454863,0.0070689,0.0319528,0.0978683,0.0315681,0.0730502,0.0792183,0.0135013,0.00280316,0.0314274,0.0245887,0.0094409,0.0008592,0.246799,0.0180885,0.0422563,0.209167
Aug 1 2002,0.00486944,0.0101234,0.0506698,0.00045521,0.00181661,0.00398437,0.00198516,0.00156702,0,0.00013455,0.000262654,0.00103167,0.00107996,0.00576755,0.00471743,0.00876199,0.000158536,0.00205603,0.0111056,0.00778972,0.00457637,0.0216323,0.0228277,0.0032433,0.0082752,0.0247082,0.00395633,0.00317932,0.00029397,0.0349275,0.00389231,0.0103881,0.0474131
Sep 1 2002,0.0194467,0.00997773,0.147612,0.0026283,0.00317629,0.018573,0.00894229,0.00591577,0,0.00093313,0.00221167,0.0023571,0.0047199,0.0289074,0.0220034,0.0347632,0.000859873,0.00484134,0.0175366,0.0455831,0.00779978,0.0850401,0.0878319,0.00584354,0.0239093,0.0912763,0.0205853,0.00366468,9.37762E-05,0.15835,0.000228305,0.0261873,0.0458434
Oct 1 2002,0.0317775,0.0177156,0.164043,0.00589475,0.00615175,0.0371542,0.0194027,0.0132086,0,0.0021644,0.00514701,0.00560268,0.0114493,0.0648481,0.0467839,0.0724079,0.00188205,0.00924988,0.0331358,0.0807136,0.0136979,0.158972,0.173826,0.0117964,0.0425978,0.170271,0.0474434,0.00616294,0.000209779,0.153575,0,0.0585727,0.0908073
Nov 1 2002,0.0721315,0.0400694,0.164182,0.010525,0.0284966,0.0646673,0.0318347,0.0237443,0,0.0036653,0.0086959,0.00920054,0.0193217,0.109539,0.0765502,0.113478,0.0033717,0.0210958,0.0766884,0.136348,0.0210192,0.250101,0.295047,0.0533471,0.0643626,0.299993,0.0804608,0.0136568,0.000340144,0.339207,0,0.098537,0.148952
Dec 1 2002,0.0881542,0.0501983,0.165033,0.0127781,0.0346272,0.0769444,0.0390855,0.0298424,0,0.00446871,0.0107574,0.00309129,0.0239083,0.134796,0.093069,0.121202,0.00380417,0.0263256,0.0951739,0.164199,0.0256644,0.303773,0.341646,0.0652933,0.077031,0.351396,0.0989365,0.0136284,0.000115758,0.339207,0,0.121064,0.183218
Jan 1 2003,0.0860239,0.0499732,0.164141,0.0121779,0.0219328,0.0715376,0.0254414,0.0193776,0,0.00278467,0.00692817,0.000221533,0.015275,0.0855126,0.0642517,0.0882786,0.0019919,0.0121126,0.0432369,0.157051,0.0256785,0.289835,0.342043,0.0422065,0.0528609,0.321418,0.0616938,0.000562099,0,0.339144,0,0.0822674,0.117096
Feb 1 2003,0.0720289,0.0419949,0.164112,0.00889821,0.0100339,0.0425596,8.00133E-05,0.00905245,0,0.00212195,0.0033254,0,4.66077E-05,0.0412718,0.0478268,0.0439032,0.000980185,0.00805576,0.0284272,0.109457,0.0202625,0.176864,0.261346,0.0202869,0.0386392,0.17506,0.0301845,0,0,0.215338,0,0.0583707,0.000363817
Mar 1 2003,0.0469275,0.0223297,0.164043,0.00539582,0.00657432,0.017732,0,0.016349,0,0.00167627,0.00567957,0,0,0.0701877,0.0456928,0.079342,0.000570877,0.00685621,0.0226806,0.0514716,0.0101655,0.144927,0.162357,0.0129471,0.0382796,0.0712137,0.0496355,0,0,0.153235,0,0.0526944,0
Apr 1 2003,0.0250817,0.0136341,0.137062,0.00297873,0.00369842,0.00497701,0,0.00779778,0,0.000760306,0.00296232,0,0,0.0367533,0.0248199,0.0442928,0.000332776,0.00362162,0.0113459,0.0147812,0.0031916,0.0854306,0.0933192,0.00755699,0.0238692,0.0229259,0.025028,0,0,0.151961,0,0.026418,0
May 1 2003,0.00374381,0.00146245,0.0350273,0.000392392,0.00162748,0.00124814,0.0018166,0.000824298,0,8.65287E-05,0.000336359,0.000467472,0.000689828,0.00475595,0.00609003,0.00696965,0.000230148,0.000696324,0.00215942,0.0441263,0.00651242,0.0146649,0.0181918,0.00328907,0.00632344,0.00585992,0.00301452,0.0013693,0.000393138,0.0275231,0.00827228,0.00967798,0.135195
Jun 1 2003,0.0602728,0.0433007,0.353567,0.0137374,0.0422634,0.0513671,0.0186935,0.0256526,0,0.00480058,0.00645646,0.0149542,0.0196075,0.0887697,0.0739792,0.105383,0.00331813,0.0207167,0.0830175,0.00648878,0.00169513,0.332549,0.3249,0.0743916,0.0658455,0.21285,0.0751176,0.02101,6.32396E-05,0.845871,0.0692317,0.11839,0.0104134
Jul 1 2003,0.0261816,0.0213632,0.0180065,0.00415077,0.00936772,0.011875,0.00341437,0.00929233,0,0.00138132,0.0019267,0.00508677,0.00622725,0.0208855,0.0157303,0.0201429,0.000454863,0.0070689,0.0319528,0.00399626,0.000573141,0.0730502,0.0792183,0.0135013,0.00280316,0.0314274,0.0245887,0.0094409,7.60477E-05,0.246799,0.0180885,0.0422563,0.00425059
Aug 1 2003,0.00486944,0.0101234,0.0506698,0.00045521,0.0017781,0.00204568,0.00191622,0.00156702,0,0.00013455,0.000262654,0.00103167,0.00107996,0.00576755,0.00471743,0.00876199,0.000158536,0.00205603,0.0111056,0.00613963,0.00116915,0.0216323,0.0228277,0.00317622,0.0082752,0.0137433,0.00395633,0.00317932,4.73624E-05,0.0349275,0.00218969,0.0103881,0.00169023
Sep 1 2003,0.0194467,0.00997773,0.143291,0.0026283,0.00311372,0.00568903,0.00894229,0.00591577,0,0.00093313,0.00221167,0.0023571,0.0047199,0.0289074,0.0220034,0.0347632,0.000859873,0.00256231,0.00929647,0.0130504,0.00233759,0.0850401,0.0878319,0.00572626,0.0239093,0.0330025,0.0205853,0.00366468,9.60175E-05,0.154102,0.000228305,0.0261873,0.0476097
Oct 1 2003,0.0427577,0.0235956,0.164096,0.00589475,0.00952876,0.0371542,0.0110207,0.0075025,0,0.00122938,0.0029235,0.00318232,0.00650323,0.036704,0.0467839,0.0409829,0.001069,0.00638917,0.0223506,0.0807136,0.0136979,0.158972,0.173826,0.0184645,0.0425978,0.170271,0.026853,0.00507203,0.000209779,0.240617,0,0.0585727,0.0513969
Nov 1 2003,0.0721315,0.0216495,0.164043,0.010525,0.0099225,0.0394341,0.0110848,0.00826778,0,0.00148628,0.00302791,0.00320363,0.00672783,0.0378675,0.0440776,0.0392292,0.00136722,0.00734557,0.0267029,0.0831453,0.0128175,0.164822,0.261375,0.0184421,0.03706,0.182936,0.0280165,0.00302361,0.000137928,0.225552,0,0.0567376,0.0514926
Dec 1 2003,0.061849,0.0142212,0.133791,0.0127781,0.00967484,0.0205826,0.00263436,0.0298424,0,0.00446871,0.0107574,0,0.00161142,0.134796,0.064413,0.134451,0.00380417,0.0124599,0.0450458,0.0439231,0.00693966,0.130072,0.210054,0.0179295,0.0533132,0.0964932,0.0989365,0,0,0.216807,0,0.0837887,0.0123489
Jan 1 2004,0.0519671,0.0122684,0.122488,0.0121779,0.00954776,0.0177127,7.25915E-05,0.0290999,0,0.00418182,0.0104042,0,4.35839E-05,0.130295,0.0642517,0.119808,0.00299129,0.0121126,0.0432369,0.0388857,0.00650181,0.132914,0.20931,0.0180453,0.0528609,0.0901898,0.0940025,0,0,0.211569,0,0.0822674,0.000338996
Feb 1 2004,0.0285969,0.00883514,0.128326,0.00859137,0.00874504,0.0120457,0.00890677,0.0233698,0,0.00311176,0.00858485,0.00608422,0.00518819,0.106919,0.0519602,0.113736,0.0014374,0.00870967,0.030177,0.03098,0.005872,0.150155,0.237242,0.01666,0.0419501,0.0605498,0.0779241,0.00363599,0.000241957,0.17684,0,0.0633723,0.0396787
Mar 1 2004,0.002398,0.00141341,0.123676,0.00539582,0.00615432,0.00690077,0.00426284,0.016349,0,0.00167627,0.00567957,0.00025894,0.0022099,0.0701877,0.00534702,0.079342,0.000570877,0.000719428,0.00231565,0.0197391,0.0039561,0.144927,0.162357,0.0127246,0.00447488,0.0381467,0.0496355,0.000598477,0,0.148309,0,0.00615998,0.0184466
Apr 1 2004,0.00511038,0.00288021,0.10834,0.00297873,0.00369842,0.00327729,0.00917405,0.00779778,0,0.000760306,0.00296232,0.00173542,0.00415038,0.0367533,0.0146076,0.0442928,0.000332776,0.00143939,0.00438754,0.00918123,0.00188491,0.0854306,0.0933192,0.00755699,0.014004,0.0229259,0.025028,0.00129491,7.50961E-05,0.151961,0.0101404,0.0154994,0.0330682
May 1 2004,0.00205395,0.00126699,0.0350273,0.000392392,0.00161072,0.00111626,0.000388179,0.00100117,0,0.000110694,0.000636512,0.000467472,0.000302309,0.00856623,0.00438525,0.0128702,0.000230148,0.000787707,0.00199327,0.00318956,0.000783417,0.0146649,0.0181918,0.0032452,0.00474667,0.00519889,0.00406465,0.000694338,0,0.0275231,0.00827228,0.00967798,0.000165079
Jun 1 2004,0.0602728,0.0433007,0.353567,0.0137374,0.0422634,0.0513671,0.0186935,0.0256526,0,0.00480058,0.00645646,0.0149542,0.0196075,0.0887697,0.0739792,0.105383,0.00331813,0.0207167,0.0830175,0.00231354,0.000598389,0.332549,0.3249,0.0743916,0.0658455,0.21285,0.0751176,0.02101,3.94379E-05,0.845871,0.0692317,0.11839,0.00656178
Jul 1 2004,0.0261816,0.0213632,0.0180065,0.00415077,0.00936772,0.011875,0.00341437,0.00929233,0,0.00138132,0.0019267,0.00508677,0.00622725,0.0208855,0.0157303,0.0201429,0.000454863,0.0070689,0.0319528,0.0491237,0.022187,0.0730502,0.0792183,0.0135013,0.00280316,0.0314274,0.0245887,0.0094409,0.000571277,0.246799,0.0180885,0.0422563,0.117763
Aug 1 2004,0.00486944,0.0101234,0.0506698,0.00045521,0.0018147,0.00206461,0.00198516,0.00156702,0,0.00013455,0.000262654,0.00103167,0.00107996,0.00576755,0.00471743,0.00876199,0.000158536,0.00205603,0.0111056,0.0048592,0.000928159,0.0216323,0.0228277,0.00323998,0.0082752,0.018752,0.00395633,0.00317932,0.000328521,0.0349275,0.00389231,0.0103881,0.0691759
Sep 1 2004,0.0194467,0.00997773,0.0663153,0.0026283,0.00314135,0.00273067,0.00894229,0.00591577,0,0.00093313,0.00221167,0.0023571,0.0047199,0.0289074,0.0220034,0.0347632,0.000859873,0.00256231,0.00929647,0.00595771,0.00108339,0.0850401,0.0878319,0.00577804,0.0239093,0.0329573,0.0205853,0.00366468,9.37762E-05,0.15389,0.000228305,0.0261873,0.0458434
Oct 1 2004,0.0199764,0.0111442,0.0635752,0.00589475,0.0060511,0.00476317,0.00855464,0.0132086,0,0.0021644,0.00514701,0.00560268,0.00504801,0.0648481,0.0467839,0.0724079,0.00188205,0.00581875,0.0208302,0.0807136,0.0136979,0.158972,0.173826,0.0112124,0.0425978,0.058522,0.0474434,0.00387687,0.000209779,0.145973,0,0.0585727,0.0400369
Nov 1 2004,0.0236231,0.0131227,0.0624315,0.010525,0.00896217,0.00816101,0.0318347,0.0237443,0,0.0036653,0.0086959,0.00920054,0.0193217,0.109539,0.0417488,0.113478,0.0033717,0.00690889,0.0251155,0.135526,0.0205327,0.14035,0.18365,0.0158067,0.0350326,0.0888879,0.0804608,0.00455044,0.000331044,0.193321,0.0535092,0.0536337,0.147997
Dec 1 2004,0.00775757,0.00441745,0.0623326,0.0126951,0.00967484,0.00958727,0.034833,0.0298424,0,0.00446871,0.0107574,0.00130972,0.0213071,0.134796,0.011978,0.121187,0.00380417,0.00231665,0.0083753,0.164199,0.0256644,0.130072,0.173302,0.0179295,0.00991389,0.0964932,0.0810884,0.00151178,4.88026E-05,0.216807,0,0.015581,0.163284
Jan 1 2005,0.00494638,0.00287346,0.0622227,0.0121779,0.00955778,0.00898512,0.00116146,0.0290999,0,0.00418182,0.0104042,0,0.000697343,0.130295,0.00777289,0.119808,0.00299129,0.00146534,0.00523063,0.157051,0.0256785,0.132914,0.177738,0.0180453,0.00639488,0.0901898,0.045187,0,0,0.211569,0,0.00995235,0.00542394
