Rio Illapel Nodes and Reaches,  0 \ Headflow,  1 \ CA_Las Bellacas Outflow,  2 \ Reach,  3 \ ZR_Las Bellacas_ANU Runoff,  4 \ Reach,  5 \ CA_Las Juntas Outflow,  6 \ Reach,  7 \ ZR_Las Juntas_ANU Runoff,  8 \ Reach,  9 \ CA_Vega de Cesped Outflow, 10 \ Reach, 11 \ ZR_Vega de Cesped_ANU Runoff, 12 \ Reach, 13 \ CA_Las Salinas Outflow, 14 \ Reach, 15 \ ZR_Las Salinas_ANU Runoff, 16 \ Reach, 17 \ CA_Los Gonzalez Outflow, 18 \ Reach, 19 \ ZR_Los Gonzalez_FRU Runoff, 20 \ Reach, 21 \ CA_El Durazno Outflow, 22 \ Reach, 23 \ Rio Illapel en Las  Burras (gauge), 23 \ ZR_El Durazno_FRU Runoff, 24 \ Reach, 25 \ CA_Los Perales Outflow, 26 \ Reach, 27 \ ZR_Los Perales_FRU Runoff, 28 \ Reach, 29 \ CA_Pichicaven Outflow, 30 \ Reach, 31 \ ZR_Pichicaven_ANU Runoff, 32 \ Reach, 33 \ CA_Calderon Outflow, 34 \ Reach, 35 \ ZR_Calderon_ANU Runoff, 36 \ Reach, 37 \ CA_Mala Ladera Outflow, 38 \ Reach, 39 \ ZR_Mala Ladera_FRU Runoff, 40 \ Reach, 41 \ CA_El Macal Outflow, 42 \ Reach, 43 \ ZR_El Macal_FRU Runoff, 44 \ Reach, 45 \ CA_El Aguita Outflow, 46 \ Reach, 47 \ ZR_El Aguita_FRU Runoff, 48 \ Reach, 49 \ CA_Las Peras Outflow, 50 \ Reach, 51 \ ZR_Las Peras_FRU Runoff, 52 \ Reach, 53 \ CA_Alcantarilla Outflow, 54 \ Reach, 55 \ ZR_Alcantarilla_FRU Runoff, 56 \ Reach, 57 \ CA_Rodado Outflow, 58 \ Reach, 59 \ ZR_Rodado_FRU Runoff, 60 \ Reach, 61 \ CA_El Bajo Outflow, 62 \ Reach, 63 \ ZR_El Bajo_FRU Runoff, 64 \ Reach, 65 \ CA_El Bato o El Cato Outflow, 66 \ Reach, 67 \ ZR_El Bato o El Cato_FRU Runoff, 68 \ Reach, 69 \ CA_Los Sauces Outflow, 70 \ Reach, 71 \ ZR_Los Sauces_FRU Runoff, 72 \ Reach, 73 \ CA_Santa Margot Outflow, 74 \ Reach, 75 \ ZR_Santa Margot_FRU Runoff, 76 \ Reach, 77 \ CA_La Montana Outflow, 78 \ Reach, 79 \ ZR_La Montana_FRU Runoff, 80 \ Reach, 81 \ Embalse El Bato, 82 \ Reach, 83 \ Estero Caren Inflow, 84 \ Reach, 85 \ CA_Turbina Outflow, 86 \ Reach, 87 \ CA_San Jorge Outflow, 88 \ Reach, 89 \ ZR_San Jorge_FRU Runoff, 90 \ Reach, 91 \ CA_Santa Isabel Outflow, 92 \ Reach, 93 \ ZR_Santa Isabel_FRU Runoff, 94 \ Reach, 95 \ CA_El Peumo Outflow, 96 \ Reach, 97 \ ZR_El Peumo_FRU Runoff, 98 \ Reach, 99 \ ZR_Turbina_FRU Runoff,100 \ Reach,101 \ CA_San Javier Outflow,102 \ Reach,103 \ Rio Illapel en Huintil (gauge),103 \ ZR_San Javier_FRU Runoff,104 \ Reach,105 \ CA_Camarote Outflow,106 \ Reach,107 \ ZR_Camarote_FRU Runoff,108 \ Reach,109 \ CA_Escorial Outflow,110 \ Reach,111 \ CA_Plantacion Outflow,112 \ Reach,113 \ ZR_Plantacion_FRU Runoff,114 \ Reach,115 \ CA_Santa Olga Outflow,116 \ Reach,117 \ ZR_Santa Olga_FRU Runoff,118 \ Reach,119 \ ZR_Santa Olga_ANU Runoff,120 \ Reach,121 \ ZR_Escorial_FRU Runoff,122 \ Reach,123 \ ZR_Pelados_FRU Runoff,124 \ Reach,125 \ CA_San Isidro Outflow,126 \ Reach,127 \ ZR_San Isidro_FRU Runoff,128 \ Reach,129 \ CA_El Silo Outflow,130 \ Reach,131 \ ZR_El Silo_FRU Runoff,132 \ Reach,133 \ CA_Higuera Outflow,134 \ Reach,135 \ ZR_Higuera_FRU Runoff,136 \ Reach,137 \ CA_San Patricio Outflow,138 \ Reach,139 \ ZR_San Patricio_FRU Runoff,140 \ Reach,141 \ CA_Molino Carcamo Outflow,142 \ Reach,143 \ CL_1 Inflow,144 \ Reach,145 \ CA_Potrero Nuevo Outflow,146 \ Reach,147 \ ZR_Potrero Nuevo_FRU Runoff,148 \ Reach,149 \ Agua Potable_AC 5 Return,150 \ Reach,151 \ CA_Hospital Outflow,152 \ Reach,153 \ ZR_Molino Carcamo_ANU Runoff,154 \ Reach,155 \ CA_Poblacion Los Guindos Outflow,156 \ Reach,157 \ ZR_Hospital_ANU Runoff,158 \ Reach,159 \ ZR_Cocinera_ANU Runoff,160 \ Reach,161 \ CA_Bellavista Alto Outflow,162 \ Reach,163 \ ZR_Poblacion Los Guindos_FRU Runoff,164 \ Reach,165 \ CL_2 Inflow,166 \ Reach,167 \ CA_Cuz Cuz Outflow,168 \ Reach,169 \ ZR_Bellavista Alto_FRU Runoff,170 \ Reach,171 \ Agua Potable_AC 6 Return,172 \ Reach,173 \ CA_Zepedino Outflow,174 \ Reach,175 \ ZR_Zepedino_FRU Runoff,176 \ Reach,177 \ CA_Del Medio o Bellavista Bajo Outflow,178 \ Reach,179 \ ZR_Bellavista Bajo_FRU Runoff,180 \ Reach,181 \ CA_Molino El Peral Outflow,182 \ Reach,183 \ CA_Inquilino o Del Bajo Outflow,184 \ Reach,185 \ ZR_Molino El Peral_FRU Runoff,186 \ Reach,187 \ CA_Las Juntas_El Maiten Outflow,188 \ Reach,189 \ ZR_El Maiten_FRU Runoff,190 \ Reach,191 \ ZR_Inquilino_FRU Runoff,192 \ Reach,193 \ Rio Illapel en el Peral (gauge),193 \ ZR_Cuz Cuz_ANU Runoff,194 \ Reach
ene-95,0.837388,0.792663,0.792663,0.793213,0.793213,0.788774,0.788774,0.788778,0.788778,0.787967,0.787967,0.78799,0.78799,0.776245,0.776245,0.776378,0.776378,0.775555,0.775555,0.775555,0.775555,0.774733,0.774733,0.813,0.774733,0.774733,0.773773,0.773773,0.773842,0.773842,0.773316,0.773316,0.773335,0.773335,0.770254,0.770254,0.770254,0.770254,0.737961,0.737961,0.739264,0.739264,0.737825,0.737825,0.737953,0.737953,0.7359,0.7359,0.735951,0.735951,0.735951,0.735951,0.735951,0.735951,0.734511,0.734511,0.734681,0.734681,0.731352,0.731352,0.73143,0.73143,0.729785,0.729785,0.729785,0.729785,0.729785,0.729785,0.729785,0.729785,0.727732,0.727732,0.72777,0.72777,0.716778,0.716778,0.717159,0.717159,0.716748,0.716748,0.716784,0.716784,0.716784,0.716784,0.789384,0.789384,0.709654,0.709654,0.706902,0.706902,0.70717,0.70717,0.680088,0.680088,0.680619,0.680619,0.679797,0.679797,0.679797,0.679797,0.681898,0.681898,0.680665,0.680665,0.815,0.680665,0.680665,0.676922,0.676922,0.677522,0.677522,0.643877,0.643877,0.631961,0.631961,0.632623,0.632623,0.6235,0.6235,0.6235,0.6235,0.625163,0.625163,0.626646,0.626646,0.627449,0.627449,0.614913,0.614913,0.615279,0.615279,0.597235,0.597235,0.598453,0.598453,0.562594,0.562594,0.565228,0.565228,0.560756,0.560756,0.560944,0.560944,0.401501,0.401501,0.435301,0.435301,0.396964,0.396964,0.398011,0.398011,0.412239,0.412239,0.38434,0.38434,0.401579,0.401579,0.342744,0.342744,0.347575,0.347575,0.356628,0.356628,0.301989,0.301989,0.303978,0.303978,0.471678,0.471678,0.373103,0.373103,0.374628,0.374628,0.389942,0.389942,0.384873,0.384873,0.385774,0.385774,0.367186,0.367186,0.368711,0.368711,0.323085,0.323085,0.28957,0.28957,0.290613,0.290613,0.288501,0.288501,0.288501,0.288501,0.292748,0.292748,0.02,0.298172,0.298172
feb-95,0.77765,0.736116,0.736116,0.736614,0.736614,0.732492,0.732492,0.732495,0.732495,0.731742,0.731742,0.731763,0.731763,0.720857,0.720857,0.720975,0.720975,0.720211,0.720211,0.720211,0.720211,0.719447,0.719447,0.755,0.719447,0.719447,0.718555,0.718555,0.71862,0.71862,0.718131,0.718131,0.718149,0.718149,0.715287,0.715287,0.715287,0.715287,0.685298,0.685298,0.686074,0.686074,0.684738,0.684738,0.684857,0.684857,0.682951,0.682951,0.682999,0.682999,0.682999,0.682999,0.682999,0.682999,0.681663,0.681663,0.681819,0.681819,0.678728,0.678728,0.6788,0.6788,0.677273,0.677273,0.677273,0.677273,0.677273,0.677273,0.677273,0.677273,0.675366,0.675366,0.675398,0.675398,0.66519,0.66519,0.665544,0.665544,0.665162,0.665162,0.665195,0.665195,0.665195,0.665195,0.732295,0.732295,0.658253,0.658253,0.655698,0.655698,0.655947,0.655947,0.630796,0.630796,0.63129,0.63129,0.630526,0.630526,0.630526,0.630526,0.632276,0.632276,0.63113,0.63113,0.546,0.63113,0.63113,0.627654,0.627654,0.62804,0.62804,0.596795,0.596795,0.585729,0.585729,0.586325,0.586325,0.577853,0.577853,0.577853,0.577853,0.578894,0.578894,0.580058,0.580058,0.580742,0.580742,0.5691,0.5691,0.569424,0.569424,0.552666,0.552666,0.55361,0.55361,0.52031,0.52031,0.522072,0.522072,0.517918,0.517918,0.518071,0.518071,0.370002,0.370002,0.370002,0.370002,0.3344,0.3344,0.335137,0.335137,0.35089,0.35089,0.324981,0.324981,0.337804,0.337804,0.283166,0.283166,0.286244,0.286244,0.29429,0.29429,0.243549,0.243549,0.244373,0.244373,0.244373,0.244373,0.15283,0.15283,0.154129,0.154129,0.171084,0.171084,0.166376,0.166376,0.166807,0.166807,0.149545,0.149545,0.1507,0.1507,0.108329,0.108329,0.0772048,0.0772048,0.0778765,0.0778765,0.0759149,0.0759149,0.0759149,0.0759149,0.0789876,0.0789876,0.007,0.0830806,0.0830806
mar-95,0.711727,0.673714,0.673714,0.674087,0.674087,0.670314,0.670314,0.670314,0.670314,0.669625,0.669625,0.669645,0.669645,0.659662,0.659662,0.659749,0.659749,0.65905,0.65905,0.65905,0.65905,0.658351,0.658351,0.691,0.658351,0.658351,0.657535,0.657535,0.657594,0.657594,0.657146,0.657146,0.657158,0.657158,0.65454,0.65454,0.65454,0.65454,0.627093,0.627093,0.627539,0.627539,0.626316,0.626316,0.626425,0.626425,0.62468,0.62468,0.624708,0.624708,0.624708,0.624708,0.624708,0.624708,0.623485,0.623485,0.623631,0.623631,0.620802,0.620802,0.620868,0.620868,0.61947,0.61947,0.61947,0.61947,0.61947,0.61947,0.61947,0.61947,0.617725,0.617725,0.617741,0.617741,0.608398,0.608398,0.608723,0.608723,0.608373,0.608373,0.608404,0.608404,0.608404,0.608404,0.661204,0.661204,0.593438,0.593438,0.591099,0.591099,0.591327,0.591327,0.568308,0.568308,0.56876,0.56876,0.568061,0.568061,0.568061,0.568061,0.569194,0.569194,0.568145,0.568145,0.505,0.568145,0.568145,0.564964,0.564964,0.565167,0.565167,0.536571,0.536571,0.526443,0.526443,0.526853,0.526853,0.5191,0.5191,0.5191,0.5191,0.51968,0.51968,0.520387,0.520387,0.520853,0.520853,0.510198,0.510198,0.510419,0.510419,0.495082,0.495082,0.495668,0.495668,0.465191,0.465191,0.466241,0.466241,0.46244,0.46244,0.462545,0.462545,0.327028,0.327028,0.327028,0.327028,0.294444,0.294444,0.294903,0.294903,0.309132,0.309132,0.285419,0.285419,0.293531,0.293531,0.243525,0.243525,0.245263,0.245263,0.250915,0.250915,0.204476,0.204476,0.204805,0.204805,0.204805,0.204805,0.121022,0.121022,0.121867,0.121867,0.137182,0.137182,0.132873,0.132873,0.133076,0.133076,0.117277,0.117277,0.118067,0.118067,0.0792874,0.0792874,0.0508014,0.0508014,0.0511578,0.0511578,0.0493624,0.0493624,0.0493624,0.0493624,0.0514444,0.0514444,0.007,0.0542403,0.0542403
abr-95,0.710698,0.67274,0.67274,0.672924,0.672924,0.669157,0.669157,0.669178,0.669178,0.66849,0.66849,0.668496,0.668496,0.658528,0.658528,0.65857,0.65857,0.657872,0.657872,0.657872,0.657872,0.657174,0.657174,0.69,0.657174,0.657174,0.656359,0.656359,0.656418,0.656418,0.655971,0.655971,0.655976,0.655976,0.653361,0.653361,0.653361,0.653361,0.625954,0.625954,0.626161,0.626161,0.62494,0.62494,0.625035,0.625035,0.623293,0.623293,0.623308,0.623308,0.623308,0.623308,0.623308,0.623308,0.622086,0.622086,0.622187,0.622187,0.619362,0.619362,0.619401,0.619401,0.618005,0.618005,0.618005,0.618005,0.618005,0.618005,0.618005,0.618005,0.616263,0.616263,0.616268,0.616268,0.606938,0.606938,0.607109,0.607109,0.60676,0.60676,0.60679,0.60679,0.60679,0.60679,0.63869,0.63869,0.571023,0.571023,0.568688,0.568688,0.568915,0.568915,0.54593,0.54593,0.546179,0.546179,0.545481,0.545481,0.545481,0.545481,0.54601,0.54601,0.544963,0.544963,0.494,0.544963,0.544963,0.541786,0.541786,0.541876,0.541876,0.513321,0.513321,0.503208,0.503208,0.503408,0.503408,0.495666,0.495666,0.495666,0.495666,0.49594,0.49594,0.496267,0.496267,0.496489,0.496489,0.48585,0.48585,0.485959,0.485959,0.470644,0.470644,0.470916,0.470916,0.440483,0.440483,0.440994,0.440994,0.437198,0.437198,0.43725,0.43725,0.301929,0.301929,0.324529,0.324529,0.291992,0.291992,0.292218,0.292218,0.306921,0.306921,0.283242,0.283242,0.287229,0.287229,0.237296,0.237296,0.238086,0.238086,0.241256,0.241256,0.194884,0.194884,0.19505,0.19505,0.272449,0.272449,0.188788,0.188788,0.189231,0.189231,0.205055,0.205055,0.200753,0.200753,0.20084,0.20084,0.185064,0.185064,0.185492,0.185492,0.146768,0.146768,0.118324,0.118324,0.118447,0.118447,0.116654,0.116654,0.116654,0.116654,0.117651,0.117651,0.039,0.119192,0.119192
may-95,0.677737,0.641539,0.641539,0.641571,0.641571,0.637979,0.637979,0.638032,0.638032,0.637376,0.637376,0.63738,0.63738,0.627874,0.627874,0.627886,0.627886,0.62722,0.62722,0.62722,0.62722,0.626554,0.626554,0.658,0.626554,0.626554,0.625777,0.625777,0.625829,0.625829,0.625403,0.625403,0.625406,0.625406,0.622912,0.622912,0.622912,0.622912,0.596776,0.596776,0.596861,0.596861,0.595696,0.595696,0.595775,0.595775,0.594113,0.594113,0.594126,0.594126,0.594126,0.594126,0.594126,0.594126,0.592961,0.592961,0.593044,0.593044,0.59035,0.59035,0.590358,0.590358,0.589027,0.589027,0.589027,0.589027,0.589027,0.589027,0.589027,0.589027,0.587365,0.587365,0.587368,0.587368,0.578471,0.578471,0.578523,0.578523,0.57819,0.57819,0.57822,0.57822,0.57822,0.57822,0.60022,0.60022,0.53569,0.53569,0.533463,0.533463,0.53368,0.53368,0.511761,0.511761,0.511834,0.511834,0.511169,0.511169,0.511169,0.511169,0.511375,0.511375,0.510377,0.510377,0.503,0.510377,0.510377,0.507347,0.507347,0.507388,0.507388,0.480158,0.480158,0.470513,0.470513,0.470556,0.470556,0.463172,0.463172,0.463172,0.463172,0.463301,0.463301,0.463434,0.463434,0.463491,0.463491,0.453345,0.453345,0.45339,0.45339,0.438785,0.438785,0.438874,0.438874,0.409852,0.409852,0.410098,0.410098,0.406478,0.406478,0.40649,0.40649,0.277445,0.277445,0.292045,0.292045,0.261017,0.261017,0.261163,0.261163,0.275391,0.275391,0.252811,0.252811,0.254736,0.254736,0.207118,0.207118,0.207506,0.207506,0.209178,0.209178,0.164956,0.164956,0.165094,0.165094,0.177994,0.177994,0.0982125,0.0982125,0.098486,0.098486,0.1138,0.1138,0.109697,0.109697,0.109767,0.109767,0.0947223,0.0947223,0.0950037,0.0950037,0.0580765,0.0580765,0.0309509,0.0309509,0.0310374,0.0310374,0.0293278,0.0293278,0.0293278,0.0293278,0.0296666,0.0296666,0.074,0.0307597,0.0307597
jun-95,0.723059,0.684441,0.684441,0.684488,0.684488,0.680655,0.680655,0.680698,0.680698,0.679998,0.679998,0.680008,0.680008,0.669867,0.669867,0.669879,0.669879,0.669169,0.669169,0.669169,0.669169,0.668459,0.668459,0.702,0.668459,0.668459,0.667629,0.667629,0.667666,0.667666,0.667211,0.667211,0.667213,0.667213,0.664553,0.664553,0.664553,0.664553,0.636669,0.636669,0.636725,0.636725,0.635483,0.635483,0.635539,0.635539,0.633766,0.633766,0.633774,0.633774,0.633774,0.633774,0.633774,0.633774,0.632532,0.632532,0.63259,0.63259,0.629716,0.629716,0.629728,0.629728,0.628308,0.628308,0.628308,0.628308,0.628308,0.628308,0.628309,0.628309,0.626536,0.626536,0.626543,0.626543,0.617051,0.617051,0.617099,0.617099,0.616744,0.616744,0.616775,0.616775,0.616775,0.616775,0.628875,0.628875,0.56003,0.56003,0.557654,0.557654,0.557743,0.557743,0.534357,0.534357,0.534444,0.534444,0.533734,0.533734,0.533734,0.533734,0.533874,0.533874,0.532809,0.532809,0.534,0.532809,0.532809,0.529577,0.529577,0.529638,0.529638,0.500586,0.500586,0.490297,0.490297,0.490415,0.490415,0.482538,0.482538,0.482538,0.482538,0.482696,0.482696,0.482855,0.482855,0.482997,0.482997,0.472172,0.472172,0.472212,0.472212,0.456631,0.456631,0.456848,0.456848,0.425885,0.425885,0.426141,0.426141,0.42228,0.42228,0.422312,0.422312,0.284638,0.284638,0.314758,0.314758,0.281655,0.281655,0.281717,0.281717,0.29642,0.29642,0.27233,0.27233,0.273458,0.273458,0.222656,0.222656,0.223184,0.223184,0.223272,0.223272,0.176093,0.176093,0.176136,0.176136,0.314165,0.314165,0.229049,0.229049,0.229111,0.229111,0.244935,0.244935,0.240558,0.240558,0.240654,0.240654,0.224604,0.224604,0.224629,0.224629,0.185232,0.185232,0.156293,0.156293,0.156474,0.156474,0.15465,0.15465,0.15465,0.15465,0.155255,0.155255,0.111,0.155283,0.155283
jul-95,0.681859,0.645441,0.645441,0.645476,0.645476,0.641862,0.641862,0.641907,0.641907,0.641246,0.641246,0.641256,0.641256,0.631692,0.631692,0.631709,0.631709,0.631039,0.631039,0.631039,0.631039,0.630369,0.630369,0.662,0.630369,0.630369,0.629587,0.629587,0.629644,0.629644,0.629215,0.629215,0.629218,0.629218,0.626709,0.626709,0.626709,0.626709,0.600414,0.600414,0.600423,0.600423,0.599252,0.599252,0.59935,0.59935,0.597678,0.597678,0.597692,0.597692,0.597692,0.597692,0.597692,0.597692,0.59652,0.59652,0.596624,0.596624,0.593913,0.593913,0.593936,0.593936,0.592597,0.592597,0.592597,0.592597,0.592597,0.592597,0.592599,0.592599,0.590927,0.590927,0.590937,0.590937,0.581986,0.581986,0.582028,0.582028,0.581693,0.581693,0.581722,0.581722,0.581722,0.581722,0.598222,0.598222,0.533301,0.533301,0.53106,0.53106,0.531091,0.531091,0.509038,0.509038,0.509222,0.509222,0.508552,0.508552,0.508552,0.508552,0.508902,0.508902,0.507897,0.507897,0.681,0.507897,0.507897,0.504849,0.504849,0.50495,0.50495,0.477554,0.477554,0.467851,0.467851,0.468136,0.468136,0.460708,0.460708,0.460708,0.460708,0.460975,0.460975,0.461378,0.461378,0.461696,0.461696,0.451488,0.451488,0.45164,0.45164,0.436947,0.436947,0.437381,0.437381,0.408182,0.408182,0.408682,0.408682,0.40504,0.40504,0.40511,0.40511,0.275281,0.275281,0.343481,0.343481,0.312264,0.312264,0.312539,0.312539,0.326768,0.326768,0.30405,0.30405,0.308594,0.308594,0.260686,0.260686,0.262078,0.262078,0.264382,0.264382,0.219891,0.219891,0.219966,0.219966,0.665016,0.665016,0.58475,0.58475,0.585648,0.585648,0.600962,0.600962,0.596834,0.596834,0.597022,0.597022,0.581886,0.581886,0.582275,0.582275,0.545123,0.545123,0.517833,0.517833,0.518251,0.518251,0.516531,0.516531,0.516531,0.516531,0.517984,0.517984,0.263,0.51938,0.51938
ago-95,0.654047,0.619115,0.619115,0.619181,0.619181,0.615714,0.615714,0.615748,0.615748,0.615114,0.615114,0.615115,0.615115,0.605942,0.605942,0.605954,0.605954,0.605311,0.605311,0.605311,0.605311,0.604669,0.604669,0.635,0.604669,0.604669,0.603919,0.603919,0.603973,0.603973,0.603562,0.603562,0.603563,0.603563,0.601156,0.601156,0.601156,0.601156,0.575933,0.575933,0.576076,0.576076,0.574952,0.574952,0.575052,0.575052,0.573449,0.573449,0.573475,0.573475,0.573475,0.573475,0.573475,0.573475,0.572351,0.572351,0.572485,0.572485,0.569885,0.569885,0.569898,0.569898,0.568614,0.568614,0.568614,0.568614,0.568614,0.568614,0.568614,0.568614,0.56701,0.56701,0.567011,0.567011,0.558425,0.558425,0.55851,0.55851,0.558189,0.558189,0.558217,0.558217,0.558217,0.558217,0.578017,0.578017,0.515743,0.515743,0.513594,0.513594,0.513803,0.513803,0.49265,0.49265,0.492723,0.492723,0.492081,0.492081,0.492081,0.492081,0.492253,0.492253,0.49129,0.49129,0.614,0.49129,0.49129,0.488366,0.488366,0.488407,0.488407,0.462128,0.462128,0.452821,0.452821,0.452872,0.452872,0.445747,0.445747,0.445747,0.445747,0.445859,0.445859,0.445962,0.445962,0.446011,0.446011,0.436219,0.436219,0.436242,0.436242,0.422148,0.422148,0.422212,0.422212,0.394204,0.394204,0.394372,0.394372,0.390879,0.390879,0.390892,0.390892,0.266358,0.266358,0.308158,0.308158,0.278215,0.278215,0.278284,0.278284,0.292513,0.292513,0.270722,0.270722,0.272062,0.272062,0.226109,0.226109,0.22637,0.22637,0.227537,0.227537,0.184861,0.184861,0.185059,0.185059,0.417259,0.417259,0.340267,0.340267,0.340418,0.340418,0.355732,0.355732,0.351773,0.351773,0.351824,0.351824,0.337306,0.337306,0.337482,0.337482,0.301845,0.301845,0.275668,0.275668,0.275699,0.275699,0.274049,0.274049,0.274049,0.274049,0.274356,0.274356,0.3,0.274997,0.274997
sept-95,0.781767,0.740013,0.740013,0.740119,0.740119,0.735975,0.735975,0.736023,0.736023,0.735266,0.735266,0.735274,0.735274,0.72431,0.72431,0.724332,0.724332,0.723564,0.723564,0.723564,0.723564,0.722796,0.722796,0.759,0.722796,0.722796,0.7219,0.7219,0.721965,0.721965,0.721473,0.721473,0.721475,0.721475,0.718599,0.718599,0.718599,0.718599,0.688451,0.688451,0.688732,0.688732,0.687388,0.687388,0.687508,0.687508,0.685591,0.685591,0.685632,0.685632,0.685632,0.685632,0.685632,0.685632,0.684288,0.684288,0.684447,0.684447,0.68134,0.68134,0.681363,0.681363,0.679827,0.679827,0.679827,0.679827,0.679827,0.679827,0.679827,0.679827,0.677911,0.677911,0.677917,0.677917,0.667654,0.667654,0.667821,0.667821,0.667437,0.667437,0.667471,0.667471,0.667471,0.667471,0.698271,0.698271,0.623837,0.623837,0.621268,0.621268,0.621518,0.621518,0.596234,0.596234,0.596391,0.596391,0.595623,0.595623,0.595623,0.595623,0.596035,0.596035,0.594883,0.594883,0.809,0.594883,0.594883,0.591389,0.591389,0.591504,0.591504,0.560094,0.560094,0.548969,0.548969,0.549087,0.549087,0.54057,0.54057,0.54057,0.54057,0.540907,0.540907,0.541187,0.541187,0.541328,0.541328,0.529625,0.529625,0.529688,0.529688,0.512841,0.512841,0.513062,0.513062,0.479585,0.479585,0.480118,0.480118,0.475942,0.475942,0.475978,0.475978,0.327125,0.327125,0.365725,0.365725,0.329934,0.329934,0.330124,0.330124,0.344827,0.344827,0.318781,0.318781,0.322345,0.322345,0.267418,0.267418,0.268313,0.268313,0.27065,0.27065,0.21964,0.21964,0.220103,0.220103,0.426503,0.426503,0.334476,0.334476,0.334804,0.334804,0.350628,0.350628,0.345895,0.345895,0.346071,0.346071,0.328717,0.328717,0.329083,0.329083,0.286488,0.286488,0.255198,0.255198,0.255384,0.255384,0.253412,0.253412,0.253412,0.253412,0.254234,0.254234,0.165,0.255539,0.255539
oct-95,0.670527,0.634714,0.634714,0.634918,0.634918,0.631364,0.631364,0.631421,0.631421,0.630772,0.630772,0.63079,0.63079,0.621386,0.621386,0.621438,0.621438,0.620779,0.620779,0.620779,0.620779,0.620121,0.620121,0.651,0.620121,0.620121,0.619351,0.619351,0.619407,0.619407,0.618986,0.618986,0.618994,0.618994,0.616527,0.616527,0.616527,0.616527,0.590669,0.590669,0.591275,0.591275,0.590123,0.590123,0.590226,0.590226,0.588582,0.588582,0.588635,0.588635,0.588635,0.588635,0.588635,0.588635,0.587483,0.587483,0.587615,0.587615,0.58495,0.58495,0.584998,0.584998,0.583681,0.583681,0.583681,0.583681,0.583681,0.583681,0.583681,0.583681,0.582037,0.582037,0.582056,0.582056,0.573254,0.573254,0.57356,0.57356,0.57323,0.57323,0.573259,0.573259,0.573259,0.573259,0.618359,0.618359,0.554516,0.554516,0.552313,0.552313,0.552527,0.552527,0.530841,0.530841,0.531223,0.531223,0.530565,0.530565,0.530565,0.530565,0.531581,0.531581,0.530594,0.530594,0.586,0.530594,0.530594,0.527596,0.527596,0.527894,0.527894,0.500954,0.500954,0.491412,0.491412,0.491696,0.491696,0.484392,0.484392,0.484392,0.484392,0.485225,0.485225,0.485956,0.485956,0.48631,0.48631,0.476272,0.476272,0.476441,0.476441,0.461991,0.461991,0.462566,0.462566,0.433853,0.433853,0.435199,0.435199,0.431618,0.431618,0.431699,0.431699,0.304027,0.304027,0.320227,0.320227,0.289529,0.289529,0.290066,0.290066,0.304295,0.304295,0.281955,0.281955,0.290915,0.290915,0.243803,0.243803,0.246273,0.246273,0.251338,0.251338,0.207587,0.207587,0.208619,0.208619,0.234419,0.234419,0.155486,0.155486,0.156304,0.156304,0.171618,0.171618,0.167559,0.167559,0.168025,0.168025,0.15314,0.15314,0.153988,0.153988,0.117454,0.117454,0.0906165,0.0906165,0.0911527,0.0911527,0.0894613,0.0894613,0.0894613,0.0894613,0.0914552,0.0914552,0.228,0.094462,0.094462
nov-95,0.507789,0.480668,0.480668,0.481081,0.481081,0.47839,0.47839,0.478406,0.478406,0.477914,0.477914,0.477928,0.477928,0.470806,0.470806,0.470905,0.470905,0.470407,0.470407,0.470407,0.470407,0.469908,0.469908,0.493,0.469908,0.469908,0.469326,0.469326,0.469368,0.469368,0.469049,0.469049,0.46906,0.46906,0.467192,0.467192,0.467192,0.467192,0.44761,0.44761,0.448792,0.448792,0.447919,0.447919,0.447997,0.447997,0.446752,0.446752,0.446812,0.446812,0.446812,0.446812,0.446812,0.446812,0.445939,0.445939,0.446036,0.446036,0.444017,0.444017,0.444064,0.444064,0.443067,0.443067,0.443067,0.443067,0.443067,0.443067,0.443067,0.443067,0.441822,0.441822,0.441854,0.441854,0.435189,0.435189,0.43542,0.43542,0.435171,0.435171,0.435192,0.435192,0.435192,0.435192,0.492392,0.492392,0.444044,0.444044,0.442376,0.442376,0.442538,0.442538,0.426115,0.426115,0.426438,0.426438,0.425939,0.425939,0.425939,0.425939,0.427704,0.427704,0.426956,0.426956,0.415,0.426956,0.426956,0.424687,0.424687,0.425234,0.425234,0.404832,0.404832,0.397606,0.397606,0.398136,0.398136,0.392604,0.392604,0.392604,0.392604,0.394144,0.394144,0.395426,0.395426,0.396082,0.396082,0.38848,0.38848,0.388767,0.388767,0.377825,0.377825,0.378878,0.378878,0.357134,0.357134,0.359553,0.359553,0.35684,0.35684,0.356994,0.356994,0.260308,0.260308,0.260308,0.260308,0.237061,0.237061,0.238,0.238,0.252703,0.252703,0.235785,0.235785,0.251121,0.251121,0.215443,0.215443,0.220031,0.220031,0.227563,0.227563,0.194431,0.194431,0.196402,0.196402,0.196402,0.196402,0.136627,0.136627,0.137888,0.137888,0.153713,0.153713,0.150639,0.150639,0.151516,0.151516,0.140244,0.140244,0.141578,0.141578,0.113911,0.113911,0.0935871,0.0935871,0.0945419,0.0945419,0.093261,0.093261,0.093261,0.093261,0.0969609,0.0969609,0.187,0.101736,0.101736
