Sources and Destinations,Decrease in Storage for Cuenta Corriente PMS,Decrease in Storage for Embalse Cogoti,Decrease in Storage for Embalse Paloma,Decrease in Storage for Embalse Recoleta,Increase in Storage for Cuenta Corriente PMS,Increase in Storage for Embalse Cogoti,Increase in Storage for Embalse Paloma,Increase in Storage for Embalse Recoleta,Inflow from Rio Grande,Inflow from Upstream,Net Evaporation and Local Reservoir Overflow,Outflow to Downstream,Outflow to DR Guatulame_B El Tome,Outflow to ENTREGA PALOMA,Outflow to ENTREGA_COGOTI,Outflow to Entregas Recoleta
May-00,0,1.24701,0.288805,,0,,,-0.765579,0,5.15453,-0.460644,-0.858723,0,-3.49558,-0.675052,-0.434769
Jun-00,0,,,,0,-1.64931,-6.49558,-3.07971,0,13.8052,0,-0.889968,0,-1.23628,-0.27639,-0.178009
Jul-00,0,0.123208,,,0,,-11.187,-3.57104,0,16.8804,-0.11169,-1.05246,0,-0.851098,-0.140106,-0.0902348
Aug-00,0,,,,0,-1.51781,-7.69225,-4.22119,0,18.8437,-0.513116,-1.1,0,-3.54807,-0.152842,-0.0984382
Sep-00,0,,,0.118673,0,-5.30839,-16.3649,,0,25.9281,-0.161458,-1.13237,0,-2.7767,-0.18426,-0.118673
Oct-00,0,,,,0,-8.85927,-23.5326,-0.836113,0,45.0578,-1.1466,-0.911402,0,-8.12554,-0.70345,-0.942766
Nov-00,0,,,,0,-9.40905,-17.5848,-0.49341,0.398438,41.6763,-1.63867,-0.441051,-0.398438,-9.67247,-1.17439,-1.2624
Dec-00,0,,,,0,-4.5657,-8.49781,-0.146688,0.385585,27.9826,-1.93683,-0.112536,-0.385585,-9.00376,-1.9644,-1.75488
Jan-01,0,,6.77581,0.405833,0,-1.25827,,,0.385585,12.2575,-1.94396,-0.0622224,-0.385585,-11.8481,-2.33377,-1.99277
Feb-01,0,2.49137,9.33082,1.22019,0,,,,0.426897,5.39199,-1.80899,-0.0662481,-0.426897,-11.5604,-2.71073,-2.28802
Mar-01,0,1.94159,6.0363,1.07657,0,,,,0,6.37119,-1.37578,-0.0692503,0,-9.86347,-2.2064,-1.91074
Apr-01,0,1.13101,2.62064,,0,,,-1.86693,0,8.22938,-0.955586,-0.412739,0,-6.77671,-1.19769,-0.771372
May-01,,1.05341,,,0,,-2.36845,-2.39854,0,10.0388,-0.499574,-0.842055,0,-3.5689,-0.706784,-0.707899
Jun-01,,0.717593,,,0,,-1.58789,-1.67785,0,8.24456,-0.447411,-0.876151,0,-3.79363,-0.289381,-0.289838
Jul-01,,,,,0,-4.49149,-11.0349,-0.784982,0,19.3626,0,-2.06495,0,-0.692641,-0.146691,-0.146922
Aug-01,,,,,0,-2.05533,-9.20943,0,0,17.1435,-0.130295,-4.85978,0,-0.568347,-0.160027,-0.160279
Sep-01,,,,,0,-2.10895,-8.85174,0,0,19.3655,-0.644421,-3.34388,0,-4.03033,-0.192921,-0.193225
Oct-01,,,,,0,-5.92279,-11.4916,0,0,30.0331,-1.31386,-2.5239,0,-7.05012,-0.856123,-0.874727
Nov-01,,,,,-0.00405093,0,-11.8881,0,0.398438,29.5688,-1.63867,-5.13833,-0.394387,-8.1774,-1.35318,-1.37315
Dec-01,0.00392025,0.670398,0.596574,0.585802,,,,,0.385567,15.7627,-1.93683,-1.10001,-0.389488,-10.2053,-2.17634,-2.19703
Jan-02,,2.5129,8.48987,0.619231,0,,,,0.385585,7.08638,-1.94396,-0.0560428,-0.385585,-11.5609,-2.56307,-2.58437
Feb-02,,2.84891,11.2193,,0,,,-1.33414,0.426865,7.87732,-1.80899,-0.70379,-0.426865,-12.1337,-2.97056,-2.99436
Mar-02,,2.33458,7.53538,,0,,,0,0,8.73433,-1.39249,-2.99657,0,-9.33472,-2.42972,-2.4508
Apr-02,,1.46103,1.80848,,0,,,0,0,12.2391,-0.830154,-4.49909,0,-7.66944,-1.25399,-1.25596
May-02,,,,,0,-5.38312,-17.1151,0,0,31.051,0,-5.0239,0,-2.16142,-0.710357,-0.657095
Jun-02,,,,,0,-4.25926,-16.0317,0,0,47.5377,0,-25.8966,0,-0.790299,-0.290844,-0.269037
Jul-02,,,,,0,0,0,0,0,38.3437,0,-36.1919,0,-1.86794,-0.147432,-0.136378
Aug-02,,,,,0,0,0,0,0,57.5887,-0.115818,-56.1355,0,-1.02782,-0.160835,-0.148776
Sep-02,,,,,0,0,0,0,0,53.324,-0.920602,-48.1719,0,-3.85819,-0.193896,-0.179358
Oct-02,,,,,0,0,0,0,0,75.8318,-1.32389,-64.0067,0,-8.70484,-0.872887,-0.923569
Nov-02,,,,,-0.0362983,0,0,0,0.398438,93.3166,-1.63867,-71.7694,-0.362139,-17.1457,-1.37287,-1.38994
Dec-02,0.0318686,,,,,0,0,0,0.385585,78.5509,-1.93683,-66.3073,-0.417453,-5.95606,-2.19978,-2.15097
Jan-03,0.00178312,,,,,0,0,0,0.385585,33.5047,-1.94396,-17.8485,-0.387368,-8.61331,-2.58846,-2.51052
Feb-03,0.00159815,1.26266,,,,,0,0,0.426897,20.6913,-1.80899,-5.30032,-0.428495,-8.94228,-2.99935,-2.90304
Mar-03,1.3859E-06,1.75467,,,,,0,0,0,15.2534,-1.39249,-1.39962,-1.3859E-06,-9.375,-2.45444,-2.38654
Apr-03,2.87654E-05,1.06972,,,,,0,0,0,12.7311,-0.955586,-1.5576,-2.87654E-05,-8.86146,-1.26032,-1.16583
May-03,,0.177523,,,0,,0,0,0,13.3378,0,-8.43995,0,-3.57557,-0.762108,-0.73767
Jun-03,,,,,0,-0.36597,0,0,0,15.6507,-0.248333,-12.5014,0,-1.92091,-0.312032,-0.302027
Jul-03,,,,,0,-0.342906,0,0,0,16.9909,-0.122277,-13.6871,0,-2.52732,-0.158173,-0.153101
Aug-03,,0.167306,,,0,,0,0,0,12.4312,-0.592451,-7.12475,0,-4.54175,-0.172552,-0.16702
Sep-03,3.0393E-06,0.845112,2.66659,,,,,0,0,10.0572,-0.920602,-3.35436,-3.0393E-06,-8.88455,-0.208022,-0.201351
