,Aportante 20
1989-01-31,19.05379146452873
1989-02-28,18.72368992396764
1989-03-31,15.077147256174442
1989-04-30,12.179195149739598
1989-05-31,9.17828152564266
1989-06-30,8.545555623372422
1989-07-31,6.998615683278729
1989-08-31,7.337846128402248
1989-09-30,9.422088623046875
1989-10-31,12.410986918787842
1989-11-30,15.465465291341161
1989-12-31,17.024537904800923
1990-01-31,18.277250031502035
1990-02-28,17.927981131417425
1990-03-31,14.670833267704154
1990-04-30,11.830289713541674
1990-05-31,8.825146878150235
1990-06-30,7.709108479817758
1990-07-31,6.896596404044885
1990-08-31,9.193380835748485
1990-09-30,9.711178588867199
1990-10-31,11.567243809853835
1990-11-30,13.77943827311202
1990-12-31,16.687162140877035
1991-01-31,17.208328542401716
1991-02-28,17.792180088588168
1991-03-31,15.903505189957173
1991-04-30,12.7166737874349
1991-05-31,10.027168323147691
1991-06-30,7.876700846354197
1991-07-31,6.793247149067554
1991-08-31,7.356701069493454
1991-09-30,9.817731730143237
1991-10-31,11.443653525075604
1991-11-30,14.6104746500651
1991-12-31,14.978059633316548
1992-01-31,19.14182680191533
1992-02-29,16.71930057920258
1992-03-31,16.410228901524704
1992-04-30,10.972738647460972
1992-05-31,8.637039479901716
1992-06-30,6.5528635660807595
1992-07-31,5.531351200226823
1992-08-31,8.13312830771173
1992-09-30,9.85335184733077
1992-10-31,10.864524398311517
1992-11-30,14.949055989583371
1992-12-31,16.135006615423436
1993-01-31,18.428199817288316
1993-02-28,18.778587777274026
1993-03-31,16.73810582314769
1993-04-30,12.28802388509115
1993-05-31,7.913316099105373
1993-06-30,8.642052205403672
1993-07-31,5.683352365801454
1993-08-31,8.22051096270161
1993-09-30,9.083421834309945
1993-10-31,11.90039535030246
1993-11-30,13.550806681315123
1993-12-31,16.205623306766654
1994-01-31,18.44591084141888
1994-02-28,17.09442727225172
1994-03-31,16.22308822139621
1994-04-30,11.939059448242233
1994-05-31,9.515643507434504
1994-06-30,8.865932210286473
1994-07-31,7.31876181325606
1994-08-31,7.094666314894198
1994-09-30,10.769059244791663
1994-10-31,12.164614572832704
1994-11-30,14.69763895670576
1994-12-31,16.950862564579154
1995-01-31,17.763680538054473
1995-02-28,17.16516483851842
1995-03-31,14.712550797001029
1995-04-30,12.597447713216184
1995-05-31,10.094013632497479
1995-06-30,8.092998250325536
1995-07-31,4.761640782510085
1995-08-31,6.455886151713742
1995-09-30,9.491067504882835
1995-10-31,11.484564799647217
1995-11-30,14.86602681477865
1995-12-31,18.92769283171623
1996-01-31,17.69975605626263
1996-02-29,17.02899506667569
1996-03-31,16.115114076675923
1996-04-30,10.806605021158873
1996-05-31,9.264848081527248
1996-06-30,6.475136311848985
1996-07-31,8.20857760521676
1996-08-31,8.552453613281273
1996-09-30,10.278622436523449
1996-10-31,12.111140884891654
1996-11-30,15.116857910156284
1996-12-31,17.227898185483866
1997-01-31,18.52795193579891
1997-02-28,17.045762634277366
1997-03-31,16.93078987367693
1997-04-30,14.034705607096384
1997-05-31,11.117787810294885
1997-06-30,7.934094238281261
1997-07-31,8.028452030304948
1997-08-31,9.079016703944092
1997-09-30,10.288996378580748
1997-10-31,10.729333496093773
1997-11-30,13.802715047200536
1997-12-31,16.634386419480848
1998-01-31,17.842722049836198
1998-02-28,17.82238595145094
1998-03-31,15.392679325226823
1998-04-30,11.903728230794286
1998-05-31,11.07352255544356
1998-06-30,7.7901570638020985
1998-07-31,7.122204983618985
1998-08-31,7.081201171875023
1998-09-30,8.980520629882847
1998-10-31,13.457391357421898
1998-11-30,14.772220865885458
1998-12-31,17.678514837449598
