Yr,Mon,EST. CHACAY B
1971,1,158.91536796536798
1971,2,125.67900432900436
1971,3,102.7651515151515
1971,4,62.33593073593076
1971,5,35.57922077922078
1971,6,20.402380952380955
1971,7,28.090692640692648
1971,8,38.13766233766235
1971,9,62.92056277056278
1971,10,101.87554112554113
1971,11,129.92987012987015
1971,12,153.02467532467537
1972,1,174.29025974025976
1972,2,125.5365800865801
1972,3,99.4727272727273
1972,4,65.35714285714286
1972,5,36.38744588744589
1972,6,24.355194805194813
1972,7,26.02142857142858
1972,8,39.71904761904763
1972,9,55.54891774891776
1972,10,84.4149350649351
1972,11,118.88571428571431
1972,12,156.2692640692641
1973,1,170.04112554112558
1973,2,129.49718614718617
1973,3,103.00346320346324
1973,4,58.895670995671004
1973,5,36.62186147186149
1973,6,22.046103896103894
1973,7,22.72467532467533
1973,8,36.86558441558442
1973,9,62.85043290043291
1973,10,86.5852813852814
1973,11,121.50281385281387
1973,12,162.72207792207794
1974,1,167.89891774891782
1974,2,122.46948051948056
1974,3,104.4344155844156
1974,4,59.303679653679666
1974,5,42.20974025974027
1974,6,23.16731601731601
1974,7,23.50584415584416
1974,8,37.01536796536797
1974,9,64.33095238095238
1974,10,92.10757575757577
1974,11,124.58571428571429
1974,12,152.53116883116886
1975,1,168.06255411255415
1975,2,122.4666666666667
1975,3,96.7287878787879
1975,4,66.98528138528138
1975,5,33.0904761904762
1975,6,22.2965367965368
1975,7,25.493722943722943
1975,8,35.71341991341992
1975,9,60.369264069264084
1975,10,95.04199134199138
1975,11,121.02424242424243
1975,12,150.8227272727273
1976,1,165.06125541125547
1976,2,117.92445887445888
1976,3,99.94891774891778
1976,4,58.8961038961039
1976,5,34.19199134199135
1976,6,19.263852813852818
1976,7,25.118398268398273
1976,8,36.641341991342
1976,9,60.15714285714286
1976,10,98.51471861471862
1976,11,122.16948051948054
1976,12,153.99393939393943
1977,1,168.45541125541126
1977,2,125.17294372294373
1977,3,104.72207792207794
1977,4,64.46904761904763
1977,5,35.73268398268399
1977,6,23.68571428571429
1977,7,25.51298701298702
1977,8,37.73614718614719
1977,9,65.12835497835498
1977,10,91.75757575757576
1977,11,117.73116883116884
1977,12,149.05606060606064
1978,1,159.98333333333338
1978,2,128.50930735930737
1978,3,101.46515151515153
1978,4,59.60519480519483
1978,5,32.158441558441574
1978,6,23.019264069264068
1978,7,33.836147186147194
1978,8,36.16969696969698
1978,9,61.03290043290045
1978,10,91.1560606060606
1978,11,118.13614718614723
1978,12,157.27705627705632
1979,1,166.40584415584422
1979,2,123.5883116883117
1979,3,102.7010822510823
1979,4,61.02489177489178
1979,5,33.22510822510824
1979,6,17.82424242424243
1979,7,24.36883116883118
1979,8,39.756277056277064
1979,9,55.91385281385283
1979,10,91.54718614718617
1979,11,112.1054112554113
1979,12,146.39718614718615
1980,1,176.25173160173162
1980,2,113.01861471861474
1980,3,105.15735930735933
1980,4,55.204112554112555
1980,5,38.77575757575758
1980,6,22.885930735930742
1980,7,26.460606060606064
1980,8,42.577922077922096
1980,9,65.82965367965369
1980,10,97.32597402597406
1980,11,118.74870129870129
1980,12,151.57597402597406
1981,1,152.7714285714286
1981,2,127.49329004329007
1981,3,102.11861471861472
1981,4,57.532467532467535
1981,5,40.937662337662346
1981,6,21.653246753246762
1981,7,29.07229437229438
1981,8,39.13874458874459
1981,9,64.57554112554114
1981,10,97.26450216450218
1981,11,122.59502164502165
1981,12,157.80670995670997
1982,1,170.38073593073597
1982,2,120.86103896103899
1982,3,101.8145021645022
1982,4,59.693290043290055
1982,5,35.815367965367976
1982,6,21.80800865800866
1982,7,28.204761904761906
1982,8,41.06926406926407
1982,9,59.838961038961045
1982,10,89.51363636363638
1982,11,116.28311688311688
1982,12,162.48809523809524
1983,1,155.7106060606061
1983,2,128.85541125541127
1983,3,100.1344155844156
1983,4,60.691125541125544
1983,5,30.421645021645027
1983,6,16.69632034632035
1983,7,23.627056277056283
1983,8,41.01861471861473
1983,9,59.969696969696976
1983,10,99.96753246753248
1983,11,133.9082251082251
1983,12,162.6889610389611
1984,1,167.80454545454552
1984,2,123.72056277056282
1984,3,98.08506493506495
1984,4,59.21493506493508
1984,5,33.0943722943723
1984,6,15.17662337662338
1984,7,25.835930735930738
1984,8,35.851515151515166
1984,9,60.24155844155845
1984,10,83.04025974025977
1984,11,111.7378787878788
1984,12,147.28225108225112
1985,1,158.50865800865805
1985,2,126.80779220779226
1985,3,102.5757575757576
1985,4,57.4891774891775
1985,5,33.56753246753247
1985,6,26.825974025974034
1985,7,25.798268398268405
1985,8,37.03095238095239
1985,9,64.37402597402598
1985,10,88.29978354978356
1985,11,125.90974025974026
1985,12,159.5883116883117
1986,1,166.3322510822511
1986,2,123.09696969696972
1986,3,100.64588744588747
1986,4,56.068831168831174
1986,5,36.893506493506486
1986,6,22.30476190476191
1986,7,24.92619047619048
1986,8,38.88874458874459
1986,9,61.51515151515153
1986,10,94.93376623376625
1986,11,116.37316017316019
1986,12,155.34523809523813
1987,1,172.53636363636366
1987,2,131.3779220779221
1987,3,106.09415584415584
1987,4,60.05627705627707
1987,5,31.88008658008658
1987,6,19.960606060606068
1987,7,30.485497835497842
1987,8,36.866666666666674
1987,9,60.1400432900433
1987,10,90.79242424242425
1987,11,125.8248917748918
1987,12,151.66774891774892
1988,1,163.26212121212126
1988,2,128.42987012987012
1988,3,95.47380952380952
1988,4,61.13571428571429
1988,5,29.901515151515163
1988,6,23.51082251082252
1988,7,25.13614718614719
1988,8,36.78463203463203
1988,9,58.54069264069265
1988,10,95.38614718614718
1988,11,132.04004329004331
1988,12,154.9887445887446
1989,1,167.09458874458875
1989,2,129.9158008658009
1989,3,101.287012987013
1989,4,62.31233766233769
1989,5,30.07402597402598
1989,6,22.318181818181827
1989,7,28.879220779220784
1989,8,37.311255411255424
1989,9,64.64913419913421
1989,10,99.99155844155844
1989,11,128.19588744588745
1989,12,150.0510822510823
1990,1,170.05844155844161
1990,2,116.59155844155846
1990,3,100.72510822510824
1990,4,58.19307359307361
1990,5,31.72510822510823
1990,6,20.316233766233772
1990,7,24.095454545454555
1990,8,41.895670995671
1990,9,60.79134199134201
1990,10,94.46580086580087
1990,11,124.45216450216452
1990,12,150.9575757575758
1991,1,163.85173160173167
1991,2,128.92337662337667
1991,3,101.90454545454544
1991,4,57.72813852813853
1991,5,35.81969696969698
1991,6,20.54588744588745
1991,7,25.009307359307364
1991,8,39.019480519480524
1991,9,60.8991341991342
1991,10,93.99285714285716
1991,11,118.83246753246756
1991,12,130.9383116883117
1992,1,166.01558441558444
1992,2,123.87424242424242
1992,3,104.0512987012987
1992,4,55.707359307359326
1992,5,35.24653679653681
1992,6,19.994805194805195
1992,7,22.280519480519487
1992,8,37.04632034632035
1992,9,63.58766233766235
1992,10,94.72683982683985
1992,11,121.1004329004329
1992,12,143.0787878787879
1993,1,163.79632034632039
1993,2,134.2478354978355
1993,3,103.50909090909093
1993,4,62.2818181818182
1993,5,35.47792207792208
1993,6,25.758225108225112
1993,7,24.702380952380953
1993,8,42.61493506493507
1993,9,63.55930735930738
1993,10,93.35974025974029
1993,11,123.58073593073595
1993,12,156.0976190476191
1994,1,168.4831168831169
1994,2,119.21082251082251
