Yr,Mon,EST. CHACAY C
1971,1,154.3427419354839
1971,2,123.65241935483871
1971,3,102.98790322580645
1971,4,64.38951612903226
1971,5,38.75887096774194
1971,6,20.477419354838712
1971,7,30.058064516129033
1971,8,39.18145161290323
1971,9,62.78951612903226
1971,10,100.97258064516129
1971,11,127.13790322580647
1971,12,149.79274193548383
1972,1,168.9467741935484
1972,2,123.1733870967742
1972,3,99.71774193548389
1972,4,67.21048387096775
1972,5,39.9741935483871
1972,6,26.664516129032258
1972,7,27.614516129032257
1972,8,40.69193548387097
1972,9,55.33548387096775
1972,10,84.31612903225806
1972,11,117.24596774193549
1972,12,153.21370967741936
1973,1,164.6467741935484
1973,2,127.24193548387098
1973,3,102.8758064516129
1973,4,61.031451612903226
1973,5,39.70645161290324
1973,6,24.262903225806454
1973,7,21.391129032258068
1973,8,37.86209677419355
1973,9,62.13951612903227
1973,10,86.33709677419354
1973,11,119.66370967741935
1973,12,159.41209677419357
1974,1,162.5661290322581
1974,2,120.28064516129032
1974,3,104.48629032258064
1974,4,61.49274193548388
1974,5,45.683064516129036
1974,6,25.37016129032258
1974,7,24.870967741935488
1974,8,38.03225806451613
1974,9,63.63951612903226
1974,10,91.69677419354838
1974,11,122.27096774193546
1974,12,149.49435483870968
1975,1,163.10080645161293
1975,2,120.28387096774193
1975,3,97.36129032258064
1975,4,68.74919354838708
1975,5,35.98548387096774
1975,6,24.33306451612903
1975,7,26.718548387096774
1975,8,35.9225806451613
1975,9,59.80564516129032
1975,10,94.21129032258064
1975,11,118.98145161290323
1975,12,148.1483870967742
1976,1,160.73387096774195
1976,2,115.80322580645162
1976,3,100.62983870967741
1976,4,61.634677419354844
1976,5,37.18870967741936
1976,6,21.128225806451617
1976,7,26.581451612903226
1976,8,37.721774193548384
1976,9,59.95483870967742
1976,10,97.80241935483872
1976,11,120.11290322580646
1976,12,150.49112903225804
1977,1,163.53064516129035
1977,2,123.01370967741934
1977,3,104.65645161290323
1977,4,66.10887096774194
1977,5,39.102419354838716
1977,6,25.743548387096777
1977,7,27.43870967741936
1977,8,38.90564516129033
1977,9,65.07016129032257
1977,10,91.35806451612905
1977,11,115.51290322580647
1977,12,146.3185483870968
1978,1,155.84758064516132
1978,2,126.01209677419354
1978,3,101.68790322580645
1978,4,61.782258064516135
1978,5,35.30080645161291
1978,6,25.231451612903225
1978,7,35.94193548387097
1978,8,36.362903225806456
1978,9,61.271774193548396
1978,10,90.67419354838708
1978,11,116.21451612903229
1978,12,154.6290322580645
1979,1,162.33709677419355
1979,2,121.6048387096774
1979,3,103.45241935483874
1979,4,63.322580645161295
1979,5,36.49193548387097
1979,6,18.657258064516128
1979,7,26.38951612903226
1979,8,41.07741935483872
1979,9,55.75080645161292
1979,10,91.0741935483871
1979,11,110.90887096774193
1979,12,143.85725806451612
1980,1,171.6758064516129
1980,2,112.15161290322581
1980,3,105.10725806451613
1980,4,57.70161290322582
1980,5,42.38306451612903
1980,6,24.959677419354843
