,0
2000-01-01,0.8996603094622264
2000-02-01,0.7152997184542337
2000-03-01,0.663676730817733
2000-04-01,0.6339203260749844
2000-05-01,0.5996096044626681
2000-06-01,0.46847598498804677
2000-07-01,0.5728615005012087
2000-08-01,3.614927499393742
2000-09-01,5.419645316516091
2000-10-01,28.415687532709054
2000-11-01,8.428808589647247
2000-12-01,48.499917160236635
2001-01-01,51.94316292990602
2001-02-01,15.207197891417568
2001-03-01,7.738610231952371
2001-04-01,5.205414108730076
2001-05-01,4.3731980875862435
2001-06-01,3.6637556771132465
2001-07-01,2.8572036720816687
2001-08-01,7.458436783884508
2001-09-01,20.80808919962145
2001-10-01,7.555596749180043
2001-11-01,8.747561966165502
2001-12-01,37.610035258043006
2002-01-01,17.541695818542415
2002-02-01,8.130161192615583
2002-03-01,4.824335962276599
2002-04-01,3.4554129903499318
2002-05-01,3.760544467075435
2002-06-01,16.61393411273394
2002-07-01,11.720582551511626
2002-08-01,17.431691112473445
2002-09-01,17.379439413828806
2002-10-01,7.5313965074907205
2002-11-01,78.27281980604538
2002-12-01,51.62060899777192
2003-01-01,13.43099946104881
2003-02-01,6.770061322117113
2003-03-01,4.3529103449949424
2003-04-01,3.1935108631692564
2003-05-01,2.634467614638635
2003-06-01,3.0574798209947276
2003-07-01,4.503016839520571
2003-08-01,4.65760851673304
2003-09-01,3.9006867627910062
2003-10-01,7.199631882686562
2003-11-01,13.362782575451018
2003-12-01,7.307428935003589
2004-01-01,4.600708901427964
2004-02-01,3.2798623499266153
2004-03-01,2.478653972523662
2004-04-01,1.9775152837214065
2004-05-01,1.829980801257689
2004-06-01,1.7459835915010413
2004-07-01,1.9611891750057442
2004-08-01,6.346574445520999
2004-09-01,7.956091549133941
2004-10-01,6.554850003372838
2004-11-01,16.472265744633965
2004-12-01,14.785164439904083
2005-01-01,8.00777589271898
2005-02-01,5.3078948037009965
2005-03-01,3.75314352579428
2005-04-01,2.924261637803722
2005-05-01,2.5528027339704584
2005-06-01,3.26302302727792
2005-07-01,14.847648875990645
2005-08-01,14.129925032682408
2005-09-01,24.005011727339248
2005-10-01,30.595536146075684
2005-11-01,52.98599617729116
2005-12-01,49.494063966201864
2006-01-01,16.041388674811724
2006-02-01,8.189729372584665
2006-03-01,5.0459319757225884
2006-04-01,3.567290505295544
2006-05-01,2.841475383624112
2006-06-01,2.5990074864727335
2006-07-01,6.296124507457556
2006-08-01,10.221428315728803
2006-09-01,8.483720838075293
2006-10-01,5.3948871036105235
2006-11-01,6.991848313259457
2006-12-01,19.36466328686258
2007-01-01,18.8085990874417
2007-02-01,10.363581878796843
2007-03-01,5.982915072191797
2007-04-01,4.308259884654309
2007-05-01,3.7886412435569876
2007-06-01,2.6474866677637157
2007-07-01,1.3432848292051935
2007-08-01,1.3338644919021934
2007-09-01,1.7320450031538202
2007-10-01,2.8569972011580047
2007-11-01,2.0418433147499346
2007-12-01,2.6172961481000017
2008-01-01,8.518645940253224
2008-02-01,7.410496433494499
2008-03-01,4.857552400724613
2008-04-01,3.604764533143861
2008-05-01,3.1651223362017586
2008-06-01,5.131418332881436
2008-07-01,6.882402332834339
2008-08-01,18.820438102109957
2008-09-01,25.489472557098086
2008-10-01,9.903843692306557
2008-11-01,9.393201431692816
2008-12-01,49.015499686681764
2009-01-01,35.87249151379621
2009-02-01,12.724172212857777
2009-03-01,7.143681074200092
2009-04-01,4.6265082756847695
2009-05-01,3.7132649192317704
2009-06-01,3.234499745579882
2009-07-01,2.8256598382919247
2009-08-01,3.846803723378763
2009-09-01,10.806098746077545
2009-10-01,6.279251343042336
2009-11-01,3.494696717752276
2009-12-01,13.411394646468558
2010-01-01,19.857789888821188
2010-02-01,10.616058688196745
2010-03-01,5.922152128252381
2010-04-01,4.070849914209226
2010-05-01,3.5334269487090615
2010-06-01,2.700913908798376
2010-07-01,1.407924131721967
2010-08-01,1.109719445830331
2010-09-01,1.5054834510349595
2010-10-01,1.9120195496537844
2010-11-01,2.13324067644279
2010-12-01,2.2443490069704306
2011-01-01,7.174197730029454
2011-02-01,7.489891009320984
2011-03-01,5.105291023074335
2011-04-01,3.7606931821931693
2011-05-01,3.2970491814821465
2011-06-01,2.940662091507457
2011-07-01,2.254010112790301
2011-08-01,1.4204312460131014
2011-09-01,2.916581232848342
2011-10-01,4.06694372202957
2011-11-01,7.271563309085207
2011-12-01,22.84054573864532
2012-01-01,18.014832020200664
2012-02-01,9.256688319560354
2012-03-01,5.860695179572257
2012-04-01,4.101246661917188
2012-05-01,3.47259740626352
2012-06-01,3.544270343586704
2012-07-01,4.104292796850096
2012-08-01,3.893302444736421
2012-09-01,8.62737033980283
2012-10-01,10.224292737890298
2012-11-01,13.573099583566131
2012-12-01,19.582930866773285
2013-01-01,15.889129866335812
2013-02-01,7.753650105937922
2013-03-01,4.6318966884768
2013-04-01,3.3070206077217406
2013-05-01,2.77832551750019
2013-06-01,2.5714820616203977
2013-07-01,2.026458363439497
2013-08-01,1.6996196481599337
2013-09-01,1.9498195955964104
2013-10-01,2.878316142742864
2013-11-01,3.6102170109260894
2013-12-01,11.037163746809988
2014-01-01,13.209368095137847
2014-02-01,7.459495362723011
2014-03-01,4.8700510670675925
2014-04-01,3.3805737224714307
2014-05-01,2.814397358061995
2014-06-01,2.508473559397273
2014-07-01,1.8005771222161508
2014-08-01,1.0987372887367544
2014-09-01,1.9923534925446282
2014-10-01,3.9672513381534564
2014-11-01,5.973414763250046
2014-12-01,12.803891091727836
2015-01-01,9.963960951932888
2015-02-01,6.034029328436071
