date,0,1,2,3,4,5,6,7,8
2022-12-28,1.7752402868026346e-05,2.6424388386050774e-05,4.100141019939435e-05,5.433787781481577e-05,7.534989856538319e-05,0.00024168917110988072,0.000553957271925259,0.0009295940399169922,
2022-12-29,3.025470635829828e-06,4.342069713595229e-06,1.0649049609104343e-05,1.7094560995367784e-05,2.3872375488281247e-05,0.00010418721607753208,0.0002467782942803352,0.00048485398292541515,
2022-12-30,5.581440069736578e-07,6.677576268891956e-07,3.798166552417845e-06,6.136991933950335e-06,7.497969127836683e-06,4.863370032537551e-05,0.00010509870864532806,0.00020800034205118814,
2022-12-31,6.945255475166518e-05,9.199320974707687e-05,0.0001246937232463712,0.00015913363664184894,0.00016562289283389135,0.0004533373174213227,0.0007566731054704267,0.001354406277338664,
2023-01-01,0.0003477249390039689,0.0004668688824728543,0.0005311056529163015,0.0006247920481000369,0.0006381221498761859,0.0008069180306934175,0.0009959302979074556,0.0017342368761698404,
2023-01-02,4.26946542201898e-05,5.4677918036610034e-05,6.104017370224715e-05,7.309205253152073e-05,7.407610757010324e-05,0.00010553030740647089,0.00016477671298351914,0.000372469425201416,
2023-01-03,5.273941235664564e-06,6.277259157130841e-06,6.801066923661144e-06,9.878550309750874e-06,1.1049724760509673e-05,1.2848774592081704e-05,2.5690475226321937e-05,7.387995719909668e-05,
2023-01-04,4.847844441731771e-07,4.796212392754363e-07,4.5385543496391007e-07,6.898062439910112e-07,8.055369059244791e-07,7.118497576032366e-07,2.714303823617788e-06,9.546677271525065e-06,
2023-01-05,-7.345364920210326e-25,-7.345364920210326e-25,2.1503366773534385e-09,2.725027219323792e-07,5.420957292829241e-07,1.839229038783482e-07,9.025846208844867e-07,1.4702479044596355e-06,
2023-01-06,-7.345364920210326e-25,-7.345364920210326e-25,1.2508822042930398e-05,2.2819049590708164e-05,3.072052910214379e-05,0.00017924649374825613,0.00033657411079267003,0.0005493859450022379,
2023-01-07,-7.345364920210326e-25,-7.345364920210326e-25,3.0239333518686623e-05,5.1295072770499326e-05,6.117548261369977e-05,0.00042085051536560063,0.0007625482021233975,0.0013664464155832925,
2023-01-08,-7.345364920210326e-25,-7.345364920210326e-25,1.0443513261693978e-05,1.6757497226223366e-05,1.934850783575149e-05,0.00012258092562357587,0.00019437052828051671,0.0003811220328013102,
2023-01-09,-7.345364920210326e-25,-7.345364920210326e-25,4.183166415025667e-06,7.407790795944976e-06,8.747872852143788e-06,5.1841281709216895e-05,8.757297809307392e-05,0.0001706679662068685,
2023-01-10,-7.345364920210326e-25,-7.345364920210326e-25,6.803575649784723e-07,1.8112029465772384e-06,2.43354979015532e-06,7.35095569065639e-06,1.1429026886657045e-05,2.5788942972819008e-05,
2023-01-11,-7.345364920210326e-25,-7.345364920210326e-25,3.444570565035539e-07,2.0038067570237115e-06,3.1256448654901413e-06,5.006790161132812e-06,9.73324199299236e-06,2.0404656728108723e-05,
2023-01-12,1.6157443706805891e-06,2.528873640682709e-06,9.269698227943671e-06,1.7611844669730147e-05,2.3459207443963913e-05,0.00010089164688473655,0.00019292669855194651,0.00033758083979288733,
