Yr,Mon,EST. SAN VICENTE C
1971,1,153.0007042253521
1971,2,123.11643192488265
1971,3,103.1981220657277
1971,4,64.67347417840377
1971,5,39.74413145539906
1971,6,18.494600938967135
1971,7,30.45234741784038
1971,8,38.53098591549296
1971,9,62.247183098591556
1971,10,100.7387323943662
1971,11,126.06596244131454
1971,12,148.581220657277
1972,1,167.4037558685446
1972,2,122.6830985915493
1972,3,99.92558685446011
1972,4,67.68920187793428
1972,5,40.94859154929577
1972,6,27.047887323943662
1972,7,27.19577464788733
1972,8,39.817136150234745
1972,9,55.124413145539904
1972,10,83.96924882629106
1972,11,116.5645539906103
1972,12,152.14694835680754
1973,1,163.0776995305164
1973,2,126.72018779342726
1973,3,103.00962441314553
1973,4,61.55164319248826
1973,5,40.576291079812215
1973,6,24.667136150234747
1973,7,18.736150234741782
1973,8,37.22089201877935
1973,9,61.55704225352113
1973,10,86.22652582159624
1973,11,118.88239436619716
1973,12,158.25798122065729
1974,1,160.98450704225354
1974,2,119.7737089201878
1974,3,104.61643192488265
1974,4,62.05751173708921
1974,5,46.53708920187793
1974,6,25.194366197183097
1974,7,24.105868544600938
1974,8,37.41220657276995
1974,9,63.19530516431925
1974,10,91.57347417840377
1974,11,121.43004694835679
1974,12,148.46291079812204
1975,1,161.69530516431928
1975,2,119.81995305164321
1975,3,97.69976525821596
1975,4,69.17276995305164
1975,5,36.865258215962434
1975,6,24.77300469483568
1975,7,25.593896713615024
1975,8,34.187558685446014
1975,9,59.46596244131455
1975,10,93.91572769953052
1975,11,118.0969483568075
1975,12,147.13169014084505
1976,1,159.45352112676056
1976,2,115.34882629107982
1976,3,100.9401408450704
1976,4,62.26291079812208
1976,5,38.108215962441314
1976,6,21.15845070422536
1976,7,25.68239436619718
1976,8,36.88943661971831
1976,9,59.652347417840375
1976,10,97.55234741784037
1976,11,119.25985915492957
1976,12,149.2816901408451
1977,1,162.11220657276994
1977,2,122.59553990610328
1977,3,104.82230046948358
1977,4,66.51971830985916
1977,5,39.973239436619714
1977,6,26.1830985915493
1977,7,27.491314553990613
1977,8,38.69225352112676
1977,9,64.52652582159625
1977,10,91.25328638497653
1977,11,114.65985915492956
1977,12,145.318779342723
1978,1,154.63591549295774
1978,2,125.5138497652582
1978,3,101.84929577464789
1978,4,62.31737089201878
1978,5,36.20305164319249
1978,6,25.33145539906104
1978,7,36.44647887323944
1978,8,34.476056338028165
1978,9,60.89765258215963
1978,10,90.45774647887325
1978,11,115.47488262910798
1978,12,153.5955399061033
1979,1,161.06971830985913
1979,2,121.18896713615023
1979,3,103.8030516431925
1979,4,63.87769953051642
1979,5,37.403051643192484
1979,6,17.69154929577465
1979,7,26.50258215962441
1979,8,41.078638497652584
1979,9,55.30328638497653
1979,10,90.82840375586852
1979,11,110.28615023474181
1979,12,142.82840375586855
1980,1,170.34366197183098
1980,2,111.88169014084507
1980,3,105.17323943661971
1980,4,58.211032863849766
1980,5,43.22652582159624
1980,6,24.855164319248825
1980,7,28.27112676056338
1980,8,43.72464788732395
1980,9,64.9255868544601
1980,10,96.1025821596244
1980,11,116.03568075117371
1980,12,147.80962441314557
1981,1,147.61173708920188
1981,2,124.7
1981,3,103.3950704225352
1981,4,60.09812206572769
1981,5,45.67863849765258
1981,6,24.317370892018776
1981,7,31.36572769953051
1981,8,39.790845070422534
1981,9,63.86971830985915
1981,10,96.37511737089203
1981,11,119.60328638497654
1981,12,153.60399061032865
1982,1,165.25211267605636
1982,2,118.58521126760564
1982,3,102.6568075117371
1982,4,61.97183098591551
1982,5,39.88004694835681
1982,6,22.4462441314554
1982,7,30.94366197183099
1982,8,41.97300469483567
1982,9,59.85704225352113
1982,10,88.93732394366197
1982,11,113.82511737089202
1982,12,157.87488262910801
1983,1,150.95399061032862
1983,2,125.68497652582163
1983,3,100.73450704225353
1983,4,62.99201877934272
1983,5,33.688497652582164
1983,6,11.060328638497651
1983,7,22.060093896713617
1983,8,41.034976525821605
1983,9,59.083802816901404
1983,10,99.10821596244132
1983,11,130.331455399061
1983,12,158.83591549295778
1984,1,162.2530516431925
1984,2,121.0732394366197
1984,3,99.05680751173708
1984,4,61.57276995305165
1984,5,37.04295774647888
1984,6,9.24413145539906
1984,7,24.99577464788732
1984,8,34.71408450704225
1984,9,59.82159624413145
1984,10,82.98615023474179
1984,11,109.4638497652582
1984,12,143.58215962441312
1985,1,153.62159624413147
1985,2,124.10680751173709
1985,3,103.08802816901408
1985,4,60.35117370892019
1985,5,37.54694835680751
1985,6,29.353755868544603
1985,7,27.530985915492963
1985,8,37.63920187793427
1985,9,64.21830985915493
1985,10,87.94342723004695
1985,11,122.99929577464786
1985,12,155.23779342723003
1986,1,160.4279342723005
1986,2,120.65563380281691
1986,3,101.35093896713614
1986,4,58.95704225352113
1986,5,41.13708920187793
1986,6,24.85704225352113
1986,7,27.00234741784038
1986,8,40.0237089201878
1986,9,60.82910798122066
1986,10,94.20727699530516
1986,11,114.3530516431925
1986,12,151.47957746478872
