,min,max,mean,area,AreaBelowMElev
0,1246.0,1499.0,1408.2557116503476,6350018.687883604,2811866.4843029217
1,1500.0,1999.0,1777.8104690176203,38362019.80218628,24657250.43929234
2,2000.0,2499.0,2255.27673645888,56589540.814133115,72736595.14594014
3,2500.0,2999.0,2752.0247394610833,57542335.76673449,129742603.02125265
4,3000.0,3499.0,3284.6605919882413,84525981.2445346,197735024.26652876
5,3500.0,3999.0,3728.4228267931176,134408419.5836691,312622796.90032464
6,4000.0,4411.0,4092.9166331456154,17822984.10085844,388015394.3429186
