date,0,1,2,3,4,5,6
2000-06-01,0.06281604362842091,0.07469459088233604,0.07248283482689623,0.06300751297123725,0.0509952333513952,0.03317748805243031,0.003307694872394975
2000-06-02,0.02348220741841939,0.03730818001057288,0.03561624857460133,0.06276505435665093,0.054790686642059626,0.03505266883199152,0.0
2000-06-03,0.045779486652463654,0.07273376384036284,0.0657241706920893,0.04967734280084682,0.04142429999513755,0.03872877200441718,0.017201919729510937
2000-06-04,0.0027893404367205082,0.004431662376098011,0.0036295460999465246,0.010588748844506309,0.014463211031930495,0.015766100674040825,0.032053311908233205
2000-06-05,0.01657095269765704,0.026342369296161502,0.020710178389716345,0.015562839411162965,0.010811872352976036,0.005877828453316747,0.005967771303261302
2000-06-06,0.0019348477739185856,0.0030698320078387854,0.0051900190320287145,0.07971473368150933,0.06629802203748722,0.04226534960744755,0.0369285181222949
2000-06-07,0.0017706062182696648,0.002813112683232179,0.00411731816499617,0.010626695936505394,0.008683585566451506,0.0070220586470962085,0.0009499672257030959
2000-06-08,0.0,0.0,0.00032681472740082916,0.01054332729267037,0.011137078631895057,0.011764875134464654,0.0
2000-06-09,0.03429246083511921,0.03714421841052901,0.04429157512553866,0.057784875594240614,0.059794634908057816,0.07152944177980541,0.04356436797146063
2000-06-10,0.00044333764963084584,0.000541063140014423,0.0008629054463422222,0.011540107488481416,0.010712018707354247,0.009861117878076643,0.02679813148764272
2000-06-11,0.009573295030744092,0.010107621301466108,0.02053284443452953,0.04986315001495529,0.04663622050595876,0.048526149234011405,0.01391882802225078
2000-06-12,0.5063510284865819,0.571669506313819,0.5097524204397729,0.44099785896871885,0.37864177924820197,0.30242684639811496,0.18295903715261372
2000-06-13,0.2710064934549033,0.2627423572578372,0.2789730354969541,0.3427632733232107,0.3588024714758189,0.395597769242719,0.32151072218160454
2000-06-14,0.7094570141479682,0.6750999383744286,0.7191372856529523,0.756754248769744,0.7784341867753226,0.822001815295193,0.5467698512366042
2000-06-15,0.4009997480541642,0.6422214712914514,0.5289908096427601,0.3422357475144014,0.27406589646182067,0.22053871728267127,0.12500634363338273
2000-06-16,0.07952994177588453,0.027397825473769347,0.048016196248824784,0.044465980804430184,0.04747109578382707,0.01417069919021039,3.3534551524400004e-05
2000-06-17,0.0018174487139428147,0.002705280323278206,0.004040607480808517,0.027918064951613208,0.02262234278446884,0.016950501686854566,0.0035904071046388643
2000-06-18,0.004228815150903145,0.0038693535257110167,0.005922431264468662,0.05557119760955503,0.04157711013854267,0.022956594481679003,0.000106228437895575
2000-06-19,0.1602991332998499,0.20425918456195993,0.20364809410760776,0.20707008552346262,0.16286175957863527,0.12376376186769251,0.003948716039303686
2000-06-20,0.036153224996814955,0.02601714209604296,0.03912074381536274,0.0879581493454877,0.10349985379563892,0.11176576289509811,0.11784388523377248
2000-06-21,0.0025448966772879875,0.0,0.0017186355006794123,0.05544467571757115,0.07192365399447358,0.08278745093160321,0.10425426538616495
2000-06-22,0.0,3.124193928125e-06,0.0018721693224003062,0.059836439005826185,0.07556559749405077,0.10999291092878972,0.4363488392555155
2000-06-23,0.5695400152127452,0.2370052411263309,0.23708417915931587,0.3281232347384148,0.3995100095591278,0.4060042631518554,0.27554313368455036
2000-06-24,0.2485161482404995,0.034600784406073185,0.03519489756671052,0.03455678569800038,0.09456361566527353,0.12245308325526605,0.02898327911801364
2000-06-25,0.07691807523551684,0.03377846361737589,0.03290307623977059,0.04055467780381091,0.042711508587398035,0.045959709987769166,0.036640425851982204
2000-06-26,0.14483833805243193,0.15949525654107777,0.1667051694446042,0.20443354048292586,0.22117231362708598,0.2297084346122006,0.23416336295607224
2000-06-27,1.0969607338025524,1.062298560023817,1.0367630606223701,0.8844099338585919,0.8454559700330018,0.834340462902882,0.39473962515732336
2000-06-28,1.0141692681081622,1.0501946940452302,1.0456162220689065,1.1190319587633957,1.1730411621485308,1.2416085646851922,1.2784535290290175
2000-06-29,0.6021640351437478,0.5842405108800607,0.6375753054020857,0.7248725708430569,0.8444894518424312,1.0167932965100057,0.9327633754583076
2000-06-30,0.004321887361826759,0.0006214826243084165,0.0012144889741327943,0.017575149076809297,0.021780661997829586,0.024275311390523236,0.03693552340496351
2000-07-01,0.04849624793011267,0.0,0.0011448497527407654,0.03693384854494174,0.03156653554809671,0.021902203399780242,0.006019614627196755
2000-07-02,0.0005236341210547833,0.0007656847534416875,0.0007650796975189958,0.0016249781083544125,0.0012830376628399757,0.0009527866238613374,0.0
2000-07-03,0.07326701687464568,0.09085397455635763,0.08899219143202558,0.12307514266241482,0.13155813275445713,0.14864445149137825,0.24881562989806602
2000-07-04,0.0160281245150448,0.01686925841734753,0.0112506135362464,0.008087597560991528,0.008068057152379505,0.009739864238832682,0.0006911317662646354
2000-07-05,0.0004465511112357458,0.0029008334318616127,4.046380799647917e-05,2.0175281330316667e-05,5.64353323993375e-05,9.330420541035362e-05,0.0
2000-07-06,0.0,0.0,0.0,0.0,0.0001524825982076125,0.00024792726507597706,0.0
2000-07-07,0.05773068387043165,0.007566184515200216,0.0026112503851522194,0.0030808373141196395,0.010150723376539886,0.013383436793182086,0.002287317038280879
2000-07-08,0.5520427399062707,0.5368068530102318,0.5562363054095211,0.513423881834827,0.5326747480750562,0.5663876884384232,0.3454342452265943
2000-07-09,2.1450469597189414,2.652372816472154,2.688856341474768,2.663627019536952,2.4923976165864765,2.331922677746483,2.367027671852459
2000-07-10,0.03960267716417244,0.0025777124299854876,0.004059664328852017,0.003338927581885377,0.002645778386470995,0.0009561709199168419,0.002386050298810002
