Branch,AP_AC_02,AP_AC_04,AP_AC_050,AP_AC_051,AP_AC_052,AP_AC_07,AP_AC_08,AP_AC_09,AP_AC_10,AP_AC_14,AP_AC_15,AP_AC_16,AP_AC_17,AP_AC_27,AP_AC_28,AP_AN_10,EMB_CORRALES_CHOAPA1,EMB_CORRALES_CHOAPA2,EMB_CORRALES_EVAP,ET_AC_06,ET_AC_07,ET_AC_08,ET_AC_09,ET_AC_10,ET_AC_14,ET_AC_15,ET_AC_16,ET_AC_17,ET_AC_27,ET_AC_28,ET_AN_10,IND_AC_10,MIN_AC_03,NOZR_AN_10,NOZR_CL_14,NOZR_CL_23,NOZR_CL_24,NOZR_CL050FRU,NOZR_CL13ANU,NOZR_CL13FRU,REST_MPL_AC_050,REST_MPL_AC_051,REST_MPL_AC_08,REST_MPL_AC_09,RQ_EMB,ZR_Aguas Claras de Chillepin_ANU,ZR_Aguas Claras de Salamanca_ANU,ZR_Araya_ANU,ZR_Barraco Chico_ANU,ZR_Barraco Grande_ANU,ZR_Batuco_ANU,ZR_Breas_ANU,ZR_Buzeta_ANU,ZR_Camisas o Batito_ANU,ZR_Carachas_ANU,ZR_Cuyuntagua Norte_ANU,ZR_Cuyuntagua Sur_ANU,ZR_Dona Juana_ANU,ZR_El Boldo_ANU,ZR_El Jote_ANU,ZR_El Pardo_ANU,ZR_El Pavo_ANU,ZR_El Pavo_FRU,ZR_El Quene_ANU,ZR_El Sauco_ANU,ZR_Higueral_ANU,ZR_Las Viudas_ANU,ZR_Los Loros_ANU,ZR_Los Rulos_ANU,ZR_Matriz de Mincha_ANU,ZR_Millahue Dos_ANU,ZR_Millahue Uno_ANU,ZR_Mincha Sur Arriba_ANU,ZR_Molino de Choap_ANU,ZR_Molino de Los Ranchos_ANU,ZR_Molino de Peralillo_ANU,ZR_Molino de Quelen_ANU,ZR_Molino de Quelen_FRU,ZR_Molino de Tranquilla_ANU,ZR_Pangue o Inquilino_ANU,ZR_Panguesillo Dos_ANU,ZR_Panguesillo Uno_ANU,ZR_Pintacura Alto_ANU,ZR_Pintacura Bajo_ANU,ZR_Poblacion_ANU,ZR_Rodadero_ANU,ZR_Salinero_ANU,ZR_San Antonio_ANU,ZR_San Francisco_ANU,ZR_San Pedro_ANU,ZR_Silvano_ANU,ZR_Tahuincano_ANU,Sum
jul-96,0.000490645,0.00098129,0.00294387,0.00098129,0.00098129,0.00098129,0.0275068,9.81E-05,0,0.00274761,0.00294387,0.00196258,0.00098129,0.00196258,0.00196258,0.0098129,0,0,0,0.00392516,0.00196258,0.00196258,0.00490645,0.00392516,0.00883161,0.00883161,0.0206071,0.0157006,0.00196258,0.00785032,0.00436129,0.00245323,0.130512,0.0392516,0.00490645,0.0101073,0.00814471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33754
Aug 1996,0.000490645,0.00098129,0.00294387,0.00098129,0.00098129,0.00098129,0.0275068,9.81E-05,0,0.00274761,0.00294387,0.00196258,0.00098129,0.00196258,0.00196258,0.0098129,0,0,0,0.00392516,0.00196258,0.00196258,0.00588774,0.00392516,0.0098129,0.00883161,0.0225697,0.0166819,0.00196258,0.00785032,0.00490645,0.00245323,0.130512,0.0392516,0.00490645,0.0101073,0.00814471,0,0.00507286,2.68E-05,0,0,0,0,0,0.000161692,0.000120745,0,0,0.0103374,0.00217072,0.0192709,0.0249113,0,0.00724562,0.000337095,2.12E-05,0.000703142,0.0183952,0.00174719,0.00275053,0.00037337,0,0,0.000165092,0.00466017,0.00346415,0,0.000126928,0.00161242,0.015233,0.0290876,0.00169923,0.00028684,0,0,0.000629865,0.00215143,0.000373197,0.0010636,0.000521042,0,0.0251598,0.0033752,0.00224269,0.00593801,0.000309459,0.00104329,0.00046194,0.000387035,0.0656257,0.00468412,0.606939
sept-96,0.000507,0.001014,0.003042,0.001014,0.001014,0.001014,0.0284237,0.0001014,0,0.0028392,0.003042,0.002028,0.001014,0.002028,0.002028,0.01014,0,0,0,0.007098,0.004056,0.004056,0.009126,0.007098,0.01521,0.014196,0.034476,0.026364,0.003042,0.012168,0.00732333,0.002535,0.134862,0.04056,0.00507,0.0104442,0.0084162,0.0169996,0.0180556,0.00266785,0,0,0,0,0,0.0089744,0.00120289,0.0258356,0.00374312,0.076636,0.0205854,0.0965133,0.344894,0.00207577,0.0775748,0.00257905,0.000259694,0.00431013,0.116264,0.0204151,0.0484025,0.0149666,0,0.0170779,0.0441231,0.0526134,0.0418773,0.002837,0.000795208,0.0101019,0.0406636,0.104346,0.00927542,0.00401405,0.0326689,0.0243828,0.00860039,0.0120799,0.0354619,0.0299668,0.0147176,0.0441863,0.0921068,0.0153341,0.030232,0.0450281,0.00197795,0.00653625,0.00289407,0.00228559,0.194532,0.0594,2.28842
oct-96,0.000490645,0.00098129,0.00294387,0.00098129,0.00098129,0.00098129,0.0275068,9.81E-05,0,0.00274761,0.00294387,0.00196258,0.00098129,0.00196258,0.00196258,0.0098129,0,0,0,0.00883161,0.00490645,0.00490645,0.0127568,0.00883161,0.0215884,0.0196258,0.0471019,0.0363077,0.00490645,0.0166819,0.0103581,0.00245323,0.130512,0.0392516,0.00490645,0.0101073,0.00814471,0.028052,0.0248007,0.0047889,0,0,0,0,0,0.0172945,0.00212011,0.0476134,0.00697832,0.129316,0.0376323,0.159171,0.541202,0.00404248,0.131624,0.00426395,0.000429353,0.007064,0.182659,0.0354846,0.0864783,0.0274849,0,0.0304602,0.08156,0.0927149,0.0717897,0.00582735,0.00130179,0.0165373,0.0552195,0.154705,0.0151843,0.006988,0.0583625,0.0438697,0.0168389,0.0241927,0.070286,0.0563007,0.0267623,0.0840915,0.13422,0.0221456,0.0538477,0.0776705,0.00305725,0.0107002,0.00458542,0.00369761,0.292415,0.102348,3.5457
nov-96,0.000507,0.001014,0.003042,0.001014,0.001014,0.001014,0.0284237,0.0001014,0,0.0028392,0.003042,0.002028,0.001014,0.002028,0.002028,0.01014,0,0,0,0.011154,0.006084,0.006084,0.01521,0.011154,0.026364,0.024336,0.058812,0.044616,0.006084,0.021294,0.0129567,0.002535,0.134862,0.04056,0.00507,0.0104442,0.0084162,0.0353399,0.0311605,0.00577168,0,0,0,0,0,0.0323777,0.00413627,0.0838131,0.0125618,0.211213,0.0714859,0.265021,0.889282,0.00747347,0.246909,0.00837817,0.000828009,0.0138707,0.296467,0.0687452,0.164508,0.0493888,0,0.0538333,0.147102,0.169077,0.131811,0.0105269,0.00249374,0.0317216,0.0701775,0.251596,0.0290874,0.012111,0.0990566,0.0771507,0.0306889,0.0279028,0.125472,0.102969,0.050477,0.158799,0.23431,0.0449053,0.102757,0.147093,0.00540059,0.0204974,0.00907571,0.0071914,0.44329,0.19474,5.79533
Dec 1996,0.000490645,0.00098129,0.00294387,0.00098129,0.00098129,0.00098129,0.0275068,9.81E-05,0,0.00274761,0.00294387,0.00196258,0.00098129,0.00196258,0.00196258,0.0098129,0,0,0,0.0147194,0.00785032,0.00785032,0.0196258,0.0147194,0.0333639,0.0314013,0.0755594,0.0569148,0.00686903,0.0264948,0.0163548,0.00245323,0.130512,0.0392516,0.00490645,0.0101073,0.00814471,0.0450438,0.0397374,0.00767488,0,0,0,0,0,0.0407945,0.00480506,0.108267,0.0156386,0.260192,0.0850083,0.325728,1.06271,0.00951299,0.289051,0.0095588,0.000959923,0.0157434,0.352253,0.0824306,0.196894,0.062288,0,0.0643638,0.183031,0.202395,0.158139,0.0130325,0.0028245,0.0359839,0.0894937,0.290592,0.0337115,0.0145322,0.127123,0.0937531,0.0390467,0.039121,0.157789,0.127071,0.0629184,0.197377,0.289123,0.0575552,0.122593,0.182979,0.00614527,0.0235052,0.0102795,0.00814365,0.542961,0.229176,6.98349
Jan 1997,0.000490645,0.00098129,0.00294387,0.00098129,0.00098129,0.00098129,0.0275068,9.81E-05,0,0.00274761,0.00294387,0.00196258,0.00098129,0.00196258,0.00196258,0.0098129,0,0,0,0.0157006,0.00883161,0.00883161,0.0206071,0.0157006,0.0343452,0.0323826,0.0775219,0.0588774,0.00785032,0.0274761,0.0169,0.00245323,0.130512,0.0392516,0.00490645,0.0101073,0.00814471,0.046434,0.0411465,0.00794704,0,0,0,0,0,0.0404959,0.00435019,0.1081,0.015362,0.258191,0.0794661,0.33039,1.05028,0.00951299,0.262225,0.00828993,0.000834744,0.0136805,0.346127,0.0762989,0.185233,0.0615726,0,0.0602816,0.178855,0.190777,0.148593,0.0124452,0.00250653,0.0315788,0.0926673,0.27487,0.0291892,0.0134535,0.125903,0.0891811,0.0387465,0.0403284,0.157458,0.122929,0.0603829,0.191988,0.291915,0.0568542,0.113517,0.179175,0.00545711,0.0203851,0.00891492,0.00710494,0.58079,0.207855,6.85778
feb-97,0.000543214,0.00108643,0.00325929,0.00108643,0.00108643,0.00108643,0.030454,0.000108643,0,0.003042,0.00325929,0.00217286,0.00108643,0.00217286,0.00217286,0.0108643,0,0,0,0.0141236,0.007605,0.007605,0.0184693,0.0141236,0.0325929,0.03042,0.0727907,0.0554079,0.007605,0.0260743,0.0156929,0.00271607,0.144495,0.0434571,0.00543214,0.0111902,0.00901736,0.0385825,0.0383786,0.00741244,0,0,0,0,0,0.0326156,0.00241075,0.0918131,0.0116162,0.209576,0.0477378,0.273055,0.824962,0.00827777,0.174208,0.00329905,0.000332194,0.00555227,0.269155,0.0477202,0.11968,0.0493378,0,0.0399979,0.134612,0.129019,0.104718,0.00952434,0.000999822,0.0127121,0.0864335,0.183931,0.0116621,0.00888797,0.101846,0.0670495,0.0311954,0.0376979,0.127559,0.0879759,0.0446766,0.144195,0.249966,0.0496301,0.0670179,0.133232,0.00328161,0.00821809,0.00363874,0.00300581,0.532583,0.119161,5.37245
mar-97,0.000490645,0.00098129,0.00294387,0.00098129,0.00098129,0.00098129,0.0275068,9.81E-05,0,0.00274761,0.00294387,0.00196258,0.00098129,0.00196258,0.00196258,0.0098129,0,0,0,0.0117755,0.00686903,0.00686903,0.0157006,0.0117755,0.0264948,0.0245323,0.0598587,0.0451394,0.00588774,0.0215884,0.0130839,0.00245323,0.130512,0.0392516,0.00490645,0.0101073,0.00814471,0.0193089,0.0310008,0.00511361,0,0,0,0,0,0.0212094,0.00129482,0.0588644,0.00775473,0.137635,0.021352,0.191715,0.573733,0.00592252,0.107038,0.00125903,0.000126776,0.00219108,0.186519,0.0289516,0.0709074,0.0315186,0,0.0227529,0.0894412,0.0775906,0.0679915,0.00566494,0.000383653,0.00482879,0.0704525,0.118293,0.00447498,0.00479125,0.0645415,0.0401848,0.0219047,0.0254879,0.0858717,0.0497085,0.0288574,0.0946529,0.184344,0.0364492,0.0379541,0.0810619,0.00194185,0.00295494,0.00135395,0.00125752,0.397422,0.0651365,3.69345
Apr 1997,0.000507,0.001014,0.003042,0.001014,0.001014,0.001014,0.0289922,0.0001014,0,0.0028392,0.003042,0.002028,0.001014,0.002028,0.002028,0.01014,0,0,0,0.007098,0.004056,0.004056,0.009126,0.007098,0.016224,0.01521,0.036504,0.027378,0.004056,0.013182,0.00788667,0.002535,0.134862,0.04056,0.00507,0.0104442,0.0084162,0.000248206,0.0196628,0.00193688,0,0,0,0,0,0.0124222,0.00078642,0.0337754,0.00452857,0.0875132,0.013376,0.119724,0.362059,0.00330056,0.0683777,0.000904928,9.11E-05,0.00156542,0.119119,0.0170308,0.0419421,0.0182928,0,0.0130369,0.0522656,0.045824,0.0404305,0.00282789,0.000267394,0.00340454,0.043287,0.0843171,0.00311893,0.00259849,0.038094,0.0218424,0.0123081,0.00862037,0.0486565,0.0306546,0.0165799,0.0541833,0.115575,0.0211738,0.0211537,0.0497433,0.00142602,0.00219786,0.000973153,0.000889019,0.264883,0.0393218,2.37989
