Sources and Destinations,Evaporation,Inflow from AC_01,Inflow from AC_02,Inflow from AC_03,Inflow from AC_04,Inflow from AC_05,Inflow from AC_06,Inflow from AC_07,Inflow from AC_08,Inflow from AC_09,Inflow from AC_10,Inflow from AC_11,Inflow from AC_12,Inflow from AC_13,Inflow from AC_14,Inflow from AC_15,Inflow from AC_16,Inflow from AC_17,Inflow from Upstream,Outflow to AC_01,Outflow to AC_02,Outflow to AC_03,Outflow to AC_04,Outflow to AC_05,Outflow to AC_06,Outflow to AC_07,Outflow to AC_08,Outflow to AC_09,Outflow to AC_10,Outflow to AC_11,Outflow to AC_12,Outflow to AC_13,Outflow to AC_14,Outflow to AC_15,Outflow to AC_16,Outflow to AC_17,Outflow to Downstream,Surface Water Inflow
nov-90,-6.38684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562.745,-0.134866,-0.448664,-0.340507,-0.145454,-1.68321,-0.01178,-0.1335,-0.230323,-0.497664,-0.102077,-0.269492,-0.5992,-1.03047,-0.855142,-0.370068,-0.109217,-0.865628,-566.478,17.9474
dic-90,-1.46879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.038,-0.0943708,-0.321624,-0.226753,-0.0856701,-1.4584,-0.00875658,-0.0737236,-0.132546,-0.473339,-0.0760284,-0.264314,-0.569475,-0.993933,-0.802636,-0.336147,-0.0821009,-0.838334,-243.439,12.7074
ene-91,-0.740037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.741,-0.0836189,-0.262858,-0.170296,-0.0619039,-1.21947,-0.00852196,-0.0519381,-0.0926364,-0.460956,-0.0494742,-0.166518,-0.477851,-0.623566,-0.502635,-0.297003,-0.0786112,-0.834759,-171.294,9.73536
feb-91,-0.187016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.899,-0.0622101,-0.213786,-0.146795,-0.0487269,-1.15796,-0.00771641,-0.0372961,-0.0730742,-0.333484,-0.0370146,-0.1044,-0.489812,-0.520174,-0.388576,-0.18574,-0.0702642,-0.810642,-129.852,7.82786
mar-91,-0.204504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.413,-0.0481873,-0.16844,-0.12932,-0.0434918,-1.09383,-0.00628091,-0.0290754,-0.0639708,-0.419771,-0.0292656,-0.074516,-0.331585,-0.455539,-0.32966,-0.138532,-0.0535999,-0.727803,-124.765,6.69959
abr-91,-1.11199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.965,-0.0386139,-0.0913483,-0.0873976,-0.0303361,-1.28799,-0.00333281,-0.0162719,-0.0417555,-0.464837,-0.0261984,-0.262716,-0.512614,-0.435571,-0.292908,-0.0855339,-0.05294,-0.754153,-137.414,7.04529
may-91,-3.32673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.262,-0.0339873,-0.0943501,-0.0402843,-0.0222653,-1.2151,-0.00149368,0,-0.0266977,-0.479162,-0.0349373,-0.262417,-0.4952,-1.10163,-0.726739,-0.199484,-0.0645939,-0.771002,-202.049,8.68289
jun-91,-15.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558.78,-0.0510287,-0.0078946,-0.324414,-0.129289,-1.64776,-0.00229241,-0.1335,-0.215847,-0.484187,-0.076969,-0.269492,-0.592034,-1.11526,-0.851147,-0.370814,-0.143805,-0.922718,-556.391,20.841
jul-91,-16.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843.767,-0.0640442,-0.0107463,-0.337656,-0.155524,-0.614512,-0.0147274,-0.1335,-0.246065,-0.512785,-0.118962,-0.269492,-0.5992,-1.10762,-0.878733,-0.39296,-0.16984,-0.932317,-843.328,22.5895
ago-91,-11.4306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640.323,-0.0622903,-0.0103169,-0.334831,-0.152227,-0.606847,-0.0145306,-0.1335,-0.237914,-0.504365,-0.101758,-0.269492,-0.5992,-1.03088,-0.85885,-0.371928,-0.13277,-0.889225,-640.867,18.2854
sept-91,-20.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245.88,-0.181557,-0.464575,-0.399345,-0.200129,-1.73496,-0.0160718,-0.1335,-0.285982,-0.552028,-0.147855,-0.269492,-0.5992,-1.10863,-0.90503,-0.417851,-0.196999,-0.957518,-1245.99,28.8659
oct-91,-22.2663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820.2,-0.214819,-0.361667,-0.43907,-0.244688,-1.78555,-0.0159178,-0.1335,-0.335692,-0.601523,-0.208791,-0.269492,-0.5992,-1.02904,-0.965314,-0.478334,-0.250421,-1.00731,-1822.4,33.4057
nov-91,-44.2847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4342.47,-0.426481,-0.476942,-0.658082,-0.470776,-2.00615,-0.0192764,-0.1335,-0.557453,-0.821523,-0.425848,-0.269492,-0.5992,-1.03047,-1.17981,-0.691484,-0.495856,-1.2484,-4346.2,59.5261
dic-91,-36.9352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3659.28,-0.365224,-0.475768,-0.597593,-0.41043,-1.94491,-0.0189777,-0.1335,-0.496603,-0.761514,-0.367732,-0.269492,-0.5992,-1.04017,-1.12091,-0.633622,-0.430016,-1.18277,-3663.7,52.2043
ene-92,-21.4715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2129.04,-0.246222,-0.468342,-0.471552,-0.280439,-1.81438,-0.0169984,-0.1335,-0.365388,-0.631537,-0.238025,-0.269492,-0.5992,-1.03067,-0.988244,-0.502243,-0.27128,-1.0255,-2133.36,35.1391
feb-92,-9.57203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808.461,-0.143953,-0.461997,-0.362556,-0.167979,-1.70166,-0.0153158,-0.1335,-0.252099,-0.519023,-0.124033,-0.269492,-0.5992,-1.02925,-0.872194,-0.386706,-0.137157,-0.892689,-811.781,20.9614
mar-92,-7.45736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.649,-0.116372,-0.458566,-0.331062,-0.13552,-1.66898,-0.0144527,-0.1335,-0.219011,-0.486093,-0.0886707,-0.269492,-0.5992,-1.09031,-0.837183,-0.351692,-0.0979449,-0.857791,-426.045,17.6099
abr-92,-12.6176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.646,-0.111518,-0.461591,-0.335274,-0.140138,-1.67887,-0.0162949,-0.1335,-0.235534,-0.504807,-0.109641,-0.269492,-0.5992,-1.10754,-0.862167,-0.375558,-0.131486,-0.891396,-633.583,21.5185
may-92,-14.4781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586.95,-0.113171,-0.458026,-0.329119,-0.135188,-1.67425,-0.0143618,-0.1335,-0.224342,-0.491452,-0.0977975,-0.269492,-0.5992,-1.1094,-0.854682,-0.369169,-0.134933,-0.898523,-586.385,21.8204
jun-92,-38.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986.26,-0.0694182,-0.0132049,-0.360467,-0.188722,-0.659517,-0.015558,-0.1335,-0.292423,-0.56047,-0.169632,-0.269492,-0.5992,-1.18275,-1.01748,-0.538671,-0.377177,-1.14999,-1983.12,42.6605
jul-92,-16.4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883.385,-0.0698296,-0.0139108,-0.34601,-0.163592,-0.618223,-0.015479,-0.1335,-0.250075,-0.516324,-0.114636,-0.269492,-0.5992,-1.04468,-0.875576,-0.388354,-0.181169,-0.937055,-883.746,23.3065
ago-92,-19.4566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,-0.122778,-0.462599,-0.339964,-0.140062,-1.6775,-0.0155607,-0.1335,-0.228835,-0.496065,-0.0934257,-0.269492,-0.5992,-1.11048,-0.859157,-0.375893,-0.178444,-0.948188,-748.968,26.4763
sept-92,-24.5337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601.24,-0.108362,-0.0147027,-0.388955,-0.213508,-0.673179,-0.0157131,-0.1335,-0.304835,-0.570731,-0.178363,-0.269492,-0.5992,-1.09552,-0.944191,-0.456802,-0.266245,-1.02396,-1602.09,32.6396
oct-92,-32.4309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2692.57,-0.291261,-0.471463,-0.515034,-0.319672,-1.85385,-0.017826,-0.1335,-0.405202,-0.670351,-0.265583,-0.269492,-0.5992,-1.02908,-1.03345,-0.545723,-0.355448,-1.10948,-2694.81,44.558
nov-92,-47.1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4159.66,-0.392702,-0.476016,-0.624539,-0.437684,-1.97379,-0.0190354,-0.1335,-0.525189,-0.789494,-0.395471,-0.269492,-0.5992,-1.05089,-1.15882,-0.670479,-0.518779,-1.27103,-4162.96,61.7198
dic-92,-28.2757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517.25,-0.265744,-0.468132,-0.491285,-0.301289,-1.83745,-0.0169427,-0.1335,-0.388175,-0.654149,-0.261169,-0.269492,-0.5992,-1.03099,-1.01554,-0.529309,-0.341538,-1.0953,-2521.65,42.3748
ene-93,-14.4962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251.42,-0.169161,-0.466301,-0.392206,-0.19864,-1.73252,-0.0164571,-0.1335,-0.283812,-0.550778,-0.155873,-0.269492,-0.5992,-1.03067,-0.907813,-0.422616,-0.200111,-0.955044,-1255.73,27.2947
feb-93,-8.66751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671.779,-0.130318,-0.463079,-0.349374,-0.154391,-1.6876,-0.0155894,-0.1335,-0.238467,-0.505555,-0.109047,-0.269492,-0.5992,-1.02931,-0.859166,-0.37388,-0.129312,-0.884927,-675.205,20.0259
mar-93,-6.18828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.275,-0.105112,-0.410061,-0.323745,-0.128174,-1.6457,-0.00809216,-0.1335,-0.212642,-0.4797,-0.0810858,-0.269492,-0.54398,-1.02849,-0.831351,-0.345695,-0.0966365,-0.852862,-356.626,16.0363
abr-93,-13.3456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.759,-0.108006,-0.462849,-0.334665,-0.138823,-1.67945,-0.015671,-0.1335,-0.232453,-0.499737,-0.103571,-0.269492,-0.5992,-1.10832,-0.856674,-0.370452,-0.136699,-0.899251,-621.734,22.2699
may-93,-34.3797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2189.36,-0.140647,-0.480068,-0.414554,-0.221445,-1.78211,-0.0219474,-0.1335,-0.350098,-0.622607,-0.228268,-0.269492,-0.5992,-1.14731,-1.04626,-0.560264,-0.334873,-1.09916,-2188.32,42.7918
jun-93,-20.2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212.23,-0.0731368,-0.0176557,-0.357111,-0.182341,-0.642708,-0.0164942,-0.1335,-0.275387,-0.54138,-0.151516,-0.269492,-0.5992,-1.05045,-0.916947,-0.429343,-0.215239,-0.973338,-1212.48,27.3295
jul-93,-14.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.829,-0.115856,-0.463843,-0.333506,-0.132391,-1.66816,-0.015871,-0.1335,-0.219653,-0.486442,-0.0837388,-0.269492,-0.5992,-1.10834,-0.844761,-0.358772,-0.133924,-0.89566,-529.639,21.8587
ago-93,-15.1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760.538,-0.062082,-0.0133297,-0.341712,-0.149385,-1.69072,-0.0153763,-0.1335,-0.2414,-0.507821,-0.115543,-0.269492,-0.5992,-1.10794,-0.873128,-0.386225,-0.15169,-0.914856,-760.612,22.7809
sept-93,-14.0589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807.23,-0.127943,-0.0889997,-0.351132,-0.153344,-1.69332,-0.0158143,-0.1335,-0.244309,-0.510807,-0.118988,-0.269492,-0.5992,-1.05663,-0.878567,-0.391797,-0.155533,-0.913491,-808.343,22.8746
