Sources and Destinations,Decrease in Storage for EMB_CORRALES,Increase in Storage for EMB_CORRALES,Inflow from Upstream,Outflow to Downstream,Outflow to EMB_CORRALES_CHOAPA1,Outflow to EMB_CORRALES_CHOAPA2,Outflow to EMB_CORRALES_EVAP,Outflow to RQ_EMB,Sum
feb-16,0.237863,,2,-0.0731724,-0.377628,-1.7203,-0.0143116,-0.0524483,-1.164E-15
mar-16,0.0583841,,2,-0.030845,-0.353265,-1.60932,-0.0158939,-0.0490645,-1.8735E-16
abr-16,,-0.0472948,2,0,-0.328536,-1.49666,-0.0768052,-0.0507,-1.66533E-15
may-16,,-0.880673,2,0,-0.176632,-0.804658,-0.0889726,-0.0490645,2.498E-16
jun-16,,-1.87018,2,0,0,0,-0.0791153,-0.0507,-6.93889E-17
jul-16,,-1.87164,2,0,0,0,-0.079297,-0.0490645,3.33067E-16
ago-16,,-1.03685,1.34741,-0.0915978,0,0,-0.169897,-0.0490645,3.02536E-15
sept-16,,0,0.234032,-0.0897569,0,0,-0.0935755,-0.0507,2.28983E-15
oct-16,,0,0.302823,-0.0912224,0,0,-0.162536,-0.0490645,-5.55112E-17
nov-16,,0,0.290156,-0.0886709,0,0,-0.150785,-0.0507,9.57567E-16
dic-16,,0,0.526429,-0.0897399,-0.0353265,-0.160932,-0.191366,-0.0490645,2.92127E-15
ene-17,,0,1.62552,-0.0897937,-0.264948,-1.20699,-0.0147247,-0.0490645,9.83588E-16
feb-17,0.329289,,2,-0.0523459,-0.391114,-1.78174,-0.0497649,-0.0543214,2.69229E-15
mar-17,0.0761859,,2,-0.0286625,-0.353265,-1.60932,-0.0358782,-0.0490645,9.95731E-16
abr-17,0.133876,,2,0,-0.36504,-1.66296,-0.0551758,-0.0507,4.2466E-15
may-17,,-0.259223,2.3396,0,-0.353265,-1.60932,-0.0687316,-0.0490645,3.15026E-15
jun-17,,-0.215172,2.1734,0,-0.328536,-1.49666,-0.0823281,-0.0507,2.47025E-15
jul-17,,-0.0357123,1.16499,0,-0.176632,-0.804658,-0.0989259,-0.0490645,-2.42861E-15
ago-17,,0,0.187902,0,0,0,-0.138838,-0.0490645,2.77556E-17
sept-17,,0,0.295496,-0.0203028,0,0,-0.224493,-0.0507,-1.42247E-16
oct-17,,0,0.281618,-0.0219074,0,0,-0.210647,-0.0490645,-2.67147E-16
nov-17,,0,0.144552,-0.0461868,0,0,-0.0476656,-0.0507,1.47105E-15
dic-17,,0,0.109208,-0.040464,0,0,-0.0196792,-0.0490645,2.8276E-15
ene-18,,0,0.086597,-0.0196892,0,0,-0.0178433,-0.0490645,6.34909E-16
feb-18,,0,0.304573,-0.0143792,-0.0391114,-0.178174,-0.0185865,-0.0543214,1.98279E-15
mar-18,0.055152,,1.48094,-0.00583221,-0.264948,-1.20699,-0.00926443,-0.0490645,2.61857E-15
abr-18,1.6012,,0.5,0,-0.36504,-1.66296,-0.0225026,-0.0507,1.4537E-15
may-18,1.49894,,0.5407,0,-0.353265,-1.60932,-0.0279981,-0.0490645,4.39579E-15
jun-18,1.50809,,0.6418,0,-0.36504,-1.66296,-0.0711909,-0.0507,7.63278E-16
jul-18,1.52474,,0.566,0,-0.353265,-1.60932,-0.0790905,-0.0490645,-1.23512E-15
ago-18,1.40389,,0.5407,0,-0.317938,-1.44838,-0.129199,-0.0490645,-1.52656E-15
sept-18,0.627734,,0.5403,0,-0.18252,-0.83148,-0.103334,-0.0507,-8.04912E-16
oct-18,,-0.339436,0.5,-0.00440494,0,0,-0.107095,-0.0490645,-6.28837E-16
nov-18,,-0.381941,0.5,-0.030936,0,0,-0.0364231,-0.0507,1.04083E-17
dic-18,,-0.386783,0.5,-0.0196663,0,0,-0.0444866,-0.0490645,-9.85323E-16
ene-19,,-0.422962,0.5,-0.00582839,0,0,-0.0221455,-0.0490645,-1.78677E-15
feb-19,,-0.0950481,0.157647,-0.000514818,0,0,-0.00776283,-0.0543214,-2.086E-16
mar-19,,-0.436781,0.5,0,0,0,-0.0141546,-0.0490645,-1.71217E-15
abr-19,,-0.223359,0.5053,0,-0.036504,-0.166296,-0.028441,-0.0507,6.41848E-16
may-19,1.04782,,0.5046,0,-0.264948,-1.20699,-0.0314227,-0.0490645,-9.99201E-16
jun-19,1.64204,,0.5022,0,-0.36504,-1.66296,-0.0655423,-0.0507,-5.41234E-16
jul-19,1.58557,,0.5001,0,-0.353265,-1.60932,-0.0740222,-0.0490645,5.13478E-16
ago-19,1.56575,,0.5001,0,-0.353265,-1.60932,-0.0542047,-0.0490645,1.4086E-15
sept-19,1.63496,,0.5001,0,-0.36504,-1.66296,-0.0563632,-0.0507,1.249E-16
oct-19,1.35468,,0.5001,0,-0.317938,-1.44838,-0.039391,-0.0490645,5.96745E-16
nov-19,0.797531,,0.276777,0,-0.18252,-0.83148,-0.00960784,-0.0507,4.80518E-16
dic-19,0.135598,,0.0003,-0.0807214,0,0,-0.00611262,-0.0490645,-1.80574E-16
ene-20,0.251459,,0,-0.194629,0,0,-0.00776526,-0.0490645,7.79758E-16
feb-20,0.207648,,0,-0.152066,0,0,-0.00313391,-0.0524483,5.37764E-17
mar-20,0.289702,,0,-0.239501,0,0,-0.00113697,-0.0490645,1.85182E-16
abr-20,0.281348,,0,-0.228337,0,0,-0.00231149,-0.0507,-2.84061E-16
may-20,,-0.439685,0.492469,0,0,0,-0.00371927,-0.0490645,-6.245E-17
jun-20,,-0.229541,0.5001,0,-0.036504,-0.166296,-0.0170591,-0.0507,-1.14492E-16
jul-20,1.04962,,0.5001,0,-0.264948,-1.20699,-0.0287183,-0.0490645,4.3715E-16
ago-20,1.54539,,0.5021,0,-0.353265,-1.60932,-0.0358443,-0.0490645,-1.52656E-16
sept-20,0.492768,,0.5026,0,-0.17365,-0.79107,-0.00640262,-0.0242462,0
oct-20,,-0.439611,0.5,-0.00891052,0,0,-0.00241392,-0.0490645,-1.73472E-17
nov-20,0.159492,,0.0438239,-0.146767,0,0,-0.00584961,-0.0507,-8.50015E-17
dic-20,0.247851,,0,-0.247141,0,0,-0.000709997,0,-1.36609E-17
ene-21,0.0374168,,0.023588,-0.0594704,0,0,-0.00153445,0,-1.53957E-17
feb-21,,0,0.128361,-0.125361,0,0,-0.00300029,0,-1.43115E-17
mar-21,,0,0.260221,-0.256001,0,0,-0.00421947,0,-2.08167E-17
