Nodes and Reaches,Aguas Claras de Chillepin   0 \ Headflow,Aguas Claras de Salamanca   0 \ Headflow,AN_03   0 \ Headflow,AN_04   0 \ Headflow,AN_05   0 \ Headflow,AN_07   0 \ Headflow,AN_10   0 \ Headflow,Araya   0 \ Headflow,Barraco Chico   0 \ Headflow,Barraco Grande   0 \ Headflow,Batuco   0 \ Headflow,Breas   0 \ Headflow,Buzeta   0 \ Headflow,Camisas o Batito   0 \ Headflow,Canal Alimentador   0 \ Headflow,Carachas   0 \ Headflow,CL_02   0 \ Headflow,CL_03   0 \ Headflow,CL_04   0 \ Headflow,CL_050   0 \ Headflow,CL_051   0 \ Headflow,CL_052   0 \ Headflow,CL_06   0 \ Headflow,CL_07   0 \ Headflow,CL_08   0 \ Headflow,CL_12   0 \ Headflow,CL_13   0 \ Headflow,CL_14   0 \ Headflow,CL_15   0 \ Headflow,CL_23   0 \ Headflow,CL_24   0 \ Headflow,CL_25   0 \ Headflow,Cuyuntagua Norte   0 \ Headflow,Cuyuntagua Sur   0 \ Headflow,Dona Juana   0 \ Headflow,El Boldo   0 \ Headflow,El Jote   0 \ Headflow,El Pardo   0 \ Headflow,El Pavo   0 \ Headflow,El Quene   0 \ Headflow,El Sauco   0 \ Headflow,EST. CAMISAS   0 \ Headflow,EST. CAMISAS   1 \ AN_07 Inflow,EST. QUELEN   0 \ Headflow,Higueral   0 \ Headflow,Las Viudas   0 \ Headflow,Los Loros   0 \ Headflow,Los Rulos   0 \ Headflow,Matriz de Mincha   0 \ Headflow,Millahue Dos o Los Patos   0 \ Headflow,Millahue Uno   0 \ Headflow,Mincha Sur Arriba   0 \ Headflow,Molino de Choapa   0 \ Headflow,Molino de Los Ranchos   0 \ Headflow,Molino de Peralillo   0 \ Headflow,Molino de Quelen   0 \ Headflow,Molino de Tranquilla   0 \ Headflow,Pangue o Inquilino   0 \ Headflow,Panguesillo Dos   0 \ Headflow,Panguesillo Uno   0 \ Headflow,Pintacura Alto   0 \ Headflow,Pintacura Bajo   0 \ Headflow,Poblacion   0 \ Headflow,RIO CHALINGA   0 \ Headflow,RIO CHOAPA   0 \ Headflow,RIO CUNCUMEN   0 \ Headflow,RIO ILLAPEL   0 \ Headflow,RIO TENCADAN   0 \ Headflow,Rodadero   0 \ Headflow,Salinero   0 \ Headflow,San Antonio   0 \ Headflow,San Francisco   0 \ Headflow,San Pedro   0 \ Headflow,Silvano   0 \ Headflow,Tahuincano   0 \ Headflow
abr-89,0.0115595,0.000729808,0.171389,0.548484,0.190903,0.154155,0,0,0.00426763,0.081732,0,0.113802,0.51031,0.00315464,0,0.0646104,0.071973,0,0,0.0926921,0,0,0,0,0.0032232,0.00349355,0.034336,0,0,0,0,0,0.000708205,7.13118E-05,0.0073,0.113625,0.0159466,0.13939,0.0170261,0.0118863,0.049311,0,0.154155,0,0.0435189,0.0382265,0.00252851,0.000151136,0.00192766,0.0393519,0.180525,0.00198888,0.00226887,0.0356009,0.0204418,0.0116168,0,0,0.0154985,0.0507539,0.108339,0.0199283,0.0196643,0,2.18,0,0.0651848,0,0,0.00665833,0.0147,0.000691079,0.000895159,0,0.0364106
may-89,0,0,0.18202,0.582508,0.202745,0.462392,0.759312,0,0,0,0,0,0.886085,0,0,0,0.106068,0.0419527,0.146289,0.136603,0.0877561,0.0214288,0.0535906,0.0118777,0.0063769,0.00952207,0.101728,0.185715,0.0439371,0.0486361,0.196596,0,0.01412,0.01,0.0073,0.3048,0.04812,0.13939,0.07146,0,0,0,0.462392,0,0,0,0.03544,0.00711,0.051824,0.10815,0.2336,0.00828718,0,0,0,0,0,0,0.0372,0,0.269652,0.1204,0.134583,0,3.21,0,0.414102,0,0,0.0376,0.0147,0,0,0.492662,0
jun-89,0.00221218,0.000226449,0.173393,0.5549,0.193136,0.116475,0,0,0.000852401,0.0247739,0,0.0346977,1.68391,0.000539906,0,0.0226483,0.0935988,0.0181267,0.0401173,0.120544,0.024064,0.00874699,0.0218687,0.0037849,0.00255429,0.00273471,0.025853,0.0416779,0,0,0,0,0.000406562,4.09382E-05,0.0073,0.3048,0.04812,0.13939,0.07146,0.00337972,0.0104781,0,0.116475,0,0.0116072,0.0102951,0.000602223,0.00711,0.00158055,0.0249228,0.2336,0.00153686,0.00075922,0.00646503,0.00553542,0.00210963,0,0,0.0372,0.0104559,0.0316418,0.00257414,0.134583,0.819035,2.84,0,0.00103722,0,0,0.0376,0.0147,0.000437213,0.000517086,0.492662,0.01208
jul-89,0,0.00815441,0.16927,0.541704,0.188543,1.17512,1.14885,0.165186,0,0,0.0493863,0,1.9725,0.01366,0,0.0269841,0.0940285,0.0429439,0.17714,0.121097,0.106266,0.0224829,0.0562325,0.0160941,0.00917929,0.0199139,0.217897,0.224076,0.0450202,0.0439255,0.297763,0,0.01412,0.01,0.0073,0.3048,0.04812,0.13939,0.07146,0,0,0,1.17512,0,0,0.198,0.03544,0.00711,0.051824,0.10815,0.2336,0.069843,0.05824,0,0.21049,0,0,0,0.0372,0,0.41808,0.1204,0.134583,1.04751,2.85,0,0.798675,0,0,0.0376,0.0147,0,0.0372,0.492662,0
ago-89,0.06712,0.017925,0.21834,0.698738,0.2432,0.981556,0.547607,0,0.04105,0.320396,0,0.585,1.9725,0.01366,0,0.418,0.160497,0.0675799,0.485223,0.206701,0.291119,0.0385794,0.0964994,0.0915352,0.00826217,0.0175741,0.191741,0.424477,0.0580171,0.0560379,0.141613,0,0.01412,0.01,0.0073,0.3048,0.04812,0.13939,0.07146,0.0627,0.2618,0,0.981556,0,0.3665,0.198,0.03544,0.00711,0.051824,0.10815,0.2336,0.069843,0.05824,0.20685,0.21049,0.11222,0,0,0.0372,0.3245,0.41808,0.1204,0.134583,0.89254,4.85999,0,1.36077,0,0,0.0376,0.0147,0,0.0372,0,0
sept-89,0.06712,0.017925,0.263738,0.844024,0.293767,0.138469,0,0,0.04105,0.320396,0,0.585,1.9725,0.01366,0,0.418,0.246994,0.0239829,0.0551863,0.318098,0.0331031,0.0116248,0.0290644,0.00492878,0.00295381,0.00317736,0.0308014,0.0596809,0.0114443,0.0112895,0,0,0.01412,0.01,0.0073,0.3048,0.04812,0.13939,0.07146,0.0627,0.2618,0,0.138469,0,0.3665,0.198,0.03544,0.00711,0.051824,0.10815,0.2336,0.069843,0.05824,0.20685,0.21049,0.11222,0,0,0.0372,0.3245,0.41808,0.1204,0.134583,1.61973,7.47998,0,0.213486,0,0,0.0376,0.0147,0.00268252,0.0372,0,0.0535777
oct-89,0.06712,0.017925,0.33512,1.07246,0.373277,0,0,0.165186,0.04105,0.320396,0.0559786,0.585,1.9725,0,0,0.418,0.65031,0,0,0.837522,0,0,0,0,0,0,0,0,0,0,0,0,0.01412,0.01,0.0073,0.3048,0,0.13939,0.07146,0.0627,0.2618,0,0,0,0.3665,0.198,0.03544,0.00711,0.051824,0.10815,0.2336,0.069843,0.05824,0.20685,0.21049,0.11222,0.1974,0.1731,0.0372,0.3245,0.41808,0.1204,0.134583,2.2395,19.71,0,0.532997,0,0.27615,0.0376,0.0147,0.00472191,0.0372,0.492662,0.105165
nov-89,0.06712,0.017925,0.336154,1.07577,0.374428,0,0,0.165186,0.04105,0.320396,0.0559786,0.585,1.9725,0,0,0.418,0.904969,0,0,1.16549,0,0,0,0,0,0,0,0,0,0,0,0,0.01412,0.01,0.0073,0.3048,0,0.13939,0.07146,0.0627,0.2618,0,0,0,0.3665,0.198,0.03544,0.00711,0.051824,0.10815,0.2336,0.069843,0.05824,0.20685,0.21049,0.11222,0.1974,0.1731,0.0372,0.3245,0.41808,0.1204,0.134583,1.57525,27.42,0,1.15952,0,0.27615,0.0376,0.0147,0.034615,0.0372,0.492662,0.19474
dic-89,0.06712,0.017925,0.2696,0.862784,0.300297,0,0,0.165186,0.04105,0.320396,0.0559786,0.585,1.9725,0,0,0.418,0.398275,0,0,0.512933,0,0,0,0,0,0,0,0,0,0,0,0,0.01412,0.01,0.0073,0.3048,0,0.13939,0.07146,0.0627,0.2618,0,0,0,0.3665,0.198,0.03544,0.00711,0.051824,0.10815,0.2336,0.069843,0.05824,0.20685,0.21049,0.11222,0.1974,0.1731,0.0372,0.3245,0.41808,0.1204,0.134583,1.45089,12.07,0,0.334391,0,0.27615,0.0376,0.0147,0.034615,0.0372,0.492662,0.229176
ene-90,0.06712,0.017925,0.20738,0.663665,0.230992,0,0,0.165186,0.04105,0.320396,0.0559786,0.585,1.9725,0,0,0.418,0.211785,0,0,0.272754,0,0,0,0,0,0,0,0,0,0,0,0,0.01412,0.01,0.0073,0.3048,0,0.13939,0.07146,0.0627,0.2618,0,0,0,0.3665,0.198,0.03544,0.00711,0.051824,0.10815,0.2336,0.069843,0.05824,0.20685,0.21049,0.11222,0.1974,0.1731,0.0372,0.3245,0.41808,0.1204,0.134583,1.17606,6.41999,0,0.203406,0,0.27615,0.0376,0.0147,0.034615,0.0372,0.492662,0.207855
