,FID,min,max,area
0,0,0.0,600.0,4354714.519741949
1,1,600.0,1200.0,59026.42854990049
2,2,1200.0,1800.0,17586100.6022614
3,3,1800.0,2400.0,69439035.42246719
4,4,2400.0,3000.0,121204565.37621044
5,5,3000.0,3600.0,230954402.0293596
6,6,3600.0,4200.0,124511862.46766841
7,7,4200.0,4800.0,408730.6537456049
