Sources and Destinations,Decrease in Storage for Cuenta Corriente PMS,Decrease in Storage for Embalse Cogoti,Decrease in Storage for Embalse Paloma,Decrease in Storage for Embalse Recoleta,Increase in Storage for Cuenta Corriente PMS,Increase in Storage for Embalse Cogoti,Increase in Storage for Embalse Paloma,Increase in Storage for Embalse Recoleta,Inflow from Rio Grande,Inflow from Upstream,Net Evaporation and Local Reservoir Overflow,Outflow to Downstream,Outflow to DR Guatulame_B El Tome,Outflow to ENTREGA PALOMA,Outflow to ENTREGA_COGOTI,Outflow to Entregas Recoleta
Feb-04,,2.86405,11.3258,1.7856,0,,,,0.412141,3.33197,-1.74661,-0.0779758,-0.412141,-11.8318,-2.91344,-2.73759
Mar-04,,2.30222,9.60393,1.43568,0,,,,0,3.52297,-1.3524,-0.0799952,0,-10.6836,-2.45227,-2.29652
Apr-04,,1.34287,1.61388,,0,,,-0.217372,0,6.77266,-0.702419,-0.291726,0,-5.85697,-1.35214,-1.30879
May-04,,1.39826,0.325091,,0,,,-1.10485,0,6.74141,-0.607598,-0.821133,0,-4.62453,-0.733796,-0.572853
Jun-04,,1.1169,,,0,,-0.661447,-1.38582,0,6.01868,-0.447411,-0.897719,0,-3.20819,-0.300441,-0.234546
Jul-04,,0.666443,,,0,,-1.78628,-1.69535,0,6.9224,-0.406254,-1.06296,0,-2.36679,-0.152297,-0.118894
Aug-04,,,,,0,-2.01515,-4.79659,-0.934481,0,12.4546,-0.592451,-2.35236,0,-1.46774,-0.166142,-0.129702
Sep-04,,,3.50804,,0,-0.986335,,0,0,8.65176,-0.920602,-1.74757,0,-8.14864,-0.200294,-0.156364
Oct-04,,0.451534,6.70306,0.360868,0,,,,0,5.46833,-1.32389,-1.06529,0,-9.23156,-0.650724,-0.712326
Nov-04,,0.831663,9.27802,0.800211,0,,,,0.398432,3.94737,-1.63867,-0.578373,-0.398432,-10.3656,-1.15884,-1.11581
Dec-04,,1.73388,12.8989,1.59228,0,,,,0.385584,2.11976,-1.67747,-0.0712043,-0.385584,-12.7924,-2.0214,-1.78237
Jan-05,,2.34372,12.4067,1.94952,0,,,,0.385585,1.14869,-1.68364,-0.0736556,-0.385585,-11.5726,-2.42291,-2.09582
Feb-05,,2.76474,13.0097,2.21355,0,,,,0.426897,1.07649,-1.56674,-0.0770551,-0.426897,-12.1722,-2.82046,-2.42807
Mar-05,,2.2101,8.73315,1.82675,0,,,,0,1.58392,-1.20601,-0.0790845,0,-8.79663,-2.28446,-1.98773
Apr-05,,1.50857,6.10619,0.558845,0,,,,0,2.25981,-0.827623,-0.363039,0,-6.92447,-1.30191,-1.01636
May-05,,0.54475,,,0,,-1.92816,-1.38939,0,7.675,-0.526232,-0.884963,0,-2.30665,-0.733423,-0.450936
Jun-05,,,,,0,-0.831327,-5.11429,-1.33956,0,12.6334,-0.387496,-0.921791,0,-3.55399,-0.300289,-0.184628
Jul-05,,,,,0,-0.0896057,-3.88744,-1.13499,0,9.42139,-0.351852,-1.07658,0,-2.63511,-0.15222,-0.0935906
Aug-05,,,,,0,-0.28839,-2.02921,-0.936619,0,9.1777,-0.513116,-1.1,0,-4.04221,-0.166058,-0.102099
Sep-05,,,,,0,-2.36556,-8.56398,-1.56031,0,20.5503,-0.797323,-1.1,0,-5.83989,-0.200193,-0.123086
Oct-05,,,,,0,-2.62832,-9.32133,-0.779359,0,24.9188,-1.1466,-0.980815,0,-8.59884,-0.725814,-0.737677
Nov-05,,,,,0,-5.83055,-21.7482,-1.85807,0.398438,44.1058,-1.41924,-0.496775,-0.398438,-10.4556,-1.23619,-1.06119
Dec-05,,,,,0,-1.66839,-10.9825,-0.19917,0.385567,30.0474,-1.67747,-2.41433,-0.385567,-9.42978,-2.0958,-1.57999
Jan-06,,1.88093,2.65124,,0,,,0,0.385585,13.0099,-1.94396,-1.50099,-0.385585,-9.77332,-2.4971,-1.82673
Feb-06,,2.69689,6.3887,,0,,,0,0.426883,7.73208,-1.80899,-0.0953448,-0.426883,-9.90357,-2.90254,-2.10723
Mar-06,,2.1777,5.11498,0.364195,0,,,,0,6.99409,-1.20602,-0.0786129,0,-9.26596,-2.35872,-1.74165
Apr-06,,1.46547,1.73701,,0,,,-0.376335,0,6.7926,-0.82762,-0.633066,0,-6.05674,-1.30125,-0.800057
May-06,,1.38388,,,0,,-1.32546,0,0,7.7254,-0.526232,-2.55192,0,-3.32934,-0.716708,-0.65962
Jun-06,,0.590278,,,0,,-4.48907,0,0,9.23722,-0.3875,-3.08938,0,-1.29804,-0.293444,-0.270071
Jul-06,,,,,0,-0.0925114,-7.77833,0,0,12.0639,-0.351852,-2.50168,0,-1.05388,-0.14875,-0.136902
Aug-06,,0.20874,,,0,,-4.87718,0,0,9.8973,-0.592451,-3.22398,0,-1.10081,-0.162273,-0.149348
Sep-06,,0.724306,1.21248,,0,,,0,0,7.15518,-0.920602,-1.8308,0,-5.96489,-0.195629,-0.180047
Oct-06,,0.160015,0.865769,0.0633531,0,,,,0,10.1646,-1.32389,-1.1,0,-7.42251,-0.63557,-0.771776
Nov-06,,1.12149,4.86727,0.514539,0,,,,0.398408,7.38518,-1.63867,-0.647697,-0.398408,-9.23549,-1.13186,-1.23476
Dec-06,,1.74609,9.78196,1.36927,0,,,,0.385585,3.16728,-1.93683,-0.0711286,-0.385585,-10.0784,-1.97432,-2.0039
Jan-07,,2.20066,12.6842,1.89965,0,,,,0.385557,1.61383,-1.68364,-0.0735871,-0.385557,-11.9098,-2.36648,-2.36482
Feb-07,,2.51451,12.9257,2.32408,0,,,,0.426897,1.03736,-1.56674,-0.0769958,-0.426897,-11.661,-2.75478,-2.74221
Mar-07,,2.10429,9.09668,1.76895,0,,,,0,1.64129,-1.20601,-0.0790304,0,-8.85455,-2.23126,-2.24036
Apr-07,,1.52496,5.90846,0.414419,0,,,,0,2.68486,-0.82762,-0.405746,0,-6.85744,-1.27159,-1.17031
May-07,,0.49851,1.9504,,0,,,-0.512209,0,4.25537,-0.526232,-0.00695238,0,-4.43872,-0.668974,-0.551191
Jun-07,,,,,0,-0.207294,-2.50507,-1.28758,0,7.91465,-0.3875,-0.0169339,0,-3.01069,-0.273901,-0.225676
Jul-07,,,,,0,-0.451094,-1.21764,-1.14621,0,6.4652,-0.351851,-0.1,0,-2.94516,-0.138844,-0.114398
Aug-07,,,,,0,-0.333807,-1.05602,-1.18862,0,6.44599,-0.513116,-0.1,0,-2.97816,-0.151466,-0.124798
Sep-07,,,2.22176,,0,-0.46719,,-0.690691,0,7.35933,-0.797323,-0.1,0,-7.19283,-0.182601,-0.150451
Oct-07,,0.300711,1.3656,,0,,,-0.169477,0,10.6324,-1.1466,-0.00762685,0,-9.52986,-0.795818,-0.649362
Nov-07,,0.643842,3.95417,,0,,,-0.132929,0.398408,9.66882,-1.41924,-0.0085911,-0.398408,-10.4039,-1.2658,-1.03639
Dec-07,,1.89388,9.1038,0.56873,0,,,,0.385585,4.40587,-1.67747,-0.00934199,-0.385585,-10.5611,-2.04541,-1.67895
Jan-08,,2.33763,13.0102,1.41953,0,,,,0.385577,1.47935,-1.68364,-0.0100812,-0.385577,-12.161,-2.41145,-1.98054
Feb-08,,2.63149,11.9622,1.66787,0,,,,0.412141,1.76203,-1.14771,-0.0104966,-0.412141,-11.949,-2.6992,-2.21718
Mar-08,,2.22971,8.12206,1.45217,0,,,,0,2.88803,-0.915016,-0.0114279,0,-9.60375,-2.28523,-1.87654
Apr-08,,1.15548,5.62748,0.440546,0,,,,0,2.93339,-0.627924,-0.0124726,0,-7.35167,-1.18691,-0.977931
May-08,,0.565065,0.84157,,0,,,-0.775718,0,4.43875,-0.399257,-0.1,0,-3.57043,-0.537698,-0.462279
Jun-08,,,,,0,-0.468246,-5.60272,-1.7971,0,10.0185,-0.294,-0.022101,0,-1.42486,-0.220151,-0.189273
Jul-08,,,,,0,-0.703036,-4.91504,-1.54949,0,9.46196,-0.266953,-0.1,0,-1.71989,-0.111597,-0.0959446
Aug-08,,,,,0,-3.0585,-10.1026,-3.14679,0,19.1842,-0.389307,-0.507183,0,-1.75337,-0.121742,-0.104667
Sep-08,,,,,0,-1.41991,-5.0119,-1.29754,0,15.9793,-0.604934,-0.856169,0,-6.51589,-0.146767,-0.126182
Oct-08,,,,,0,-3.38742,-10.1954,0,0,26.2349,-0.869937,-1.49192,0,-8.30066,-1.20854,-0.781069
Nov-08,,,,,0,-5.59099,-15.0778,0,0.398438,37.4027,-1.41924,-2.54023,-0.398438,-10.0556,-1.60526,-1.11355
Dec-08,,0.649343,0.195456,,0,,,0,0.385567,17.9778,-1.67747,-1.78431,-0.385567,-11.5033,-2.21292,-1.64457
Jan-09,,2.11898,9.33737,0.231253,0,,,,0.385585,6.33489,-1.68364,-0.0151134,-0.385585,-11.9191,-2.50713,-1.89752
Feb-09,,2.74578,12.0633,1.22961,0,,,,0.426897,3.21984,-1.56674,-0.0157447,-0.426897,-12.6115,-2.87684,-2.18773
Mar-09,,2.30474,7.68447,0.826527,0,,,,0,3.77447,-1.20602,-0.0163355,0,-9.15188,-2.40568,-1.81029
Apr-09,,0.864755,5.75165,,0,,,-0.227904,0,3.83443,-0.627924,-0.0171457,0,-7.80369,-0.953989,-0.820182
May-09,,0.578,1.14453,,0,,,-0.848121,0,5.27517,-0.399257,-0.0171123,0,-4.46813,-0.683009,-0.582069
Jun-09,,,,,0,-0.11181,-1.00272,-1.13638,0,6.69706,-0.294,-0.266028,0,-3.36815,-0.279647,-0.238319
Jul-09,,,,,0,-0.548835,-3.35865,0,0,8.29581,-0.266953,-1.60882,0,-2.24999,-0.141757,-0.120807
Aug-09,,,,,0,-1.14283,-4.44689,0,0,9.95923,-0.389303,-1.66635,0,-2.02742,-0.154643,-0.131789
Sep-09,,,,,0,-1.05449,-0.509575,0,0,7.86788,-0.604938,-0.81119,0,-4.54237,-0.186431,-0.158879
Oct-09,,,0.889295,0.448527,0,-0.539761,,,0,11.4017,-0.869937,-0.0175853,0,-9.70819,-0.902994,-0.701018
Nov-09,,,7.74186,0.954844,0,-0.22987,,,0.398408,6.85695,-1.07679,-0.0177478,-0.398408,-11.7332,-1.38586,-1.11023
Dec-09,,1.74809,10.9306,1.70508,0,,,,0.385575,2.21257,-1.27271,-0.018573,-0.385575,-11.338,-2.1788,-1.78828
Jan-10,,2.44156,12.5428,3.02653,0,,,,0.385585,1.2331,-1.27739,-0.0193907,-0.385585,-12.2615,-2.55252,-3.13319
Feb-10,,2.85771,12.6355,3.6194,0,,,,0.426897,0.99234,-1.1887,-0.020203,-0.426897,-12.31,-2.95442,-3.63163
Mar-10,,2.37562,8.83028,2.86789,0,,,,0,1.58129,-0.756287,-0.0210669,0,-9.48421,-2.42366,-2.96986
Apr-10,,1.18635,4.9367,1.4162,0,,,,0,2.11237,-0.518997,-0.0209579,0,-6.36401,-1.2118,-1.53585
May-10,,0.233623,,,0,,-0.572507,-0.233428,0,4.49571,-0.33,-0.1,0,-2.43669,-0.385592,-0.671116
Jun-10,,,,,0,-1.16621,-4.29002,-1.03981,0,8.13956,-0.243,-0.325516,0,-0.64235,-0.157875,-0.274777
Jul-10,,,,,0,-0.966918,-3.39568,-1.00906,0,7.56562,-0.220645,-0.1,0,-1.65399,-0.0800287,-0.139288
Aug-10,,,,,0,-0.270469,-0.0263951,-0.52203,0,4.69871,-0.321774,-0.1,0,-3.21878,-0.087304,-0.151951
Sep-10,,,1.25054,,0,-0.233009,,-0.604805,0,4.46113,-0.499996,-0.1,0,-3.98542,-0.10525,-0.183185
Oct-10,,,2.81788,0.600618,0,-0.158779,,,0,4.31984,-0.71903,-0.020912,0,-5.43419,-0.586626,-0.818805
Nov-10,,0.222216,5.08237,1.16805,0,,,,0.214775,2.87701,-0.89,-0.0219892,-0.214775,-6.28489,-0.86179,-1.29098
Dec-10,,1.15521,6.90739,2.014,0,,,,0.207848,1.2257,-1.05193,-0.0219735,-0.207848,-6.84911,-1.30688,-2.0724
Jan-11,,1.46688,6.99358,2.29054,0,,,,0.207848,1.06509,-0.859528,-0.0227138,-0.207848,-6.97636,-1.51787,-2.43961
Feb-11,,1.68924,6.55756,2.69146,0,,,,0.230099,1.76989,-0.799851,-0.0234495,-0.230099,-7.30467,-1.75299,-2.82717
Mar-11,,1.39991,5.17891,2.20817,0,,,,0,1.37841,-0.615692,-0.0242633,0,-5.76733,-1.44512,-2.31299
Apr-11,,0.660417,3.45268,1.08942,0,,,,0,1.608,-0.422515,-0.0247396,0,-4.48843,-0.684124,-1.1907
May-11,,0.316063,1.04251,0.389732,0,,,,0,1.8648,-0.268653,-0.0918466,0,-2.48654,-0.254304,-0.511762
Jun-11,,,,,0,-5.02428,-3.61669,-2.35485,0,12.2546,-0.197826,-0.530922,0,-0.216389,-0.10412,-0.209533
Jul-11,,,,,0,-1.42288,-4.1751,-1.28304,0,8.06689,-0.179627,-0.704358,0,-0.142887,-0.05278,-0.106215
Aug-11,,,,,0,-1.04905,-3.22576,-1.0684,0,7.47292,-0.261956,-0.367453,0,-1.32686,-0.057578,-0.11587
Sep-11,,,,,0,-1.66186,-1.13149,-0.393317,0,7.65816,-0.407049,-0.1,0,-3.75534,-0.0694136,-0.139688
Oct-11,,,,0.378842,0,-2.21814,-2.2387,,0,11.5343,-0.585361,-0.0584597,0,-5.13791,-0.736036,-0.938538
Nov-11,,,3.81335,0.934992,0,-0.999524,,,0.159879,6.82939,-0.724545,-0.0241542,-0.159879,-7.59129,-0.929147,-1.30907
Dec-11,,0.879265,7.38777,1.66843,0,,,,0.154721,3.03899,-0.856377,-0.023994,-0.154721,-8.98856,-1.21106,-1.89447
Jan-12,,1.20522,8.46188,2.06558,0,,,,0.154719,1.88422,-0.859528,-0.0246947,-0.154719,-9.20798,-1.35021,-2.17449
Feb-12,,1.33257,8.46958,2.23977,0,,,,0.165368,1.53337,-0.77227,-0.0253914,-0.165368,-8.8708,-1.48948,-2.41735
Mar-12,,1.246,6.50785,1.81152,0,,,,0,1.56406,-0.380391,-0.0262169,0,-7.34267,-1.30222,-2.07793
Apr-12,,0.482255,2.6246,0.687986,0,,,,0,1.80396,-0.261042,-0.1,0,-3.87859,-0.451188,-0.907976
May-12,,0.236672,0.407395,,0,,,-0.34471,0,3.01976,-0.16598,-0.1,0,-2.27908,-0.270146,-0.503912
Jun-12,,,0.236325,,0,-0.0014462,,-0.787871,0,3.49899,-0.122222,-0.1,0,-2.40685,-0.110607,-0.206319
Jul-12,,0.0374581,0.223776,,0,,,-0.850556,0,3.11521,-0.110978,-0.1,0,-2.15426,-0.0560682,-0.104585
Aug-12,,,,,0,-0.0659438,-1.44069,-0.750192,0,3.80818,-0.161843,-0.268539,0,-0.945721,-0.0611652,-0.114093
Sep-12,,,,,0,-0.293922,-0.137257,-0.119254,0,3.08982,-0.251486,-0.1,0,-1.97662,-0.073738,-0.137546
Oct-12,,0.227756,2.12933,0.490937,0,,,,0,2.03144,-0.361653,-0.0637491,0,-3.52202,-0.371999,-0.560043
Nov-12,,0.525884,4.18564,0.77354,0,,,,0.0880819,1.52293,-0.447643,-0.1,-0.0880819,-4.98412,-0.563476,-0.91275
Dec-12,,0.792072,4.9837,1.37761,0,,,,0.0852405,1.18072,-0.529092,-0.027075,-0.0852405,-5.4,-0.876613,-1.50131
Jan-13,,0.972472,6.15713,1.69739,0,,,,0.0852405,1.32661,-0.531041,-0.0277306,-0.0852405,-6.79336,-1.02443,-1.77704
Feb-13,,1.13613,4.67492,2.06217,0,,,,0.0943734,1.14353,-0.3275,-0.0283824,-0.0943734,-5.41372,-1.18498,-2.06217
Mar-13,,0.934649,3.0203,1.68196,0,,,,0,1.22235,-0.252096,-0.0290975,0,-3.92265,-0.973458,-1.68196
Apr-13,,0.456856,1.54763,0.894048,0,,,,0,1.13127,-0.102519,-0.0294651,0,-2.52448,-0.479298,-0.894048
May-13,,0.0453707,,,0,,-0.903517,-0.460584,0,3.15163,-0.0651852,-0.909876,0,-0.331559,-0.161757,-0.364524
Jun-13,,,,,0,-0.294829,-2.88162,-1.21129,0,5.34919,-0.048,-0.661183,0,-0.0367901,-0.0662292,-0.149249
Jul-13,,,,,0,-0.0563037,-1.76608,-0.869326,0,3.764,-0.073548,-0.813732,0,-0.0757733,-0.0335723,-0.075656
Aug-13,,,,,0,-0.0774422,-0.903212,-0.764767,0,3.51037,-0.107258,-1.04337,0,-0.495164,-0.0366243,-0.0825339
Sep-13,,,,,0,-0.257153,-1.11284,-0.625362,0,4.2671,-0.166666,-1.17002,0,-0.791406,-0.0441528,-0.099499
Oct-13,,0.141488,,0.210958,0,,-0.467379,,0,3.36727,-0.239677,-0.450908,0,-1.74544,-0.328831,-0.487488
Nov-13,,0.330264,0.0918668,0.474641,-0.0345293,,,,0.0418352,3.55198,-0.296666,-0.602031,-0.00730592,-2.35765,-0.447022,-0.745379
Dec-13,0.016241,0.598848,2.02837,0.952548,,,,,0.0406739,1.76419,-0.350645,-0.0506992,-0.0569149,-3.14324,-0.630981,-1.16839
Jan-14,0.0171744,0.677983,2.34554,1.19143,,,,,0.0406739,1.505,-0.351935,-0.0296348,-0.0578483,-3.25104,-0.719489,-1.36785
Feb-14,,0.786868,2.39727,1.45069,0,,,,0.0450318,1.21687,-0.3275,-0.030097,-0.0450318,-3.08418,-0.826988,-1.58294
Mar-14,,0.656704,1.22283,1.18759,0,,,,0,1.22769,-0.149391,-0.480785,0,-1.6766,-0.688971,-1.29907
Apr-14,,0.337461,0.562834,0.262877,0,,,,0,1.46549,-0.102519,-0.115251,0,-1.47715,-0.286992,-0.646745
May-14,,,0.175816,,0,-0.0357637,,-0.382644,0,1.77853,-0.0651852,-0.2753,0,-0.895593,0,-0.299864
Jun-14,,,,,0,-0.426844,-1.53321,-0.555401,0,3.29977,-0.048,-0.280312,0,-0.333224,0,-0.122774
Jul-14,,,,,0,-0.012546,-1.17849,-0.94702,0,2.91923,-0.0435842,-0.193567,0,-0.481789,0,-0.062236
Aug-14,,,,,0,-0.0344772,-0.21986,-0.436841,0,2.1045,-0.0635603,-0.638845,0,-0.643026,0,-0.0678935
Sep-14,,,,,0,-0.0410742,-0.0110798,-0.375446,0,2.03153,-0.0987654,-0.666344,0,-0.756972,0,-0.0818499
Oct-14,,0.548242,0.872338,0.208374,0,,,,0,1.33391,-0.142031,-0.844637,0,-0.997273,-0.616084,-0.362835
Nov-14,,0.562621,1.52656,0.458741,-0.0246914,,,,0.0246914,1.0408,-0.175802,-0.886579,0,-1.31601,-0.63662,-0.573707
Dec-14,,0.53919,1.87016,0.813787,-0.0240282,,,,0.0240282,1.0729,-0.20779,-1.15747,0,-1.39174,-0.616084,-0.922959
Jan-15,,0.416413,1.02102,1.03991,-5.33118E-05,,,,5.33118E-05,0.846026,-0.208554,-0.277393,0,-1.25155,-0.498843,-1.08704
Feb-15,0.0531167,0.0827758,,1.24794,,,0,,0.000195906,0.858431,-0.194074,0,-0.0533126,-0.576254,-0.158943,-1.25988
Mar-15,,,,0.659849,0,-0.0608513,0,,0,2.39204,-0.149391,-0.383817,0,-0.921444,-0.505928,-1.03046
Apr-15,,,,0.292075,0,-0.243994,-0.000173782,,0,1.54166,-0.102519,-0.23564,0,-0.719388,0,-0.532023
May-15,,,,,0,-0.184656,-0.0234376,-0.0742666,0,1.538,-0.0651852,-0.461748,0,-0.5,0,-0.228705
Jun-15,,,,,0,-0.222882,-0.469869,-0.308556,0,1.79282,-0.048,-0.145792,0,-0.504078,0,-0.0936397
Jul-15,,,,,0,-2.52339,-1.01849,-0.83366,0,5.08255,-0.0435839,-0.0847062,0,-0.531253,0,-0.0474671
Aug-15,,,,,0,-9.64629,-6.61842,-2.11667,0,19.7039,-0.0635603,-1.00717,0,-0.200056,0,-0.0517824
Sep-15,,,,,0,-3.4109,-11.5502,-1.73378,0,18.8346,-0.166666,-1.26939,0,-0.64122,0,-0.0624263
Oct-15,,,,,0,-5.22518,-12.63,-1.33561,0,23.7817,-0.361653,-1.65329,0,-1.03281,-0.911107,-0.632016
Nov-15,,,,,-0.0754244,-4.59178,-19.8371,-1.46972,0.0754244,31.7679,-0.447643,-0.0239009,0,-3.65156,-0.941478,-0.80469
Dec-15,0.0729913,,,,,-3.76464,-12.2632,-1.3037,0.0730541,24.7548,-0.856377,0,-0.146045,-4.5966,-0.911107,-1.05922
Jan-16,,0.790762,,,0,,-0.64178,-0.159703,0.0730541,7.86952,-0.859528,0,-0.0730541,-4.90381,-0.911107,-1.18436
Feb-16,,0.854409,2.35036,0.296364,-0.0780252,,,,0.0780252,4.83751,-0.77227,0,0,-5.28487,-0.973942,-1.30756
Mar-16,0.00672043,0.803557,1.63069,0.302107,,,,,0,4.23818,-0.615692,0,-0.00672043,-4.30653,-0.911107,-1.14121
Apr-16,0.0499614,,,,,-0.0784938,-2.06697,-0.879699,0,6.56861,-0.422515,0,-0.0499614,-2.71517,0,-0.405772
May-16,0.0179211,0.41944,,,,,-3.8862,-1.11115,0,7.20982,-0.268653,0,-0.0179211,-1.3341,-0.470139,-0.559019
Jun-16,,,,,0,-2.68653,-12.3413,-2.08893,0,18.5184,-0.197826,0,0,-0.782461,-0.192491,-0.228881
