Sources and Destinations,Decrease in Storage for Cuenta Corriente PMS,Decrease in Storage for Embalse Cogoti,Decrease in Storage for Embalse Paloma,Decrease in Storage for Embalse Recoleta,Increase in Storage for Cuenta Corriente PMS,Increase in Storage for Embalse Cogoti,Increase in Storage for Embalse Paloma,Increase in Storage for Embalse Recoleta,Inflow from Rio Grande,Inflow from Upstream,Net Evaporation and Local Reservoir Overflow,Outflow to Downstream,Outflow to DR Guatulame_B El Tome,Outflow to ENTREGA PALOMA,Outflow to ENTREGA_COGOTI,Outflow to Entregas Recoleta
May-00,0,1.24701,0.288805,,0,,,-0.799061,0,5.18801,-0.460644,-0.858723,0,-3.49558,-0.675052,-0.434769
Jun-00,0,,,,0,-1.64931,-6.49558,-2.77423,0,13.4998,0,-0.889968,0,-1.23628,-0.27639,-0.178009
Jul-00,0,0.123208,,,0,,-11.187,-2.28115,0,15.5905,-0.11169,-1.05246,0,-0.851098,-0.140106,-0.0902348
Aug-00,0,,,,0,-1.51781,-7.69225,-1.80205,0,16.4246,-0.513116,-1.1,0,-3.54807,-0.152842,-0.0984382
Sep-00,0,,,,0,-5.30839,-16.3649,-2.13994,0,28.1867,-0.161458,-1.13237,0,-2.7767,-0.18426,-0.118673
Oct-00,0,,,,0,-8.85927,-23.5326,-1.82199,0,46.0436,-1.1466,-0.911402,0,-8.12554,-0.70345,-0.942766
Nov-00,0,,,,0,-9.40905,-17.5848,-1.3791,0.398438,42.562,-1.63867,-0.441051,-0.398438,-9.67247,-1.17439,-1.2624
Dec-00,0,,,,0,-4.5657,-8.49781,-0.984061,0.385585,28.82,-1.93683,-0.112536,-0.385585,-9.00376,-1.9644,-1.75488
Jan-01,0,,6.77581,0.550983,0,-1.25827,,,0.385585,12.1123,-1.94396,-0.0622224,-0.385585,-11.8481,-2.33377,-1.99277
Feb-01,0,2.49137,9.33082,1.29021,0,,,,0.426897,5.32197,-1.80899,-0.0662481,-0.426897,-11.5604,-2.71073,-2.28802
Mar-01,0,1.94159,6.0363,0.785271,0,,,,0,6.66248,-1.37578,-0.0692503,0,-9.86347,-2.2064,-1.91074
Apr-01,0,1.13101,2.62064,,0,,,-0.541579,0,6.90403,-0.955586,-0.412739,0,-6.77671,-1.19769,-0.771372
May-01,,1.05341,,,0,,-2.36845,-1.03656,0,8.67682,-0.499574,-0.842055,0,-3.5689,-0.706784,-0.707899
Jun-01,,0.717593,,,0,,-1.58789,-1.32784,0,7.89454,-0.447411,-0.876151,0,-3.79363,-0.289381,-0.289838
Jul-01,,,,,0,-4.49149,-10.9803,-2.71222,0,20.2446,0,-1.07432,0,-0.692641,-0.146691,-0.146922
Aug-01,,,,,0,-2.05533,-9.20943,-0.0782266,0,15.9693,-0.130295,-3.60733,0,-0.568347,-0.160027,-0.160279
Sep-01,,,,,0,-2.10895,-8.85174,0,0,19.2959,-0.644421,-3.27434,0,-4.03033,-0.192921,-0.193225
Oct-01,,,,,0,-5.92279,-11.4916,0,0,30.4824,-1.31386,-2.97321,0,-7.05012,-0.856123,-0.874727
Nov-01,,,,,-0.00405093,0,-11.8881,0,0.398438,30.3806,-1.63867,-5.9501,-0.394387,-8.1774,-1.35318,-1.37315
Dec-01,0.00392025,0.670398,0.596574,0.306949,,,,,0.385585,16.0416,-1.93683,-1.10001,-0.389505,-10.2053,-2.17634,-2.19703
Jan-02,,2.5129,8.48987,1.32772,0,,,,0.385583,6.37789,-1.94396,-0.0560428,-0.385583,-11.5609,-2.56307,-2.58437
Feb-02,,2.8491,11.2193,2.20337,0,,,,0.426897,3.69572,-1.80899,-0.0598887,-0.426897,-12.1337,-2.97056,-2.99436
Mar-02,,2.33421,7.53538,1.7689,0,,,,0,4.03267,-1.39249,-0.0634486,0,-9.33472,-2.42972,-2.4508
Apr-02,,1.46106,1.80848,,0,,,-0.266578,0,8.37803,-0.830154,-0.371443,0,-7.66944,-1.25399,-1.25596
May-02,,,,,0,-5.38295,-17.1152,-3.53675,0,30.3191,0,-0.755245,0,-2.16142,-0.710357,-0.657095
Jun-02,,,,,0,-4.25926,-16.088,-1.65228,0,50.7623,0,-27.4126,0,-0.790299,-0.290844,-0.269037
Jul-02,,,,,0,0,0,0,0,40.2411,0,-38.0894,0,-1.86794,-0.147432,-0.136378
Aug-02,,,,,0,0,0,0,0,56.444,-0.115818,-54.9908,0,-1.02782,-0.160835,-0.148776
Sep-02,,,,,0,0,0,0,0,50.3631,-0.920602,-45.2111,0,-3.85819,-0.193896,-0.179358
Oct-02,,,,,0,0,0,0,0,78.5647,-1.32389,-66.7395,0,-8.70484,-0.872887,-0.923569
Nov-02,,,,,-0.0362978,0,0,0,0.398438,100.959,-1.63867,-79.412,-0.36214,-17.1457,-1.37287,-1.38994
Dec-02,0.0318686,,,,,0,0,0,0.385585,88.6847,-1.93683,-76.4411,-0.417453,-5.95606,-2.19978,-2.15097
Jan-03,0.00178311,,,,,0,0,0,0.385585,40.965,-1.94396,-25.3087,-0.387368,-8.61331,-2.58846,-2.51052
Feb-03,0.00159815,1.26266,,,,,0,0,0.426897,21.9223,-1.80899,-6.53134,-0.428495,-8.94228,-2.99935,-2.90304
Mar-03,1.3859E-06,1.75467,,,,,0,0,0,16.3033,-1.39249,-2.4495,-1.3859E-06,-9.375,-2.45444,-2.38654
Apr-03,2.87654E-05,1.06972,,,,,0,0,0,13.8111,-0.955586,-2.63766,-2.87654E-05,-8.86146,-1.26032,-1.16583
May-03,,0.177511,,,0,,0,0,0,15.819,0,-10.9212,0,-3.57557,-0.762108,-0.73767
Jun-03,,,,,0,-0.36597,0,0,0,17.4833,-0.248333,-14.334,0,-1.92091,-0.312032,-0.302027
Jul-03,,,,,0,-0.342907,0,0,0,16.4209,-0.122277,-13.1171,0,-2.52732,-0.158173,-0.153101
Aug-03,,0.167306,,,0,,0,0,0,10.9797,-0.592451,-5.67322,0,-4.54175,-0.172552,-0.16702
Sep-03,2.54576E-06,0.845956,2.66658,,,,,0,0,9.24429,-0.920602,-2.5423,-2.54576E-06,-8.88455,-0.208022,-0.201351
Oct-03,,0.786055,3.58832,,0,,,0,0,10.988,-1.32389,-1.56425,0,-11.0646,-0.7555,-0.654161
Nov-03,,1.21351,6.30007,,0,,,0,0.398408,8.29191,-1.63867,-0.663914,-0.398408,-11.0521,-1.28588,-1.16496
Dec-03,,2.07457,10.058,0.910699,0,,,,0.385573,4.32056,-1.93683,-0.0724241,-0.385573,-11.1435,-2.17906,-2.03207
Jan-04,,2.52693,11.7372,1.26938,0,,,,0.385585,3.90906,-1.94396,-0.0757284,-0.385585,-12.3911,-2.59606,-2.4357
