Rio Limari Nodes and Reaches,12 \ Reach
May-00,2.0823
Jun-00,0.493601
Jul-00,0.000288004
Aug-00,1.63419
Sep-00,0.000460773
Oct-00,4.50754
Nov-00,5.23846
Dec-00,4.13142
Jan-01,6.77523
Feb-01,6.97497
Mar-01,6.33021
Apr-01,4.39336
May-01,2.21717
Jun-01,3.12099
Jul-01,0.000287804
Aug-01,1.36322
Sep-01,3.30994
Oct-01,4.42664
Nov-01,4.42504
Dec-01,4.87073
Jan-02,6.19919
Feb-02,7.27855
Mar-02,5.58442
Apr-02,5.23792
May-02,0.616442
Jun-02,20.6861
Jul-02,31.4886
Aug-02,41.9387
Sep-02,36.5817
Oct-02,55.2834
Nov-02,73.4635
Dec-02,64.5329
Jan-03,25.5862
Feb-03,10.4668
Mar-03,7.96015
Apr-03,8.59734
May-03,12.2493
Jun-03,14.5521
Jul-03,13.5996
Aug-03,7.04488
Sep-03,7.77395
Oct-03,8.20413
Nov-03,6.78876
Dec-03,5.93579
Jan-04,7.34391
Feb-04,7.2943
Mar-04,7.11871
Apr-04,3.61467
May-04,3.30097
Jun-04,2.53376
Jul-04,1.6069
Aug-04,1.03952
Sep-04,6.26156
Oct-04,5.68738
Nov-04,5.70485
Dec-04,7.59342
Jan-05,6.7845
Feb-05,8.00549
Mar-05,5.48232
Apr-05,4.7133
May-05,0.980987
Jun-05,2.92809
Jul-05,2.01263
Aug-05,2.87474
Sep-05,4.22964
Oct-05,6.03343
Nov-05,6.49327
Dec-05,6.87868
Jan-06,6.05097
Feb-06,5.07448
Mar-06,5.64943
Apr-06,4.07564
May-06,3.57848
Jun-06,2.72107
Jul-06,1.61822
Aug-06,1.44134
Sep-06,4.4006
Oct-06,3.93259
Nov-06,4.40172
Dec-06,4.97668
Jan-07,7.01323
Feb-07,7.04724
Mar-07,5.49563
Apr-07,4.70931
May-07,3.0501
Jun-07,2.37162
Jul-07,2.28284
Aug-07,1.61883
Sep-07,5.27473
Oct-07,6.67593
Nov-07,6.43886
Dec-07,5.75739
Jan-08,7.00596
Feb-08,7.20732
Mar-08,5.80211
Apr-08,4.79396
May-08,1.97541
Jun-08,0.543378
Jul-08,0.695992
Aug-08,0.000422987
Sep-08,4.38325
Oct-08,5.8975
Nov-08,7.48633
Dec-08,7.56928
Jan-09,6.8599
Feb-09,8.04092
Mar-09,5.74326
Apr-09,5.57453
May-09,2.99052
Jun-09,2.82429
Jul-09,2.96533
Aug-09,1.93782
