Yr,Mon,EST. CHACAY A
1989,1,13.827857028729532
1989,2,11.716446879674344
1989,3,24.707637238346482
1989,4,4.786062678338209
1989,5,63.136080552215134
1989,6,452.66368319037224
1989,7,273.8043503993371
1989,8,290.852410513856
1989,9,46.61590900102595
1989,10,55.34047718592857
1989,11,20.62728764194307
1989,12,73.93732676448602
1990,1,13.542516799159085
1990,2,31.659101372038528
1990,3,146.75766643644988
1990,4,142.98923086387865
1990,5,173.49691463467477
1990,6,126.87851252395832
1990,7,143.76399619673148
1990,8,186.7982277202666
1990,9,255.83172657577023
1990,10,58.04203866901087
1990,11,55.878406040995856
1990,12,12.875884731876035
1991,1,32.84390090577085
1991,2,5.785194227747811
1991,3,9.491939435555468
1991,4,208.62960187025604
1991,5,639.8912842582323
1991,6,244.2139249298761
1991,7,329.2820421287556
1991,8,76.82536203765567
1991,9,172.879210468902
1991,10,120.46956164903068
1991,11,44.13966035464793
1991,12,111.88335850249501
1992,1,7.215936444726274
1992,2,23.516514682131916
1992,3,82.28721944381651
1992,4,187.89613474065698
1992,5,824.8367217013404
1992,6,407.62082701335584
1992,7,142.53852944326007
1992,8,174.4980336244411
1992,9,96.65395369631388
1992,10,84.33199155088909
1992,11,33.557157786411146
1992,12,70.02098305342076
1993,1,16.433817273724998
1993,2,1.042885010065102
1993,3,27.790670130744733
1993,4,139.56331184744928
1993,5,395.9146022512516
1993,6,601.87730826762
1993,7,220.52806937227768
1993,8,243.76686658157286
1993,9,62.82333951406746
1993,10,112.78778728887968
1993,11,44.50492932467685
1993,12,58.05502460054823
1994,1,2.0585360932902943
1994,2,33.0509526845222
1994,3,14.941948508215935
1994,4,264.3513612969414
1994,5,154.12274766331475
1994,6,390.4986161801379
1994,7,452.1162792587631
1994,8,48.773251643467034
1994,9,266.1117438285664
1994,10,91.8307738992244
1994,11,23.677432312950447
1994,12,74.72339386617874
1995,1,1.6526937614001684
1995,2,2.74949166618297
1995,3,19.65202494288193
1995,4,209.05171787919772
1995,5,68.16955871310117
1995,6,453.83794015131565
1995,7,447.5081572341314
1995,8,273.46873981106773
1995,9,60.45216411542084
1995,10,85.62370865143578
1995,11,13.70102484558055
1995,12,1.8402295362916592
1996,1,6.724272072424818
